Country,Region,Income group,Code,Selected,Value
Paraguay,East Asia & Pacific,Lower middle income,SLB,,174
Perú,Sub-Saharan Africa,Low income,SLE,,175
Filipinas,Latin America & Caribbean,Upper middle income,SLV,,176
Isla Pitcairn,Europe & Central Asia,High income,SMR,,177
Polonia,Sub-Saharan Africa,Low income,SOM,,178
Portugal,Europe & Central Asia,Upper middle income,SRB,,179
Puerto Rico,Sub-Saharan Africa,Low income,SSD,,180
Katar,Sub-Saharan Africa,Lower middle income,STP,,181
Reunión,Latin America & Caribbean,Upper middle income,SUR,,182
Rumania,Europe & Central Asia,High income,SVK,,183
Rusia,Europe & Central Asia,High income,SVN,,184
Ruanda,Europe & Central Asia,High income,SWE,,185
santa elena,Sub-Saharan Africa,Lower middle income,SWZ,,186
San Cristóbal y Nieves,Latin America & Caribbean,High income,SXM,,187
Santa Lucía,Sub-Saharan Africa,High income,SYC,,188
San Pedro y Miquelón,Middle East & North Africa,Low income,SYR,,189
San Vicente y las Granadinas,Latin America & Caribbean,High income,TCA,,190
San Bartolomé,Sub-Saharan Africa,Low income,TCD,,191
Saint-Martin (parte francesa),Sub-Saharan Africa,Low income,TGO,,192
Samoa,East Asia & Pacific,Upper middle income,THA,,193
San Marino,Europe & Central Asia,Lower middle income,TJK,,194
Santo Tomé y Príncipe,Europe & Central Asia,Upper middle income,TKM,,195
Arabia Saudita,East Asia & Pacific,Lower middle income,TLS,,196
Senegal,East Asia & Pacific,Upper middle income,TON,,197
Serbia,Latin America & Caribbean,High income,TTO,,198
Seychelles,Middle East & North Africa,Lower middle income,TUN,,199
Sierra Leona,Europe & Central Asia,Upper middle income,TUR,,200
Singapur,East Asia & Pacific,Upper middle income,TUV,,201
Sint Maarten (parte holandesa),East Asia & Pacific,High income,TWN,,202
Eslovaquia,Sub-Saharan Africa,Lower middle income,TZA,,203
Eslovenia,Sub-Saharan Africa,Low income,UGA,,204
Islas Salomón,Europe & Central Asia,Lower middle income,UKR,,205
Somalia,Latin America & Caribbean,High income,URY,,206
Sudáfrica,North America,High income,USA,,207
Georgia del Sur,Europe & Central Asia,Lower middle income,UZB,,208
Corea del Sur,Latin America & Caribbean,Upper middle income,VCT,,209
Sudán del Sur,Latin America & Caribbean,,VEN,,210
España,Latin America & Caribbean,High income,VGB,,211
Sri Lanka,Latin America & Caribbean,High income,VIR,,212
Sudán,East Asia & Pacific,Lower middle income,VNM,,213
Surinam,East Asia & Pacific,Lower middle income,VUT,,214
Islas Svalbard y Jan Mayen,East Asia & Pacific,Lower middle income,WSM,,215
Suecia,Europe & Central Asia,Upper middle income,XKX,,216
Suiza,Middle East & North Africa,Low income,YEM,,217
Siria,Sub-Saharan Africa,Upper middle income,ZAF,,218
Taiwán,Sub-Saharan Africa,Lower middle income,ZMB,,219
Tayikistán,Sub-Saharan Africa,Lower middle income,ZWE,,220
