Country,Region,Selected,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Estado da Cidade do Vaticano (Santa Sé),Europa,,243,,
Venezuela,Américas,,244,,
Vietnã,Ásia,,245,,
Ilhas Virgens (britânicas),Américas,,246,,
Ilhas Virgens (EUA),Américas,,247,,
Ilhas Wallis e Futuna,Oceânia,,248,,
Saara Ocidental,África,,249,,
Iémen,Ásia,,250,,
Zâmbia,África,,251,,
Zimbábue,África,,252,,
