Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Moraxella,36361003,SNOMED,bacteria,,,,,,,,,,230,,
Moraxella catarrhalis,24226003,SNOMED,bacteria,,,,,,,,,,231,,
Morganella,50713005,SNOMED,bacteria,,,,,,,,,,232,,
Morganella morganii,243301005,SNOMED,bacteria,,,,,,,,,,233,,
Virus MPOX,59774002,SNOMED,virus,1,,,1,,,,,,234,,
Mucor,49782006,SNOMED,fungi,,,,,,,,,,235,,
Virus de las paperas,50384007,SNOMED,virus,,,,,,,,,,236,,
Mycobacterium,243368001,SNOMED,bacteria,,,,,,,,,,237,,
Mycobacterium leprae,58242002,SNOMED,bacteria,,,,,,,,,,238,,
Mycobacterium tuberculosis,113861009,SNOMED,bacteria,,,,,,,,,,239,,
"Mycobacterium, no tuberculosis",110379001,SNOMED,bacteria,,,,,,,,,,240,,
Mycoplasma agalactiae,16377009,SNOMED,bacteria,,,,,,,,,,241,,
Mycoplasma pneumoniae,58720004,SNOMED,bacteria,,,,,,,,,,242,,
Necator americanus,43905006,SNOMED,"parasite, helminth",,,,,,,,,,243,,
Neisseria meningitidis,17872004,SNOMED,bacteria,,,,,,,,,,244,,
Neotestudina rosatii (Zopfia rosatii),47066009,SNOMED,fungi,,,,,,,,,,245,,
Virus Nipah,115511007,SNOMED,virus,,,,,,,,,,246,,
Nocardia asteroides,30092002,SNOMED,bacteria,,,,,,,,,,247,,
Nocardia brasiliensis,58970008,SNOMED,bacteria,,,,,,,,,,248,,
Norovirus,407359000,SNOMED,virus,,,,,,,,,,249,,
Onchocerca volvulus,52397001,SNOMED,"parasite, helminth",,,,,,,,,,250,,
Orthomyxoviridae (virus de la influenza),55014007,SNOMED,virus,,,,,,,,,,251,,
Papiloma,243584004,SNOMED,virus,,,,,,,,,,252,,
Papoviridae,243587006,SNOMED,virus,,,,,,,,,,253,,
Paracoccidioides,112405000,SNOMED,fungi,,,,,,,,,,254,,
Paragonimus Westermani,58412002,SNOMED,"parasite, helminth",,,,,,,,,,255,,
Paramyxoviridae,128354001,SNOMED,virus,,,,,,,,,,256,,
Parvoviridae,243587006,SNOMED,virus,,,,,,,,,,257,,
Penicillium,42993004,SNOMED,fungi,,,,,,,,,,258,,
Pichia kudriavzeveii,16452009,SNOMED,fungi,,,,,,,,,,259,,
Picornaviridae,407344006,SNOMED,virus,,,,,,,,,,260,,
Plasmodium,34706006,SNOMED,"parasite, protozoa",,,,,,,,,,261,,
Plasmodium falciparum,30020004,SNOMED,"parasite, protozoa",,,,,,,1,,,262,,
Plasmodium malariae,56395006,SNOMED,"parasite, protozoa",,,,,,,,,,263,,
Plasmodium oval,18508006,SNOMED,"parasite, protozoa",,,,,,,,,,264,,
Plasmodium vivax,74746009,SNOMED,"parasite, protozoa",,,,,,,1,,,265,,
Pneumocystis,115987006,SNOMED,fungi,,,,,,,,,,266,,
Pneumocystis jirovecii,79909001,SNOMED,fungi,,,,,,,,,,267,,
Enfermedades de priones,20484008,SNOMED,Prions,,,,,,,,,,268,,
Propionibacterium,34844008,SNOMED,bacteria,,,,,,,,,,269,,
Propionibacterium acnes,39473003,SNOMED,bacteria,,,,,,,,,,270,,
Proteo,50517009,SNOMED,bacteria,,,,,,,,,,271,,
Proteus mirabilis,73457008,SNOMED,bacteria,,,,,,,,,,272,,
Proteus vulgaris,45834001,SNOMED,bacteria,,,,,,,,,,273,,
Providencia Rettgeri,14196002,SNOMED,bacteria,,,,,,,,,,274,,
Providencia stuartii,1445008,SNOMED,bacteria,,,,,,,,,,275,,
Pseudomonas,57032008,SNOMED,bacteria,,,,,,,,,,276,,
Pseudomonas aeruginosa,52499004,SNOMED,bacteria,,,,,,,,,,277,,
Pseudomonas fluorescens,39289003,SNOMED,bacteria,,,,,,,,,,278,,
Pseudomonas putida,68608003,SNOMED,bacteria,,,,,,,,,,279,,
Virus de la rabia,59881000,SNOMED,virus,,,,,,,,,,280,,
Raoultella,417468005,SNOMED,bacteria,,,,,,,,,,281,,
Raoultella ornithinolytica,416832000,SNOMED,bacteria,,,,,,,,,,282,,
Raoultella planticola,416264004,SNOMED,bacteria,,,,,,,,,,283,,
Virus sincitial respiratorio (RSV),6415009,SNOMED,virus,,,,,,,1,1,,284,,
Retroviridae,77622001,SNOMED,virus,,,,,,,,,,285,,
Rabdoviridae,407326003,SNOMED,virus,,,,,,,,,,286,,
Rizomucor,85711000,SNOMED,fungi,,,,,,,,,,287,,
Rizopus,17683005,SNOMED,fungi,,,,,,,,,,288,,
Virus de la fiebre del valle del rift,28335002,SNOMED,virus,,1,,,,,,,,289,,
Virus del río Ross,32458000,SNOMED,virus,,,,,,,,,,290,,
Rotavirus,417542000,SNOMED,virus,,,,,,,,,,291,,
Virus de la rubéola,5210005,SNOMED,virus,,,,,,,,,,292,,
SARS-CoV-2,840533007,SNOMED,virus,1,,,,1,,1,1,,293,,
Sars-cov-2 beta-b.1.351,840533008,SNOMED,virus,,,,,,,,,,294,,
SARS-CoV-2 Delta-B.1.617.2,840533009,SNOMED,virus,,,,,,,,,,295,,
SARS-CoV-2 ETA-B.1.525,840533010,SNOMED,virus,,,,,,,,,,296,,
SARS-CoV-2 Gamma-p.1,840533011,SNOMED,virus,,,,,,,,,,297,,
SARS-CoV-2 IOTA-B.1.526,840533012,SNOMED,virus,,,,,,,,,,298,,
Sars-Cov-2 Kappa-B.1.617.1,840533013,SNOMED,virus,,,,,,,,,,299,,
Sars-cov-2 omicron,840533014,SNOMED,virus,,,,,,,,,,300,,
SARS-CoV-2 Omicron-B.1.1.529,840533015,SNOMED,virus,,,,,,,,,,301,,
SARS-CoV-2 Omicron-B.1.1.529.2 BA.2,840533016,SNOMED,virus,,,,,,,,,,302,,
SARS-CoV-2 Omicron-B.1.1.529.5 BA.5,840533017,SNOMED,virus,,,,,,,,,,303,,
Sars-cov-2 theta- p.3,840533018,SNOMED,virus,,,,,,,,,,304,,
Sars-cov-2 zeta-p.2,840533019,SNOMED,virus,,,,,,,,,,305,,
SARS-CoV-2 Alpha-B.1.1.7,840533020,SNOMED,virus,,,,,,,,,,306,,
Antígeno SARS-Cov-2,840536004,SNOMED,virus (substance),,,,,,,,,,307,,
Anticuerpo SARS-Cov-2 IgG,6.3E+13,SNOMED,virus (substance),,,,,,,,,,308,,
Anticuerpo SARS-CoV-2 IgG/IgM,840535000,SNOMED,virus (substance),,,,,,,,,,309,,
Anticuerpo IgM SARS-CoV-2,5.06E+13,SNOMED,virus (substance),,,,,,,,,,310,,
Saccharomyces cerevisia,765320007,SNOMED,fungi,,,,,,,,,,311,,
Salmonela,27268008,SNOMED,bacteria,,,,,,,,,,312,,
Salmonella hirschfeldii,32488009,SNOMED,bacteria,,,,,,,,,,313,,
Sapovirus,407362002,SNOMED,virus,,,,,,,,,,314,,
Escrito,31901009,SNOMED,fungi,,,,,,,,,,315,,
Esquistosoma,53583001,SNOMED,"parasite, helminth",,,,,,,,,,316,,
Esquistosoma guineensis,,,"parasite, helminth",,,"No Code, new species of schistosoma",,,,,,,317,,
Esquistosoma hematobio,3294004,SNOMED,"parasite, helminth",,,,,,,,,,318,,
Esquistosoma intercalatum,15685002,SNOMED,"parasite, helminth",,,,,,,,,,319,,
Esquistosoma japonicum,5249008,SNOMED,"parasite, helminth",,,,,,,,,,320,,
Schistosoma mansoni,11168007,SNOMED,"parasite, helminth",,,,,,,,,,321,,
Schistosoma Mekongi,75475007,SNOMED,"parasite, helminth",,,,,,,,,,322,,
Serratia,42025004,SNOMED,bacteria,,,,,,,,,,323,,
Serratia licuefaciens,23787004,SNOMED,bacteria,,,,,,,,,,324,,
Serratia marcescens,33522002,SNOMED,bacteria,,,,,,,,,,325,,
Serratia ureilytica,450416004,SNOMED,bacteria,,,,,,,,,,326,,
Síndrome respiratorio agudo severo Coronavirus 2,1.24E+15,SNOMED,virus,,,,,,,,,,327,,
Coronavir relacionado con el síndrome respiratorio agudo,415360003,SNOMED,virus,,,,,,,,,,328,,
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001,SNOMED,virus,,,,,,,,,,329,,
Shigella,77352002,SNOMED,bacteria,,,,,,,,,,330,,
Shigella Boydii,55462008,SNOMED,bacteria,,,,,,,,,,331,,
Shigella disenteriae,43612004,SNOMED,bacteria,,,,,,,,,,332,,
Shigella Flexneri,85729005,SNOMED,bacteria,,,,,,,,,,333,,
Shigella Sonnei,4298009,SNOMED,bacteria,,,,,,,,,,334,,
Simplexvirus (género),314797000,SNOMED,virus,,,,,,,,,,335,,
Sphingomonas paucimobilis,243350004,SNOMED,bacteria,,,,,,,,,,336,,
Esporothrix schenckii,32662000,SNOMED,fungi,,,,,,,,,,337,,
Estafilococo,65119002,SNOMED,bacteria,,,,,,,,,,338,,
Staphylococcus aureus,3092008,SNOMED,bacteria,,,,,,,,,,339,,
Staphylococcus capitis,40347003,SNOMED,bacteria,,,,,,,,,,340,,
Staphylococcus Caprae,76969000,SNOMED,bacteria,,,,,,,,,,341,,
Staphylococcus cohnii,66872005,SNOMED,bacteria,,,,,,,,,,342,,
Staphylococcus epidermidis,60875001,SNOMED,bacteria,,,,,,,,,,343,,
Estafilococos hemolítico,83452006,SNOMED,bacteria,,,,,,,,,,344,,
