Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Cefoxitina (mefoxina, renoxitina)",J01DC01,ATC,2,,,,,,,,,,30,,
Cefpodoxime Proxetil (Vantin),J01DD13  ,ATC,2,,,,,,,,,,31,,
"CEFPROZIL (CEFPROXIL, CEFPROZ, CEFZIL)",J01DC10,ATC,2,,,,,,,,,,32,,
"Ceftaroline Fosamil (Teflaro, Zinforo)",J01DI02  ,ATC,1,,,,,,,,,,33,,
"Ceftazidime (Fortaz, Tazicef)",J01DD02 ,ATC,1,1.0,,,,,,,,,34,,
"Inibidor de ceftazidima/beta-lactamase (ceftazidime/avibactama, avycaz, zavicefta)",J01DD52,ATC,,1.0,,,,,,,,,35,,
CEFTIBUTEN (CEDAX),J01DD14,ATC,2,,,,,,,,,,36,,
Ceftizoxime (Cefizox),J01DD07,ATC, ,,,,,,,,,,37,,
Ceftobiprole medocaril (zeftera),J01DI01 ,ATC,1,,,,,,,,,,38,,
"Ceftriaxona (Rocephin, wintriaxona)",J01DD04 ,ATC,1,1.0,1.0,1.0,,1.0,1.0,1.0,,,39,,
"Cefuroxime (Ceftin, Zinacef)",J01DC02,ATC,1,1.0,,,,,,,,,40,,
"Cefalexina (cefalexina, keflex, daxbia)",J01DB01  ,ATC,2,,,,,,,,,,41,,
"Cefalotina (cefalotina,",J01DB03  ,ATC,2,,,,,,,,,,42,,
"Cefapirina (cefapirina,",J01DB08,ATC,2,,,,,,,,,,43,,
"Cefradina (Cefradina, VeLosef)",J01DB09,ATC,2,,,,,,,,,,44,,
"Cloranfenicol (cloromicetina, viceton)",J01BA01,ATC, ,1.0,,,,,,,,,45,,
Cinoxacina (Cinobac),J01MB06,ATC,2,,,,,,,,,,46,,
"Ciprofloxacina (Cetraxal, Cipro, Ciloxan, Proquin)",J01MA02,ATC,1,,,,,,,,,,47,,
"Claritromicina (biaxina, klacid)",J01FA09,ATC,1,1.0,,,,,,,,,48,,
"Clindamicina (Cleocin, Dalacina)",J01FF01,ATC,1,,,,,,,,,,49,,
"Cloxacilina (tegopen, cloxapen)",J01CF02,ATC, ,,,,,,,,,,50,,
"Colistina (Colistimetato, Coly Mycin M, Colobreathe, Xylistin)",J01XB01,ATC, ,,,,,,,,,,51,,
Cicloserina (seromicina),J04AB01,ATC,2,,,,,,,,,,52,,
"Daptomicina (dapzura, cubicina)",J01XX09 ,ATC, ,,,,,,,,,,53,,
Desmeclociclina (Decomicina),J01AA01,ATC,2,,,,,,,,,,54,,
"Dicloxacilina (Diclocil, Dycill, Dynapen)",J01CF01,ATC,2,,,,,,,,,,55,,
Diritromicina (Dynabac),J01FA13  ,ATC,2,,,,,,,,,,56,,
"Doripenem (Doribax, Finibax)",J01DH04  ,ATC,2,,,,,,,,,,57,,
"Doxiciclina (vibramicina, oracea, monoodoxa)",J01AA02,ATC,1,1.0,1.0,,1.0,,,,1.0,,58,,
Enoxacina,J01MA04,ATC,2,,,,,,,,,,59,,
Erapenem (Invanz),J01DH03,ATC,1,,,,,,,,,,60,,
"Eritromicina (eryc, eritrocina)",J01FA01,ATC,1,1.0,,,,,,,,,61,,
Ethambutol,J04AK02,ATC,,,,,,,,,,,62,,
"Flucloxacilina (floxapen, fluclox)",J01CF05  ,ATC,1,,,,,,,,,,63,,
Fluconazol (diflucan),J02AC01 ,ATC,1,,,,,,,,,,64,,
Fosfomicina (monurol),J01XX01 ,ATC,1,,,,,,,,,,65,,
Ácido fusídico,J01XC01,ATC,,,,,,,,,,,66,,
Gatifloxacina (tequim),J01MA16,ATC, ,,,,,,,,,,67,,
Gemifloxacina (Factiva),J01MA15,ATC,2,,,,,,,,,,68,,
"Gentamicina (Garamicina, Gentak, Genoptic)",J01GB03,ATC,1,,,,,,,,,,69,,
Grepafloxacina,J01MA11,ATC,2,,,,,,,,,,70,,
IMIPENEM/CILASTATINA (Primaxina),J01DH51,ATC,1,,,,,,,,,,71,,
"Isoniazid (Nydrazid, Laniazid)",J04AC01,ATC,1,,,,,,,,,,72,,
Kanamicina (Kantrex),J01GB04 ,ATC, ,,,,,,,,,,73,,
"Levofloxacina (Levaquin, Levxin, Tavanic)",J01MA12,ATC,1,1.0,,,,1.0,1.0,,,,74,,
"Lincomicina (Linobac, Lincomed)",J01FF02,ATC,2,,,,,,,,,,75,,
Linezolid (Zyvox),J01XX08,ATC,1,1.0,,,,,,,,,76,,
Lomefloxacina,J01MA07,ATC,2,,,,,,,,,,77,,
"Meropenem (Merrem, Meronem)",J01DH02 ,ATC,1,1.0,,,,,,,,,78,,
"Methenamine Hipurur (Hiprex, Urex)",J01XX05  ,ATC,2,,,,,,,,,,79,,
"Meticilina (meticilina, estafcilina)",J01CF03,ATC,2,,,,,,,,,,80,,
"Metronidazol (flagyl, likmez)",J01XD01,ATC,1,,,,,,,,,,81,,
"Mezlocilina (Baypen, Melocina, Bezlin, Optocilina)",J01CA10,ATC,2,,,,,,,,,,82,,
"Minociclina (Minocina, Ximino)",J01AA08,ATC,2,,,,,,,,,,83,,
"Moxifloxacina (Avelox, Vigamox)",J01MA14,ATC,1,,,,,,,,,,84,,
Nafcilina,J01CF06,ATC,2,,,,,,,,,,85,,
"Ácido nalidíxico (Neggram, Wintomylon)",J01MB02,ATC,2,,,,,,,,,,86,,
Neomicina (neovet),J01GB05,ATC,2,,,,,,,,,,87,,
Netilmicina (Netromicina),J01GB07,ATC, ,,,,,,,,,,89,,
"Nitrofural (aldomicina, furacina, NFZ)",D08AF01,ATC,2,,,,,,,,,,90,,
"Nitrofurantoína (macrobid, macrodantina)",J01XE01  ,ATC,1,,,,,,,,,,91,,
"Norfloxacina (Trizolin, noroxina)",J01MA06,ATC,2,,,,,,,,,,92,,
Novobiocina (Albadry),90220005,SNOMED,2,,,,,,,,,,93,,
"Ofloxacina (Floxin, Ocuflox)",J01MA01,ATC,2,,,,,,,,,,94,,
Oxacilina (Bactocill),J01CF04,ATC,2,,,,,,,,,,95,,
"Oxitetraciclina (Agrimicina, Noromicina)",J01AA06,ATC,2,,,,,,,,,,96,,
Piperacilina,J01CA12,ATC,,,,,,,,,,,97,,
"Inibidor da piperacilina/beta-lactamase (Piperacilina/Tazobactam, Pip-Taz, Tazocel, Tazocina, Zosyn,",J01CR05 ,ATC,1,1.0,,,,,,,,,98,,
Pivmecilinam (SELEXID),J01CA08 ,ATC,1,,,,,,,,,,100,,
Plazomicina (Zemdri),J01GB14,ATC,,,,,,,,,,,101,,
"Polimxina B (Poly-RX, Polisporina)",J01XB02,ATC, ,,,,,,,,,,102,,
"Procaine Benzilpenicilina (Penicilina G, Bactracilina G, Norocilina)",J01CE09,ATC,,,,,,,,,,,103,,
Pirazinamida,J04AK01,ATC,,,,,,,,,,,104,,
Quinupristin/dalfopristina (sínercida),J01FG02  ,ATC,2,,,,,,,,,,105,,
Retapamulina (Altabax),D06AX13,ATC,2,,,,,,,,,,106,,
"Rifampicina (rifadina, rimacano)",J04AB02  ,ATC,1,,,,,,,,,,107,,
Rifapentina (prefrifin),J04AB05,ATC,2,,,,,,,,,,108,,
Rifaximin (Xifaxan),A07AA11,ATC,1,,,,,,,,,,109,,
"Roxithromicina (Biaxsig, RUNIDE)",J01FA06,ATC,,,,,,,,,,,110,,
Sparfloxacina (Spacin),J01MA09  ,ATC,2,,,,,,,,,,111,,
Espectinomicina (Spectogard),J01XX04,ATC,2,,,,,,,,,,112,,
Estreptomicina,J01GA01,ATC,2,,,,,,,,,,113,,
Sulfadiazina,J01EC02,ATC,2,,,,,,,,,,114,,
Sulfametoxazol (Gantanol),J01EC01,ATC,1,,,,,,,,,,115,,
"Sulfametoxazol/trimetoprim (Bactrim, co-trimoxazol, Septra)",J01EE01  ,ATC,1,1.0,,,,,,,,,116,,
"Sulfisoxazol (sulfafurazol, troxazol)",J01EB05,ATC,2,,,,,,,,,,117,,
Teicoplanina (Targocid),J01XA02,ATC, ,1.0,,,,,,,,,118,,
"Telavancin (televisão, Vibativ)",J01XA03,ATC,2,,,,,,,,,,119,,
Telitromicina (Levviax),J01FA15,ATC,2,,,,,,,,,,120,,
"Tetraciclina (Viabecline, Vetastem)",J01AA07,ATC,2,,,,,,,,,,121,,
Ticarcilina,J01CA13,ATC,2,,,,,,,,,,122,,
Inibidor da ticarcilina/beta-lactamase (ticacilina/clavulanato),J01CR03  ,ATC,2,,,,,,,,,,123,,
Tigeciclina (Tygacil),J01AA12 ,ATC,1,,,,,,,,,,124,,
"Tobramicina (Nebcin, Tobrex, Tobi)",J01GB01,ATC,1,,,,,,,,,,125,,
Trimetoprim (primsol),J01EA01,ATC,1,,,,,,,,,,126,,
Trovafloxacina (Trovan),J01MA13 ,ATC, ,,,,,,,,,,127,,
"Vancomicina (Vancocina, Vancocin HCl, Firvanq)",J01XA01,ATC,1,1.0,,,,,1.0,,,,128,,
Voriconazol (vfend),J02AC03 ,ATC, ,,,,,,,,,,129,,
Xibornol,J01XX02,ATC,,,,,,,,,,,130,,
