Country,Region,Selected,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Alemania,Europa,,,
Ghana,África,,,
Gibraltar,Europa,,,
Grecia,Europa,,,
Tierra Verde,América,,,
Granada,América,,,
Guadeloupo,América,,,
Guam,Oceanía,,,
Guatemala,América,,,
Guernsey y Alderney,Europa,,,
Guinea,África,,,
Guinea-Bissau,África,,,
Guayana,América,,,
Haití,América,,,
Escuché Island y Islas McDonald,,,,
Honduras,América,,,
Hong Kong S.A.R.,Asia,,,
Hungría,Europa,,,
Islandia,Europa,,,
India,Asia,,,
Indonesia,Asia,,,
Irán,Asia,,,
Irak,Asia,,,
Irlanda,Europa,,,
Israel,Asia,,,
Italia,Europa,,,
Jamaica,América,,,
Japón,Asia,,,
Jersey,Europa,,,
Jordán,Asia,,,
Kazajstán,Asia,,,
Kenia,África,,,
Kiribati,Oceanía,,,
Kosovo,Europa,,,
Kuwait,Asia,,,
Kirguistán,Asia,,,
Laos,Asia,,,
Letonia,Europa,,,
Líbano,Asia,,,
Lesoto,África,,,
Liberia,África,,,
Libia,África,,,
Liechtenstein,Europa,,,
Lituania,Europa,,,
Luxemburgo,Europa,,,
Macau S.A.R.,Asia,,,
Madagascar,África,,,
Malawi,África,,,
Malasia,Asia,,,
Maldivas,Asia,,,
Malí,África,,,
Malta,Europa,,,
Hombre (Isla de),Europa,,,
Islas Marshall,Oceanía,,,
Martinica,América,,,
Mauritania,África,,,
Mauricio,África,,,
Mayotte,África,,,
México,América,,,
Micronesia,Oceanía,,,
Moldava,Europa,,,
Mónaco,Europa,,,
Mongolia,Asia,,,
Montenegro,Europa,,,
Montserrat,América,,,
Marruecos,África,,,
Mozambique,África,,,
Myanmar,Asia,,,
Namibia,África,,,
Nauru,Oceanía,,,
Nepal,Asia,,,
Países Bajos,Europa,,,
Nueva Caledonia,Oceanía,,,
Nueva Zelanda,Oceanía,,,
Nicaragua,América,,,
Níger,África,,,
Nigeria,África,,,
Niue,Oceanía,,,
Isla Norfolk,Oceanía,,,
Corea del Norte,Asia,,,
Macedonia del Norte,Europa,,,
Islas Marianas del Norte,Oceanía,,,
Noruega,Europa,,,
Omán,Asia,,,
Pakistán,Asia,,,
Palau,Oceanía,,,
Territorio palestino ocupado,Asia,,,
Panamá,América,,,
Papúa Nueva Guinea,Oceanía,,,
Paraguay,América,,,
Perú,América,,,
Filipinas,Asia,,,
Isla Pitcairn,Oceanía,,,
Polonia,Europa,,,
Portugal,Europa,,,
Puerto Rico,América,,,
Katar,Asia,,,
Reunión,África,,,
Rumania,Europa,,,
Rusia,Europa,,,
Ruanda,África,,,
Santa Helena,África,,,
Saint Kitts y Nevis,América,,,
Santa Lucía,América,,,
Saint Pierre y Miquelon,América,,,
San Vicente y las Granadinas,América,,,
Santa Barthelemy,América,,,
Saint-Martin (parte francesa),América,,,
Samoa,Oceanía,,,
San Marino,Europa,,,
Sao Tome y Principe,África,,,
Arabia Saudita,Asia,,,
Senegal,África,,,
Serbia,Europa,,,
Seychelles,África,,,
Sierra Leona,África,,,
Singapur,Asia,,,
Sint Maarten (parte holandesa),América,,,
Eslovaquia,Europa,,,
Eslovenia,Europa,,,
Islas Salomón,Oceanía,,,
Somalia,África,,,
Sudáfrica,África,,,
Georgia del Sur,América,,,
Corea del Sur,Asia,,,
Sudán del Sur,África,,,
España,Europa,,,
Sri Lanka,Asia,,,
Sudán,África,,,
Surinam,América,,,
Svalbard y Jan Mayen Islands,Europa,,,
Suecia,Europa,,,
Suiza,Europa,,,
Siria,Asia,,,
Taiwán,Asia,,,
Tayikistán,Asia,,,
Tanzania,África,,,
Tailandia,Asia,,,
Las bahamas,América,,,
Timor-Leste,Asia,,,
Ir,África,,,
Tokelau,Oceanía,,,
Tonga,Oceanía,,,
Trinidad y Tobago,América,,,
Túnez,África,,,
Pavo,Asia,,,
Turkmenistán,Asia,,,
Islas Turcas y Caicos,América,,,
Tuvalu,Oceanía,,,
Uganda,África,,,
Ucrania,Europa,,,
Emiratos Árabes Unidos,Asia,,,
Reino Unido,Europa,,,
Estados Unidos,América,,,
Islas menores de los Estados Unidos.,América,,,
Uruguay,América,,,
Uzbekistán,Asia,,,
Vanuatu,Oceanía,,,
Estado de la ciudad del Vaticano (Santa Sede),Europa,,,
Venezuela,América,,,
Vietnam,Asia,,,
Islas Vírgenes (británicas),América,,,
Islas Vírgenes (EE. UU.),América,,,
Islas Wallis y Futuna,Oceanía,,,
Sahara occidental,África,,,
Yemen,Asia,,,
Zambia,África,,,
Zimbabue,África,,,
