Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,needs_manual
adsign_bruise,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Hematomas,"1, Sí | 0, No | 99, Desconocido","Se refiere a la extravasación espontánea de sangre en el espacio subcutáneo, también conocida como equimosis espontánea.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_alopecia,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Alopecia,"1, Sí | 0, No | 99, Desconocido",Se refiere a la ausencia de vello (pérdida de vello sin cicatrices) en áreas donde normalmente está presente.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_dryskin,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Piel seca,"1, Sí | 0, No | 99, Desconocido","Se refiere a la piel caracterizada por la falta de humedad natural o normal como resultado de una hidrolipidación inadecuada en la piel, también llamada xerosis cutis.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_oralulcer,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Úlceras bucales,"1, Sí | 0, No | 99, Desconocido","Se refiere a episodios recurrentes de ulceración de la mucosa oral (aftas orales recurrentes), que suelen presentarse como defectos mucosos dolorosos, bien delimitados y cubiertos de fibrina con un h",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_mastitis,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Mastitis,"1, Sí | 0, No | 99, Desconocido","Se define como una inflamación de la mama, con o sin infección acompañante.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_bacsi,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Superinfección bacteriana,"1, Sí | 0, No | 99, Desconocido",Se define como una infección bacteriana secundaria diagnosticada por un médico que se produce durante una herida o infección existente o inmediatamente después de una infección anterior.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_bacsi_spec,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Especificar la superinfección bacteriana.,"7, Absceso de tejido profundo | 1, Foliculitis/celulitis | 2, Neumonía | 3, Gastroenteritis | 4, SNC | 5, Bacteriemia | 6, Tracto urinario | 88, Otros",Se refiere al tipo o la ubicación de la sobreinfección bacteriana.,Seleccione la opción o opciones más adecuadas que representen el tipo o la ubicación de la sobreinfección bacteriana. ,
adsign_bacsi_oth,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Especificar otras superinfecciones bacterianas,,"Se refiere a otros tipos o ubicaciones de la sobreinfección bacteriana, no especificados anteriormente.","Si es «Otra», escriba el tipo o la ubicación de la sobreinfección bacteriana. ",
adsign_resp,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos respiratorios,,Se refiere a los signos y síntomas relacionados con el sistema respiratorio.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_respdistress,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Dificultad respiratoria,"1, Sí | 0, No | 99, Desconocido",Se refiere a un aumento patológico del esfuerzo y la frecuencia de los movimientos respiratorios.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_chestindrw,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Retracción de la pared torácica inferior,"1, Sí | 0, No | 99, Desconocido","Se define como un signo clínico de dificultad respiratoria, que se distingue por el movimiento anormal hacia dentro de la pared torácica inferior durante la inspiración. Si solo se hunde el tejido blando entre las costillas o por encima de la clavícula cuando el paciente respira, no se trata de una retracción de la pared torácica inferior.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_tachypnoea,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Respiración rápida (taquipnea),"1, Sí | 0, No | 99, Desconocido",Se define como un aumento anormal de la frecuencia respiratoria.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_apnoea,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Apnea,"1, Sí | 0, No | 99, Desconocido",Se define como una ausencia transitoria de respiración espontánea.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_rhinitis,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Rinitis,"1, Sí | 0, No | 99, Desconocido","Se define como la inflamación de la membrana mucosa que recubre la nariz, normalmente asociada a secreción nasal.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_phary,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Faringitis ,"1, Sí | 0, No | 99, Desconocido",Se refiere a la presencia de inflamación de la garganta.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_tonsil,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Amigdalitis,"1, Sí | 0, No | 99, Desconocido",Se refiere a la presencia de inflamación de las amígdalas.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_plueeff,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Derrame pleural,"1, Sí | 0, No | 99, Desconocido",Se refiere a la presencia de líquido en la cavidad pleural como resultado de una transudación o exudación excesiva de las superficies pleurales.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_cvs,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos cardiovasculares,,Se refiere a los signos y síntomas relacionados con el sistema cardiovascular.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_tachycardia,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Frecuencia cardíaca rápida (taquicardia) ,"1, Sí | 0, No | 99, Desconocido","Se refiere a una frecuencia cardíaca anormalmente rápida (normalmente > 100 lpm en adultos), que excede el rango de la frecuencia cardíaca en reposo normal para la edad. ",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_arrhythmia,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Arritmia cardíaca,"1, Sí | 0, No | 99, Desconocido","Se refiere a una anomalía en el ritmo de los latidos del corazón, incluyendo la frecuencia, la regularidad y/o la secuencia de anomalías en la activación.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_git,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos gastrointestinales,,Se refiere a los signos y síntomas relacionados con el sistema gastrointestinal.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_ascites,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Ascitis,"1, Sí | 0, No | 99, Desconocido",Se define como una acumulación o retención excesiva de líquido libre dentro de la cavidad peritoneal.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_hepatomegally,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Hepatomegalia,"1, Sí | 0, No | 99, Desconocido",Se define como un agrandamiento patológico del hígado.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_jaund,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Ictericia,"1, Sí | 0, No | 99, Desconocido","Se define como una manifestación clínica de hiperbilirrubinemia, caracterizada por una coloración amarillenta de la piel, las membranas mucosas y/o la esclerótica. ",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_melaena,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Sangre oscura/alquitranada en las heces (melena),"1, Sí | 0, No | 99, Desconocido","Se refiere a heces anormalmente oscuras y alquitranadas que contienen sangre, generalmente procedente de una hemorragia gastrointestinal.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_haematochezia,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Sangre fresca en las heces (hematochezia),"1, Sí | 0, No | 99, Desconocido",Se refiere a la presencia de sangre en las heces. Es el resultado de una hemorragia gastrointestinal y puede verse fácilmente en las heces o identificarse microscópicamente.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_rectalbleed,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Sangrado rectal,"1, Sí | 0, No | 99, Desconocido",Se refiere al sangrado que se origina en la pared rectal y se expulsa por el ano.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_lowurine,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Disminución de la diuresis,"1, Sí | 0, No | 99, Desconocido",Se refiere a un hallazgo que indica que la producción de orina es inferior a 500 mililitros durante un período de 24 horas.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_heme,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos hematológicos,,Se refiere a los signos y síntomas relacionados con el sistema hematológico.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_anaemia,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Anemia,"1, Sí | 0, No | 99, Desconocido","Se refiere a una reducción en el número de glóbulos rojos, la cantidad de hemoglobina y/o el volumen de glóbulos rojos concentrados. Las manifestaciones comunes incluyen palidez, fatiga, mareos, dificultad para respirar y taquicardia.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_cns,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos neurológicos,,Se refiere a los signos y síntomas relacionados con el sistema neurológico.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_neckstiff,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Rigidez en el cuello,"1, Sí | 0, No | 99, Desconocido","Se define como una sensación de tensión en el cuello al intentar moverlo, especialmente después de un período de inactividad. La rigidez del cuello suele implicar dolor y dificultad para mover el cuello, especialmente al intentar girar la cabeza hacia un lado.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_hemiplegia,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Hemiplejía,"1, Sí | 0, No | 99, Desconocido","Se refiere a la pérdida grave o completa de la función motora en un lado del cuerpo; a menudo causada por enfermedades cerebrales localizadas en el hemisferio cerebral opuesto al lado de la debilidad; con menos frecuencia, lesiones del tronco cerebral; enfermedades de la médula espinal cervical, enfermedades del sistema nervioso periférico y otras afecciones pueden manifestarse como hemiplejía. ",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_cogimpair,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Deterioro cognitivo,"1, Sí | 0, No | 99, Desconocido",Se refiere a la disminución o el deterioro de la función mental y/o intelectual. ,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_neurodist,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Alteración psicológica,"1, Sí | 0, No | 99, Desconocido","Se refiere a la presencia de signos o síntomas que afectan los pensamientos, las emociones, los comportamientos o el bienestar mental de una persona. La presencia de trastornos psicológicos debe identificarse mediante un examen del estado mental (MSE) o una herramienta equivalente.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_speechdist,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Alteración del habla,"1, Sí | 0, No | 99, Desconocido",Se refiere a dificultades con el habla y la comunicación que pueden ser consecuencia de patologías cerebrales.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_agitation,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Agitación,"1, Sí | 0, No | 99, Desconocido",Se refiere a un estado de actividad motora excesiva asociado con angustia mental o una sensación de malestar sustancial o tensión interna. Se distingue de la inquietud por el mayor nivel de angustia emocional y la intensidad negativa de la experiencia. La agitación conlleva un nivel significativo de actividad física que suele ser una amenaza para uno mismo o para los demás.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_cerebesig,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos cerebelosos,"1, Sí | 0, No | 99, Desconocido","Se refiere a la presencia de un conjunto de signos neurológicos que suelen indicar una disfunción cerebelosa. Los signos incluyen disdiadococinesia, dismetría, ataxia, nistagmo, temblor intencional, habla arrastrada o escaneada e hipotonía.",Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_neurologic,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Otra anomalía neurológica,"1, Sí | 0, No | 99, Desconocido",Se refiere a la presencia de una anomalía neurológica alternativa no incluida en la lista anterior.,Indique «Sí» si el paciente ha experimentado esto en algún momento desde el inicio de la enfermedad hasta su presentación. ,
adsign_neurologic_spec,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Especificar otra anomalía neurológica,,Se refiere a la presencia de otra anomalía neurológica no incluida en la lista anterior.,"Si es «Otro», especifique la anomalía neurológica.",
adsign_eye,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Signos oftalmológicos,,Se refiere a los signos y síntomas relacionados con el ojo.,Indique «Sí» si el paciente ha experimentado esto entre las 00:00 y las 24:00 del día de la evaluación.,
adsign_retroorbit,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Dolor retroorbitario,"1, Sí | 0, No | 99, Desconocido",Se define como la experiencia de dolor en la región retroorbital (detrás de los ojos).,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_conjunhemor,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Hemorragia subconjuntival,"1, Sí | 0, No | 99, Desconocido","Se define como la acumulación de sangre debajo de la conjuntiva, que se presenta como una mancha roja brillante u oscura en el ojo.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la consulta. ,
adsign_conjunctiv,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Conjuntivitis,"1, Sí | 0, No | 99, Desconocido",Se define como la inflamación de la conjuntiva.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la presentación. ,
adsign_keratitis,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Queratitis,"1, Sí | 0, No | 99, Desconocido",Se refiere a la inflamación de la córnea del ojo.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la presentación. ,
adsign_newvision,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Nueva reducción de la agudeza visual,"1, Sí | 0, No | 99, Desconocido",Se define como la disminución de la claridad o nitidez de la visión.,Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la presentación. ,
adsign_ocularoth,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Otros signos oftalmológicos,"1, Sí | 0, No | 99, Desconocido","Se refiere a otros signos y síntomas relacionados con el ojo, no especificados anteriormente.",Indique «Sí» si el paciente ha experimentado esto en cualquier momento desde el inicio de la enfermedad hasta la presentación. ,
adsign_ocularoth_spec,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Especificar otros signos oftalmológicos,,"Se refiere a otros signos y síntomas relacionados con el ojo, no especificados anteriormente.","Si «Sí», especifique otros signos y síntomas oftalmológicos. ",
adsign_otherdesc,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Otros signos,,,,
adsign_unlisted,presentación,SÍNTOMAS AL INGRESAR: Indique si se han experimentado en algún momento desde el inicio de la enfermedad hasta el día de la presentación.,Otros signos,"1, Sí | 0, No | 99, Desconocido","Se refiere a otros signos y síntomas, no especificados anteriormente.","Indique otros signos y síntomas, no especificados anteriormente, que el paciente haya experimentado en cualquier momento desde el inicio de la enfermedad hasta la consulta. ",
sign_coldperiph,dairio,SÍNTOMAS: Registre los hallazgos clínicos observados entre las 00:00 y las 24:00 horas del día de la evaluación.,Extremidades frías/húmedas,"1, Sí | 0, No | 99, Desconocido","Se refiere a una piel que se siente fría y húmeda al tacto, a menudo asociada con insuficiencia circulatoria y síntomas como inquietud e hipotensión.",Indique «Sí» si el paciente experimentó esto entre las 00:00 y las 24:00 del día de la evaluación.,
sign_plueeff,dairio,SÍNTOMAS: Registre los hallazgos clínicos observados entre las 00:00 y las 24:00 horas del día de la evaluación.,Derrame pleural,"1, Sí | 0, No | 99, Desconocido",Se refiere a la presencia de líquido en la cavidad pleural como resultado de una transudación o exudación excesiva de las superficies pleurales.,Indique «Sí» si el paciente experimentó esto entre las 00:00 y las 24:00 horas del día de la evaluación.,
sign_agitation,dairio,SÍNTOMAS: Registre los hallazgos clínicos observados entre las 00:00 y las 24:00 horas del día de la evaluación.,Agitación,"1, Sí | 0, No | 99, Desconocido",Se refiere a un estado de actividad motora excesiva asociado con angustia mental o una sensación de malestar sustancial o tensión interna. Se distingue de la inquietud por el aumento del nivel de angustia emocional y la intensidad negativa de la experiencia. La agitación tiene un nivel significativo de actividad física que suele ser una amenaza para uno mismo o para los demás.,,
critd_vasopress_reas,dairio,INTERVENCIONES DE CUIDADOS AVANZADOS: Registre todas las intervenciones de cuidados avanzados realizadas entre las 00:00 y las 24:00 horas del día de la evaluación.,Motivo del uso de vasopresores/inotrópicos,"1, Shock | 2, Hipotensión persistente | 88, Otros | 99, Desconocido","Se refiere al motivo del uso de vasopresores o inotrópicos. El shock se define como una insuficiencia circulatoria con un suministro inadecuado de oxígeno a los tejidos y se evalúa midiendo parámetros hemodinámicos objetivos, como la presión del pulso, la presión arterial sistólica y los signos clínicos de hipoperfusión. Se clasifica a un paciente como en estado de shock si cumple los siguientes marcadores hemodinámicos objetivos: O BIEN presión del pulso <= 20 mmHg o índice de shock (frecuencia cardíaca / PAS) >= 1,0 en adultos y niños > 5 años; O BIEN PAS por debajo de los límites absolutos: adultos PAS < 90 mmHg o PAM < 60; niños < 1 año: PAS <70 mmHg; 1-10 años: PAS < [70 + (2 * edad en años)] mmHg; > 10 años: PAS < 90 mmHg; Y evidencia objetiva de hipoperfusión con al menos uno de los siguientes: CRT periférico > 2 s; diuresis < 0,5 ml/kg/h durante >= 6 horas (si es posible); extremidades frías/húmedas; o agitación o alteración del estado mental. La hipotensión persistente se confirma cuando se requieren bolos de líquido adicionales (>= 10 ml/kg por bolo) o líquidos intravenosos continuos a una velocidad >= 2 veces la velocidad de mantenimiento (los pacientes cuya hipotensión se resuelve después de un solo bolo o aquellos con hipotensión debida a causas no infecciosas [por ejemplo, hemorragia, shock cardiogénico] quedan excluidos de esta definición).",Seleccione la opción o opciones más adecuadas que representen el motivo o motivos del uso de vasopresores/inotrópicos. ,
critd_vasopress_reasoth,dairio,INTERVENCIONES DE CUIDADOS AVANZADOS: Registre todas las intervenciones de cuidados avanzados realizadas entre las 00:00 y las 24:00 horas del día de la evaluación.,Especificar otro motivo del uso de vasopresores/inotrópicos,,Se refiere al motivo del uso de vasopresores o inotrópicos.,"Si selecciona «Otro», especifique el motivo del uso de vasopresores o inotrópicos.",
critd_vasopress_type,dairio,INTERVENCIONES DE CUIDADOS AVANZADOS: Registre todas las intervenciones de cuidados avanzados realizadas entre las 00:00 y las 24:00 horas del día de la evaluación.,Tipo de soporte vasopresor/inotrópico,"1, Dopamina (<5 ug/kg/min)  | 2, Dopamina (5-15 ug/kg/min) | 3, Dopamina (>15 ug/kg/min) | 4, Norepinefrina (noradrenalina) < 0,1 ug/kg/min | 5, Norepinefrina (noradrenalina) > 0,1 ug/kg/min |6, Epinefrina (adrenalina) | 7, Dobutamina | 8, Milrinona  | 9, Levosimendán | 10, Vasopresina|11,Fenilefrina| 12,Terlipresina |13,Angiotensina II",Se refiere al tipo de vasopresores utilizados.,Seleccione la opción o opciones más adecuadas si estos agentes se utilizaron durante al menos una hora entre las 00:00 y las 24:00 horas del día de la evaluación.,
