Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,
presentation,INCLUSION CRITERIA,inclu_consentsec_prod,"Future use of pseudonymised data to manufacture tests, treatments or other products, including commercial products","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised data to manufacture tests, treatments or other products, including commercial products",This is an optional consent question and is not required for completion of the remaining CRF.,
presentation,INCLUSION CRITERIA,inclu_consentsec_gen,"Future use of pseudonymised genetic data in ethically approved research, including research in other countries","1, Yes | 0, No",Refers to consent for future secondary use of pseudonymised genetic data in ethically approved research,This is an optional consent question and is not required for completion of the remaining CRF.,
presentation,INCLUSION CRITERIA,inclu_consentsecsamp,"Secondary use of samples collected, the participant agreed with the following statements:  ",,,,
presentation,INCLUSION CRITERIA,inclu_consentsecsamp_rsch,"Future use of pseudonymised samples in ethically approved research, including research in other countries","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised samples in ethically approved research, including research in other countries",This is an optional consent question and is not required for completion of the remaining CRF.,
presentation,INCLUSION CRITERIA,inclu_consentsecsamp_prod,"Future use of pseudonymised samples or materials or data dervied from those samples to manufacture tests, treatments or other products, including commercial products","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised samples or materials or data dervied from those samples to manufacture tests, treatments or other products, including commercial products",This is an optional consent question and is not required for completion of the remaining CRF.,
presentation,INCLUSION CRITERIA,inclu_consentsecsamp_gen,"Future use of pseudonymised genetic samples in ethically approved research, including research in other countries","1, Yes | 0, No","Refers to consent for future secondary use of pseudonymised genetic samples in ethically approved research, including research in other countries",This is an optional consent question and is not required for completion of the remaining CRF.,
presentation,INCLUSION CRITERIA,inclu_consentcont,Contact  ,,,,
presentation,INCLUSION CRITERIA,inclu_consentcont_nstudy,"To be contacted to participate in future work, including research studies","1, Yes | 0, No","Refers to contact to be contacted to participate in future work, including research studies",This is an optional consent question and is not required for completion of the remaining CRF.,
presentation,ONSET & PRESENTATION,dates_onsetdate,Onset date of first / earliest symptom,,This refers to the date of onset of the first / earliest symptom which is clinically related to the current episode of illness.,Provide the date of the first symptom that you clinically believe was related to this episode of illness in DD/MM/YYYY format.,
presentation,ONSET & PRESENTATION,dates_firstsym,Symptom(s) during first 24 hours of illness (select all that apply),,"This refers to the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.",Select all symptoms which the patient experienced during the first 24 hours of illness (select all that apply).,
presentation,ONSET & PRESENTATION,dates_consultdate,Date of first clinical consultation,,This refers to the date of first clinical consultation related to the current episode of illness.,Provide the date of first clinical consultation related to the current episode of illness in DD/MM/YYYY format.,
presentation,ONSET & PRESENTATION,dates_adm,Admitted to hospital,"1, Yes | 0, No | 99, Unknown",This refers to admission of the patient to your site for the current illness.,"Indicate 'Yes', if that patient was admitted to your site.",
presentation,ONSET & PRESENTATION,dates_adm_reas,Reason for hospitalisation,,This refers to the reason (indication) for hospitalisation.,"If 'Yes', specify the reason (indication) for hospitalisation.",
presentation,ONSET & PRESENTATION,dates_admdate,Date of hospital admission,,This refers to the date of hospitalisation / admission of the patient to your site for the current illness.,Enter the date of hospitalisation / admission to your site (in DD/MM/YYYY format).,
presentation,ONSET & PRESENTATION,dates_admtime,Time of hospital admission,,This refers to admission of the patient to your site for the current illness.,Enter the time of admission to your site in 24-hour format (00:00 - 24:00 hours).,
presentation,ONSET & PRESENTATION,dates_enrolmentdate,Date of enrolment / start of data collection,,This refers to the date of enrolment / start of data collection.,Enter date of patient study enrolment in the format of day/month/year (DD/MM/YYYY).,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevadm,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility and discharged | 2, YES-admitted to other facility and discharged | 3, YES-admitted to another facility, then transferred to this facility | 0, No | 99, Unknown",This refers to previous admission to a health facility or transfer from another health facility during the current episode of illness.,Select the most appropriate option that represents whether or not the patient admitted previously or transferred from any other facility during this illness episode.,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevsite,Name of transfer facility,,This refers to the name of the facility from which the patient was previously admitted or transferred.,Enter the name of the facility from which the patient was previously admitted or transferred.,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevsitedate,Date of presentation at previous facility,,This refers to the date of presentation to the facility at which the patient was previously admitted or transferred.,Enter the date of presentation to the facility at which the patient was previously admitted or transferred.,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_numprev,Total number of previous admissions for this infection,,This refers to the number of times (for this infection) the patient has been admitted to a health facility.,Indicate the number of times (for this infection) the patient has been admitted to a health facility.,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_firstadmdate,Date of earliest admission for this infection,,"This refers to the date of the first admission for this illness. If the patient was first 'admitted to other facility, then transferred to this facility' record the date the patient was admitted to the other health facility.",Write the date in DD/MM/YYYY format.,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_difpin,Has the patient's data been previously collected under a different participant identification number (PIN)? ,"1, Yes | 0, No | 99, Unknown",,Indicate 'Yes' if the patient's data has been previously collected under a different participant identification number (PIN),
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevpin,Previous Participant Identification Number (PIN),,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_reas,Is the patient being re-admitted with or due to infection with pathogen of interest?,"1, Yes | 0, No | 99, Unknown",This refers to re-admission of the patient with or due to infection with pathogen of interest.,Indicate 'Yes' if the patient is being re-admitted with or due to infection with pathogen of interest.,
presentation,DEMOGRAPHICS,demog_sex,Sex at birth,"1, Male | 2, Female | 88, Other | 99, Not specified/Unknown",This refers to the physical sexual characteristics at birth.,Select the most appropriate option that represents the physical sexual characteristics at birth.,
presentation,DEMOGRAPHICS,demog_sex_oth,If other: specify sex at birth,,This refers to the physical sexual characteristics at birth.,"If 'Other', specify the physical sexual characteristics at birth.",
presentation,DEMOGRAPHICS,demog_birthdate,Date of birth,,This refers to the calendar date on which the patient was born.,Record the participants date of birth in DD/MM/YYYY format.,
presentation,DEMOGRAPHICS,demog_gender,Gender,"1, Man | 2, Woman | 3, Transgender | 4, Non-binary | 88, Other | 99, Unknown","This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",Select the most appropriate option that represents the patient's gender identity.,
presentation,DEMOGRAPHICS,demog_gender_oth,If other: specify gender,,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",If 'Other' specify patient's gender identity.,
presentation,DEMOGRAPHICS,demog_age,Age,,This refers to the patient's age.,"For participants over the age of two years, please report age in years. For children under the age of one year, please report in months. For neonates below the age of one month, please report in days.",
presentation,DEMOGRAPHICS,demog_age_units,Age units,"1, Years | 2, Months | 3, Days",This refers to the patient's age at presentation to the health facility.,Select the most appropriate units for age.,
presentation,DEMOGRAPHICS,demog_country,Country,,This refers to the country of enrolment,Indicate the country of enrolment,
presentation,DEMOGRAPHICS,demog_outcountry,Was the patient born outside the reporting country?,"1, Yes | 0, No | 99, Unknown",This refers to birth of the particpant outside the reporting country,Indicate whether the particpant was born outside the reporting country,
presentation,DEMOGRAPHICS,demog_height,Height (select units),,Actual or closest estimate to height at time of admission.,,
presentation,DEMOGRAPHICS,demog_height_cm,Height (cm),,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in centimetres. For children under the age of 2, please use body length (measured while lying supine).","Indicate the patient's height in centimetres (cm). For children under the age of 2, please use length.",
presentation,DEMOGRAPHICS,demog_height_in,Height (in),,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended, measured in inches. For children under the age of 2, please use body length (measured while lying supine).","Indicate the patient's height in inches (in). For children under the age of 2, please use length.",
presentation,DEMOGRAPHICS,demog_weight,Weight (select units),,Actual or closest estimate to weight at time of admission.,,
presentation,DEMOGRAPHICS,demog_weight_kg,Weight (kg),,"This refers to the weight of a subject, expressed in kilograms (kg).",Indicate the patient's weight in kilograms (kg).,
presentation,DEMOGRAPHICS,demog_weight_lb,Weight (lb),,"This refers to the weight of a subject, expressed in pounds (lb).",Indicate the patient's weight in pounds (lb).,
presentation,DEMOGRAPHICS,demog_race,Race (select all that apply),,This refers to a geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,Select all that apply.,
presentation,DEMOGRAPHICS,demog_race_other,If other: specify race,,This refers to a geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,"If 'Other', specify the race.",
presentation,DEMOGRAPHICS,demog_healthcare,Employed as a healthcare worker,"1, Yes | 0, No | 99, Unknown",This refers to a patient that is employed in the healthcare industry. ,Select the most appropriate option.,
presentation,DEMOGRAPHICS,demog_healthcare_ptfacing,Patient facing,"1, Yes | 0, No | 99, Unknown",This refers to a patient that is employed in the healthcare industry delivering care in patient-facing settings (i.e. roles that involve interaction directly with patients). ,Select the most appropriate option.,
presentation,DEMOGRAPHICS,demog_healthcare_expbiosample,Exposed to biological samples,"1, Yes | 0, No | 99, Unknown","This refers to a patient that is employed in the healthcare industry delivering care in non-patient facing settings but are exposed to biological samples (e.g. laboratory staff, medical waste handlers). ",Select the most appropriate option.,
presentation,DEMOGRAPHICS,demog_riskoccupa,Does the patient practise any of these professions or a profession related to their infection,,This refers to the principal activity that a person does to earn a living.,Select all that apply.,
presentation,DEMOGRAPHICS,demog_occupation,Primary location of occupation,"1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business/homes | 3, Indoors-factory | 8, Outdoors-animal contact (vet, animal farmer, abattoir worker) | 4, Outdoors-agriculture/forestry/fisheries | 5, Outdoors-construction/industrial/mining | 6, Armed Forces | 7, Student | 88, Other | 99, Unknown",This refers to the location in which the patient conducts the majority of work related to their current occupation. ,Select the most appropriate option that represents the primary location of occupation.,
presentation,DEMOGRAPHICS,demog_occupation_oth,If other: specify primary location of occupation,,This refers to the location in which the patient conducts the majority of work related to their current occupation. ,"If 'Other', specify the primary location of occupation.",
presentation,DEMOGRAPHICS,demog_residence,Patient's city of residence,"1, Same as health care facility | 2, Different from health care facility | 99, Unknown",This refers to the city which a person dwells more than temporarily or lives permanently. ,"If the patient's city of residence is different to the city in which this healthcare facility is located, Specify the patient's region of residence below.",
presentation,DEMOGRAPHICS,demog_residence_oth,"If different from health case facility, specify the patient's region of residence.",,This refers to the city which a person dwells more than temporarily or lives permanently. ,"If 'Different from health case facility', specify the patient's region of residence.",
presentation,TRAVEL HISTORY,travel_travel14d,Did the patient travel outside of their home region in the past 14 days?,"1, Yes | 0, No | 99, Unknown","This refers to travel to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.","Indicate 'Yes', if the patient travelled to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.",
presentation,TRAVEL HISTORY,travel_loc,specify all city / cities or town(s) and region(s) of travel,,"This refers to all city / cities or town(s) and region(s), which the patient travelled to within 14 days before symptoms relating to the current illness began.","If the patient has travelled away from their usual place of residence within 14 days of symptom onset, enter the location(s) that were visited.",
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_yn,History of contact with suspected or confirmed human case of same pathogen?,"1, Yes | 0, No | 99, Unknown","This refers to the patient having a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).","Indicate 'Yes', if the patient has a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typecomm,Community contact ,"1, Yes | 0, No | 99, Unknown",This refers to the mode of exposure to a suspected or confirmed case. Community contact refers to exposure event outside of healthcare setting. ,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typevert,Vertical transmission,"1, Yes | 0, No | 99, Unknown",This refers to the mode of exposure to a suspected or confirmed case. Vertical transmission refers to transmission from mother-to-child. ,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typehcw,Healthcare worker exposure,"1, Yes | 0, No | 99, Unknown",This refers to the mode of exposure to a suspected or confirmed case. Healthcare worker exposure refers to an exposure event in a healthcare setting.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typesext,Sexual transmission,"1, Yes | 0, No | 99, Unknown",This refers to the mode of exposure to a suspected or confirmed case. Sexual transmission refers to infection propagated by sexual contact.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typefaml,Family / household contacts,"1, Yes | 0, No | 99, Unknown",This refers to the mode of exposure to a suspected or confirmed case. Family / household contact refers to infection transmission from individuals who expect to share living accommodation on most days (and therefore for whom continuing close contact is unavoidable),Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typeschool,Childcare settings/school exposures,"1, Yes | 0, No | 99, Unknown",This refers to the mode of exposure to a suspected or confirmed case occuring within childcare settings or school-related exposures.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typeoth,Other type of human exposure,"1, Yes | 0, No | 99, Unknown",This refers to other mode(s) of exposure to a suspected or confirmed case not specified above.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_typeoth_other,If other: specify type of human exposure,,This refers to other mode(s) of exposure to a suspected or confirmed case not specified above.,"If 'Other', specify the mode of exposure to a suspected or confirmed case.",
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_date,Date of contact with suspected or confirmed case,,"This refers to the date of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",Write the date of contact with suspected or confirmed human case in format DD/MM/YYYY.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_setting,Contact setting,"1, Household | 2, Occupational | 4, Healthcare facility | 88, Other | 99, Unknown",This refers to the environment within which the person may have come into contact with a suspected or confirmed case.,Select the most appropriate option that represents the contact setting with a confirmed or suspected human case.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_setting_oth,If other: specify contact setting,,This refers to the environment within which the person may have come into contact with a suspected or confirmed case.,"If 'Other', specify the contact setting with a confirmed or suspected case.",
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon,"Any contact with animals, animal homes, meats or other animal products in the last 14 days?","1, Yes | 0, No | 99, Unknown","This refers to contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.","Indicate 'Yes' if the patient was in contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.",
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_date,Date of contact with suspected or confirmed animal source,,"This refers to the date of contact with animals, animal homes, meats or other animal products which occurred in the last 14 days.","Write the date of contact with animals, animal homes, meats or other animal products which occurred in the last 14 days, in format DD/MM/YYYY.",
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_livestock,Contact with livestock,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_livestockyn,Contact with livestock,"1, Yes | 0, No | 99, Unknown","This refers to contact with live bird (e.g. chickens, turkeys, ducks) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_livestockbird,"Contact with poultry or other birds(e.g. chickens, turkeys, ducks, exotic birds)","1, Yes | 0, No | 99, Unknown","This refers to contact with live bird (e.g. chickens, turkeys, ducks) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_livestockcow,Contact with dairy cows and/or milking equipment,"1, Yes | 0, No | 99, Unknown",This refers to contact with dairy cows and/or milking equipment which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_livestockothercow,Contact with cattle other than dairy cows ,"1, Yes | 0, No | 99, Unknown",This refers to contact with cattle other than dairy cows which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_livestockpig,Contact with pigs,"1, Yes | 0, No | 99, Unknown",This refers to contact with pigs which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_livestocktype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 88, Other | 99, Unknown","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question). ",Select all the type(s) of animal contact which occurred in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_nhprim,Contact with non-human primates,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_nhprimyn,Contact with non-human primates,"1, Yes | 0, No | 99, Unknown","This refers to contact with non-human primates (a group of mammals composed of simians  monkeys and apes  and prosimians, such as lemurs) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_nhprimmonkeys,Contact with monkeys,"1, Yes | 0, No | 99, Unknown",This refers to contact with monkeys which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_nhprimapes,Contact with apes,"1, Yes | 0, No | 99, Unknown",This refers to contact with apes which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_nhprimtype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 88, Other | 99, Unknown","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question). ",Select all the type(s) of animal contact which occurred in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rodent,Contact with rodents,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rodentyn,Contact with rodents,"1, Yes | 0, No | 99, Unknown","This refers to contact with rodents (e.g. rats, mice, squirrels) which occurred in the last 14 days.",Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rodentrat,Contact with rats,"1, Yes | 0, No | 99, Unknown",This refers to contact with rats which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rodentmice,Contact with mice,"1, Yes | 0, No | 99, Unknown",This refers to contact with mice which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rodentsquirrel,Contact with squirrels,"1, Yes | 0, No | 99, Unknown",This refers to contact with squirrels which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_rodenttype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 88, Other | 99, Unknown","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question). ",Select all the type(s) of animal contact which occurred in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_pets,Contact with pets,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_petsyn,Contact with pets,"1, Yes | 0, No | 99, Unknown",This refers to contact with household pets (excluding rodents) which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_petscats,Contact with cats,"1, Yes | 0, No | 99, Unknown",This refers to contact with cats which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_petsdogs,Contact with dogs,"1, Yes | 0, No | 99, Unknown",This refers to contact with dogs which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_petstype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 88, Other | 99, Unknown","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question). ",Select all the type(s) of animal contact which occurred in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_wildlife,Contact with wildlife,,,,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_wildlifeyn,Contact with wildlife,"1, Yes | 0, No | 99, Unknown",This refers to contact with animals considered to be wild or feral or not adapted for domestic use which occurred in the last 14 days. ,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_wildelifebat,Contact with bats,"1, Yes | 0, No | 99, Unknown",This refers to contact with bats which occurred in the last 14 days.,Indicate 'Yes' if the patient experienced this in the last 14 days.,
presentation,EXPOSURE HISTORY IN PREVIOUS 14 DAYS,expo14_animalcon_wildlifetype,Specify type of contact,"1, Hunting | 2, Preparing | 3, Handling | 4, Consumption (unprocessed / undercooked / raw) | 5, Trading | 6, Animal faeces or nests | 7, Sick or dead animal | 88, Other | 99, Unknown","This refers to the type(s) of animal contact which occurred in the last 14 days. Hunting includes findings or killing animal(s) for food or sport. Preparing incudes skinning, dressing or butchering animal(s) for consumption. Handling includes touching, petting or sharing living area with animal(s). Consumption includes ingesting unprocessed, undercooked or raw animal part(s). Trading includes animal contact from selling, buying or exchanging animal(s). Animal faeces or nests includes contact with faeces, nests or homes of animal(s). Sick or dead animals refers to contact with a sick or dead animal but not participation in animal surgery or nercopsy (seperate question). ",Select all the type(s) of animal contact which occurred in the last 14 days.,
