Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline
readm_difpin,presentación,REINGRESO Y PIN ANTERIOR,¿Se han recopilado anteriormente los datos del paciente con un número de identificación de participante (PIN) diferente?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la recopilación previa de los datos del paciente con un número de identificación de participante (PIN) diferente.,Indique «Sí» si los datos del paciente se han recopilado anteriormente con un número de identificación de participante (PIN) diferente.
readm_prevpin,presentación,REINGRESO Y PIN ANTERIOR,Número de identificación de participante anterior (PIN),,El número de identificación de participante o PIN es un número único que se utiliza para identificar los datos del paciente (participante).,Escriba el número de identificación de participante (PIN).
readm_reas,presentación,REINGRESO Y PIN ANTERIOR,¿El paciente ha sido readmitido con o debido a una infección por el patógeno de interés?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la readmisión del paciente con o debido a una infección por el patógeno de interés.,Indique «Sí» si el paciente está siendo readmitido con o debido a una infección por el patógeno de interés.
demog_sex,presentación,DATOS DEMOGRÁFICOS,Sexo al nacer,"1, Hombre | 2, Mujer | 99, No especificado/Desconocido | 88, Otro",Se refiere a las características sexuales físicas al nacer.,Seleccione la opción más adecuada que represente las características físicas sexuales al nacer.
demog_sex_oth,presentación,DATOS DEMOGRÁFICOS,Especificar otro sexo al nacer,,Se refiere a las características sexuales físicas al nacer.,"Si «Otro», especifique las características físicas sexuales al nacer."
demog_gender,presentación,DATOS DEMOGRÁFICOS,Género,"1, Hombre | 2, Mujer | 3, No binario | 99, Desconocido | 88, Otro","Se refiere al sentido interno que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo. ",Seleccione la opción más adecuada que represente la identidad de género del paciente.
demog_gender_oth,presentación,DATOS DEMOGRÁFICOS,Especificar otro género,,"Se refiere a la percepción interna que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo.","Si «Otro», especifique la identidad de género del paciente."
demog_birthknow,presentación,DATOS DEMOGRÁFICOS,¿Se conoce la fecha de nacimiento?,"1, Sí | 0, No",Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.
demog_birthdate,presentación,DATOS DEMOGRÁFICOS,Fecha de nacimiento,,Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.
demog_calcage,presentación,DATOS DEMOGRÁFICOS,Edad calculada.,"datediff([demog_birthdate], [pres_date], «y»)",Se refiere a la edad del paciente.,"La edad se calcula, si se conoce la fecha de nacimiento, como la diferencia entre la fecha de nacimiento y la fecha más reciente de presentación o ingreso en el centro."
demog_age,presentación,DATOS DEMOGRÁFICOS,Edad,,Se refiere a la edad del paciente.,"Para los participantes mayores de dos años, indique la edad en años. Para los niños menores de un año, indique la edad en meses. Para los recién nacidos menores de un mes, indique la edad en días."
demog_age_units,presentación,DATOS DEMOGRÁFICOS,Unidad de edad,"1, Años | 2, Meses | 3, Días",Se refiere a la edad del paciente en el momento de su presentación en el centro de salud.,Seleccione las unidades más adecuadas para la edad.
demog_country,presentación,DATOS DEMOGRÁFICOS,País,,Se refiere al país de inscripción.,Indique el país de inscripción.
demog_outcountry,presentación,DATOS DEMOGRÁFICOS,¿El paciente nació fuera del país que presenta el informe?,"1, Sí | 0, No | 99, Desconocido",Se refiere al nacimiento del participante fuera del país que presenta el informe.,Indique si el participante nació fuera del país que presenta el informe.
demog_height,presentación,DATOS DEMOGRÁFICOS,Altura (seleccione las unidades),,Altura real o estimación más cercana a la altura en el momento de la admisión.,
demog_height_cm,presentación,DATOS DEMOGRÁFICOS,Altura (cm),,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en centímetros. Para los niños menores de 2 años, utilice la longitud del cuerpo (medida en posición supina).","Indique la altura del paciente en centímetros (cm). Para niños menores de 2 años, utilice la longitud."
demog_height_in,presentación,DATOS DEMOGRÁFICOS,Altura (pulgadas),,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en pulgadas. Para los niños menores de 2 años, utilice la longitud corporal (medida en posición supina).","Indique la altura del paciente en pulgadas (in). Para niños menores de 2 años, utilice la longitud."
demog_weight,presentación,DATOS DEMOGRÁFICOS,Peso (seleccione las unidades),,Peso real o estimación más cercana al peso en el momento del ingreso.,
demog_weight_kg,presentación,DATOS DEMOGRÁFICOS,Peso (kg),,"Se refiere al peso de un sujeto, expresado en kilogramos (kg).",Indique el peso del paciente en kilogramos (kg).
demog_weight_lb,presentación,DATOS DEMOGRÁFICOS,Peso (lb),,"Se refiere al peso de un sujeto, expresado en libras (lb).",Indique el peso del paciente en libras (lb).
demog_race,presentación,DATOS DEMOGRÁFICOS,Raza (seleccione todas las que correspondan),,Se refiere a una categoría de origen geográfico ancestral que se asigna a un grupo de población basándose principalmente en características físicas que se consideran distintivas e inherentes.,Seleccione todas las opciones que correspondan.
demog_healthcare,presentación,DATOS DEMOGRÁFICOS,Trabaja en el sector salud,"1, Sí | 0, No | 99, Desconocido",Se refiere a un paciente que trabaja en el sector sanitario.,Seleccione la opción más adecuada.
demog_healthcare_ptfacing,presentación,DATOS DEMOGRÁFICOS,Tiene contacto directo con pacientes,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos de atención al paciente (es decir, funciones que implican la interacción directa con los pacientes). ",Seleccione la opción más adecuada.
demog_healthcare_expbiosample,presentación,DATOS DEMOGRÁFICOS,Expuesto a muestras biológicas,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos que no están en contacto con pacientes, pero que está expuesto a muestras biológicas (por ejemplo, personal de laboratorio, manipuladores de residuos médicos).",Seleccione la opción más adecuada.
demog_riskoccupa,presentación,DATOS DEMOGRÁFICOS,¿El paciente ejerce alguna de estas profesiones o una profesión relacionada con su infección?,,Se refiere a la actividad principal que realiza una persona para ganarse la vida.,Seleccione todas las opciones que correspondan.
demog_occupation,presentación,DATOS DEMOGRÁFICOS,Lugar principal de trabajo,"1, Trabajo desde casa o desempleado | 2, Interior: oficina/salud/educación/hostelería/negocios/hogares | 3, Interior: fábrica | 8, Exterior: contacto con animales (veterinario, ganadero, trabajador de matadero) | 4, Al aire libre: agricultura/silvicultura/pesca | 5, Al aire libre: construcción/industria/minería | 6, Fuerzas armadas | 7, Estudiante | 99, Desconocido | 88, Otro",Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual. ,Seleccione la opción más adecuada que represente el lugar principal de trabajo.
demog_occupation_oth,presentación,DATOS DEMOGRÁFICOS,Especifique otro lugar principal de trabajo,,Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual.,"Si es «Otro», especifique el lugar principal de trabajo."
demog_residence,presentación,DATOS DEMOGRÁFICOS,Ciudad de residencia del paciente,"1, Igual que el centro sanitario | 2, Diferente del centro sanitario | 99, Desconocido",Se refiere a la ciudad en la que una persona reside de forma más que temporal o vive de forma permanente.,"Si la ciudad de residencia del paciente es diferente a la ciudad en la que se encuentra este centro sanitario, especifique la región de residencia del paciente a continuación."
demog_residence_oth,presentación,DATOS DEMOGRÁFICOS,"Si es diferente del centro sanitario, especifique la región de residencia del paciente.",,Se refiere a la ciudad en la que una persona reside de forma más que temporal o vive de forma permanente.,"Si es «Diferente al centro sanitario», especifique la región de residencia del paciente."
expo14_travel,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,¿Ha viajado el paciente fuera de su región de residencia en los últimos 14 días?,"1, Sí | 0, No | 99, Desconocido","Se refiere a los viajes a otra ciudad o región, a otra parte del país o al extranjero, a otro país, en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.","Indique «Sí» si el paciente ha viajado a otra ciudad o región, a otra parte del país o al extranjero a otro país en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual."
expo14_travel_loc,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Especifique todas las ciudades o pueblos y regiones de viaje,,Se refiere a todas las ciudades o pueblos y regiones a los que ha viajado el paciente en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.,"Si el paciente ha viajado fuera de su lugar de residencia habitual en los 14 días anteriores al inicio de los síntomas, introduzca los lugares que ha visitado."
expo14_yn,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contacto con casos sospechosos o confirmados del mismo patógeno,"1, Sí | 0, No | 99, Desconocido","Se refiere a que el paciente tiene antecedentes de contacto con cualquier persona que presente síntomas similares o con un caso confirmado, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).","Indique «Sí» si el paciente tiene antecedentes de contacto con cualquier persona que presente síntomas similares o con un caso confirmado, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.)."
expo14_typecomm,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contacto comunitario,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. El contacto comunitario se refiere a la exposición fuera del ámbito sanitario.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.
expo14_typevert,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Transmisión vertical,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La transmisión vertical se refiere a la transmisión de madre a hijo.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.
expo14_typehcw,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Exposición de personal sanitario,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La exposición de los trabajadores sanitarios se refiere a la exposición en un entorno sanitario.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.
expo14_typesext,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Transmisión sexual,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La transmisión sexual se refiere a la infección propagada por contacto sexual.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.
expo14_typefaml,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contactos familiares/domésticos,"1, Sí | 0, No | 99, Desconocido","Se refiere al modo de exposición a un caso sospechoso o confirmado. El contacto familiar/doméstico se refiere a la transmisión de la infección por parte de personas que comparten el mismo lugar de residencia la mayoría de los días (y por lo tanto, con las que es inevitable el contacto cercano continuo).",Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.
expo14_typeschool,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Entornos de cuidado infantil/exposición en la escuela,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado que se produce en entornos de cuidado infantil o en exposiciones relacionadas con la escuela.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.
expo14_typeoth,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Otro tipo de exposición humana,"1, Sí | 0, No | 99, Desconocido",Se refiere a otros modos de exposición a un caso sospechoso o confirmado no especificados anteriormente.,Indique «Sí» si el paciente ha estado expuesto a un caso sospechoso o confirmado en humanos.
expo14_typeoth_spec,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Especifique otro tipo de exposición humana,,Se refiere a otros modos de exposición a un caso sospechoso o confirmado no especificados anteriormente.,"Si «Otro», especifique el modo de exposición a un caso sospechoso o confirmado."
expo14_date,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Fecha de contacto con un caso sospechoso o confirmado,,"Se refiere a la fecha de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).",Escriba la fecha de contacto con el caso sospechoso o confirmado en humanos en formato DD/MM/AAAA.
expo14_setting,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Entorno de contacto,"1, Hogar | 2, Laboral | 4, Centro sanitario | 99, Desconocido | 88, Otros",Se refiere al entorno en el que la persona puede haber entrado en contacto con un caso sospechoso o confirmado.,Seleccione la opción más adecuada que represente el contexto del contacto con un caso confirmado o sospechoso en humanos.
expo14_setting_oth,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Especifique otro entorno de contacto,,Se refiere al entorno en el que la persona puede haber entrado en contacto con un caso sospechoso o confirmado.,"Si «Otro», especifique el contexto del contacto con un caso confirmado o sospechoso."
expo14_ancon,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,"Contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días","1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con animales, hogares de animales, carnes u otros productos animales que haya tenido lugar en los últimos 14 días.","Indique «Sí» si el paciente ha estado en contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días."
expo14_ancon_date,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Fecha de contacto con la fuente animal sospechosa o confirmada,,"Se refiere a la fecha de contacto con animales, hogares de animales, carnes u otros productos animales que haya tenido lugar en los últimos 14 días.","Escriba la fecha del contacto con animales, hogares de animales, carne u otros productos animales en los últimos 14 días, en formato DD/MM/AAAA."
expo14_ancon_lstock,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contacto con animales de producción,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con aves vivas (por ejemplo, pollos, pavos, patos) que haya tenido lugar en los últimos 14 días.",Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
expo14_ancon_lstock_bird,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,"Contacto con aves de corral u otras aves (por ejemplo, pollos, pavos, patos, aves exóticas)","1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con aves vivas (por ejemplo, pollos, pavos, patos) que haya tenido lugar en los últimos 14 días.",Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
expo14_ancon_lstock_cow,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contacto con vacas lecheras y/o equipo de ordeño,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con vacas lecheras y/o equipos de ordeño que haya tenido lugar en los últimos 14 días.,Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
expo14_ancon_lstock_othercow,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contacto con ganado bovino distinto de vacas lecheras,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con ganado bovino distinto de las vacas lecheras en los últimos 14 días.,Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
expo14_ancon_lstock_pig,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contacto con cerdos,"1, Sí | 0, No | 99, Desconocido",Se refiere al contacto con cerdos en los últimos 14 días.,Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
expo14_ancon_lstock_cttype,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Especifique el tipo de contacto,"1, Caza | 2, Preparación | 3, Manipulación | 4, Consumo (sin procesar / poco cocinado / crudo) | 5, Comercio | 6, Heces o nidos de animales | 7, Animal enfermo o muerto | 99, Desconocido | 88, Otros","Se refiere al tipo o tipos de contacto con animales en los últimos 14 días. La caza incluye el hallazgo o la muerte de animales con fines alimentarios o deportivos. La preparación incluye el desollado, el despiece o el sacrificio de animales para el consumo. La manipulación incluye tocar, acariciar o compartir el espacio vital con animales. El consumo incluye la ingestión de partes de animales sin procesar, poco cocinadas o crudas. El comercio incluye el contacto con animales por la venta, compra o intercambio de animales. Las heces o nidos de animales incluyen el contacto con heces, nidos o hogares de animales. Los animales enfermos o muertos se refieren al contacto con un animal enfermo o muerto, pero no a la participación en cirugía o necropsia de animales (pregunta aparte). ",Seleccione todos los tipos de contacto con animales que se hayan producido en los últimos 14 días.
expo14_ancon_nhprim,presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,Contacto con primates no humanos,"1, Sí | 0, No | 99, Desconocido","Se refiere al contacto con primates no humanos (un grupo de mamíferos compuesto por simios  monos y simios  y prosimios, como los lémures) que se ha producido en los últimos 14 días.",Indique «Sí» si el paciente ha experimentado esto en los últimos 14 días.
