Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Hepatite D,83617006.0,SNOMED,virus,,,
Vírus da hepatite E,78475006.0,SNOMED,virus,,,
Herpesvírus,128377001.0,SNOMED,virus,,,
Histoplasma,81951003.0,SNOMED,fungi,,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,
Bocavírus humano,446373002.0,SNOMED,virus,,,
Coronavírus nos humanos,84101006.0,SNOMED,virus,,,
"Herpesvírus humano 1 (HHV1, vírus herpes simplex 1, HSV1)",407451003.0,SNOMED,virus,,,
"Herpesvírus humano 2 (HHV2, vírus herpes simplex 2, HSV2)",407450002.0,SNOMED,virus,,,
"Herpesvírus humano 3 (vírus varicela-zoster, VZV)",19551004.0,SNOMED,virus,,,
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,
"Herpesvírus humano 5 (Citomegalovírus humanobeta5, hCMV)",243579005.0,SNOMED,virus,,,
Herpesvírus humano 6 (vírus Roseola infantum),103528003.0,SNOMED,virus,,,
Vírus da Imunodeficiência Humana (HIV),19030005.0,SNOMED,virus,,,
Vírus da imunodeficiência humana tipo 1 (HIV-1),89293008.0,SNOMED,virus,,,
Vírus da imunodeficiência humana tipo 2 (HIV-2),36115006.0,SNOMED,virus,,,
Metapneumovírus humano (hMPV),416730002.0,SNOMED,virus,,,
Vírus da parainfluenza humana,407498006.0,SNOMED,virus,,,
Vírus da parainfluenza humana 1,407489008.0,SNOMED,virus,,,
Vírus da parainfluenza humana 2,407491000.0,SNOMED,virus,,,
Vírus da parainfluenza humana 3,407493002.0,SNOMED,virus,,,
Vírus da parainfluenza humana 4,89117003.0,SNOMED,virus,,,
Parvovírus humano b19,63603005.0,SNOMED,virus,,,
Vírus sincicial respiratório humano (VSR),6415009.0,SNOMED,virus,,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,,,
Influenza A suptipo H7N7,715346008.0,SNOMED,virus,,,
Vírus da gripe A,407479009.0,SNOMED,virus,,,
Vírus influenza A subtipo H1N1,442352004.0,SNOMED,virus,,,
Vírus influenza A subtipo H5N1,772827006.0,SNOMED,virus,,,
Vírus influenza A subtipo H7N9,609444009.0,SNOMED,virus,,,
Vírus da gripe B,407480007.0,SNOMED,virus,,,
Vírus da gripe,725894000.0,SNOMED,virus,,,
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,
Vírus da encefalite japonesa (JEV),243603004.0,SNOMED,virus,,,
Vírus Junin,26352009.0,SNOMED,virus,,,
Vírus Lassa,85944001.0,SNOMED,virus,,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,
Leishmania brasiliensis,83196002.0,SNOMED,"parasite, protozoa",,,
Complexo Leishmania brasiliensis,7400004.0,SNOMED,"parasite, protozoa",,,
Complexo Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,,
Lictiemia,734206002.0,SNOMED,fungi,,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,
Vírus Lujo,450622000.0,SNOMED,virus,,,
Vírus da coriomeningite linfocítica (LCMV),82518003.0,SNOMED,virus,,,
Vírus Machupo,71489006.0,SNOMED,virus,,,
Madurela,23009007.0,SNOMED,fungi,,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,
Morbilivírus do sarampo,52584002.0,SNOMED,virus,,,
MERS-CoV,697932005.0,SNOMED,virus,,,
Metapneumovírus,407501006.0,SNOMED,virus,,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,
Microsporídios,418382009.0,SNOMED,"parasite, protozoa",,,
Microsporum,11983001.0,SNOMED,fungi,,,
Síndrome respiratória do Oriente Médio Coronavírus,697932005.0,SNOMED,virus,,,
Vírus Mpox,59774002.0,SNOMED,virus,,,
Mucor,49782006.0,SNOMED,fungi,,,
Vírus da caxumba,50384007.0,SNOMED,virus,,,
Necator americano,43905006.0,SNOMED,"parasite, helminth",,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,
Vírus Nipah,115511007.0,SNOMED,virus,,,
Norovírus,407359000.0,SNOMED,virus,,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,
Orthomyxoviridae (vírus da gripe),55014007.0,SNOMED,virus,,,
Vírus do papiloma,243584004.0,SNOMED,virus,,,
Papoviridae,243587006.0,SNOMED,virus,,,
Paracoccidioides,112405000.0,SNOMED,fungi,,,
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,
Paramixovírus,128354001.0,SNOMED,virus,,,
Parvovírus,243587006.0,SNOMED,virus,,,
Penicillium,42993004.0,SNOMED,fungi,,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,
Picornaviridae,407344006.0,SNOMED,virus,,,
Plasmódio,34706006.0,SNOMED,"parasite, protozoa",,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,
Pneumocistose,115987006.0,SNOMED,fungi,,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,
Doenças de príons,20484008.0,SNOMED,Prions,,,
Vírus da raiva,59881000.0,SNOMED,virus,,,
Vírus Sincicial Respiratório (VSR),6415009.0,SNOMED,virus,,,
Retrovírus,77622001.0,SNOMED,virus,,,
Rabdoviridae,407326003.0,SNOMED,virus,,,
Rizomucor,85711000.0,SNOMED,fungi,,,
Rizopo,17683005.0,SNOMED,fungi,,,
Vírus da febre do Vale do Rift,28335002.0,SNOMED,virus,,,
Vírus do Rio Ross,32458000.0,SNOMED,virus,,,
Rotavírus,417542000.0,SNOMED,virus,,,
Vírus da rubéola,5210005.0,SNOMED,virus,,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,,
Sapovírus,407362002.0,SNOMED,virus,,,
SARS-CoV-2,840533007.0,SNOMED,virus,,,
SARS-CoV-2 Beta - B.1.351,,,virus,,,
SARS-CoV-2 Delta - B.1.617.2,,,virus,,,
SARS-CoV-2 Eta - B.1.525,,,virus,,,
SARS-CoV-2 Gama - P.1,,,virus,,,
SARS-CoV-2 Iota - B.1.526,,,virus,,,
SARS-CoV-2 Kappa - B.1.617.1,,,virus,,,
SARS-CoV-2 Ômicron,,,virus,,,
SARS-CoV-2 Omícron - B.1.1.529,,,virus,,,
SARS-CoV-2 Omícron - B.1.1.529.2 BA.2,,,virus,,,
SARS-CoV-2 Omícron - B.1.1.529.5 BA.5,,,virus,,,
SARS-CoV-2 Theta- P.3,,,virus,,,
SARS-CoV-2 Zeta - P.2,,,virus,,,
SARS-CoV-2 Alfa - B.1.1.7,,,virus,No code to differientiate SARS-CoV-2 Varients. Could use generic SARS-CoV-2 and 'Variant' modifier e.g. 840533007 |Severe acute respiratory syndrome coronavirus 2 (organism)|40885006 |Variant (qualifier value)|,,
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),,,
Anticorpo IgG SARS-CoV-2,63001000000000.0,SNOMED,virus (substance),,,
Anticorpo IgG/IgM SARS-CoV-2,840535000.0,SNOMED,virus (substance),,,
Anticorpo IgM SARS-CoV-2,50581000000000.0,SNOMED,virus (substance),,,
Scedosporium,31901009.0,SNOMED,fungi,,,
Esquistossomose,53583001.0,SNOMED,"parasite, helminth",,,
Schistosoma guineensis,,,"parasite, helminth","No Code, new species of schistosoma",,
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,,
Síndrome Respiratória Aguda Grave Coronavírus 2,1240580000000000.0,SNOMED,virus,,,
Coronavírus relacionado à síndrome respiratória aguda grave,415360003.0,SNOMED,virus,,,
Febre grave com síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,,,
Simplexvirus (Gênero),314797000.0,SNOMED,virus,,,
Sporothrix schenckii,32662000.0,SNOMED,fungi,,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,,
Taenia solium,17966003.0,SNOMED,"parasite, helminth",,,
Talaromyces marneffei,71825007.0,SNOMED,fungi,,,
Togoviridae,129231002.0,SNOMED,virus,,,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,
Trichinella espiralis,16439004.0,SNOMED,"parasite, helminth",,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",,,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",,,
Tricófito,88578003.0,SNOMED,fungi,,,
Trichosporon asahii,243475001.0,SNOMED,fungi,,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",,,
Trypanosoma,40740003.0,SNOMED,"parasite, protozoa",,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",,,
Vírus do Nilo Ocidental,57311007.0,SNOMED,virus,,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",,,
Levedura,62093005.0,SNOMED,fungi,,,
Vírus Zika,50471002.0,SNOMED,virus,,,
