Country,Region,Income group,Code,Selected,Value
Jordânia,Latin America & Caribbean,Upper middle income,LCA,,114
Cazaquistão,Europe & Central Asia,High income,LIE,,115
Quênia,South Asia,Lower middle income,LKA,,116
Quiribáti,Sub-Saharan Africa,Lower middle income,LSO,,117
Kosovo,Europe & Central Asia,High income,LTU,,118
Kuwait,Europe & Central Asia,High income,LUX,,119
Quirguistão,Europe & Central Asia,High income,LVA,,120
Laos,East Asia & Pacific,High income,MAC,,121
Letônia,Latin America & Caribbean,High income,MAF,,122
Líbano,Middle East & North Africa,Lower middle income,MAR,,123
Lesoto,Europe & Central Asia,High income,MCO,,124
Libéria,Europe & Central Asia,Upper middle income,MDA,,125
Líbia,Sub-Saharan Africa,Low income,MDG,,126
Liechtenstein,South Asia,Upper middle income,MDV,,127
Lituânia,Latin America & Caribbean,Upper middle income,MEX,,128
Luxemburgo,East Asia & Pacific,Upper middle income,MHL,,129
R.E. de Macau,Europe & Central Asia,Upper middle income,MKD,,130
Madagáscar,Sub-Saharan Africa,Low income,MLI,,131
Maláui,Middle East & North Africa,High income,MLT,,132
Malásia,East Asia & Pacific,Lower middle income,MMR,,133
Maldivas,Europe & Central Asia,Upper middle income,MNE,,134
Mali,East Asia & Pacific,Lower middle income,MNG,,135
Malta,East Asia & Pacific,High income,MNP,,136
Homem (Ilha de),Sub-Saharan Africa,Low income,MOZ,,137
Ilhas Marshall,Sub-Saharan Africa,Lower middle income,MRT,,138
Martinica,Sub-Saharan Africa,Upper middle income,MUS,,139
Mauritânia,Sub-Saharan Africa,Low income,MWI,,140
Maurício,East Asia & Pacific,Upper middle income,MYS,,141
Maiote,Sub-Saharan Africa,Upper middle income,NAM,,142
México,East Asia & Pacific,High income,NCL,,143
Micronésia,Sub-Saharan Africa,Low income,NER,,144
Moldávia,Sub-Saharan Africa,Lower middle income,NGA,,145
Mônaco,Latin America & Caribbean,Lower middle income,NIC,,146
Mongólia,Europe & Central Asia,High income,NLD,,147
Montenegro,Europe & Central Asia,High income,NOR,,148
Montserrate,South Asia,Lower middle income,NPL,,149
Marrocos,East Asia & Pacific,High income,NRU,,150
Moçambique,East Asia & Pacific,High income,NZL,,151
Mianmar,Middle East & North Africa,High income,OMN,,152
Namíbia,South Asia,Lower middle income,PAK,,153
Nauru,Latin America & Caribbean,High income,PAN,,154
Nepal,Latin America & Caribbean,Upper middle income,PER,,155
Holanda,East Asia & Pacific,Lower middle income,PHL,,156
Nova Caledônia,East Asia & Pacific,Upper middle income,PLW,,157
Nova Zelândia,East Asia & Pacific,Lower middle income,PNG,,158
Nicarágua,Europe & Central Asia,High income,POL,,159
Níger,Latin America & Caribbean,High income,PRI,,160
Nigéria,East Asia & Pacific,Low income,PRK,,161
Niue,Europe & Central Asia,High income,PRT,,162
Ilha Norfolk,Latin America & Caribbean,Upper middle income,PRY,,163
Coréia do Norte,Middle East & North Africa,Upper middle income,PSE,,164
Macedônia do Norte,East Asia & Pacific,High income,PYF,,165
Ilhas Marianas do Norte,Middle East & North Africa,High income,QAT,,166
Noruega,Europe & Central Asia,High income,ROU,,167
Omã,Europe & Central Asia,Upper middle income,RUS,,168
Paquistão,Sub-Saharan Africa,Low income,RWA,,169
Palau,Middle East & North Africa,High income,SAU,,170
Território Palestino Ocupado,Sub-Saharan Africa,Low income,SDN,,171
Panamá,Sub-Saharan Africa,Lower middle income,SEN,,172
Papua Nova Guiné,East Asia & Pacific,High income,SGP,,173
Paraguai,East Asia & Pacific,Lower middle income,SLB,,174
Peru,Sub-Saharan Africa,Low income,SLE,,175
Filipinas,Latin America & Caribbean,Upper middle income,SLV,,176
Ilha Pitcairn,Europe & Central Asia,High income,SMR,,177
Polônia,Sub-Saharan Africa,Low income,SOM,,178
Portugal,Europe & Central Asia,Upper middle income,SRB,,179
Porto Rico,Sub-Saharan Africa,Low income,SSD,,180
Catar,Sub-Saharan Africa,Lower middle income,STP,,181
Reunião,Latin America & Caribbean,Upper middle income,SUR,,182
Romênia,Europe & Central Asia,High income,SVK,,183
Rússia,Europe & Central Asia,High income,SVN,,184
Ruanda,Europe & Central Asia,High income,SWE,,185
Santa Helena,Sub-Saharan Africa,Lower middle income,SWZ,,186
São Cristóvão e Nevis,Latin America & Caribbean,High income,SXM,,187
Santa Lúcia,Sub-Saharan Africa,High income,SYC,,188
São Pedro e Miquelon,Middle East & North Africa,Low income,SYR,,189
São Vicente e Granadinas,Latin America & Caribbean,High income,TCA,,190
São Bartolomeu,Sub-Saharan Africa,Low income,TCD,,191
Saint-Martin (parte francesa),Sub-Saharan Africa,Low income,TGO,,192
Samoa,East Asia & Pacific,Upper middle income,THA,,193
São Marino,Europe & Central Asia,Lower middle income,TJK,,194
São Tomé e Príncipe,Europe & Central Asia,Upper middle income,TKM,,195
Arábia Saudita,East Asia & Pacific,Lower middle income,TLS,,196
Senegal,East Asia & Pacific,Upper middle income,TON,,197
Sérvia,Latin America & Caribbean,High income,TTO,,198
Seicheles,Middle East & North Africa,Lower middle income,TUN,,199
Serra Leoa,Europe & Central Asia,Upper middle income,TUR,,200
Cingapura,East Asia & Pacific,Upper middle income,TUV,,201
Sint Maarten (parte holandesa),East Asia & Pacific,High income,TWN,,202
Eslováquia,Sub-Saharan Africa,Lower middle income,TZA,,203
Eslovênia,Sub-Saharan Africa,Low income,UGA,,204
Ilhas Salomão,Europe & Central Asia,Lower middle income,UKR,,205
Somália,Latin America & Caribbean,High income,URY,,206
África do Sul,North America,High income,USA,,207
Geórgia do Sul,Europe & Central Asia,Lower middle income,UZB,,208
Coréia do Sul,Latin America & Caribbean,Upper middle income,VCT,,209
Sudão do Sul,Latin America & Caribbean,,VEN,,210
Espanha,Latin America & Caribbean,High income,VGB,,211
Sri Lanka,Latin America & Caribbean,High income,VIR,,212
Sudão,East Asia & Pacific,Lower middle income,VNM,,213
Suriname,East Asia & Pacific,Lower middle income,VUT,,214
Ilhas Svalbard e Jan Mayen,East Asia & Pacific,Lower middle income,WSM,,215
Suécia,Europe & Central Asia,Upper middle income,XKX,,216
Suíça,Middle East & North Africa,Low income,YEM,,217
Síria,Sub-Saharan Africa,Upper middle income,ZAF,,218
Taiwan,Sub-Saharan Africa,Lower middle income,ZMB,,219
Tadjiquistão,Sub-Saharan Africa,Lower middle income,ZWE,,220
