Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Estafilococo áureo,3092008.0,SNOMED,bacteria,,
Estafilococo capitis,40347003.0,SNOMED,bacteria,,
Estafilococo caprae,76969000.0,SNOMED,bacteria,,
Estafilococo cohnii,66872005.0,SNOMED,bacteria,,
Estafilococo epidermidis,60875001.0,SNOMED,bacteria,,
Estafilococo haemolítico,83452006.0,SNOMED,bacteria,,
Estafilococo hominis,44827007.0,SNOMED,bacteria,,
Estafilococo hominis hominis,432505008.0,SNOMED,bacteria,,
Estafilococo lugdunensis,103494005.0,SNOMED,bacteria,,
Estafilococo pettenkoferi,428731005.0,SNOMED,bacteria,,
Estafilococo saprofítico,19743000.0,SNOMED,bacteria,,
Estafilococo simulans,52122005.0,SNOMED,bacteria,,
Estafilococo warneri,63550006.0,SNOMED,bacteria,,
Estenotrophomonas,115656007.0,SNOMED,bacteria,,
Maltophilia de Stenotrophomonas,113697002.0,SNOMED,bacteria,,
Estreptococo,58800005.0,SNOMED,bacteria,,
Streptococcus alfa-hemolítico,60631002.0,SNOMED,bacteria,,
Estreptococo anginosus,44304009.0,SNOMED,bacteria,,
Grupo de Streptococcus anginosus,415597009.0,SNOMED,bacteria,,
Streptococcus beta-hemolítico,53490009.0,SNOMED,bacteria,,
Estreptococo constellatus,76199005.0,SNOMED,bacteria,,
Estreptococo dysgalactiae,40812000.0,SNOMED,bacteria,,
Estreptococo gallolítico,113985000.0,SNOMED,bacteria,,
Estreptococo intermedio,62170002.0,SNOMED,bacteria,,
Estreptococo mitis,57997003.0,SNOMED,bacteria,,
Estreptococo oralis,19870004.0,SNOMED,bacteria,,
Estreptococo parasanguinis,113990002.0,SNOMED,bacteria,,
Neumonía por estreptococo,9861002.0,SNOMED,bacteria,,
Estreptococo pyogenes,80166006.0,SNOMED,bacteria,,
Estreptococo salivarius,39888004.0,SNOMED,bacteria,,
Estreptococo sanguinis,113993000.0,SNOMED,bacteria,,
Estreptococo viridans,31703004.0,SNOMED,bacteria,,
Grupo de Streptococcus viridans,31703004.0,SNOMED,bacteria,,
Enterococcus resistente a la vancomicina (VRE),113727004.0,SNOMED,bacteria,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,,
Yersinia pestis,54365000.0,SNOMED,bacteria,,
