Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Virus de la hepatitis C,62944002.0,SNOMED,virus,,,
Hepatitis D,83617006.0,SNOMED,virus,,,
Virus de la hepatitis E,78475006.0,SNOMED,virus,,,
Virus del herpes,128377001.0,SNOMED,virus,,,
Histoplasma,81951003.0,SNOMED,fungi,,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,
Bocavirus humano,446373002.0,SNOMED,virus,,,
Coronavirus humano,84101006.0,SNOMED,virus,,,
"Virus del herpes humano 1 (HHV1, virus del herpes simple 1, HSV1)",407451003.0,SNOMED,virus,,,
"Virus del herpes humano tipo 2 (HHV2, virus del herpes simple tipo 2, HSV2)",407450002.0,SNOMED,virus,,,
"Virus del herpes humano tipo 3 (virus varicela-zóster, VZV)",19551004.0,SNOMED,virus,,,
"Virus del herpes humano tipo 4 (virus de Epstein-Barr, VEB)",40168006.0,SNOMED,virus,,,
"Virus del herpes humano tipo 5 (citomegalovirus humano beta5, hCMV)",243579005.0,SNOMED,virus,,,
Herpesvirus humano 6 (virus de la roséola infantil),103528003.0,SNOMED,virus,,,
Virus de inmunodeficiencia humana (VIH),19030005.0,SNOMED,virus,,,
Virus de inmunodeficiencia humana tipo 1 (VIH-1),89293008.0,SNOMED,virus,,,
Virus de inmunodeficiencia humana tipo 2 (VIH-2),36115006.0,SNOMED,virus,,,
Metaneumovirus humano (hMPV),416730002.0,SNOMED,virus,,,
Virus parainfluenza humano,407498006.0,SNOMED,virus,,,
Virus parainfluenza humano 1,407489008.0,SNOMED,virus,,,
Virus parainfluenza humano 2,407491000.0,SNOMED,virus,,,
Virus parainfluenza humano 3,407493002.0,SNOMED,virus,,,
Virus de la parainfluenza humana tipo 4,89117003.0,SNOMED,virus,,,
Parvovirus humano b19,63603005.0,SNOMED,virus,,,
Virus respiratorio sincitial humano (VSR),6415009.0,SNOMED,virus,,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,,,
Influenza A suptipo H7N7,715346008.0,SNOMED,virus,,,
Virus de la gripe A,407479009.0,SNOMED,virus,,,
Virus de la influenza A subtipo H1N1,442352004.0,SNOMED,virus,,,
Virus de la influenza A subtipo H5N1,772827006.0,SNOMED,virus,,,
Virus de la influenza A subtipo H7N9,609444009.0,SNOMED,virus,,,
Virus de la influenza B,407480007.0,SNOMED,virus,,,
Virus de la gripe,725894000.0,SNOMED,virus,,,
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,
Virus de la encefalitis japonesa (VEJ),243603004.0,SNOMED,virus,,,
Virus Junín,26352009.0,SNOMED,virus,,,
Virus de Lassa,85944001.0,SNOMED,virus,,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,
Leishmania brasileña,83196002.0,SNOMED,"parasite, protozoa",,,
Complejo Leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",,,
Complejo Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",,,
Leishmania viannia,712933004.0,SNOMED,"parasite, protozoa",,,
Lictiemia,734206002.0,SNOMED,fungi,,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,
Virus de lujo,450622000.0,SNOMED,virus,,,
Virus de la coriomeningitis linfocítica (LCMV),82518003.0,SNOMED,virus,,,
Virus Machupo,71489006.0,SNOMED,virus,,,
Madurella,23009007.0,SNOMED,fungi,,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,
Morbilivirus del sarampión,52584002.0,SNOMED,virus,,,
MERS-CoV,697932005.0,SNOMED,virus,,,
Metaneumovirus,407501006.0,SNOMED,virus,,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,
Microsporidios,418382009.0,SNOMED,"parasite, protozoa",,,
Microsporum,11983001.0,SNOMED,fungi,,,
Síndrome respiratorio por coronavirus en Oriente Medio,697932005.0,SNOMED,virus,,,
Virus Mpox,59774002.0,SNOMED,virus,,,
Mucor,49782006.0,SNOMED,fungi,,,
Virus de las paperas,50384007.0,SNOMED,virus,,,
Necator americano,43905006.0,SNOMED,"parasite, helminth",,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,
Virus Nipah,115511007.0,SNOMED,virus,,,
Norovirus,407359000.0,SNOMED,virus,,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,
Orthomyxoviridae (virus de la gripe),55014007.0,SNOMED,virus,,,
Virus del papiloma,243584004.0,SNOMED,virus,,,
Papovirus,243587006.0,SNOMED,virus,,,
Paracoccidioides,112405000.0,SNOMED,fungi,,,
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,
Paramixovirus,128354001.0,SNOMED,virus,,,
Parvovirus,243587006.0,SNOMED,virus,,,
Penicillium,42993004.0,SNOMED,fungi,,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,
Picornaviridae,407344006.0,SNOMED,virus,,,
Plasmodio,34706006.0,SNOMED,"parasite, protozoa",,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,
Pneumocystis,115987006.0,SNOMED,fungi,,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,
Enfermedades priónicas,20484008.0,SNOMED,Prions,,,
Virus de la rabia,59881000.0,SNOMED,virus,,,
Virus respiratorio sincitial (VSR),6415009.0,SNOMED,virus,,,
Retrovirus,77622001.0,SNOMED,virus,,,
Rabdovirus,407326003.0,SNOMED,virus,,,
Rizomucor,85711000.0,SNOMED,fungi,,,
Rizopus,17683005.0,SNOMED,fungi,,,
Virus de la fiebre del Valle del Rift,28335002.0,SNOMED,virus,,,
Virus del río Ross,32458000.0,SNOMED,virus,,,
Rotavirus,417542000.0,SNOMED,virus,,,
Virus de la rubéola,5210005.0,SNOMED,virus,,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,,
Sapovirus,407362002.0,SNOMED,virus,,,
SARS-CoV-2,840533007.0,SNOMED,virus,,,
SARS-CoV-2 Beta-B.1.351,,,virus,,,
Variante del SARS-CoV-2: B.1.617.2,,,virus,,,
SARS-CoV-2 Eta-B.1.525,,,virus,,,
SARS-CoV-2 Gamma - P.1,,,virus,,,
SARS-CoV-2 Iota-B.1.526,,,virus,,,
SARS-CoV-2 Kappa-B.1.617.1,,,virus,,,
Ómicrón del SARS-CoV-2,,,virus,,,
Omicrón SARS-CoV-2 - B.1.1.529,,,virus,,,
SARS-CoV-2 Omicron - B.1.1.529.2 BA.2,,,virus,,,
SARS-CoV-2 Omicron - B.1.1.529.5 BA.5,,,virus,,,
SARS-CoV-2 Theta-P.3,,,virus,,,
SARS-CoV-2 Zeta - Pág. 2,,,virus,,,
SARS-CoV-2 Alfa - B.1.1.7,,,virus,No code to differientiate SARS-CoV-2 Varients. Could use generic SARS-CoV-2 and 'Variant' modifier e.g. 840533007 |Severe acute respiratory syndrome coronavirus 2 (organism)|40885006 |Variant (qualifier value)|,,
Antígeno del SARS-CoV-2,840536004.0,SNOMED,virus (substance),,,
Anticuerpo IgG contra el SARS-CoV-2,63001000000000.0,SNOMED,virus (substance),,,
Anticuerpo IgG/IgM del SARS-CoV-2,840535000.0,SNOMED,virus (substance),,,
Anticuerpo IgM del SARS-CoV-2,50581000000000.0,SNOMED,virus (substance),,,
Escedosporium,31901009.0,SNOMED,fungi,,,
esquistosoma,53583001.0,SNOMED,"parasite, helminth",,,
Schistosoma guineensis,,,"parasite, helminth","No Code, new species of schistosoma",,
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,
Esquistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,,
Síndrome respiratorio agudo severo por coronavirus 2,1240580000000000.0,SNOMED,virus,,,
Coronavirus relacionado con el síndrome respiratorio agudo severo,415360003.0,SNOMED,virus,,,
Síndrome de fiebre intensa con trombocitopenia (SFTS),722401001.0,SNOMED,virus,,,
Virus simplex (género),314797000.0,SNOMED,virus,,,
Sporothrix schenckii,32662000.0,SNOMED,fungi,,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,,
Taenia solium,17966003.0,SNOMED,"parasite, helminth",,,
Talaromyces marneffei,71825007.0,SNOMED,fungi,,,
Togovirus,129231002.0,SNOMED,virus,,,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",,,
Tricomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",,,
Tricófito,88578003.0,SNOMED,fungi,,,
Trichosporon asahii,243475001.0,SNOMED,fungi,,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",,,
Tripanosoma,40740003.0,SNOMED,"parasite, protozoa",,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",,,
Virus del Nilo Occidental,57311007.0,SNOMED,virus,,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",,,
Levadura,62093005.0,SNOMED,fungi,,,
Virus del Zika,50471002.0,SNOMED,virus,,,
