Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,,,,,,59,,
Citrobacter freundii,6265002.0,SNOMED,bacteria,,,,,,,,,,60,,
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,,,,,,61,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,,,,,,62,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,,,,,,63,,
Clostridium botulinum,13080008.0,SNOMED,bacteria,,,,,,,,,,64,,
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,,,,,,65,,
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,,,,,,,,,66,,
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,,,,,,67,,
Staphylococcus de coagulasa,116197008.0,SNOMED,bacteria,,,,,,,,,,68,,
Coccidioides,8672004.0,SNOMED,fungi,,,,,,,,,,69,,
Coccidioides inmites,23439005.0,SNOMED,fungi,,,,,,,,,,70,,
Bacteria coliforme,77309002.0,SNOMED,bacteria,,,,,,,,,,71,,
Coronaviridae (familia),243607003.0,SNOMED,virus,,,,,,,,,,72,,
Corynebacterium,77086004.0,SNOMED,bacteria,,,,,,,,,,73,,
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,,,,,,,,,74,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,,,,,,75,,
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,,,,,,,,,76,,
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,,,,,,,,,77,,
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,,,,,,,,,78,,
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,,,,,,,,,,79,,
Virus de fiebre hemorrágica de Crimea-Congo (CCHF),79875007.0,SNOMED,virus,,1.0,,,,,,,,80,,
Cryptococcus,17579001.0,SNOMED,bacteria,,,,,,,,,,81,,
Cryptococcus gattii,450862004.0,SNOMED,fungi,,,,,,,,,,82,,
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,,,,,,,,,,83,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,,,,,,,,84,,
Criptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,,,,,,,,85,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,,,,,,86,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,,,,,,87,,
Curvularia lunata,33165007.0,SNOMED,fungi,,,,,,,,,,89,,
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,,,,,,90,,
Ciclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,,,,,,,,91,,
Citomegalovirus,407444007.0,SNOMED,virus,,,,,,,,,,92,,
Delftia,416493002.0,SNOMED,bacteria,,,,,,,,,,93,,
Delftia Acidovorans,20432002.0,SNOMED,bacteria,,,,,,,,,,94,,
Deltavirus,83617006.0,SNOMED,virus,,,,,,,,,,95,,
Virus del dengue,34348001.0,SNOMED,virus,,,,,,,,,,96,,
Dermabacter,413976002.0,SNOMED,bacteria,,,,,,,,,,97,,
Diferoide,54642001.0,SNOMED,bacteria,,,,,,,,,,98,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,,,,,,,,100,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,,,,,,,,101,,
Virus del ébola,424206003.0,SNOMED,virus,,1.0,,,,,,,,102,,
Equinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,,,,,,,,103,,
Eggerthella,414075007.0,SNOMED,bacteria,,,,,,,,,,104,,
Elizabethkingia,426244005.0,SNOMED,bacteria,,,,,,,,,,105,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,,,,,,,,106,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,,,,,,,,107,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,,,,,,,,108,,
Bacterias entéricas,106544002.0,SNOMED,bacteria,,,,,,,,,,109,,
Enterobacterista,58683007.0,SNOMED,bacteria,,,,,,,,,,110,,
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,,,,,,,,,,111,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,,,,,,,,,112,,
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,,,,,,,,,,113,,
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,,,,,,,,,114,,
Complejo Enterobacter cloacae,414102007.0,SNOMED,bacteria,,,,,,,,,,115,,
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,,,,,,,,,,116,,
Enterobacter kobei,114456008.0,SNOMED,bacteria,,,,,,,,,,117,,
Enterobacteriaceae,106544002.0,SNOMED,bacteria,,,,,,,,,,118,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,,,,,,,,119,,
Enterococo,2785000.0,SNOMED,bacteria,,,,,,,,,,120,,
Enterococcus avium,87875008.0,SNOMED,bacteria,,,,,,,,,,121,,
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,,,,,,,,,122,,
Enterococcus faecium,90272000.0,SNOMED,bacteria,,,,,,,,,,123,,
Enterococcus rffinosus,103437000.0,SNOMED,bacteria,,,,,,,,,,124,,
Enterovirus (Enterovirus de género),243633006.0,SNOMED,virus,,,,,,,,,,125,,
Epidermophyton,112403007.0,SNOMED,fungi,,,,,,,,,,126,,
Escherichia,64735005.0,SNOMED,bacteria,,,,,,,,,,127,,
Escherichia coli,112283007.0,SNOMED,bacteria,,,,,,,,,,128,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,,,,,,,,129,,
FalciformiSpora senegalensis (anteriormente Leptosfaeria senegalensis),48529007.0,SNOMED,fungi,,,,,,,,,,130,,
Filoviridae (familia),407325004.0,SNOMED,virus,,,,,,,,,,131,,
Flaviviridae (familia),243602009.0,SNOMED,virus,,,,,,,,,,132,,
Francisella tularensis,51526001.0,SNOMED,bacteria,,,,,,,,,,133,,
Hongos,414561005.0,SNOMED,fungi,,,,,,,,,,134,,
Fusario,35238009.0,SNOMED,fungi,,,,,,,,,,135,,
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,,,,,,,,,136,,
Género Marburgvirus,424421007.0,SNOMED,virus,,1.0,,,,,,,,137,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,,,,,,,,138,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,139,,
Giardia Lamblia,78181009.0,SNOMED,"parasite, protozoa",,,,,,,,,,140,,
Bacilo gramnegativo,87172008.0,SNOMED,bacteria,,,,,,,,,,141,,
Bacilo gram-positivo,83514008.0,SNOMED,bacteria,,,,,,,,,,142,,
Coccus gram-positivo,59206002.0,SNOMED,bacteria,,,,,,,,,,143,,
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,,,,,,,,,144,,
Haemophilus,71268004.0,SNOMED,bacteria,,,,,,,,,,145,,
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,,,,,,,,,146,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,,,,,,,,,147,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,,,,,,,,,148,,
Hafnia Alvei,76694001.0,SNOMED,bacteria,,,,,,,,,,149,,
Hantavirus,49445003.0,SNOMED,virus,,1.0,,,,,,,,150,,
Helicobacter pylori,80774000.0,SNOMED,bacteria,,,,,,,,,,151,,
Virus Hendra,115510008.0,SNOMED,virus,,,,,,,,,,152,,
Hepadnaviridae,422951006.0,SNOMED,virus,,,,,,,,,,153,,
Virus de hepatitis A,32452004.0,SNOMED,virus,,,,,,,,,,154,,
virus de la hepatitis B,81665004.0,SNOMED,virus,,,,,,,1.0,,,155,,
Virus de la hepatitis C,62944002.0,SNOMED,virus,,,,,,,1.0,,,156,,
Hepatitis D,83617006.0,SNOMED,virus,,,,,,,,,,157,,
Virus de la hepatitis E,78475006.0,SNOMED,virus,,,,,,,,,,158,,
Herpesviridae,128377001.0,SNOMED,virus,,,,,,,,,,159,,
Histoplasma,81951003.0,SNOMED,fungi,,,,,,,,,,160,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,,,,,,,,161,,
"Herpesvirus 1 humano (HHV1, Herpes Simplex Virus 1, HSV1)",407451003.0,SNOMED,virus,,,,,,,,,,162,,
"Herpesvirus 2 humano (HHV2, Herpes Simplex Virus 2, HSV2)",407450002.0,SNOMED,virus,,,,,,,,,,163,,
"Herpesvirus 3 humano (Varicella-Zoster Virus, VZV)",19551004.0,SNOMED,virus,,,,1.0,,,1.0,,,164,,
"Herpesvirus 4 humano (Virus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,,,,,,,,165,,
"Herpesvirus 5 humano (Cytomegalovirus HumanBeta5, HCMV)",243579005.0,SNOMED,virus,,,,,,,,,,166,,
Herpesvirus 6 humano (Virus de Roseola Infantum),103528003.0,SNOMED,virus,,,,,,,,,,167,,
Virus de inmunodeficiencia humana (VIH),19030005.0,SNOMED,virus,,,,,,,1.0,,,168,,
Virus de inmunodeficiencia humana tipo 1 (VIH-1),89293008.0,SNOMED,virus,,,,,,,,,,169,,
Virus de inmunodeficiencia humana tipo 2 (VIH-2),36115006.0,SNOMED,virus,,,,,,,,,,170,,
Metapneumovirus humano (HMPV),416730002.0,SNOMED,virus,,,,,,,,,,171,,
Virus de parainfluenza humano,407498006.0,SNOMED,virus,,,,,,,,,,172,,
Virus de parainfluenza 1,407489008.0,SNOMED,virus,,,,,,,,,,173,,
Virus de parainfluenza de paraainza humano 2,407491000.0,SNOMED,virus,,,,,,,,,,174,,
Virus para parainfluenza 3,407493002.0,SNOMED,virus,,,,,,,,,,175,,
Virus de paraainfluenza humano 4,89117003.0,SNOMED,virus,,,,,,,,,,176,,
Parvovirus humano B19,63603005.0,SNOMED,virus,,,,,,,,,,177,,
Virus sincitial respiratorio humano (RSV),6415009.0,SNOMED,virus,,,,,,,,,,178,,
Bocavirus humano,446373002.0,SNOMED,virus,,,,,,,,,,179,,
Coronavirus humano,84101006.0,SNOMED,virus,,,,,,,,,,180,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,,,,,,,,181,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,,,,,,,,182,,
Influenza a H1N1,442352004.0,SNOMED,virus,1.0,,,,1.0,,,1.0,,183,,
Influenza a h5n1,772827006.0,SNOMED,virus,1.0,,,,1.0,,,1.0,,184,,
Influenza a h5n8,708527000.0,SNOMED,virus,1.0,,,,1.0,,,1.0,,185,,
Influenza a H7N7,715346008.0,SNOMED,virus,1.0,,,,1.0,,,1.0,,186,,
Influenza a H7N9,609444009.0,SNOMED,virus,1.0,,,,1.0,,,1.0,,187,,
Virus de influenza,407479009.0,SNOMED,virus,1.0,,,,1.0,,,1.0,,188,,
Virus de influenza B,407480007.0,SNOMED,virus,1.0,,,,1.0,,,1.0,,189,,
Virus de la influenza,725894000.0,SNOMED,virus,1.0,,,,1.0,,1.0,1.0,,190,,
Isospora Belli,12633005.0,SNOMED,"parasite, protozoa",,,,,,,,,,191,,
Virus de encefalitis japonesa (JEV),243603004.0,SNOMED,virus,,,,,,,,,,192,,
Virus de Junin,26352009.0,SNOMED,virus,,,,,,,,,,193,,
Klebsiella,75032006.0,SNOMED,bacteria,,,,,,,,,,194,,
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,,,,,,,,,195,,
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,,,,,,,,,196,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,,,,,,,,,197,,
"Klebsiella pneumoniae, ESBL",409801009.0,SNOMED,bacteria,,,,,,,,,,198,,
Klebsiella variicola,431976004.0,SNOMED,bacteria,,,,,,,,,,199,,
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,,,,,,,,,200,,
Virus de lassa,85944001.0,SNOMED,virus,,1.0,,,,,,,,201,,
Legionella,7527002.0,SNOMED,bacteria,,,,,,,,,,202,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,,,,,,,,,,203,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,,,,,,,,204,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,,,,,,,,,205,,
Leishmania brasiliensis,83196002.0,SNOMED,"parasite, protozoa",,,,,,,,,,206,,
Leishmania brasiliensis complejo,7400004.0,SNOMED,"parasite, protozoa",,,,,,,,,,207,,
Complejo Leishmania Donovani,79781008.0,SNOMED,"parasite, protozoa",,,,,,,,,,208,,
Leptospira interroganos,116401006.0,SNOMED,bacteria,,,,,,,,,,209,,
Lichthiemia,734206002.0,SNOMED,fungi,,,,,,,,,,210,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,,,,,,,,,211,,
Lomentospora prolificans (SCEDosporium prlificans),69564000.0,SNOMED,fungi,,,,,,,,,,212,,
Virus de Lujo,450622000.0,SNOMED,virus,,,,,,,,,,213,,
Virus de coriomeningitis linfocítica (LCMV),82518003.0,SNOMED,virus,,,,,,,,,,214,,
Mers-cov,697932005.0,SNOMED,virus,,,,,,,,1.0,,215,,
Virus machupo,71489006.0,SNOMED,virus,,1.0,,,,,,,,216,,
Madurella,23009007.0,SNOMED,fungi,,,,,,,,,,217,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,,,,,,,,218,,
Sarampión morbillivirus,52584002.0,SNOMED,virus,,,,1.0,,,,,,219,,
Metapneumovirus,407501006.0,SNOMED,virus,,,,,,,,,,220,,
Staphylococcus aureus resistente a la meticilina (MRSA),115329001.0,SNOMED,bacteria,,,,,,,,,,221,,
Meticilina Staphylococcus aureus (MSSA),417943000.0,SNOMED,bacteria,,,,,,,,,,222,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,,,,,,,,223,,
Micrococos,52864008.0,SNOMED,bacteria,,,,,,,,,,224,,
Micrococcus luteus,48299003.0,SNOMED,bacteria,,,,,,,,,,225,,
Microsporidia,418382009.0,SNOMED,"parasite, protozoa",,,,,,,,,,226,,
Microsporum,11983001.0,SNOMED,fungi,,,,,,,,,,227,,
Síndrome respiratorio de Medio Oriente Coronavir,697932005.0,SNOMED,virus,,,,,,,,,,228,,
Mirabilis,79589007.0,SNOMED,bacteria,,,,,,,,,,229,,
Moraxella,36361003.0,SNOMED,bacteria,,,,,,,,,,230,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,,,,,,,,,231,,
Morganella,50713005.0,SNOMED,bacteria,,,,,,,,,,232,,
Morganella morganii,243301005.0,SNOMED,bacteria,,,,,,,,,,233,,
Virus MPOX,59774002.0,SNOMED,virus,1.0,,,1.0,,,,,,234,,
Mucor,49782006.0,SNOMED,fungi,,,,,,,,,,235,,
Virus de las paperas,50384007.0,SNOMED,virus,,,,,,,,,,236,,
Mycobacterium,243368001.0,SNOMED,bacteria,,,,,,,,,,237,,
Mycobacterium leprae,58242002.0,SNOMED,bacteria,,,,,,,,,,238,,
Mycobacterium tuberculosis,113861009.0,SNOMED,bacteria,,,,,,,,,,239,,
"Mycobacterium, no tuberculosis",110379001.0,SNOMED,bacteria,,,,,,,,,,240,,
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,,,,,,,,,241,,
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,,,,,,,,,242,,
Necator americanus,43905006.0,SNOMED,"parasite, helminth",,,,,,,,,,243,,
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,,,,,,,,,244,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,,,,,,,,245,,
Virus Nipah,115511007.0,SNOMED,virus,,,,,,,,,,246,,
Nocardia asteroides,30092002.0,SNOMED,bacteria,,,,,,,,,,247,,
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,,,,,,,,,248,,
Norovirus,407359000.0,SNOMED,virus,,,,,,,,,,249,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,,,,,,,,250,,
Orthomyxoviridae (virus de la influenza),55014007.0,SNOMED,virus,,,,,,,,,,251,,
Papiloma,243584004.0,SNOMED,virus,,,,,,,,,,252,,
Papoviridae,243587006.0,SNOMED,virus,,,,,,,,,,253,,
Paracoccidioides,112405000.0,SNOMED,fungi,,,,,,,,,,254,,
Paragonimus Westermani,58412002.0,SNOMED,"parasite, helminth",,,,,,,,,,255,,
Paramyxoviridae,128354001.0,SNOMED,virus,,,,,,,,,,256,,
Parvoviridae,243587006.0,SNOMED,virus,,,,,,,,,,257,,
Penicillium,42993004.0,SNOMED,fungi,,,,,,,,,,258,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,,,,,,,,259,,
Picornaviridae,407344006.0,SNOMED,virus,,,,,,,,,,260,,
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",,,,,,,,,,261,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,,,,,1.0,,,262,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,,,,,,,,263,,
Plasmodium oval,18508006.0,SNOMED,"parasite, protozoa",,,,,,,,,,264,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,,,,,1.0,,,265,,
Pneumocystis,115987006.0,SNOMED,fungi,,,,,,,,,,266,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,,,,,,,,267,,
Enfermedades de priones,20484008.0,SNOMED,Prions,,,,,,,,,,268,,
Propionibacterium,34844008.0,SNOMED,bacteria,,,,,,,,,,269,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,,,,,,,,,270,,
Proteo,50517009.0,SNOMED,bacteria,,,,,,,,,,271,,
Proteus mirabilis,73457008.0,SNOMED,bacteria,,,,,,,,,,272,,
Proteus vulgaris,45834001.0,SNOMED,bacteria,,,,,,,,,,273,,
Providencia Rettgeri,14196002.0,SNOMED,bacteria,,,,,,,,,,274,,
Providencia stuartii,1445008.0,SNOMED,bacteria,,,,,,,,,,275,,
Pseudomonas,57032008.0,SNOMED,bacteria,,,,,,,,,,276,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,,,,,,,,,277,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,,,,,,,,,278,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,,,,,,,,,,279,,
Virus de la rabia,59881000.0,SNOMED,virus,,,,,,,,,,280,,
Raoultella,417468005.0,SNOMED,bacteria,,,,,,,,,,281,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,,,,,,,,,282,,
Raoultella planticola,416264004.0,SNOMED,bacteria,,,,,,,,,,283,,
Virus sincitial respiratorio (RSV),6415009.0,SNOMED,virus,,,,,,,1.0,1.0,,284,,
Retroviridae,77622001.0,SNOMED,virus,,,,,,,,,,285,,
Rabdoviridae,407326003.0,SNOMED,virus,,,,,,,,,,286,,
Rizomucor,85711000.0,SNOMED,fungi,,,,,,,,,,287,,
Rizopus,17683005.0,SNOMED,fungi,,,,,,,,,,288,,
Virus de la fiebre del valle del rift,28335002.0,SNOMED,virus,,1.0,,,,,,,,289,,
Virus del río Ross,32458000.0,SNOMED,virus,,,,,,,,,,290,,
Rotavirus,417542000.0,SNOMED,virus,,,,,,,,,,291,,
Virus de la rubéola,5210005.0,SNOMED,virus,,,,,,,,,,292,,
SARS-CoV-2,840533007.0,SNOMED,virus,1.0,,,,1.0,,1.0,1.0,,293,,
Sars-cov-2 beta-b.1.351,840533008.0,SNOMED,virus,,,,,,,,,,294,,
SARS-CoV-2 Delta-B.1.617.2,840533009.0,SNOMED,virus,,,,,,,,,,295,,
SARS-CoV-2 ETA-B.1.525,840533010.0,SNOMED,virus,,,,,,,,,,296,,
SARS-CoV-2 Gamma-p.1,840533011.0,SNOMED,virus,,,,,,,,,,297,,
SARS-CoV-2 IOTA-B.1.526,840533012.0,SNOMED,virus,,,,,,,,,,298,,
Sars-Cov-2 Kappa-B.1.617.1,840533013.0,SNOMED,virus,,,,,,,,,,299,,
Sars-cov-2 omicron,840533014.0,SNOMED,virus,,,,,,,,,,300,,
SARS-CoV-2 Omicron-B.1.1.529,840533015.0,SNOMED,virus,,,,,,,,,,301,,
SARS-CoV-2 Omicron-B.1.1.529.2 BA.2,840533016.0,SNOMED,virus,,,,,,,,,,302,,
SARS-CoV-2 Omicron-B.1.1.529.5 BA.5,840533017.0,SNOMED,virus,,,,,,,,,,303,,
Sars-cov-2 theta- p.3,840533018.0,SNOMED,virus,,,,,,,,,,304,,
Sars-cov-2 zeta-p.2,840533019.0,SNOMED,virus,,,,,,,,,,305,,
SARS-CoV-2 Alpha-B.1.1.7,840533020.0,SNOMED,virus,,,,,,,,,,306,,
Antígeno SARS-Cov-2,840536004.0,SNOMED,virus (substance),,,,,,,,,,307,,
Anticuerpo SARS-Cov-2 IgG,63000000000000.0,SNOMED,virus (substance),,,,,,,,,,308,,
Anticuerpo SARS-CoV-2 IgG/IgM,840535000.0,SNOMED,virus (substance),,,,,,,,,,309,,
Anticuerpo IgM SARS-CoV-2,50600000000000.0,SNOMED,virus (substance),,,,,,,,,,310,,
Saccharomyces cerevisia,765320007.0,SNOMED,fungi,,,,,,,,,,311,,
Salmonela,27268008.0,SNOMED,bacteria,,,,,,,,,,312,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,,,,,,,,,313,,
Sapovirus,407362002.0,SNOMED,virus,,,,,,,,,,314,,
Escrito,31901009.0,SNOMED,fungi,,,,,,,,,,315,,
Esquistosoma,53583001.0,SNOMED,"parasite, helminth",,,,,,,,,,316,,
Esquistosoma guineensis,,,"parasite, helminth",,,"No Code, new species of schistosoma",,,,,,,317,,
Esquistosoma hematobio,3294004.0,SNOMED,"parasite, helminth",,,,,,,,,,318,,
Esquistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,,,,,,,,319,,
Esquistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,,,,,,,,320,,
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,,,,,,,,321,,
Schistosoma Mekongi,75475007.0,SNOMED,"parasite, helminth",,,,,,,,,,322,,
Serratia,42025004.0,SNOMED,bacteria,,,,,,,,,,323,,
Serratia licuefaciens,23787004.0,SNOMED,bacteria,,,,,,,,,,324,,
