Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Serratia licuefaciens,23787004.0,SNOMED,bacteria,,
Serratia marcescens,33522002.0,SNOMED,bacteria,,
Serratia ureilytica,450416004.0,SNOMED,bacteria,,
Shigella,77352002.0,SNOMED,bacteria,,
Shigella Boydii,55462008.0,SNOMED,bacteria,,
Shigella disenteriae,43612004.0,SNOMED,bacteria,,
Shigella Flexneri,85729005.0,SNOMED,bacteria,,
Shigella Sonnei,4298009.0,SNOMED,bacteria,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,
Estafilococo,65119002.0,SNOMED,bacteria,,
Staphylococcus aureus,3092008.0,SNOMED,bacteria,,
Staphylococcus capitis,40347003.0,SNOMED,bacteria,,
Staphylococcus Caprae,76969000.0,SNOMED,bacteria,,
Staphylococcus cohnii,66872005.0,SNOMED,bacteria,,
Staphylococcus epidermidis,60875001.0,SNOMED,bacteria,,
Estafilococos hemolítico,83452006.0,SNOMED,bacteria,,
Staphylococcus hominis,44827007.0,SNOMED,bacteria,,
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,,
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,,
Staphylococcus Pettenkoferi,428731005.0,SNOMED,bacteria,,
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,,
Staphylococcus simulans,52122005.0,SNOMED,bacteria,,
Staphylococcus warneri,63550006.0,SNOMED,bacteria,,
Stenotrophomonas,115656007.0,SNOMED,bacteria,,
Stenotrophomonas maltofilia,113697002.0,SNOMED,bacteria,,
Estreptococo,58800005.0,SNOMED,bacteria,,
Estreptococcus alfa-hemolítico,60631002.0,SNOMED,bacteria,,
Estreptococcus anginosus,44304009.0,SNOMED,bacteria,,
Grupo estreptococcus anginosus,415597009.0,SNOMED,bacteria,,
Estreptococcus beta-hemolítico,53490009.0,SNOMED,bacteria,,
Estreptococcus constellatus,76199005.0,SNOMED,bacteria,,
Estreptococcus disgalactiae,40812000.0,SNOMED,bacteria,,
Estreptococcus galolyticus,113985000.0,SNOMED,bacteria,,
Estreptococcus intermedius,62170002.0,SNOMED,bacteria,,
Mitis estreptococo,57997003.0,SNOMED,bacteria,,
Estreptococcus oralis,19870004.0,SNOMED,bacteria,,
Estreptococcus parasanguinis,113990002.0,SNOMED,bacteria,,
Estreptococcus pneumoniae,9861002.0,SNOMED,bacteria,,
Estreptococcus pyogenes,80166006.0,SNOMED,bacteria,,
Estreptococcus salivarius,39888004.0,SNOMED,bacteria,,
Estreptococcus sanguinis,113993000.0,SNOMED,bacteria,,
Estreptococcus viridans,31703004.0,SNOMED,bacteria,,
Grupo de Streptococcus viridans,31703004.0,SNOMED,bacteria,,
Enterococcus resistente a la vancomicina (VRE),113727004.0,SNOMED,bacteria,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,,
Yersinia pestis,54365000.0,SNOMED,bacteria,,
