Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,
Bacille Gram négatif,87172008.0,SNOMED,bacteria,,
Bacille à Gram positif,83514008.0,SNOMED,bacteria,,
Coccus à Gram positif,59206002.0,SNOMED,bacteria,,
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,
Hémophilus,71268004.0,SNOMED,bacteria,,
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,
Hafnie des marais,76694001.0,SNOMED,bacteria,,
Hélicobacter pylori,80774000.0,SNOMED,bacteria,,
Klebsiella,75032006.0,SNOMED,bacteria,,
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,
"Klebsiella pneumoniae, BLSE",409801009.0,SNOMED,bacteria,,
Klebsiella varicola,431976004.0,SNOMED,bacteria,,
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,
Legionella,7527002.0,SNOMED,bacteria,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,,
Leptospira interrogans,116401006.0,SNOMED,bacteria,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,
Staphylococcus aureus résistant à la méthicilline (SARM),115329001.0,SNOMED,bacteria,,
Staphylococcus aureus sensible à la méthicilline (MSSA),417943000.0,SNOMED,bacteria,,
Microcoque,52864008.0,SNOMED,bacteria,,
Micrococcus luteus,48299003.0,SNOMED,bacteria,,
Mirabilis,79589007.0,SNOMED,bacteria,,
Moraxelle,36361003.0,SNOMED,bacteria,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,
Morganelle,50713005.0,SNOMED,bacteria,,
Morganelle morganii,243301005.0,SNOMED,bacteria,,
Mycobactérie,243368001.0,SNOMED,bacteria,,
Mycobacterium leprae,58242002.0,SNOMED,bacteria,,
Mycobacterium non tuberculeux,110379001.0,SNOMED,bacteria,,
Mycobacterium tuberculosis,113861009.0,SNOMED,bacteria,,
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,
Nocardia astéroïdes,30092002.0,SNOMED,bacteria,,
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,
Propionibactérie,34844008.0,SNOMED,bacteria,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,
Protée,50517009.0,SNOMED,bacteria,,
Protée miraculeuse,73457008.0,SNOMED,bacteria,,
Protée vulgaire,45834001.0,SNOMED,bacteria,,
Providence Rettgeri,14196002.0,SNOMED,bacteria,,
Providence Stuartii,1445008.0,SNOMED,bacteria,,
Pseudomonas,57032008.0,SNOMED,bacteria,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,,
Raoultella,417468005.0,SNOMED,bacteria,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,
Raoultella planticola,416264004.0,SNOMED,bacteria,,
Salmonelle,27268008.0,SNOMED,bacteria,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,
Serratia,42025004.0,SNOMED,bacteria,,
Serratia liquéfaciens,23787004.0,SNOMED,bacteria,,
Serratia marcescens,33522002.0,SNOMED,bacteria,,
Serratia ureilytica,450416004.0,SNOMED,bacteria,,
Shigella,77352002.0,SNOMED,bacteria,,
Shigella boydii,55462008.0,SNOMED,bacteria,,
Shigella dysenteriae,43612004.0,SNOMED,bacteria,,
Shigella flexneri,85729005.0,SNOMED,bacteria,,
Shigella sonnei,4298009.0,SNOMED,bacteria,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,
Staphylocoque,65119002.0,SNOMED,bacteria,,
Staphylococcus aureus,3092008.0,SNOMED,bacteria,,
Staphylococcus capitis,40347003.0,SNOMED,bacteria,,
Staphylococcus caprae,76969000.0,SNOMED,bacteria,,
Staphylococcus cohnii,66872005.0,SNOMED,bacteria,,
Staphylococcus epidermidis,60875001.0,SNOMED,bacteria,,
Staphylococcus haemolyticus,83452006.0,SNOMED,bacteria,,
Staphylococcus hominis,44827007.0,SNOMED,bacteria,,
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,,
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,,
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,,
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,,
Staphylococcus simulans,52122005.0,SNOMED,bacteria,,
Staphylococcus warneri,63550006.0,SNOMED,bacteria,,
Sténotrophomonas,115656007.0,SNOMED,bacteria,,
Stenotrophomonas maltophilia,113697002.0,SNOMED,bacteria,,
Streptocoque,58800005.0,SNOMED,bacteria,,
Streptocoque alpha-hémolytique,60631002.0,SNOMED,bacteria,,
Streptocoque anginosus,44304009.0,SNOMED,bacteria,,
Groupe Streptococcus anginosus,415597009.0,SNOMED,bacteria,,
Streptocoque bêta-hémolytique,53490009.0,SNOMED,bacteria,,
Streptococcus constellatus,76199005.0,SNOMED,bacteria,,
Streptococcus dysgalactiae,40812000.0,SNOMED,bacteria,,
Streptocoque gallolyticus,113985000.0,SNOMED,bacteria,,
Streptocoque intermédiaire,62170002.0,SNOMED,bacteria,,
Streptococcus mitis,57997003.0,SNOMED,bacteria,,
Streptocoque oral,19870004.0,SNOMED,bacteria,,
Streptococcus parasanguinis,113990002.0,SNOMED,bacteria,,
Streptococcus pneumoniae,9861002.0,SNOMED,bacteria,,
Streptococcus pyogenes,80166006.0,SNOMED,bacteria,,
Streptocoque salivaire,39888004.0,SNOMED,bacteria,,
Streptococcus sanguinis,113993000.0,SNOMED,bacteria,,
Streptococcus viridans,31703004.0,SNOMED,bacteria,,
Groupe Streptococcus viridans,31703004.0,SNOMED,bacteria,,
Entérocoque résistant à la vancomycine (ERV),113727004.0,SNOMED,bacteria,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,,
Yersinia pestis,54365000.0,SNOMED,bacteria,,
