Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Nitrofurantoin (macrobid, macrodantin)",J01XE01  ,ATC,1,,,,,,,,,,91,,
"Norfloxacine (Trizolin, Noroxin)",J01MA06,ATC,2,,,,,,,,,,92,,
Novobiocine (Albadry),90220005,SNOMED,2,,,,,,,,,,93,,
"Ofloxacine (Floxine, Ocuflox)",J01MA01,ATC,2,,,,,,,,,,94,,
Oxacilline (bactocill),J01CF04,ATC,2,,,,,,,,,,95,,
"Oxytétracycline (agrimycine, noromycine)",J01AA06,ATC,2,,,,,,,,,,96,,
Piperacilline,J01CA12,ATC,,,,,,,,,,,97,,
"Inhibiteur de pipéracilline / bêta-lactamase (piperacilline / tazobactam, pip-taz, tazocel, tazocine, zosyn,",J01CR05 ,ATC,1,1.0,,,,,,,,,98,,
Pivmecillinam (selexid),J01CA08 ,ATC,1,,,,,,,,,,100,,
Plazomicine (Zemdri),J01GB14,ATC,,,,,,,,,,,101,,
"Polymyxine B (poly-rx, polysporine)",J01XB02,ATC, ,,,,,,,,,,102,,
"Procaïne benzylpénicilline (pénicilline G, bactracilline G, norocilline)",J01CE09,ATC,,,,,,,,,,,103,,
Pyrazinamide,J04AK01,ATC,,,,,,,,,,,104,,
Quinupristin / dalfopristin (synercide),J01FG02  ,ATC,2,,,,,,,,,,105,,
Retapamuline (Altabax),D06AX13,ATC,2,,,,,,,,,,106,,
"Rifampicine (rifadin, rimactane)",J04AB02  ,ATC,1,,,,,,,,,,107,,
Rifapentine (Priftin),J04AB05,ATC,2,,,,,,,,,,108,,
Rifaximine (xifaxan),A07AA11,ATC,1,,,,,,,,,,109,,
"Roxithromycine (biaxsig, règle)",J01FA06,ATC,,,,,,,,,,,110,,
Sparfloxacine (spacine),J01MA09  ,ATC,2,,,,,,,,,,111,,
Spectinomycine (spectogard),J01XX04,ATC,2,,,,,,,,,,112,,
Streptomycine,J01GA01,ATC,2,,,,,,,,,,113,,
Sulfadiazine,J01EC02,ATC,2,,,,,,,,,,114,,
Sulfaméthoxazole (gantanol),J01EC01,ATC,1,,,,,,,,,,115,,
"Sulfaméthoxazole / triméthoprime (bactrim, co-trimoxazole, septra)",J01EE01  ,ATC,1,1.0,,,,,,,,,116,,
"Sulfisoxazole (sulfafurazole, truxazole)",J01EB05,ATC,2,,,,,,,,,,117,,
Teicoplanine (targocide),J01XA02,ATC, ,1.0,,,,,,,,,118,,
"Telavancin (télévisanin, vibativ)",J01XA03,ATC,2,,,,,,,,,,119,,
Télithromycine (lévviax),J01FA15,ATC,2,,,,,,,,,,120,,
"Tétracycline (viabecline, vitastem)",J01AA07,ATC,2,,,,,,,,,,121,,
Ticarcilline,J01CA13,ATC,2,,,,,,,,,,122,,
Inhibiteur de la ticarcilline / bêta-lactamase (ticacilline / clavulanate),J01CR03  ,ATC,2,,,,,,,,,,123,,
Tigecycline (tygacil),J01AA12 ,ATC,1,,,,,,,,,,124,,
"Tobramycine (Nebcin, Tobrex, Tobi)",J01GB01,ATC,1,,,,,,,,,,125,,
Triméthoprime (primsol),J01EA01,ATC,1,,,,,,,,,,126,,
Trovafloxacine (Trovan),J01MA13 ,ATC, ,,,,,,,,,,127,,
"Vancomycine (Vanconine, Vanconine HCL, Firvanq)",J01XA01,ATC,1,1.0,,,,,1.0,,,,128,,
Voriconazole (VFend),J02AC03 ,ATC, ,,,,,,,,,,129,,
Xibornol,J01XX02,ATC,,,,,,,,,,,130,,
