Country,Region,Income group,Code,Selected,Value
Jersey,Europe & Central Asia,High income,LIE,,113
Jordânia,South Asia,Lower middle income,LKA,,114
Cazaquistão,Sub-Saharan Africa,Lower middle income,LSO,,115
Quênia,Europe & Central Asia,High income,LTU,,116
Quiribáti,Europe & Central Asia,High income,LUX,,117
Kosovo,Europe & Central Asia,High income,LVA,,118
Kuwait,East Asia & Pacific,High income,MAC,,119
Quirguistão,Latin America & Caribbean,High income,MAF,,120
Laos,Middle East & North Africa,Lower middle income,MAR,,121
Letônia,Europe & Central Asia,High income,MCO,,122
Líbano,Europe & Central Asia,Upper middle income,MDA,,123
Lesoto,Sub-Saharan Africa,Low income,MDG,,124
Libéria,South Asia,Upper middle income,MDV,,125
Líbia,Latin America & Caribbean,Upper middle income,MEX,,126
Liechtenstein,East Asia & Pacific,Upper middle income,MHL,,127
Lituânia,Europe & Central Asia,Upper middle income,MKD,,128
Luxemburgo,Sub-Saharan Africa,Low income,MLI,,129
R.E. de Macau,Middle East & North Africa,High income,MLT,,130
Madagáscar,East Asia & Pacific,Lower middle income,MMR,,131
Maláui,Europe & Central Asia,Upper middle income,MNE,,132
Malásia,East Asia & Pacific,Lower middle income,MNG,,133
Maldivas,East Asia & Pacific,High income,MNP,,134
Mali,Sub-Saharan Africa,Low income,MOZ,,135
Malta,Sub-Saharan Africa,Lower middle income,MRT,,136
Homem (Ilha de),Sub-Saharan Africa,Upper middle income,MUS,,137
Ilhas Marshall,Sub-Saharan Africa,Low income,MWI,,138
Martinica,East Asia & Pacific,Upper middle income,MYS,,139
Mauritânia,Sub-Saharan Africa,Upper middle income,NAM,,140
Maurício,East Asia & Pacific,High income,NCL,,141
Maiote,Sub-Saharan Africa,Low income,NER,,142
México,Sub-Saharan Africa,Lower middle income,NGA,,143
Micronésia,Latin America & Caribbean,Lower middle income,NIC,,144
Moldávia,Europe & Central Asia,High income,NLD,,145
Mônaco,Europe & Central Asia,High income,NOR,,146
Mongólia,South Asia,Lower middle income,NPL,,147
Montenegro,East Asia & Pacific,High income,NRU,,148
Montserrate,East Asia & Pacific,High income,NZL,,149
Marrocos,Middle East & North Africa,High income,OMN,,150
Moçambique,South Asia,Lower middle income,PAK,,151
Mianmar,Latin America & Caribbean,High income,PAN,,152
Namíbia,Latin America & Caribbean,Upper middle income,PER,,153
Nauru,East Asia & Pacific,Lower middle income,PHL,,154
Nepal,East Asia & Pacific,Upper middle income,PLW,,155
Holanda,East Asia & Pacific,Lower middle income,PNG,,156
Nova Caledônia,Europe & Central Asia,High income,POL,,157
Nova Zelândia,Latin America & Caribbean,High income,PRI,,158
Nicarágua,East Asia & Pacific,Low income,PRK,,159
Níger,Europe & Central Asia,High income,PRT,,160
Nigéria,Latin America & Caribbean,Upper middle income,PRY,,161
Niue,Middle East & North Africa,Upper middle income,PSE,,162
Ilha Norfolk,East Asia & Pacific,High income,PYF,,163
Coréia do Norte,Middle East & North Africa,High income,QAT,,164
Macedônia do Norte,Europe & Central Asia,High income,ROU,,165
Ilhas Marianas do Norte,Europe & Central Asia,Upper middle income,RUS,,166
Noruega,Sub-Saharan Africa,Low income,RWA,,167
Omã,Middle East & North Africa,High income,SAU,,168
Paquistão,Sub-Saharan Africa,Low income,SDN,,169
Palau,Sub-Saharan Africa,Lower middle income,SEN,,170
Território Palestino Ocupado,East Asia & Pacific,High income,SGP,,171
Panamá,East Asia & Pacific,Lower middle income,SLB,,172
Papua Nova Guiné,Sub-Saharan Africa,Low income,SLE,,173
Paraguai,Latin America & Caribbean,Upper middle income,SLV,,174
Peru,Europe & Central Asia,High income,SMR,,175
Filipinas,Sub-Saharan Africa,Low income,SOM,,176
Ilha Pitcairn,Europe & Central Asia,Upper middle income,SRB,,177
Polônia,Sub-Saharan Africa,Low income,SSD,,178
Portugal,Sub-Saharan Africa,Lower middle income,STP,,179
Porto Rico,Latin America & Caribbean,Upper middle income,SUR,,180
Catar,Europe & Central Asia,High income,SVK,,181
Reunião,Europe & Central Asia,High income,SVN,,182
Romênia,Europe & Central Asia,High income,SWE,,183
Rússia,Sub-Saharan Africa,Lower middle income,SWZ,,184
Ruanda,Latin America & Caribbean,High income,SXM,,185
Santa Helena,Sub-Saharan Africa,High income,SYC,,186
São Cristóvão e Nevis,Middle East & North Africa,Low income,SYR,,187
Santa Lúcia,Latin America & Caribbean,High income,TCA,,188
São Pedro e Miquelon,Sub-Saharan Africa,Low income,TCD,,189
São Vicente e Granadinas,Sub-Saharan Africa,Low income,TGO,,190
São Bartolomeu,East Asia & Pacific,Upper middle income,THA,,191
Saint-Martin (parte francesa),Europe & Central Asia,Lower middle income,TJK,,192
Samoa,Europe & Central Asia,Upper middle income,TKM,,193
São Marino,East Asia & Pacific,Lower middle income,TLS,,194
São Tomé e Príncipe,East Asia & Pacific,Upper middle income,TON,,195
Arábia Saudita,Latin America & Caribbean,High income,TTO,,196
Senegal,Middle East & North Africa,Lower middle income,TUN,,197
Sérvia,Europe & Central Asia,Upper middle income,TUR,,198
Seicheles,East Asia & Pacific,Upper middle income,TUV,,199
Serra Leoa,East Asia & Pacific,High income,TWN,,200
Cingapura,Sub-Saharan Africa,Lower middle income,TZA,,201
Sint Maarten (parte holandesa),Sub-Saharan Africa,Low income,UGA,,202
Eslováquia,Europe & Central Asia,Lower middle income,UKR,,203
Eslovênia,Latin America & Caribbean,High income,URY,,204
Ilhas Salomão,North America,High income,USA,,205
Somália,Europe & Central Asia,Lower middle income,UZB,,206
África do Sul,Latin America & Caribbean,Upper middle income,VCT,,207
Geórgia do Sul,Latin America & Caribbean,,VEN,,208
Coréia do Sul,Latin America & Caribbean,High income,VGB,,209
Sudão do Sul,Latin America & Caribbean,High income,VIR,,210
Espanha,East Asia & Pacific,Lower middle income,VNM,,211
Sri Lanka,East Asia & Pacific,Lower middle income,VUT,,212
Sudão,East Asia & Pacific,Lower middle income,WSM,,213
Suriname,Europe & Central Asia,Upper middle income,XKX,,214
Ilhas Svalbard e Jan Mayen,Middle East & North Africa,Low income,YEM,,215
Suécia,Sub-Saharan Africa,Upper middle income,ZAF,,216
Suíça,Sub-Saharan Africa,Lower middle income,ZMB,,217
Síria,Sub-Saharan Africa,Lower middle income,ZWE,,218
