Country,Region,Income group,Code,Selected,Value
Panamá,East Asia & Pacific,Lower middle income,SLB,,172
Papúa Nueva Guinea,Sub-Saharan Africa,Low income,SLE,,173
Paraguay,Latin America & Caribbean,Upper middle income,SLV,,174
Perú,Europe & Central Asia,High income,SMR,,175
Filipinas,Sub-Saharan Africa,Low income,SOM,,176
Isla Pitcairn,Europe & Central Asia,Upper middle income,SRB,,177
Polonia,Sub-Saharan Africa,Low income,SSD,,178
Portugal,Sub-Saharan Africa,Lower middle income,STP,,179
Puerto Rico,Latin America & Caribbean,Upper middle income,SUR,,180
Katar,Europe & Central Asia,High income,SVK,,181
Reunión,Europe & Central Asia,High income,SVN,,182
Rumania,Europe & Central Asia,High income,SWE,,183
Rusia,Sub-Saharan Africa,Lower middle income,SWZ,,184
Ruanda,Latin America & Caribbean,High income,SXM,,185
santa elena,Sub-Saharan Africa,High income,SYC,,186
San Cristóbal y Nieves,Middle East & North Africa,Low income,SYR,,187
Santa Lucía,Latin America & Caribbean,High income,TCA,,188
San Pedro y Miquelón,Sub-Saharan Africa,Low income,TCD,,189
San Vicente y las Granadinas,Sub-Saharan Africa,Low income,TGO,,190
San Bartolomé,East Asia & Pacific,Upper middle income,THA,,191
Saint-Martin (parte francesa),Europe & Central Asia,Lower middle income,TJK,,192
Samoa,Europe & Central Asia,Upper middle income,TKM,,193
San Marino,East Asia & Pacific,Lower middle income,TLS,,194
Santo Tomé y Príncipe,East Asia & Pacific,Upper middle income,TON,,195
Arabia Saudita,Latin America & Caribbean,High income,TTO,,196
Senegal,Middle East & North Africa,Lower middle income,TUN,,197
Serbia,Europe & Central Asia,Upper middle income,TUR,,198
Seychelles,East Asia & Pacific,Upper middle income,TUV,,199
Sierra Leona,East Asia & Pacific,High income,TWN,,200
Singapur,Sub-Saharan Africa,Lower middle income,TZA,,201
Sint Maarten (parte holandesa),Sub-Saharan Africa,Low income,UGA,,202
Eslovaquia,Europe & Central Asia,Lower middle income,UKR,,203
Eslovenia,Latin America & Caribbean,High income,URY,,204
Islas Salomón,North America,High income,USA,,205
Somalia,Europe & Central Asia,Lower middle income,UZB,,206
Sudáfrica,Latin America & Caribbean,Upper middle income,VCT,,207
Georgia del Sur,Latin America & Caribbean,,VEN,,208
Corea del Sur,Latin America & Caribbean,High income,VGB,,209
Sudán del Sur,Latin America & Caribbean,High income,VIR,,210
España,East Asia & Pacific,Lower middle income,VNM,,211
Sri Lanka,East Asia & Pacific,Lower middle income,VUT,,212
Sudán,East Asia & Pacific,Lower middle income,WSM,,213
Surinam,Europe & Central Asia,Upper middle income,XKX,,214
Islas Svalbard y Jan Mayen,Middle East & North Africa,Low income,YEM,,215
Suecia,Sub-Saharan Africa,Upper middle income,ZAF,,216
Suiza,Sub-Saharan Africa,Lower middle income,ZMB,,217
Siria,Sub-Saharan Africa,Lower middle income,ZWE,,218
