Country,Region,Selected,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Sudán del Sur,África,,210,,
España,Europa,,211,,
Sri Lanka,Asia,,212,,
Sudán,África,,213,,
Surinam,Américas,,214,,
Islas Svalbard y Jan Mayen,Europa,,215,,
Suecia,Europa,,216,,
Suiza,Europa,,217,,
Siria,Asia,,218,,
Taiwán,Asia,,219,,
Tayikistán,Asia,,220,,
Tanzania,África,,221,,
Tailandia,Asia,,222,,
las bahamas,Américas,,223,,
Timor Oriental,Asia,,224,,
Ir,África,,225,,
Tokelau,Oceanía,,226,,
Tonga,Oceanía,,227,,
Trinidad y Tobago,Américas,,228,,
Túnez,África,,229,,
Turquia,Asia,,230,,
Turkmenistán,Asia,,231,,
Islas Turcas y Caicos,Américas,,232,,
Tuvalu,Oceanía,,233,,
Uganda,África,,234,,
Ucrania,Europa,,235,,
Emiratos Árabes Unidos,Asia,,236,,
Reino Unido,Europa,,237,,
Estados Unidos,Américas,,238,,
Islas menores alejadas de los Estados Unidos,Américas,,239,,
Uruguay,Américas,,240,,
Uzbekistán,Asia,,241,,
Vanuatu,Oceanía,,242,,
Estado de la Ciudad del Vaticano (Santa Sede),Europa,,243,,
Venezuela,Américas,,244,,
Vietnam,Asia,,245,,
Islas Vírgenes (Británicas),Américas,,246,,
Islas Vírgenes (EE.UU.),Américas,,247,,
Islas Wallis y Futuna,Oceanía,,248,,
Sáhara Occidental,África,,249,,
Yemen,Asia,,250,,
Zambia,África,,251,,
Zimbabue,África,,252,,
