Country,Region,Income group,Code,Selected,Value
Île Christmas,Latin America & Caribbean,Upper middle income,CUB,,46
Îles Cocos (Keeling),Latin America & Caribbean,High income,CUW,,47
Colombie,Latin America & Caribbean,High income,CYM,,48
Comores,Europe & Central Asia,High income,CYP,,49
Congo,Europe & Central Asia,High income,CZE,,50
Îles Cook,Europe & Central Asia,High income,DEU,,51
Costa Rica,Middle East & North Africa,Lower middle income,DJI,,52
Côte d'Ivoire (Côte d'Ivoire),Latin America & Caribbean,Upper middle income,DMA,,53
Croatie,Europe & Central Asia,High income,DNK,,54
Cuba,Latin America & Caribbean,Upper middle income,DOM,,55
Curaçao,Middle East & North Africa,Lower middle income,DZA,,56
Chypre,Latin America & Caribbean,Upper middle income,ECU,,57
République tchèque,Middle East & North Africa,Lower middle income,EGY,,58
République démocratique du Congo,Sub-Saharan Africa,Low income,ERI,,59
Danemark,Europe & Central Asia,High income,ESP,,60
Djibouti,Europe & Central Asia,High income,EST,,61
Dominique,Sub-Saharan Africa,Low income,ETH,,62
République dominicaine,Europe & Central Asia,High income,FIN,,63
Équateur,East Asia & Pacific,Upper middle income,FJI,,64
Egypte,Europe & Central Asia,High income,FRA,,65
Salvador,Europe & Central Asia,High income,FRO,,66
Guinée équatoriale,East Asia & Pacific,Lower middle income,FSM,,67
Érythrée,Sub-Saharan Africa,Upper middle income,GAB,,68
Estonie,Europe & Central Asia,High income,GBR,,69
Eswatini,Europe & Central Asia,Upper middle income,GEO,,70
Ethiopie,Sub-Saharan Africa,Lower middle income,GHA,,71
Îles Falkland,Europe & Central Asia,High income,GIB,,72
Îles Féroé,Sub-Saharan Africa,Lower middle income,GIN,,73
Îles Fidji,Sub-Saharan Africa,Low income,GMB,,74
Finlande,Sub-Saharan Africa,Low income,GNB,,75
France,Sub-Saharan Africa,Upper middle income,GNQ,,76
Guyane française,Europe & Central Asia,High income,GRC,,77
Polynésie française,Latin America & Caribbean,Upper middle income,GRD,,78
Terres australes françaises,Europe & Central Asia,High income,GRL,,79
Gabon,Latin America & Caribbean,Upper middle income,GTM,,80
Gambie La,East Asia & Pacific,High income,GUM,,81
Géorgie,Latin America & Caribbean,High income,GUY,,82
Allemagne,East Asia & Pacific,High income,HKG,,83
Ghana,Latin America & Caribbean,Lower middle income,HND,,84
Gibraltar,Europe & Central Asia,High income,HRV,,85
Grèce,Latin America & Caribbean,Lower middle income,HTI,,86
Groenland,Europe & Central Asia,High income,HUN,,87
Indonésie,East Asia & Pacific,Upper middle income,IDN,,88
Grenade,Europe & Central Asia,High income,IMN,,89
Guadeloupe,South Asia,Lower middle income,IND,,90
Guam,Europe & Central Asia,High income,IRL,,91
Guatemala,Middle East & North Africa,Lower middle income,IRN,,92
Guernesey et Aurigny,Middle East & North Africa,Upper middle income,IRQ,,93
Guinée,Europe & Central Asia,High income,ISL,,94
Guinée-Bissau,Middle East & North Africa,High income,ISR,,95
Guyane,Europe & Central Asia,High income,ITA,,96
Haïti,Latin America & Caribbean,Upper middle income,JAM,,97
Île Heard et îles McDonald,Middle East & North Africa,Lower middle income,JOR,,98
Japon,East Asia & Pacific,High income,JPN,,99
Honduras,Europe & Central Asia,Upper middle income,KAZ,,100
Hong Kong RAS,Sub-Saharan Africa,Lower middle income,KEN,,101
Hongrie,Europe & Central Asia,Lower middle income,KGZ,,102
Islande,East Asia & Pacific,Lower middle income,KHM,,103
Inde,East Asia & Pacific,Lower middle income,KIR,,104
Indonésie,Latin America & Caribbean,High income,KNA,,105
L'Iran,East Asia & Pacific,High income,KOR,,106
Irak,Middle East & North Africa,High income,KWT,,107
Irlande,East Asia & Pacific,Lower middle income,LAO,,108
Israël,Middle East & North Africa,Lower middle income,LBN,,109
Italie,Sub-Saharan Africa,Low income,LBR,,110
Jamaïque,Middle East & North Africa,Upper middle income,LBY,,111
Japon,Latin America & Caribbean,Upper middle income,LCA,,112
Jersey,Europe & Central Asia,High income,LIE,,113
Jordanie,South Asia,Lower middle income,LKA,,114
Kazakhstan,Sub-Saharan Africa,Lower middle income,LSO,,115
Kenya,Europe & Central Asia,High income,LTU,,116
Kiribati,Europe & Central Asia,High income,LUX,,117
Kosovo,Europe & Central Asia,High income,LVA,,118
Koweit,East Asia & Pacific,High income,MAC,,119
Kirghizistan,Latin America & Caribbean,High income,MAF,,120
Laos,Middle East & North Africa,Lower middle income,MAR,,121
Lettonie,Europe & Central Asia,High income,MCO,,122
Liban,Europe & Central Asia,Upper middle income,MDA,,123
Lesotho,Sub-Saharan Africa,Low income,MDG,,124
Libéria,South Asia,Upper middle income,MDV,,125
Libye,Latin America & Caribbean,Upper middle income,MEX,,126
Liechtenstein,East Asia & Pacific,Upper middle income,MHL,,127
Lituanie,Europe & Central Asia,Upper middle income,MKD,,128
Luxembourg,Sub-Saharan Africa,Low income,MLI,,129
Macao RAS,Middle East & North Africa,High income,MLT,,130
Madagascar,East Asia & Pacific,Lower middle income,MMR,,131
Malawi,Europe & Central Asia,Upper middle income,MNE,,132
Malaisie,East Asia & Pacific,Lower middle income,MNG,,133
Maldives,East Asia & Pacific,High income,MNP,,134
Mali,Sub-Saharan Africa,Low income,MOZ,,135
Malte,Sub-Saharan Africa,Lower middle income,MRT,,136
Homme (Île de),Sub-Saharan Africa,Upper middle income,MUS,,137
Îles Marshall,Sub-Saharan Africa,Low income,MWI,,138
Martinique,East Asia & Pacific,Upper middle income,MYS,,139
Mauritanie,Sub-Saharan Africa,Upper middle income,NAM,,140
Maurice,East Asia & Pacific,High income,NCL,,141
Mayotte,Sub-Saharan Africa,Low income,NER,,142
Mexique,Sub-Saharan Africa,Lower middle income,NGA,,143
Micronésie,Latin America & Caribbean,Lower middle income,NIC,,144
Moldavie,Europe & Central Asia,High income,NLD,,145
Monaco,Europe & Central Asia,High income,NOR,,146
Mongolie,South Asia,Lower middle income,NPL,,147
Monténégro,East Asia & Pacific,High income,NRU,,148
Montserrat,East Asia & Pacific,High income,NZL,,149
Maroc,Middle East & North Africa,High income,OMN,,150
Mozambique,South Asia,Lower middle income,PAK,,151
Birmanie,Latin America & Caribbean,High income,PAN,,152
Namibie,Latin America & Caribbean,Upper middle income,PER,,153
Nauru,East Asia & Pacific,Lower middle income,PHL,,154
Népal,East Asia & Pacific,Upper middle income,PLW,,155
Pays-Bas,East Asia & Pacific,Lower middle income,PNG,,156
Nouvelle-Calédonie,Europe & Central Asia,High income,POL,,157
Nouvelle-Zélande,Latin America & Caribbean,High income,PRI,,158
Nicaragua,East Asia & Pacific,Low income,PRK,,159
Niger,Europe & Central Asia,High income,PRT,,160
Nigeria,Latin America & Caribbean,Upper middle income,PRY,,161
Nioué,Middle East & North Africa,Upper middle income,PSE,,162
Île Norfolk,East Asia & Pacific,High income,PYF,,163
Corée du Nord,Middle East & North Africa,High income,QAT,,164
Macédoine du Nord,Europe & Central Asia,High income,ROU,,165
Îles Mariannes du Nord,Europe & Central Asia,Upper middle income,RUS,,166
Norvège,Sub-Saharan Africa,Low income,RWA,,167
Oman,Middle East & North Africa,High income,SAU,,168
Pakistan,Sub-Saharan Africa,Low income,SDN,,169
Palaos,Sub-Saharan Africa,Lower middle income,SEN,,170
Territoire palestinien occupé,East Asia & Pacific,High income,SGP,,171
Panama,East Asia & Pacific,Lower middle income,SLB,,172
Papouasie-Nouvelle-Guinée,Sub-Saharan Africa,Low income,SLE,,173
Paraguay,Latin America & Caribbean,Upper middle income,SLV,,174
Pérou,Europe & Central Asia,High income,SMR,,175
Philippines,Sub-Saharan Africa,Low income,SOM,,176
Île Pitcairn,Europe & Central Asia,Upper middle income,SRB,,177
Pologne,Sub-Saharan Africa,Low income,SSD,,178
Portugal,Sub-Saharan Africa,Lower middle income,STP,,179
Porto Rico,Latin America & Caribbean,Upper middle income,SUR,,180
Qatar,Europe & Central Asia,High income,SVK,,181
Réunion,Europe & Central Asia,High income,SVN,,182
Roumanie,Europe & Central Asia,High income,SWE,,183
Russie,Sub-Saharan Africa,Lower middle income,SWZ,,184
Rwanda,Latin America & Caribbean,High income,SXM,,185
Sainte-Hélène,Sub-Saharan Africa,High income,SYC,,186
Saint-Kitts-et-Nevis,Middle East & North Africa,Low income,SYR,,187
Sainte-Lucie,Latin America & Caribbean,High income,TCA,,188
Saint-Pierre-et-Miquelon,Sub-Saharan Africa,Low income,TCD,,189
Saint-Vincent-et-les Grenadines,Sub-Saharan Africa,Low income,TGO,,190
Saint-Barthélemy,East Asia & Pacific,Upper middle income,THA,,191
Saint-Martin (partie française),Europe & Central Asia,Lower middle income,TJK,,192
Samoa,Europe & Central Asia,Upper middle income,TKM,,193
Saint-Marin,East Asia & Pacific,Lower middle income,TLS,,194
Sao Tomé et Principe,East Asia & Pacific,Upper middle income,TON,,195
Arabie Saoudite,Latin America & Caribbean,High income,TTO,,196
Sénégal,Middle East & North Africa,Lower middle income,TUN,,197
Serbie,Europe & Central Asia,Upper middle income,TUR,,198
Seychelles,East Asia & Pacific,Upper middle income,TUV,,199
Sierra Leone,East Asia & Pacific,High income,TWN,,200
Singapour,Sub-Saharan Africa,Lower middle income,TZA,,201
Sint Maarten (partie néerlandaise),Sub-Saharan Africa,Low income,UGA,,202
Slovaquie,Europe & Central Asia,Lower middle income,UKR,,203
Slovénie,Latin America & Caribbean,High income,URY,,204
Îles Salomon,North America,High income,USA,,205
Somalie,Europe & Central Asia,Lower middle income,UZB,,206
Afrique du Sud,Latin America & Caribbean,Upper middle income,VCT,,207
Géorgie du Sud,Latin America & Caribbean,,VEN,,208
Corée du Sud,Latin America & Caribbean,High income,VGB,,209
Soudan du Sud,Latin America & Caribbean,High income,VIR,,210
Espagne,East Asia & Pacific,Lower middle income,VNM,,211
Sri Lanka,East Asia & Pacific,Lower middle income,VUT,,212
Soudan,East Asia & Pacific,Lower middle income,WSM,,213
Surinam,Europe & Central Asia,Upper middle income,XKX,,214
Îles Svalbard et Jan Mayen,Middle East & North Africa,Low income,YEM,,215
Suède,Sub-Saharan Africa,Upper middle income,ZAF,,216
Suisse,Sub-Saharan Africa,Lower middle income,ZMB,,217
Syrie,Sub-Saharan Africa,Lower middle income,ZWE,,218
