Country,Region,Selected,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Guinée-Bissau,Afrique,,95,,
Guyane,Amériques,,96,,
Haïti,Amériques,,97,,
Entendus îles et îles McDonald,,,98,,
Honduras,Amériques,,100,,
Hong Kong S.A.R.,Asie,,101,,
Hongrie,Europe,,102,,
Islande,Europe,,103,,
Inde,Asie,,104,,
Indonésie,Asie,,105,,
L'Iran,Asie,,106,,
Irak,Asie,,107,,
Irlande,Europe,,108,,
Israël,Asie,,109,,
Italie,Europe,,110,,
Jamaïque,Amériques,,111,,
Japon,Asie,,112,,
Jersey,Europe,,113,,
Jordanie,Asie,,114,,
Kazakhstan,Asie,,115,,
Kenya,Afrique,,116,,
Kiribati,Océanie,,117,,
Kosovo,Europe,,118,,
Koweit,Asie,,119,,
Kirghizistan,Asie,,120,,
Laos,Asie,,121,,
Lettonie,Europe,,122,,
Liban,Asie,,123,,
Lesotho,Afrique,,124,,
Libéria,Afrique,,125,,
Libye,Afrique,,126,,
Liechtenstein,Europe,,127,,
Lituanie,Europe,,128,,
Luxembourg,Europe,,129,,
Macau S.A.R.,Asie,,130,,
Madagascar,Afrique,,131,,
Malawi,Afrique,,132,,
Malaisie,Asie,,133,,
Maldives,Asie,,134,,
Mali,Afrique,,135,,
Malte,Europe,,136,,
Homme (île de),Europe,,137,,
Îles Marshall,Océanie,,138,,
Martinique,Amériques,,139,,
Mauritanie,Afrique,,140,,
Maurice,Afrique,,141,,
Mayotte,Afrique,,142,,
Mexique,Amériques,,143,,
Micronésie,Océanie,,144,,
Moldavie,Europe,,145,,
Monaco,Europe,,146,,
Mongolie,Asie,,147,,
Monténégro,Europe,,148,,
Montserrat,Amériques,,149,,
Maroc,Afrique,,150,,
Mozambique,Afrique,,151,,
Myanmar,Asie,,152,,
Namibie,Afrique,,153,,
Nauru,Océanie,,154,,
Népal,Asie,,155,,
Pays-Bas,Europe,,156,,
Nouvelle-Calédonie,Océanie,,157,,
Nouvelle-Zélande,Océanie,,158,,
Nicaragua,Amériques,,159,,
Niger,Afrique,,160,,
Nigeria,Afrique,,161,,
Niue,Océanie,,162,,
Île de Norfolk,Océanie,,163,,
Corée du Nord,Asie,,164,,
Macédoine du Nord,Europe,,165,,
Îles Mariana du Nord,Océanie,,166,,
Norvège,Europe,,167,,
Oman,Asie,,168,,
Pakistan,Asie,,169,,
Palaos,Océanie,,170,,
Territoire palestinien occupé,Asie,,171,,
Panama,Amériques,,172,,
Papouasie-Nouvelle-Guinée,Océanie,,173,,
Paraguay,Amériques,,174,,
Pérou,Amériques,,175,,
Philippines,Asie,,176,,
Île Pitcairn,Océanie,,177,,
Pologne,Europe,,178,,
Portugal,Europe,,179,,
Porto Rico,Amériques,,180,,
Qatar,Asie,,181,,
Réunion,Afrique,,182,,
Roumanie,Europe,,183,,
Russie,Europe,,184,,
Rwanda,Afrique,,185,,
Saint Helena,Afrique,,186,,
Saint Kitts et Nevis,Amériques,,187,,
Saint-Lucie,Amériques,,188,,
Saint Pierre et Miquelon,Amériques,,189,,
Saint Vincent et les grenadines,Amériques,,190,,
Saint-Barthelemy,Amériques,,191,,
Saint-Martin (partie française),Amériques,,192,,
Samoa,Océanie,,193,,
San Marino,Europe,,194,,
Sao tome et principe,Afrique,,195,,
Arabie Saoudite,Asie,,196,,
Sénégal,Afrique,,197,,
Serbie,Europe,,198,,
Seychelles,Afrique,,199,,
Sierra Leone,Afrique,,200,,
Singapour,Asie,,201,,
Sint Maarten (partie néerlandaise),Amériques,,202,,
Slovaquie,Europe,,203,,
Slovènie,Europe,,204,,
Îles Salomon,Océanie,,205,,
Somalie,Afrique,,206,,
Afrique du Sud,Afrique,,207,,
Géorgie du Sud,Amériques,,208,,
Corée du Sud,Asie,,209,,
Soudan du Sud,Afrique,,210,,
Espagne,Europe,,211,,
Sri Lanka,Asie,,212,,
Soudan,Afrique,,213,,
Suriname,Amériques,,214,,
Îles Svalbard et Jan Mayen,Europe,,215,,
Suède,Europe,,216,,
Suisse,Europe,,217,,
Syrie,Asie,,218,,
Taïwan,Asie,,219,,
Tadjikistan,Asie,,220,,
Tanzanie,Afrique,,221,,
Thaïlande,Asie,,222,,
Les Bahamas,Amériques,,223,,
Timor-Leste,Asie,,224,,
Aller,Afrique,,225,,
Tokelau,Océanie,,226,,
Tonga,Océanie,,227,,
Trinidad et Tobago,Amériques,,228,,
Tunisie,Afrique,,229,,
Turquie,Asie,,230,,
Turkménistan,Asie,,231,,
Îles Turcs et Caicos,Amériques,,232,,
Tuvalu,Océanie,,233,,
Ouganda,Afrique,,234,,
Ukraine,Europe,,235,,
Émirats arabes unis,Asie,,236,,
Royaume-Uni,Europe,,237,,
États-Unis,Amériques,,238,,
United States Minor Officing Islands,Amériques,,239,,
Uruguay,Amériques,,240,,
Ouzbékistan,Asie,,241,,
Vanuatu,Océanie,,242,,
État de la ville du Vatican (Saint-Siège),Europe,,243,,
Venezuela,Amériques,,244,,
Vietnam,Asie,,245,,
Îles Vierges (britanniques),Amériques,,246,,
Îles Vierges (États-Unis),Amériques,,247,,
Îles Wallis et Futuna,Océanie,,248,,
Sahara occidental,Afrique,,249,,
Yémen,Asie,,250,,
Zambie,Afrique,,251,,
Zimbabwe,Afrique,,252,,
