Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Vírus Parainfluenza Humano 3,407493002.0,SNOMED,virus,94,,
Vírus Parainfluenza Humano 4,89117003.0,SNOMED,virus,95,,
Parvovírus Humano b19,63603005.0,SNOMED,virus,96,,
Vírus Sincicial Respiratório Humano (RSV),6415009.0,SNOMED,virus,97,,
Bocavírus humano,446373002.0,SNOMED,virus,98,,
Coronavírus nos humanos,84101006.0,SNOMED,virus,100,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",101,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",102,,
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,103,,
Gripe A tipo H7N7,715346008.0,SNOMED,virus,104,,
Vírus da gripe A,407479009.0,SNOMED,virus,105,,
Vírus influenza A subtipo H1N1,442352004.0,SNOMED,virus,106,,
Vírus influenza A subtipo H5N1,772827006.0,SNOMED,virus,107,,
Vírus influenza A subtipo H7N9,609444009.0,SNOMED,virus,108,,
Vírus da gripe B,407480007.0,SNOMED,virus,109,,
Vírus da gripe,725894000.0,SNOMED,virus,110,,
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",111,,
Vírus da encefalite japonesa (JEV),243603004.0,SNOMED,virus,112,,
Vírus Junin,26352009.0,SNOMED,virus,113,,
Vírus Lassa,85944001.0,SNOMED,virus,114,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",115,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",116,,
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",117,,
Complexo Leishmania brasiliensis,7400004.0,SNOMED,"parasite, protozoa",118,,
Complexo Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",119,,
Lictiemia,734206002.0,SNOMED,fungi,120,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,121,,
Vírus Lujo,450622000.0,SNOMED,virus,122,,
Vírus da coriomeningite linfocítica (LCMV),82518003.0,SNOMED,virus,123,,
MERS-CoV,697932005.0,SNOMED,virus,124,,
Vírus Machupo,71489006.0,SNOMED,virus,125,,
Madurella,23009007.0,SNOMED,fungi,126,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,127,,
Morbilivírus do sarampo,52584002.0,SNOMED,virus,128,,
Metapneumovírus,407501006.0,SNOMED,virus,129,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,130,,
Microsporídios,418382009.0,SNOMED,"parasite, protozoa",131,,
Microsporo,11983001.0,SNOMED,fungi,132,,
Coronavírus da Síndrome Respiratória do Oriente Médio,697932005.0,SNOMED,virus,133,,
Vírus MPox,59774002.0,SNOMED,virus,134,,
Mucor,49782006.0,SNOMED,fungi,135,,
Vírus da caxumba,50384007.0,SNOMED,virus,136,,
Necator americano,43905006.0,SNOMED,"parasite, helminth",137,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,138,,
Vírus Nipah,115511007.0,SNOMED,virus,139,,
Norovírus,407359000.0,SNOMED,virus,140,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",141,,
Orthomyxoviridae (vírus influenza),55014007.0,SNOMED,virus,142,,
Papilomavírus,243584004.0,SNOMED,virus,143,,
Papoviridae,243587006.0,SNOMED,virus,144,,
Paracoccidioides,112405000.0,SNOMED,fungi,145,,
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",146,,
Paramyxoviridae,128354001.0,SNOMED,virus,147,,
Parvoviridae,243587006.0,SNOMED,virus,148,,
Penicillium,42993004.0,SNOMED,fungi,149,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,150,,
Picornaviridae,407344006.0,SNOMED,virus,151,,
Plasmódio,34706006.0,SNOMED,"parasite, protozoa",152,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",153,,
Malária por Plasmodium,56395006.0,SNOMED,"parasite, protozoa",154,,
Plasmodium oval,18508006.0,SNOMED,"parasite, protozoa",155,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",156,,
Pneumociste,115987006.0,SNOMED,fungi,157,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,158,,
Doenças príon,20484008.0,SNOMED,Prions,159,,
Vírus da raiva,59881000.0,SNOMED,virus,160,,
Vírus Sincicial Respiratório (RSV),6415009.0,SNOMED,virus,161,,
Retroviridae,77622001.0,SNOMED,virus,162,,
Rabdoviridae,407326003.0,SNOMED,virus,163,,
Rizomucor,85711000.0,SNOMED,fungi,164,,
Rizopo,17683005.0,SNOMED,fungi,165,,
Vírus da febre do Vale do Rift,28335002.0,SNOMED,virus,166,,
Vírus do Rio Ross,32458000.0,SNOMED,virus,167,,
Rotavírus,417542000.0,SNOMED,virus,168,,
Vírus da rubéola,5210005.0,SNOMED,virus,169,,
SARS-CoV-2,840533007.0,SNOMED,virus,170,,
SARS-CoV-2 Beta - B.1.351,,,virus,171,,
Delta SARS-CoV-2 - B.1.617.2,,,virus,172,,
SARS-CoV-2 Eta-B.1.525,,,virus,173,,
Gama SARS-CoV-2 - P.1,,,virus,174,,
Iota SARS-CoV-2 - B.1.526,,,virus,175,,
SARS-CoV-2 Kappa - B.1.617.1,,,virus,176,,
SARS-CoV-2 Ómicron,,,virus,177,,
SARS-CoV-2 Omícron - B.1.1.529,,,virus,178,,
SARS-CoV-2 Omícron - B.1.1.529.2 BA.2,,,virus,179,,
SARS-CoV-2 Omícron - B.1.1.529.5 BA.5,,,virus,180,,
SARS-CoV-2 Teta- P.3,,,virus,181,,
SARS-CoV-2 Zeta - P.2,,,virus,182,,
SARS-CoV-2 Alfa - B.1.1.7,,,virus,183,,
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),184,,
Anticorpo IgG SARS-CoV-2,63000000000000.0,SNOMED,virus (substance),185,,
Anticorpo SARS-CoV-2 IgG/IgM,840535000.0,SNOMED,virus (substance),186,,
Anticorpo IgM SARS-CoV-2,50600000000000.0,SNOMED,virus (substance),187,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,188,,
Sapovírus,407362002.0,SNOMED,virus,189,,
Cedosporium,31901009.0,SNOMED,fungi,190,,
Schistosoma,53583001.0,SNOMED,"parasite, helminth",191,,
Schistosoma guinensis,,,"parasite, helminth",192,,
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",193,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",194,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",195,,
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",196,,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",197,,
Síndrome Respiratória Aguda Grave Coronavírus 2,1240000000000000.0,SNOMED,virus,198,,
Coronavírus relacionado à síndrome respiratória aguda grave,415360003.0,SNOMED,virus,199,,
Febre grave com síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,200,,
Simplexvírus (gênero),314797000.0,SNOMED,virus,201,,
Sporothrix schenckii,32662000.0,SNOMED,fungi,202,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",203,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",204,,
Taenia solium,17966003.0,SNOMED,"parasite, helminth",205,,
Talaromyces marneffei,71825007.0,SNOMED,fungi,206,,
Togoviridae,129231002.0,SNOMED,virus,207,,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",208,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",209,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",210,,
Triquinela espiralis,16439004.0,SNOMED,"parasite, helminth",211,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",212,,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",213,,
Tricófiton,88578003.0,SNOMED,fungi,214,,
Trichosporon asahii,243475001.0,SNOMED,fungi,215,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",216,,
Tripanosoma,40740003.0,SNOMED,"parasite, protozoa",217,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",218,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",219,,
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",220,,
Vírus do Nilo Ocidental,57311007.0,SNOMED,virus,221,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",222,,
Levedura,62093005.0,SNOMED,fungi,223,,
Vírus Zika,50471002.0,SNOMED,virus,224,,
