Microorganism,Code,Library,Type,Selected,preset_Syndrome_VHF,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,
Caliciviridae (Família),243627002.0,SNOMED,virus,,,,,
Campylobacter,35408001.0,SNOMED,bacteria,,,,,
Cândida,3265006.0,SNOMED,fungi,,,,,
Candida albicans,53326005.0,SNOMED,fungi,,,,,
Candida auris,3490000000000.0,SNOMED,fungi,,,,,
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,
Candida glabrata,444877006.0,SNOMED,fungi,,,,,
Candida inconspicua,283871001.0,SNOMED,fungi,,,,,
Candida ortopsilose,3690000000000.0,SNOMED,fungi,,,,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,
Candida tropicalis,47885008.0,SNOMED,fungi,,,,,
Clamídia,16241000.0,SNOMED,bacteria,,,,,
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,
Criseobactéria indologenes,113549008.0,SNOMED,bacteria,,,,,
Citrobacter,75972000.0,SNOMED,bacteria,,,,,
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,
Citrobacter freundii,6265002.0,SNOMED,bacteria,,,,,
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,
Clostridium botulinum,13080008.0,SNOMED,bacteria,,,,,
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,,,,
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,
Staphylococcus coagulase negativo,116197008.0,SNOMED,bacteria,,,,,
Coccidioides,8672004.0,SNOMED,fungi,,,,,
Coccidioides immitis,23439005.0,SNOMED,fungi,,,,,
Bactérias coliformes,77309002.0,SNOMED,bacteria,,,,,
Coronaviridae (Família),243607003.0,SNOMED,virus,,,,,
Corynebacterium,77086004.0,SNOMED,bacteria,,,,,
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,,,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,,,,
Corynebacterium estriatum,63815007.0,SNOMED,bacteria,,,,,
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,,,,
Corynebacterium xerose,27101006.0,SNOMED,bacteria,,,,,
Vírus da febre hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,,1.0,,,
Criptococo,17579001.0,SNOMED,bacteria,,,,,
Criptococo gattii,450862004.0,SNOMED,fungi,,,,,
Criptococo neoformans,67168003.0,SNOMED,bacteria,,,,,
Criptococo neoformans,67168003.0,SNOMED,fungi,,,,,
Criptosporídio,83821001.0,SNOMED,"parasite, protozoa",,,,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,
Curvularia lunata,33165007.0,SNOMED,fungi,,,,,
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,,,
Citomegalovírus,407444007.0,SNOMED,virus,,,,,
Delftia,416493002.0,SNOMED,bacteria,,,,,
Delftia acidovorans,20432002.0,SNOMED,bacteria,,,,,
Deltavírus,83617006.0,SNOMED,virus,,,,,
Vírus da dengue,34348001.0,SNOMED,virus,,,,,
Dermabacter,413976002.0,SNOMED,bacteria,,,,,
Difteróide,54642001.0,SNOMED,bacteria,,,,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,,,
Vírus ebola,424206003.0,SNOMED,virus,,1.0,,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,,,
Eggerthella,414075007.0,SNOMED,bacteria,,,,,
Elizabethkingia,426244005.0,SNOMED,bacteria,,,,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,,,
Bactérias entéricas,106544002.0,SNOMED,bacteria,,,,,
Enterobactéria,58683007.0,SNOMED,bacteria,,,,,
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,,,,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,,,,
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,,,,,
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,,,,
Complexo Enterobacter cloacae,414102007.0,SNOMED,bacteria,,,,,
Enterobacter hormaechei (bactéria),114454006.0,SNOMED,bacteria,,,,,
Enterobacter kobei,114456008.0,SNOMED,bacteria,,,,,
Enterobacteriaceae,106544002.0,SNOMED,bacteria,,,,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,,,
Enterococo,2785000.0,SNOMED,bacteria,,,,,
Enterococo aviário,87875008.0,SNOMED,bacteria,,,,,
Enterococo faecalis,78065002.0,SNOMED,bacteria,,,,,
Enterococo faecium,90272000.0,SNOMED,bacteria,,,,,
Enterococcus rafinoso,103437000.0,SNOMED,bacteria,,,,,
Enterovírus (gênero Enterovirus),243633006.0,SNOMED,virus,,,,,
Epidermofíton,112403007.0,SNOMED,fungi,,,,,
Escherichia,64735005.0,SNOMED,bacteria,,,,,
Escherichia coli,112283007.0,SNOMED,bacteria,,,,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,,,
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,,,
Filoviridae (Família),407325004.0,SNOMED,virus,,,,,
Flaviviridae (Família),243602009.0,SNOMED,virus,,,,,
Francisella tularensis,51526001.0,SNOMED,bacteria,,,,,
Fungos,414561005.0,SNOMED,fungi,,,,,
Fusarium,35238009.0,SNOMED,fungi,,,,,
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,,,,
Gênero Marburgvirus,424421007.0,SNOMED,virus,,1.0,,,
Giárdia,61419001.0,SNOMED,"parasite, protozoa",,,,,
Giárdia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,,,
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,,,
Bacilo Gram-Negativo,87172008.0,SNOMED,bacteria,,,,,
Bacilo Gram-Positivo,83514008.0,SNOMED,bacteria,,,,,
Cocos Gram-Positivos,59206002.0,SNOMED,bacteria,,,,,
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,,,,
Haemophilus,71268004.0,SNOMED,bacteria,,,,,
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,,,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,,,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,,,,
Hafnia alvei,76694001.0,SNOMED,bacteria,,,,,
Hantavírus,49445003.0,SNOMED,virus,,1.0,,,
Helicobacter pylori,80774000.0,SNOMED,bacteria,,,,,
Vírus Hendra,115510008.0,SNOMED,virus,,,,,
Hepadnaviridae,422951006.0,SNOMED,virus,,,,,
Vírus da hepatite A,32452004.0,SNOMED,virus,,,,,
Vírus da hepatite B,81665004.0,SNOMED,virus,,,,,
Vírus da hepatite C,62944002.0,SNOMED,virus,,,,,
Hepatite D,83617006.0,SNOMED,virus,,,,,
Vírus da hepatite E,78475006.0,SNOMED,virus,,,,,
Herpesvírus,128377001.0,SNOMED,virus,,,,,
Histoplasma,81951003.0,SNOMED,fungi,,,,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,,,
Bocavírus humano,446373002.0,SNOMED,virus,,,,,
Coronavírus nos humanos,84101006.0,SNOMED,virus,,,,,
"Herpesvírus humano 1 (HHV1, vírus herpes simplex 1, HSV1)",407451003.0,SNOMED,virus,,,,,
"Herpesvírus humano 2 (HHV2, vírus herpes simplex 2, HSV2)",407450002.0,SNOMED,virus,,,,,
"Herpesvírus humano 3 (vírus varicela-zoster, VZV)",19551004.0,SNOMED,virus,,,,,
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,,,
"Herpesvírus humano 5 (Citomegalovírus humanobeta5, hCMV)",243579005.0,SNOMED,virus,,,,,
Herpesvírus humano 6 (vírus Roseola infantum),103528003.0,SNOMED,virus,,,,,
Vírus da Imunodeficiência Humana (HIV),19030005.0,SNOMED,virus,,,,,
Vírus da imunodeficiência humana tipo 1 (HIV-1),89293008.0,SNOMED,virus,,,,,
Vírus da imunodeficiência humana tipo 2 (HIV-2),36115006.0,SNOMED,virus,,,,,
Metapneumovírus humano (hMPV),416730002.0,SNOMED,virus,,,,,
Vírus da parainfluenza humana,407498006.0,SNOMED,virus,,,,,
Vírus da parainfluenza humana 1,407489008.0,SNOMED,virus,,,,,
Vírus da parainfluenza humana 2,407491000.0,SNOMED,virus,,,,,
Vírus da parainfluenza humana 3,407493002.0,SNOMED,virus,,,,,
Vírus da parainfluenza humana 4,89117003.0,SNOMED,virus,,,,,
Parvovírus humano b19,63603005.0,SNOMED,virus,,,,,
Vírus sincicial respiratório humano (VSR),6415009.0,SNOMED,virus,,,,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,,,
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,1.0,,,,
Influenza A suptipo H7N7,715346008.0,SNOMED,virus,1.0,,,,
Vírus da gripe A,407479009.0,SNOMED,virus,1.0,,,,
Vírus influenza A subtipo H1N1,442352004.0,SNOMED,virus,1.0,,,,
Vírus influenza A subtipo H5N1,772827006.0,SNOMED,virus,1.0,,,,
Vírus influenza A subtipo H7N9,609444009.0,SNOMED,virus,1.0,,,,
Vírus da gripe B,407480007.0,SNOMED,virus,1.0,,,,
Vírus da gripe,725894000.0,SNOMED,virus,1.0,,,,
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,,,
Vírus da encefalite japonesa (JEV),243603004.0,SNOMED,virus,,,,,
Vírus Junin,26352009.0,SNOMED,virus,,,,,
Klebsiella,75032006.0,SNOMED,bacteria,,,,,
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,,,,
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,,,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,,,,
"Klebsiella pneumoniae, ESBL",409801009.0,SNOMED,bacteria,,,,,
Klebsiella variicola,431976004.0,SNOMED,bacteria,,,,,
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,,,,
Vírus Lassa,85944001.0,SNOMED,virus,,1.0,,,
Legionela,7527002.0,SNOMED,bacteria,,,,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,,,,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,,,
Leishmania brasiliensis,83196002.0,SNOMED,"parasite, protozoa",,,,,
Complexo Leishmania brasiliensis,7400004.0,SNOMED,"parasite, protozoa",,,,,
Complexo Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",,,,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,,,,
Leptospira interrogans,116401006.0,SNOMED,bacteria,,,,,
Lictiemia,734206002.0,SNOMED,fungi,,,,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,,,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,,,
Vírus Lujo,450622000.0,SNOMED,virus,,,,,
Vírus da coriomeningite linfocítica (LCMV),82518003.0,SNOMED,virus,,,,,
Vírus Machupo,71489006.0,SNOMED,virus,,1.0,,,
Madurela,23009007.0,SNOMED,fungi,,,,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,,,
Morbilivírus do sarampo,52584002.0,SNOMED,virus,,,,,
MERS-CoV,697932005.0,SNOMED,virus,,,,,
Metapneumovírus,407501006.0,SNOMED,virus,,,,,
Staphylococcus aureus resistente à meticilina (MRSA),115329001.0,SNOMED,bacteria,,,,,
Staphylococcus aureus suscetível à meticilina (MSSA),417943000.0,SNOMED,bacteria,,,,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,,,
Micrococo,52864008.0,SNOMED,bacteria,,,,,
Micrococcus luteus,48299003.0,SNOMED,bacteria,,,,,
Microsporídios,418382009.0,SNOMED,"parasite, protozoa",,,,,
Microsporum,11983001.0,SNOMED,fungi,,,,,
Síndrome respiratória do Oriente Médio Coronavírus,697932005.0,SNOMED,virus,,,,,
Mirabilis,79589007.0,SNOMED,bacteria,,,,,
Vírus Mpox,59774002.0,SNOMED,virus,1.0,,,,
Moraxela,36361003.0,SNOMED,bacteria,,,,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,,,,
Morganela,50713005.0,SNOMED,bacteria,,,,,
Morganella morganii,243301005.0,SNOMED,bacteria,,,,,
Mucor,49782006.0,SNOMED,fungi,,,,,
Vírus da caxumba,50384007.0,SNOMED,virus,,,,,
Micobactéria,243368001.0,SNOMED,bacteria,,,,,
Mycobacterium leprae,58242002.0,SNOMED,bacteria,,,,,
"Mycobacterium, não tuberculoso",110379001.0,SNOMED,bacteria,,,,,
Mycobacterium tuberculose,113861009.0,SNOMED,bacteria,,,,,
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,,,,,
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,,,,,
Necator americano,43905006.0,SNOMED,"parasite, helminth",,,,,
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,,,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,,,
Vírus Nipah,115511007.0,SNOMED,virus,,,,,
Nocardia asteroides,30092002.0,SNOMED,bacteria,,,,,
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,,,,
Norovírus,407359000.0,SNOMED,virus,,,,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,,,
Orthomyxoviridae (vírus da gripe),55014007.0,SNOMED,virus,,,,,
Vírus do papiloma,243584004.0,SNOMED,virus,,,,,
Papoviridae,243587006.0,SNOMED,virus,,,,,
Paracoccidioides,112405000.0,SNOMED,fungi,,,,,
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,,,
Paramixovírus,128354001.0,SNOMED,virus,,,,,
Parvovírus,243587006.0,SNOMED,virus,,,,,
Penicillium,42993004.0,SNOMED,fungi,,,,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,,,
Picornaviridae,407344006.0,SNOMED,virus,,,,,
Plasmódio,34706006.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,,,
Pneumocistose,115987006.0,SNOMED,fungi,,,,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,,,
Doenças de príons,20484008.0,SNOMED,Prions,,,,,
Propionibactéria,34844008.0,SNOMED,bacteria,,,,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,,,,
Proteu,50517009.0,SNOMED,bacteria,,,,,
Proteus mirabilis,73457008.0,SNOMED,bacteria,,,,,
Proteus vulgaris,45834001.0,SNOMED,bacteria,,,,,
Providência rettgeri,14196002.0,SNOMED,bacteria,,,,,
Providência Stuartii,1445008.0,SNOMED,bacteria,,,,,
Pseudomonas,57032008.0,SNOMED,bacteria,,,,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,,,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,,,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,,,,,
Vírus da raiva,59881000.0,SNOMED,virus,,,,,
Raoultella,417468005.0,SNOMED,bacteria,,,,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,,,,
Raoultella planticola,416264004.0,SNOMED,bacteria,,,,,
Vírus Sincicial Respiratório (VSR),6415009.0,SNOMED,virus,,,,,
Retrovírus,77622001.0,SNOMED,virus,,,,,
Rabdoviridae,407326003.0,SNOMED,virus,,,,,
Rizomucor,85711000.0,SNOMED,fungi,,,,,
Rizopo,17683005.0,SNOMED,fungi,,,,,
Vírus da febre do Vale do Rift,28335002.0,SNOMED,virus,,1.0,,,
Vírus do Rio Ross,32458000.0,SNOMED,virus,,,,,
Rotavírus,417542000.0,SNOMED,virus,,,,,
Vírus da rubéola,5210005.0,SNOMED,virus,,,,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,,,,
Salmonela,27268008.0,SNOMED,bacteria,,,,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,,,,
Sapovírus,407362002.0,SNOMED,virus,,,,,
SARS-CoV-2,840533007.0,SNOMED,virus,1.0,,,,
SARS-CoV-2 Beta - B.1.351,840533008.0,SNOMED,virus,,,No specific code for variants. Have coded all variants as SARS-Cov-2,,
SARS-CoV-2 Delta - B.1.617.2,840533009.0,SNOMED,virus,,,,,
SARS-CoV-2 Eta - B.1.525,840533010.0,SNOMED,virus,,,,,
SARS-CoV-2 Gama - P.1,840533011.0,SNOMED,virus,,,,,
SARS-CoV-2 Iota - B.1.526,840533012.0,SNOMED,virus,,,,,
SARS-CoV-2 Kappa - B.1.617.1,840533013.0,SNOMED,virus,,,,,
SARS-CoV-2 Ômicron,840533014.0,SNOMED,virus,,,,,
SARS-CoV-2 Omícron - B.1.1.529,840533015.0,SNOMED,virus,,,,,
SARS-CoV-2 Omícron - B.1.1.529.2 BA.2,840533016.0,SNOMED,virus,,,,,
SARS-CoV-2 Omícron - B.1.1.529.5 BA.5,840533017.0,SNOMED,virus,,,,,
SARS-CoV-2 Theta- P.3,840533018.0,SNOMED,virus,,,,,
SARS-CoV-2 Zeta - P.2,840533019.0,SNOMED,virus,,,,,
SARS-CoV-2 Alfa - B.1.1.7,840533020.0,SNOMED,virus,,,,,
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),,,,,
Anticorpo IgG SARS-CoV-2,63000000000000.0,SNOMED,virus (substance),,,,,
Anticorpo IgG/IgM SARS-CoV-2,840535000.0,SNOMED,virus (substance),,,,,
Anticorpo IgM SARS-CoV-2,50600000000000.0,SNOMED,virus (substance),,,,,
Scedosporium,31901009.0,SNOMED,fungi,,,,,
Esquistossomose,53583001.0,SNOMED,"parasite, helminth",,,,,
Schistosoma guineensis,,,"parasite, helminth",,,"No Code, new species of schistosoma",,
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",,,,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,,,
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,,,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,,,,
Serratia,42025004.0,SNOMED,bacteria,,,,,
Serratia liquefaciens,23787004.0,SNOMED,bacteria,,,,,
Serratia marcescens,33522002.0,SNOMED,bacteria,,,,,
Serratia ureilytica,450416004.0,SNOMED,bacteria,,,,,
Síndrome Respiratória Aguda Grave Coronavírus 2,1240000000000000.0,SNOMED,virus,,,,,
Coronavírus relacionado à síndrome respiratória aguda grave,415360003.0,SNOMED,virus,,,,,
Febre grave com síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,,,,,
Shigella,77352002.0,SNOMED,bacteria,,,,,
Shigella boydii,55462008.0,SNOMED,bacteria,,,,,
Shigella disenteriae,43612004.0,SNOMED,bacteria,,,,,
Shigella flexneri,85729005.0,SNOMED,bacteria,,,,,
Shigella sonnei,4298009.0,SNOMED,bacteria,,,,,
Simplexvirus (Gênero),314797000.0,SNOMED,virus,,,,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,,,,
Sporothrix schenckii,32662000.0,SNOMED,fungi,,,,,
Estafilococo,65119002.0,SNOMED,bacteria,,,,,
Staphylococcus aureus,3092008.0,SNOMED,bacteria,,,,,
Staphylococcus capitis,40347003.0,SNOMED,bacteria,,,,,
Staphylococcus caprae,76969000.0,SNOMED,bacteria,,,,,
Staphylococcus cohnii,66872005.0,SNOMED,bacteria,,,,,
Staphylococcus epidermidis,60875001.0,SNOMED,bacteria,,,,,
Staphylococcus hemolítico,83452006.0,SNOMED,bacteria,,,,,
Staphylococcus hominis,44827007.0,SNOMED,bacteria,,,,,
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,,,,,
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,,,,,
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,,,,,
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,,,,,
Staphylococcus simulans,52122005.0,SNOMED,bacteria,,,,,
Estafilococo warneri,63550006.0,SNOMED,bacteria,,,,,
Estenotrophomonas,115656007.0,SNOMED,bacteria,,,,,
Stenotrophomonas maltophilia,113697002.0,SNOMED,bacteria,,,,,
Estreptococo,58800005.0,SNOMED,bacteria,,,,,
Streptococcus alfa-hemolítico,60631002.0,SNOMED,bacteria,,,,,
Estreptococo anginosus,44304009.0,SNOMED,bacteria,,,,,
Grupo Streptococcus anginosus,415597009.0,SNOMED,bacteria,,,,,
Streptococcus beta-hemolítico,53490009.0,SNOMED,bacteria,,,,,
Estreptococo constellatus,76199005.0,SNOMED,bacteria,,,,,
Streptococcus disgalactiae,40812000.0,SNOMED,bacteria,,,,,
Estreptococo gallolítico,113985000.0,SNOMED,bacteria,,,,,
Estreptococo intermediário,62170002.0,SNOMED,bacteria,,,,,
Estreptococo mitis,57997003.0,SNOMED,bacteria,,,,,
Estreptococo oralis,19870004.0,SNOMED,bacteria,,,,,
Estreptococo parasanguinis,113990002.0,SNOMED,bacteria,,,,,
Estreptococo pneumoniae,9861002.0,SNOMED,bacteria,,,,,
Estreptococo pyogenes,80166006.0,SNOMED,bacteria,,,,,
Estreptococo salivarius,39888004.0,SNOMED,bacteria,,,,,
Estreptococo sanguíneo,113993000.0,SNOMED,bacteria,,,,,
Estreptococo viridans,31703004.0,SNOMED,bacteria,,,,,
Grupo Streptococcus viridans,31703004.0,SNOMED,bacteria,,,,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,,,,
Taenia solium,17966003.0,SNOMED,"parasite, helminth",,,,,
Talaromyces marneffei,71825007.0,SNOMED,fungi,,,,,
Togoviridae,129231002.0,SNOMED,virus,,,,,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",,,,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",,,,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,,,
Trichinella espiralis,16439004.0,SNOMED,"parasite, helminth",,,,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",,,,,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",,,,,
Tricófito,88578003.0,SNOMED,fungi,,,,,
Trichosporon asahii,243475001.0,SNOMED,fungi,,,,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",,,,,
Trypanosoma,40740003.0,SNOMED,"parasite, protozoa",,,,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,,,
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",,,,,
Enterococcus resistente à vancomicina (VRE),113727004.0,SNOMED,bacteria,,,,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,,,,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,,,,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,,,,,
Vírus do Nilo Ocidental,57311007.0,SNOMED,virus,,,,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",,,,,
Levedura,62093005.0,SNOMED,fungi,,,,,
Yersinia pestis,54365000.0,SNOMED,bacteria,,,,,
Vírus Zika,50471002.0,SNOMED,virus,,,,,
