Condition,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Code,Library,Code_2,Library_2,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Paresthésie de la peau,,,,R20.2,ICD10,91019004,SNOMED,62,,
Problèmes de déglutition ou de mastication (dysphagie),,,,R13.10,ICD10,40739000,SNOMED,63,,
Prurit,,,,L29,ICD10,418363000,SNOMED,64,,
Battement cardiaque rapide / pouls (tachycardie),,,,R00.0,ICD10,3424008,SNOMED,65,,
Éruptions cutanées ou lésions cutanées,,,,R21,ICD10,271807003,SNOMED,66,,
Rétention de l'urine,,,,R33.9,ICD10,267064002,SNOMED,67,,
Essoufflement (dyspnée),,,1.0,R06.0,ICD10,267036007,SNOMED,68,,
Lésion cutanée,1.0,,,,,,SNOMED,69,,
Éruption cutanée,,1.0,,R21,ICD10,271807003,SNOMED,70,,
Trouble du sommeil,,,,F51.9,ICD10,39898005,SNOMED,71,,
Éternuements,,,1.0,R06.7,ICD10,162367006,SNOMED,72,,
Mal de gorge (douleur dans la gorge),,,1.0,R07.0,ICD10,267102003,SNOMED,73,,
Troubles de la parole,,,,R47.9,ICD10,29164008,SNOMED,74,,
Ecchymoses spontanées (Ecchymes spontanés),,,,R23.3,ICD10,161887000,SNOMED,75,,
Transpiration (hyperhidrose),,,,R61,ICD10,312230002,SNOMED,76,,
Ganglions lymphatiques gonflés (ganglions lymphatiques élargis),,,,R59.9,ICD10,30746006,SNOMED,77,,
Acin-étain,,,,H93.1,ICD10,60862001,SNOMED,78,,
Tremblement,,,,R25.1,ICD10,26079004,SNOMED,79,,
Incontinence urinaire,,,,R32,ICD10,165232002,SNOMED,80,,
Troubles visuels,,,,H53,ICD10,63102001,SNOMED,81,,
Respiration sifflante,,,1.0,R06.2,ICD10,56018004,SNOMED,82,,
