Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Roxitromicina (Biaxsig, Rulide)",J01FA06,ATC,,,,,,,,,,,,
Sparfloxacina (espacio),J01MA09  ,ATC,2,,,,,,,,,,,
Spectinomicina (Spectogard),J01XX04,ATC,2,,,,,,,,,,,
Estreptomicina,J01GA01,ATC,2,,,,,,,,,,,
Sulfadiazina,J01EC02,ATC,2,,,,,,,,,,,
Sulfametoxazol (gantanol),J01EC01,ATC,1,,,,,,,,,,,
"Sulfametoxazol/trimetoprima (Bactrim, co-trrimoxazol, septra)",J01EE01  ,ATC,1,1.0,,,,,,,,,,
"Sulfisoxazol (sulfafurazol, truxazol)",J01EB05,ATC,2,,,,,,,,,,,
Teicoplanina (Targocid),J01XA02,ATC, ,1.0,,,,,,,,,,
"Telavancin (Televancin, Vibativ)",J01XA03,ATC,2,,,,,,,,,,,
Telitromicina (Levviax),J01FA15,ATC,2,,,,,,,,,,,
"Tetraciclina (ViabeCline, Vitaastem)",J01AA07,ATC,2,,,,,,,,,,,
Ticarcilina,J01CA13,ATC,2,,,,,,,,,,,
Inhibidor de ticarcilina/beta-lactamasa (ticacilina/clavulanato),J01CR03  ,ATC,2,,,,,,,,,,,
Tigeciclina (Tygacil),J01AA12 ,ATC,1,,,,,,,,,,,
"Tobramicina (Nebcin, Tobrex, Tobi)",J01GB01,ATC,1,,,,,,,,,,,
Trimetoprim (Primsol),J01EA01,ATC,1,,,,,,,,,,,
Trovafloxacina (Trovan),J01MA13 ,ATC, ,,,,,,,,,,,
"Vancomicina (Vancocina, Vancocina HCl, Firvanq)",J01XA01,ATC,1,1.0,,,,,1.0,,,,,
Voriconazol (vfend),J02AC03 ,ATC, ,,,,,,,,,,,
Xibornol,J01XX02,ATC,,,,,,,,,,,,
