Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Papillomavírus,243584004.0,SNOMED,virus,143,,
Papoviridae,243587006.0,SNOMED,virus,144,,
Paracoccidioides,112405000.0,SNOMED,fungi,145,,
Paragonimus Westermani,58412002.0,SNOMED,"parasite, helminth",146,,
Paramyxoviridae,128354001.0,SNOMED,virus,147,,
Parvoviridae,243587006.0,SNOMED,virus,148,,
Penicillium,42993004.0,SNOMED,fungi,149,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,150,,
Picornaviridae,407344006.0,SNOMED,virus,151,,
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",152,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",153,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",154,,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",155,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",156,,
Pneumocystis,115987006.0,SNOMED,fungi,157,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,158,,
Doenças de príon,20484008.0,SNOMED,Prions,159,,
Vírus da raiva,59881000.0,SNOMED,virus,160,,
Vírus sincicial respiratório (RSV),6415009.0,SNOMED,virus,161,,
Retroviridae,77622001.0,SNOMED,virus,162,,
Rhabdoviridae,407326003.0,SNOMED,virus,163,,
Rhizomucor,85711000.0,SNOMED,fungi,164,,
Rhizopus,17683005.0,SNOMED,fungi,165,,
Vírus da febre do vale do rift,28335002.0,SNOMED,virus,166,,
Vírus do rio Ross,32458000.0,SNOMED,virus,167,,
Rotavírus,417542000.0,SNOMED,virus,168,,
Vírus da rubéola,5210005.0,SNOMED,virus,169,,
SARS-CoV-2,840533007.0,SNOMED,virus,170,,
SARS-COV-2 Beta-B.1.351,,,virus,171,,
SARS-COV-2 Delta-B.1.617.2,,,virus,172,,
SARS-COV-2 ETA-B.1.525,,,virus,173,,
SARS-COV-2 Gamma-p.1,,,virus,174,,
SARS-COV-2 IOTA-B.1.526,,,virus,175,,
SARS-COV-2 KAPPA-B.1.617.1,,,virus,176,,
SARS-COV-2 omicron,,,virus,177,,
SARS-COV-2 omicron-B.1.1.529,,,virus,178,,
SARS-COV-2 OMICRON-B.1.1.529.2 BA.2,,,virus,179,,
SARS-COV-2 OMICRON-B.1.1.529.5 BA.5,,,virus,180,,
SARS-Cov-2 teta-p.3,,,virus,181,,
Sars-cov-2 zeta-p.2,,,virus,182,,
SARS-COV-2 Alpha-B.1.1.7,,,virus,183,,
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),184,,
Anticorpo SARS-CoV-2 IgG,63000000000000.0,SNOMED,virus (substance),185,,
Anticorpo SARS-CoV-2 IgG/IgM,840535000.0,SNOMED,virus (substance),186,,
Anticorpo SARS-CoV-2 IgM,50600000000000.0,SNOMED,virus (substance),187,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,188,,
Sapovírus,407362002.0,SNOMED,virus,189,,
Scedosporium,31901009.0,SNOMED,fungi,190,,
Schistosoma,53583001.0,SNOMED,"parasite, helminth",191,,
Schistosoma Guineensis,,,"parasite, helminth",192,,
Schistosoma Haematobium,3294004.0,SNOMED,"parasite, helminth",193,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",194,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",195,,
Schistosoma Mansoni,11168007.0,SNOMED,"parasite, helminth",196,,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",197,,
Síndrome respiratória aguda grave Coronavírus 2,1240000000000000.0,SNOMED,virus,198,,
Coronavírus graves da síndrome respiratória aguda,415360003.0,SNOMED,virus,199,,
Febre grave com síndrome de trombocitopaenia (SFTs),722401001.0,SNOMED,virus,200,,
Simpxvirus (gênero),314797000.0,SNOMED,virus,201,,
Sporothrix Schenckii,32662000.0,SNOMED,fungi,202,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",203,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",204,,
Taenia Solium,17966003.0,SNOMED,"parasite, helminth",205,,
TALAROMYCES MARNEFFEI,71825007.0,SNOMED,fungi,206,,
Togoviridae,129231002.0,SNOMED,virus,207,,
Toxocara Canis,88857009.0,SNOMED,"parasite, helminth",208,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",209,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",210,,
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",211,,
Trichomonas,3764006.0,SNOMED,"parasite, protozoa",212,,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",213,,
Trichophyton,88578003.0,SNOMED,fungi,214,,
Trichosporon Asahii,243475001.0,SNOMED,fungi,215,,
Trichuris Trichiura,5378007.0,SNOMED,"parasite, helminth",216,,
Trypanosoma,40740003.0,SNOMED,"parasite, protozoa",217,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",218,,
Trypanosoma Brucei Rhodesiense,79513002.0,SNOMED,"parasite, protozoa",219,,
Trypanosoma Cruzi,88274000.0,SNOMED,"parasite, protozoa",220,,
Vírus do Nilo Ocidental,57311007.0,SNOMED,virus,221,,
Wuchereria Bancrofti,84925004.0,SNOMED,"parasite, helminth",222,,
Levedura,62093005.0,SNOMED,fungi,223,,
Vírus zika,50471002.0,SNOMED,virus,224,,
