Microorganism,Code,Library,Type,Unnamed: 4
"Human Herpesvirus 2 (HHV2, Herpes Simplex virus 2, HSV2)",407450002.0,SNOMED,virus,
"Human Herpesvirus 3 (Varicella-zoster virus, VZV)",19551004.0,SNOMED,virus,
"Human Herpesvirus 4 (Epstein-Barr virus, EBV)",40168006.0,SNOMED,virus,
"Human Herpesvirus 5 (Cytomegalovirus humanbeta5, hCMV)",243579005.0,SNOMED,virus,
Human Herpesvirus 6 (Roseola infantum virus),103528003.0,SNOMED,virus,
Human Immunodeficiency Virus (HIV),19030005.0,SNOMED,virus,
Human Immunodeficiency virus type 1 (HIV-1),89293008.0,SNOMED,virus,
Human Immunodeficiency virus type 2 (HIV-2),36115006.0,SNOMED,virus,
Human Metapneumovirus (hMPV),416730002.0,SNOMED,virus,
Human Parainfluenza virus,407498006.0,SNOMED,virus,
Human Parainfluenza virus 1,407489008.0,SNOMED,virus,
Human Parainfluenza virus 2,407491000.0,SNOMED,virus,
Human Parainfluenza virus 3,407493002.0,SNOMED,virus,
Human Parainfluenza virus 4,89117003.0,SNOMED,virus,
Human Parvovirus b19,63603005.0,SNOMED,virus,
Human Respiratory Syncytial virus (RSV),6415009.0,SNOMED,virus,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",
Influenza A subtype H5N8,708527000.0,SNOMED,virus,
Influenza A suptype H7N7,715346008.0,SNOMED,virus,
Influenza A virus,407479009.0,SNOMED,virus,
Influenza A virus subtype H1N1,442352004.0,SNOMED,virus,
Influenza A virus subtype H5N1,772827006.0,SNOMED,virus,
Influenza A virus subtype H7N9,609444009.0,SNOMED,virus,
Influenza B virus,407480007.0,SNOMED,virus,
Influenza virus,725894000.0,SNOMED,virus,
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",
Japanese encephalitis virus (JEV),243603004.0,SNOMED,virus,
Junin virus ,26352009.0,SNOMED,virus,
Lassa virus,85944001.0,SNOMED,virus,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",
Leishmania braziliensis complex,7400004.0,SNOMED,"parasite, protozoa",
Leishmania donovani complex,79781008.0,SNOMED,"parasite, protozoa",
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",
Lichthiemia,734206002.0,SNOMED,fungi,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,
Lujo virus,450622000.0,SNOMED,virus,
Lymphocytic choriomeningitis virus (LCMV),82518003.0,SNOMED,virus,
Machupo virus,71489006.0,SNOMED,virus,
Madurella,23009007.0,SNOMED,fungi,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,
Measles morbillivirus,52584002.0,SNOMED,virus,
MERS-CoV ,697932005.0,SNOMED,virus,
Metapneumovirus,407501006.0,SNOMED,virus,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,
Microsporidia,418382009.0,SNOMED,"parasite, protozoa",
Microsporum,11983001.0,SNOMED,fungi,
Middle East Respiratory Syndrome Coronavirus,697932005.0,SNOMED,virus,
Mpox virus,59774002.0,SNOMED,virus,
Mucor,49782006.0,SNOMED,fungi,
Mumps virus,50384007.0,SNOMED,virus,
Necator americanus,43905006.0,SNOMED,"parasite, helminth",
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,
Nipah virus,115511007.0,SNOMED,virus,
Norovirus,407359000.0,SNOMED,virus,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",
Orthomyxoviridae (influenza viruses),55014007.0,SNOMED,virus,
Papillomavirus,243584004.0,SNOMED,virus,
Papoviridae,243587006.0,SNOMED,virus,
Paracoccidioides,112405000.0,SNOMED,fungi,
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",
Paramyxoviridae,128354001.0,SNOMED,virus,
Parvoviridae,243587006.0,SNOMED,virus,
Penicillium,42993004.0,SNOMED,fungi,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,
Picornaviridae,407344006.0,SNOMED,virus,
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",
Pneumocystis,115987006.0,SNOMED,fungi,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,
Prion diseases,20484008.0,SNOMED,Prions,
Rabies virus,59881000.0,SNOMED,virus,
Respiratory Syncytial Virus (RSV),6415009.0,SNOMED,virus,
Retroviridae,77622001.0,SNOMED,virus,
Rhabdoviridae,407326003.0,SNOMED,virus,
Rhizomucor,85711000.0,SNOMED,fungi,
Rhizopus,17683005.0,SNOMED,fungi,
Rift Valley fever virus,28335002.0,SNOMED,virus,
Ross River virus,32458000.0,SNOMED,virus,
Rotavirus,417542000.0,SNOMED,virus,
Rubella virus,5210005.0,SNOMED,virus,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,
Sapovirus,407362002.0,SNOMED,virus,
SARS-CoV-2,840533007.0,SNOMED,virus,
SARS-CoV-2  Beta - B.1.351,,,virus,
SARS-CoV-2  Delta - B.1.617.2,,,virus,
SARS-CoV-2  Eta - B.1.525,,,virus,
SARS-CoV-2  Gamma - P.1,,,virus,
SARS-CoV-2  Iota - B.1.526,,,virus,
SARS-CoV-2  Kappa - B.1.617.1,,,virus,
SARS-CoV-2  Omicron ,,,virus,
SARS-CoV-2  Omicron - B.1.1.529,,,virus,
SARS-CoV-2  Omicron - B.1.1.529.2 BA.2,,,virus,
SARS-CoV-2  Omicron - B.1.1.529.5 BA.5,,,virus,
SARS-CoV-2  Theta- P.3,,,virus,
SARS-CoV-2  Zeta - P.2,,,virus,
SARS-CoV-2 Alpha - B.1.1.7,,,virus,No code to differientiate SARS-CoV-2 Varients. Could use generic SARS-CoV-2 and 'Variant' modifier e.g. 840533007 |Severe acute respiratory syndrome coronavirus 2 (organism)|40885006 |Variant (qualifier value)|
SARS-CoV-2 Antigen,840536004.0,SNOMED,virus (substance),
SARS-CoV-2 IgG Antibody,63001000000000.0,SNOMED,virus (substance),
SARS-CoV-2 IgG/IgM Antibody,840535000.0,SNOMED,virus (substance),
SARS-CoV-2 IgM Antibody,50581000000000.0,SNOMED,virus (substance),
Scedosporium,31901009.0,SNOMED,fungi,
Schistosoma,53583001.0,SNOMED,"parasite, helminth",
Schistosoma guineensis,,,"parasite, helminth","No Code, new species of schistosoma"
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",
Severe Acute Respiratory Syndrome Coronavirus 2,1240580000000000.0,SNOMED,virus,
Severe Acute Respiratory Syndrome-Related Coronavirus,415360003.0,SNOMED,virus,
Severe fever with thrombocytopaenia syndrome (SFTS) ,722401001.0,SNOMED,virus,
Simplexvirus (Genus),314797000.0,SNOMED,virus,
Sporothrix schenckii,32662000.0,SNOMED,fungi,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",
Taenia solium,17966003.0,SNOMED,"parasite, helminth",
Talaromyces marneffei,71825007.0,SNOMED,fungi,
Togoviridae,129231002.0,SNOMED,virus,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",
Trichomonas,3764006.0,SNOMED,"parasite, protozoa",
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",
Trichophyton,88578003.0,SNOMED,fungi,
Trichosporon asahii,243475001.0,SNOMED,fungi,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",
Trypanosoma,40740003.0,SNOMED,"parasite, protozoa",
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",
West Nile virus,57311007.0,SNOMED,virus,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",
Yeast,62093005.0,SNOMED,fungi,
Zika virus,50471002.0,SNOMED,virus,
