Microorganism,Code,Library,Type,Selected,preset_Syndrome_VHF,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,,,,,
Enterovirus (género Enterovirus),243633006.0,SNOMED,virus,,,,,
Epidermofiton,112403007.0,SNOMED,fungi,,,,,
Escherichia,64735005.0,SNOMED,bacteria,,,,,
Escherichia coli,112283007.0,SNOMED,bacteria,,,,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,,,
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,,,
Filoviridae (familia),407325004.0,SNOMED,virus,,,,,
Familia Flaviviridae,243602009.0,SNOMED,virus,,,,,
Francisella tularensis,51526001.0,SNOMED,bacteria,,,,,
Hongos,414561005.0,SNOMED,fungi,,,,,
Fusarium,35238009.0,SNOMED,fungi,,,,,
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,,,,
Género Marburgvirus,424421007.0,SNOMED,virus,,1.0,,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,,,
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,,,
Bacilo gramnegativo,87172008.0,SNOMED,bacteria,,,,,
Bacilo grampositivo,83514008.0,SNOMED,bacteria,,,,,
Cocos grampositivos,59206002.0,SNOMED,bacteria,,,,,
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,,,,
Haemophilus,71268004.0,SNOMED,bacteria,,,,,
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,,,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,,,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,,,,
Hafnia alvei,76694001.0,SNOMED,bacteria,,,,,
Virus hanta,49445003.0,SNOMED,virus,,1.0,,,
Helicobacter pylori,80774000.0,SNOMED,bacteria,,,,,
Virus Hendra,115510008.0,SNOMED,virus,,,,,
Hepadnavirus,422951006.0,SNOMED,virus,,,,,
Virus de la hepatitis A,32452004.0,SNOMED,virus,,,,,
virus de la hepatitis B,81665004.0,SNOMED,virus,,,,,
Virus de la hepatitis C,62944002.0,SNOMED,virus,,,,,
Hepatitis D,83617006.0,SNOMED,virus,,,,,
Virus de la hepatitis E,78475006.0,SNOMED,virus,,,,,
Virus del herpes,128377001.0,SNOMED,virus,,,,,
Histoplasma,81951003.0,SNOMED,fungi,,,,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,,,
Bocavirus humano,446373002.0,SNOMED,virus,,,,,
Coronavirus humano,84101006.0,SNOMED,virus,,,,,
"Virus del herpes humano 1 (HHV1, virus del herpes simple 1, HSV1)",407451003.0,SNOMED,virus,,,,,
"Virus del herpes humano tipo 2 (HHV2, virus del herpes simple tipo 2, HSV2)",407450002.0,SNOMED,virus,,,,,
"Virus del herpes humano tipo 3 (virus varicela-zóster, VZV)",19551004.0,SNOMED,virus,,,,,
"Virus del herpes humano tipo 4 (virus de Epstein-Barr, VEB)",40168006.0,SNOMED,virus,,,,,
"Virus del herpes humano tipo 5 (citomegalovirus humano beta5, hCMV)",243579005.0,SNOMED,virus,,,,,
Herpesvirus humano 6 (virus de la roséola infantil),103528003.0,SNOMED,virus,,,,,
Virus de inmunodeficiencia humana (VIH),19030005.0,SNOMED,virus,,,,,
Virus de inmunodeficiencia humana tipo 1 (VIH-1),89293008.0,SNOMED,virus,,,,,
Virus de inmunodeficiencia humana tipo 2 (VIH-2),36115006.0,SNOMED,virus,,,,,
Metaneumovirus humano (hMPV),416730002.0,SNOMED,virus,,,,,
Virus parainfluenza humano,407498006.0,SNOMED,virus,,,,,
Virus parainfluenza humano 1,407489008.0,SNOMED,virus,,,,,
Virus parainfluenza humano 2,407491000.0,SNOMED,virus,,,,,
Virus parainfluenza humano 3,407493002.0,SNOMED,virus,,,,,
Virus parainfluenza humano 4,89117003.0,SNOMED,virus,,,,,
Parvovirus humano b19,63603005.0,SNOMED,virus,,,,,
Virus respiratorio sincitial humano (VSR),6415009.0,SNOMED,virus,,,,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,,,
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,1.0,,,,
Influenza A suptipo H7N7,715346008.0,SNOMED,virus,1.0,,,,
Virus de la influenza A,407479009.0,SNOMED,virus,1.0,,,,
Virus de la influenza A subtipo H1N1,442352004.0,SNOMED,virus,1.0,,,,
Virus de la influenza A subtipo H5N1,772827006.0,SNOMED,virus,1.0,,,,
Virus de la influenza A subtipo H7N9,609444009.0,SNOMED,virus,1.0,,,,
Virus de la influenza B,407480007.0,SNOMED,virus,1.0,,,,
Virus de la gripe,725894000.0,SNOMED,virus,1.0,,,,
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",,,,,
Virus de la encefalitis japonesa (VEJ),243603004.0,SNOMED,virus,,,,,
Virus Junín,26352009.0,SNOMED,virus,,,,,
Klebsiella,75032006.0,SNOMED,bacteria,,,,,
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,,,,
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,,,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,,,,
"Klebsiella pneumoniae, BLEE",409801009.0,SNOMED,bacteria,,,,,
Klebsiella varicola,431976004.0,SNOMED,bacteria,,,,,
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,,,,
Virus de Lassa,85944001.0,SNOMED,virus,,1.0,,,
Legionella,7527002.0,SNOMED,bacteria,,,,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,,,,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,,,
Leishmania brasileña,83196002.0,SNOMED,"parasite, protozoa",,,,,
Complejo Leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",,,,,
Complejo Leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",,,,,
Leishmania viannia,712933004.0,SNOMED,"parasite, protozoa",,,,,
Leptospira interrogans,116401006.0,SNOMED,bacteria,,,,,
Lictiemia,734206002.0,SNOMED,fungi,,,,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,,,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,,,
Virus de lujo,450622000.0,SNOMED,virus,,,,,
Virus de la coriomeningitis linfocítica (LCMV),82518003.0,SNOMED,virus,,,,,
Virus Machupo,71489006.0,SNOMED,virus,,1.0,,,
Madurella,23009007.0,SNOMED,fungi,,,,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,,,
Morbilivirus del sarampión,52584002.0,SNOMED,virus,,,,,
MERS-CoV,697932005.0,SNOMED,virus,,,,,
Metaneumovirus,407501006.0,SNOMED,virus,,,,,
Staphylococcus aureus resistente a la meticilina (MRSA),115329001.0,SNOMED,bacteria,,,,,
Staphylococcus aureus sensible a la meticilina (MSSA),417943000.0,SNOMED,bacteria,,,,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,,,
Micrococo,52864008.0,SNOMED,bacteria,,,,,
Micrococo lúteo,48299003.0,SNOMED,bacteria,,,,,
Microsporidios,418382009.0,SNOMED,"parasite, protozoa",,,,,
Microsporum,11983001.0,SNOMED,fungi,,,,,
Síndrome respiratorio por coronavirus en Oriente Medio,697932005.0,SNOMED,virus,,,,,
Mirabilis,79589007.0,SNOMED,bacteria,,,,,
Virus Mpox,59774002.0,SNOMED,virus,1.0,,,,
Moraxella,36361003.0,SNOMED,bacteria,,,,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,,,,
Morganella,50713005.0,SNOMED,bacteria,,,,,
Morganella morganii,243301005.0,SNOMED,bacteria,,,,,
Mucor,49782006.0,SNOMED,fungi,,,,,
Virus de las paperas,50384007.0,SNOMED,virus,,,,,
Micobacteria,243368001.0,SNOMED,bacteria,,,,,
Micobacteria leprae,58242002.0,SNOMED,bacteria,,,,,
"Mycobacterium, no tuberculoso",110379001.0,SNOMED,bacteria,,,,,
Micobacteria tuberculosis,113861009.0,SNOMED,bacteria,,,,,
Micoplasma agalactiae,16377009.0,SNOMED,bacteria,,,,,
Pneumonia por micoplasma,58720004.0,SNOMED,bacteria,,,,,
Necator americano,43905006.0,SNOMED,"parasite, helminth",,,,,
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,,,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,,,
Virus Nipah,115511007.0,SNOMED,virus,,,,,
Asteroides de Nocardia,30092002.0,SNOMED,bacteria,,,,,
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,,,,
Norovirus,407359000.0,SNOMED,virus,,,,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,,,
Orthomyxoviridae (virus de la gripe),55014007.0,SNOMED,virus,,,,,
Virus del papiloma,243584004.0,SNOMED,virus,,,,,
Papovirus,243587006.0,SNOMED,virus,,,,,
Paracoccidioides,112405000.0,SNOMED,fungi,,,,,
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",,,,,
Paramixovirus,128354001.0,SNOMED,virus,,,,,
Parvovirus,243587006.0,SNOMED,virus,,,,,
Penicillium,42993004.0,SNOMED,fungi,,,,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,,,
Picornaviridae,407344006.0,SNOMED,virus,,,,,
Plasmodio,34706006.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,,,
Pneumocystis,115987006.0,SNOMED,fungi,,,,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,,,
Enfermedades priónicas,20484008.0,SNOMED,Prions,,,,,
Propionibacterium,34844008.0,SNOMED,bacteria,,,,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,,,,
Proteo,50517009.0,SNOMED,bacteria,,,,,
Proteus mirabilis,73457008.0,SNOMED,bacteria,,,,,
Proteo vulgar,45834001.0,SNOMED,bacteria,,,,,
Providencia rettgeri,14196002.0,SNOMED,bacteria,,,,,
Providencia estuardo,1445008.0,SNOMED,bacteria,,,,,
Pseudomonas,57032008.0,SNOMED,bacteria,,,,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,,,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,,,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,,,,,
Virus de la rabia,59881000.0,SNOMED,virus,,,,,
Raoultella,417468005.0,SNOMED,bacteria,,,,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,,,,
Raoultella planticola,416264004.0,SNOMED,bacteria,,,,,
Virus respiratorio sincitial (VSR),6415009.0,SNOMED,virus,,,,,
Retrovirus,77622001.0,SNOMED,virus,,,,,
Rabdovirus,407326003.0,SNOMED,virus,,,,,
Rizomucor,85711000.0,SNOMED,fungi,,,,,
Rizopus,17683005.0,SNOMED,fungi,,,,,
Virus de la fiebre del Valle del Rift,28335002.0,SNOMED,virus,,1.0,,,
Virus del río Ross,32458000.0,SNOMED,virus,,,,,
Rotavirus,417542000.0,SNOMED,virus,,,,,
Virus de la rubéola,5210005.0,SNOMED,virus,,,,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,,,,
Salmonela,27268008.0,SNOMED,bacteria,,,,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,,,,
Sapovirus,407362002.0,SNOMED,virus,,,,,
SARS-CoV-2,840533007.0,SNOMED,virus,1.0,,,,
SARS-CoV-2 beta-B.1.351,840533008.0,SNOMED,virus,,,No specific code for variants. Have coded all variants as SARS-Cov-2,,
Variante del SARS-CoV-2: B.1.617.2,840533009.0,SNOMED,virus,,,,,
SARS-CoV-2 Eta-B.1.525,840533010.0,SNOMED,virus,,,,,
SARS-CoV-2 Gamma - P.1,840533011.0,SNOMED,virus,,,,,
SARS-CoV-2 Iota-B.1.526,840533012.0,SNOMED,virus,,,,,
SARS-CoV-2 Kappa-B.1.617.1,840533013.0,SNOMED,virus,,,,,
Ómicrón del SARS-CoV-2,840533014.0,SNOMED,virus,,,,,
Omicrón SARS-CoV-2 - B.1.1.529,840533015.0,SNOMED,virus,,,,,
SARS-CoV-2 Omicron - B.1.1.529.2 BA.2,840533016.0,SNOMED,virus,,,,,
SARS-CoV-2 Omicron - B.1.1.529.5 BA.5,840533017.0,SNOMED,virus,,,,,
SARS-CoV-2 Theta-P.3,840533018.0,SNOMED,virus,,,,,
SARS-CoV-2 Zeta - Pág. 2,840533019.0,SNOMED,virus,,,,,
SARS-CoV-2 Alfa - B.1.1.7,840533020.0,SNOMED,virus,,,,,
Antígeno del SARS-CoV-2,840536004.0,SNOMED,virus (substance),,,,,
Anticuerpo IgG contra el SARS-CoV-2,63000000000000.0,SNOMED,virus (substance),,,,,
Anticuerpo IgG/IgM del SARS-CoV-2,840535000.0,SNOMED,virus (substance),,,,,
Anticuerpo IgM del SARS-CoV-2,50600000000000.0,SNOMED,virus (substance),,,,,
Escedosporium,31901009.0,SNOMED,fungi,,,,,
esquistosoma,53583001.0,SNOMED,"parasite, helminth",,,,,
Schistosoma guineensis,,,"parasite, helminth",,,"No Code, new species of schistosoma",,
Schistosoma haematobium,3294004.0,SNOMED,"parasite, helminth",,,,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,,,
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,,,
Esquistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,,,,
Serratia,42025004.0,SNOMED,bacteria,,,,,
Serratia liquefaciens,23787004.0,SNOMED,bacteria,,,,,
Serratia marcescens,33522002.0,SNOMED,bacteria,,,,,
Serratia ureilytica,450416004.0,SNOMED,bacteria,,,,,
Síndrome respiratorio agudo severo por coronavirus 2,1240000000000000.0,SNOMED,virus,,,,,
Coronavirus relacionado con el síndrome respiratorio agudo severo,415360003.0,SNOMED,virus,,,,,
Síndrome de fiebre intensa con trombocitopenia (SFTS),722401001.0,SNOMED,virus,,,,,
Shigella,77352002.0,SNOMED,bacteria,,,,,
Shigella boydii,55462008.0,SNOMED,bacteria,,,,,
Shigella disenteriae,43612004.0,SNOMED,bacteria,,,,,
Shigella flexneri,85729005.0,SNOMED,bacteria,,,,,
Shigella sonnei,4298009.0,SNOMED,bacteria,,,,,
Virus simplex (género),314797000.0,SNOMED,virus,,,,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,,,,
Sporothrix schenckii,32662000.0,SNOMED,fungi,,,,,
Estafilococo,65119002.0,SNOMED,bacteria,,,,,
Estafilococo áureo,3092008.0,SNOMED,bacteria,,,,,
Estafilococo capitis,40347003.0,SNOMED,bacteria,,,,,
Estafilococo caprae,76969000.0,SNOMED,bacteria,,,,,
Estafilococo cohnii,66872005.0,SNOMED,bacteria,,,,,
Estafilococo epidermidis,60875001.0,SNOMED,bacteria,,,,,
Estafilococo haemolítico,83452006.0,SNOMED,bacteria,,,,,
Estafilococo hominis,44827007.0,SNOMED,bacteria,,,,,
Estafilococo hominis hominis,432505008.0,SNOMED,bacteria,,,,,
Estafilococo lugdunensis,103494005.0,SNOMED,bacteria,,,,,
Estafilococo pettenkoferi,428731005.0,SNOMED,bacteria,,,,,
Estafilococo saprofítico,19743000.0,SNOMED,bacteria,,,,,
Estafilococo simulans,52122005.0,SNOMED,bacteria,,,,,
Estafilococo warneri,63550006.0,SNOMED,bacteria,,,,,
Estenotrophomonas,115656007.0,SNOMED,bacteria,,,,,
Maltophilia de Stenotrophomonas,113697002.0,SNOMED,bacteria,,,,,
Estreptococo,58800005.0,SNOMED,bacteria,,,,,
Streptococcus alfa-hemolítico,60631002.0,SNOMED,bacteria,,,,,
Estreptococo anginosus,44304009.0,SNOMED,bacteria,,,,,
Grupo de Streptococcus anginosus,415597009.0,SNOMED,bacteria,,,,,
Streptococcus beta-hemolítico,53490009.0,SNOMED,bacteria,,,,,
Estreptococo constellatus,76199005.0,SNOMED,bacteria,,,,,
Estreptococo dysgalactiae,40812000.0,SNOMED,bacteria,,,,,
Estreptococo gallolítico,113985000.0,SNOMED,bacteria,,,,,
Estreptococo intermedio,62170002.0,SNOMED,bacteria,,,,,
Estreptococo mitis,57997003.0,SNOMED,bacteria,,,,,
Estreptococo oralis,19870004.0,SNOMED,bacteria,,,,,
Estreptococo parasanguinis,113990002.0,SNOMED,bacteria,,,,,
Neumonía por estreptococo,9861002.0,SNOMED,bacteria,,,,,
Estreptococo pyogenes,80166006.0,SNOMED,bacteria,,,,,
Estreptococo salivarius,39888004.0,SNOMED,bacteria,,,,,
Estreptococo sanguinis,113993000.0,SNOMED,bacteria,,,,,
Estreptococo viridans,31703004.0,SNOMED,bacteria,,,,,
Grupo de Streptococcus viridans,31703004.0,SNOMED,bacteria,,,,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,,,,
Taenia solium,17966003.0,SNOMED,"parasite, helminth",,,,,
Talaromyces marneffei,71825007.0,SNOMED,fungi,,,,,
Togovirus,129231002.0,SNOMED,virus,,,,,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",,,,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",,,,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,,,
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",,,,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",,,,,
Tricomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",,,,,
Tricófito,88578003.0,SNOMED,fungi,,,,,
Trichosporon asahii,243475001.0,SNOMED,fungi,,,,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",,,,,
Tripanosoma,40740003.0,SNOMED,"parasite, protozoa",,,,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,,,
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",,,,,
Enterococcus resistente a la vancomicina (VRE),113727004.0,SNOMED,bacteria,,,,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,,,,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,,,,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,,,,,
Virus del Nilo Occidental,57311007.0,SNOMED,virus,,,,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",,,,,
Levadura,62093005.0,SNOMED,fungi,,,,,
Yersinia pestis,54365000.0,SNOMED,bacteria,,,,,
Virus del Zika,50471002.0,SNOMED,virus,,,,,
