Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Ictericia,R17,ICD10,18165001,SNOMED,,,,,
Dolor articular (artralgia),M25.5,ICD10,57676002,SNOMED,,,,,
Queratitis,H16.9,ICD10,5888003,SNOMED,,,,,
Debilidad / parálisis de la extremidad (monoplejia),G83.3,ICD10,713514005,SNOMED,,,,,
Pérdida del apetito (anorexia),R63.0,ICD10,79890006,SNOMED,,,,,
Pérdida del olfato (Anosmia),R43.0,ICD10,44169009,SNOMED,,,,,
Pérdida del sabor (paraageusia),R43.2,ICD10,271801002,SNOMED,,,,,
Linfadenitis,I88,ICD10,19471005,SNOMED,,,,,
Lesión mucosa,,,427752005,SNOMED,1.0,1.0,,,
Úlceras bucales (pulgadas orales recurrentes),K12.0,ICD10,26284000,SNOMED,,,,,
Dolores musculares (mialgia),M79.1,ICD10,68962001,SNOMED,,,,,
Debilidad muscular,M62.81,ICD10,26544005,SNOMED,,,,,
Náuseas o vómitos,R11,ICD10,16932000,SNOMED,,,,,
Dolor en el pecho al respirar,R07.1,ICD10,274664007,SNOMED,,,1.0,,
Palpitaciones,R00.2,ICD10,80313002,SNOMED,,,,,
Parestesia de la piel,R20.2,ICD10,91019004,SNOMED,,,,,
Perturbaciones visuales,H53,ICD10,63102001,SNOMED,,,,,
Retención de orina,R33.9,ICD10,267064002,SNOMED,,,,,
Trastorno del sueño,F51.9,ICD10,39898005,SNOMED,,,,,
Perturbaciones del habla,R47.9,ICD10,29164008,SNOMED,,,,,
Problemas para tragar o masticar (disfagia),R13.10,ICD10,40739000,SNOMED,,,,,
Prurito,L29,ICD10,418363000,SNOMED,,,,,
Latido/pulso de corazón rápido (taquicardia),R00.0,ICD10,3424008,SNOMED,,,,,
Erupciones o lesiones en la piel,R21,ICD10,271807003,SNOMED,,,,,
Trastornos de la nariz y senos nasales,J34,ICD10,89488007,SNOMED,,,,,
Convulsiones,R56.9,ICD10,91175000,SNOMED,,,,,
Escasez de aliento (disnea),R06.0,ICD10,267036007,SNOMED,,,1.0,,
Congestión nasal,R09.81,ICD10,68235000,SNOMED,,,1.0,,
Sarpullido,R21,ICD10,271807003,SNOMED,,1.0,,,
Cambios en la textura de la piel,R23.4,ICD10,274672009,SNOMED,,,,,
Estornudo,R06.7,ICD10,162367006,SNOMED,,,1.0,,
Dolor de garganta (dolor en la garganta),R07.0,ICD10,267102003,SNOMED,,,1.0,,
Resumen espontáneo (ecquimosis espontáneas),R23.3,ICD10,161887000,SNOMED,,,,,
Sudor (hiperhidrosis),R61,ICD10,312230002,SNOMED,,,,,
Edema localizado,R60.0,ICD10,274724004,SNOMED,,,,,
Ganglios linfáticos hinchados (ganglios linfáticos agrandados),R59.9,ICD10,30746006,SNOMED,,,,,
Tinnitus,H93.1,ICD10,60862001,SNOMED,,,,,
Temblor,R25.1,ICD10,26079004,SNOMED,,,,,
Pérdida de peso anormal,R63.4,ICD10,267024001,SNOMED,,,,,
Incontinencia urinaria,R32,ICD10,165232002,SNOMED,,,,,
Sibilante,R06.2,ICD10,56018004,SNOMED,,,1.0,,
Lesión de la piel,,,,SNOMED,1.0,,,,
