Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Herpesviridae,128377001.0,SNOMED,virus,,,
Histoplasma,81951003.0,SNOMED,fungi,,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,
Bocavírus humano,446373002.0,SNOMED,virus,,,
Coronavírus nos humanos,84101006.0,SNOMED,virus,,,
"Herpesvírus humano 1 (HHV1, vírus herpes simplex 1, HSV1)",407451003.0,SNOMED,virus,,,
"Herpesvírus humano 2 (hhv2, vírus herpes simplex 2, hsv2)",407450002.0,SNOMED,virus,,,
"Herpesvírus humano 3 (Vírus Varicella-Zoster, VZV)",19551004.0,SNOMED,virus,,,
"Herpesvírus humano 4 (vírus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,
"Herpesvírus Humano 5 (Cytomegalovírus humano5, HCMV)",243579005.0,SNOMED,virus,,,
Herpesvírus humano 6 (vírus Roseola infantum),103528003.0,SNOMED,virus,,,
Vírus da imunodeficiência humana (HIV),19030005.0,SNOMED,virus,,,
Vírus da imunodeficiência humana tipo 1 (HIV-1),89293008.0,SNOMED,virus,,,
Vírus da imunodeficiência humana tipo 2 (HIV-2),36115006.0,SNOMED,virus,,,
Metapneumovírus humano (HMPV),416730002.0,SNOMED,virus,,,
Vírus da parainfluenza humano,407498006.0,SNOMED,virus,,,
Vírus da parainfluenza humano 1,407489008.0,SNOMED,virus,,,
Vírus da parainfluenza humano 2,407491000.0,SNOMED,virus,,,
Vírus de parainfluenza humano 3,407493002.0,SNOMED,virus,,,
Vírus da parainfluenza humano 4,89117003.0,SNOMED,virus,,,
Parvovírus humano B19,63603005.0,SNOMED,virus,,,
Vírus sincicial respiratório humano (RSV),6415009.0,SNOMED,virus,,,
Hymenolepis Diminuta,23895005.0,SNOMED,"parasite, helminth",,,
Hymenolepis Nana,74311004.0,SNOMED,"parasite, helminth",,,
Influenza a subtipo H5n8,708527000.0,SNOMED,virus,,,
Influenza a suptype h7n7,715346008.0,SNOMED,virus,,,
Influenza um vírus,407479009.0,SNOMED,virus,,,
Influenza um subtipo de vírus H1N1,442352004.0,SNOMED,virus,,,
Influenza A Subtipo de vírus H5N1,772827006.0,SNOMED,virus,,,
Influenza A Vírus subtipo H7N9,609444009.0,SNOMED,virus,,,
Vírus influenza B.,407480007.0,SNOMED,virus,,,
Vírus influenza,725894000.0,SNOMED,virus,,,
Isopora Belli,12633005.0,SNOMED,"parasite, protozoa",,,
Vírus da encefalite japonesa (JEV),243603004.0,SNOMED,virus,,,
Vírus de Junin,26352009.0,SNOMED,virus,,,
Vírus Lassa,85944001.0,SNOMED,virus,,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,
Leishmania brasiliensis,83196002.0,SNOMED,"parasite, protozoa",,,
Complexo Leishmania Braziliensis,7400004.0,SNOMED,"parasite, protozoa",,,
Complexo Leishmania Donovani,79781008.0,SNOMED,"parasite, protozoa",,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,,
Lichthiemia,734206002.0,SNOMED,fungi,,,
LomentoSpora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,,
Vírus Lujo,450622000.0,SNOMED,virus,,,
Vírus da coriomeningite linfocítica (LCMV),82518003.0,SNOMED,virus,,,
Vírus Machupo,71489006.0,SNOMED,virus,,,
Madurella,23009007.0,SNOMED,fungi,,,
Malassezia Pachydermatis,51257000.0,SNOMED,fungi,,,
Morbillivirus de sarampo,52584002.0,SNOMED,virus,,,
Mers-Cov,697932005.0,SNOMED,virus,,,
Metapneumovírus,407501006.0,SNOMED,virus,,,
Meyerozyma Guilliermondii,29812000.0,SNOMED,fungi,,,
Microsporidia,418382009.0,SNOMED,"parasite, protozoa",,,
Microsporum,11983001.0,SNOMED,fungi,,,
Coronavírus da síndrome da síndrome respiratória do Oriente Médio,697932005.0,SNOMED,virus,,,
Vírus MPOX,59774002.0,SNOMED,virus,,,
Mucor,49782006.0,SNOMED,fungi,,,
Vírus da caxumba,50384007.0,SNOMED,virus,,,
Necator Americanus,43905006.0,SNOMED,"parasite, helminth",,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,
Vírus Nipah,115511007.0,SNOMED,virus,,,
Norovírus,407359000.0,SNOMED,virus,,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,
Orthomyxoviridae (vírus influenza),55014007.0,SNOMED,virus,,,
Papillomavírus,243584004.0,SNOMED,virus,,,
Papoviridae,243587006.0,SNOMED,virus,,,
Paracoccidioides,112405000.0,SNOMED,fungi,,,
Paragonimus Westermani,58412002.0,SNOMED,"parasite, helminth",,,
Paramyxoviridae,128354001.0,SNOMED,virus,,,
Parvoviridae,243587006.0,SNOMED,virus,,,
Penicillium,42993004.0,SNOMED,fungi,,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,
Picornaviridae,407344006.0,SNOMED,virus,,,
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,
Pneumocystis,115987006.0,SNOMED,fungi,,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,
Doenças de príon,20484008.0,SNOMED,Prions,,,
Vírus da raiva,59881000.0,SNOMED,virus,,,
Vírus sincicial respiratório (RSV),6415009.0,SNOMED,virus,,,
Retroviridae,77622001.0,SNOMED,virus,,,
Rhabdoviridae,407326003.0,SNOMED,virus,,,
Rhizomucor,85711000.0,SNOMED,fungi,,,
Rhizopus,17683005.0,SNOMED,fungi,,,
Vírus da febre do vale do rift,28335002.0,SNOMED,virus,,,
Vírus do rio Ross,32458000.0,SNOMED,virus,,,
Rotavírus,417542000.0,SNOMED,virus,,,
Vírus da rubéola,5210005.0,SNOMED,virus,,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,,
Sapovírus,407362002.0,SNOMED,virus,,,
SARS-CoV-2,840533007.0,SNOMED,virus,,,
SARS-COV-2 Beta-B.1.351,,,virus,,,
SARS-COV-2 Delta-B.1.617.2,,,virus,,,
SARS-COV-2 ETA-B.1.525,,,virus,,,
SARS-COV-2 Gamma-p.1,,,virus,,,
SARS-COV-2 IOTA-B.1.526,,,virus,,,
SARS-COV-2 KAPPA-B.1.617.1,,,virus,,,
SARS-COV-2 omicron,,,virus,,,
SARS-COV-2 omicron-B.1.1.529,,,virus,,,
SARS-COV-2 OMICRON-B.1.1.529.2 BA.2,,,virus,,,
SARS-COV-2 OMICRON-B.1.1.529.5 BA.5,,,virus,,,
SARS-Cov-2 teta-p.3,,,virus,,,
Sars-cov-2 zeta-p.2,,,virus,,,
SARS-COV-2 Alpha-B.1.1.7,,,virus,No code to differientiate SARS-CoV-2 Varients. Could use generic SARS-CoV-2 and 'Variant' modifier e.g. 840533007 |Severe acute respiratory syndrome coronavirus 2 (organism)|40885006 |Variant (qualifier value)|,,
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),,,
Anticorpo SARS-CoV-2 IgG,63001000000000.0,SNOMED,virus (substance),,,
Anticorpo SARS-CoV-2 IgG/IgM,840535000.0,SNOMED,virus (substance),,,
Anticorpo SARS-CoV-2 IgM,50581000000000.0,SNOMED,virus (substance),,,
Scedosporium,31901009.0,SNOMED,fungi,,,
Schistosoma,53583001.0,SNOMED,"parasite, helminth",,,
Schistosoma Guineensis,,,"parasite, helminth","No Code, new species of schistosoma",,
Schistosoma Haematobium,3294004.0,SNOMED,"parasite, helminth",,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,
Schistosoma Mansoni,11168007.0,SNOMED,"parasite, helminth",,,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,,
Síndrome respiratória aguda grave Coronavírus 2,1240580000000000.0,SNOMED,virus,,,
Coronavírus graves da síndrome respiratória aguda,415360003.0,SNOMED,virus,,,
Febre grave com síndrome de trombocitopaenia (SFTs),722401001.0,SNOMED,virus,,,
Simpxvirus (gênero),314797000.0,SNOMED,virus,,,
Sporothrix Schenckii,32662000.0,SNOMED,fungi,,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,,
Taenia Solium,17966003.0,SNOMED,"parasite, helminth",,,
TALAROMYCES MARNEFFEI,71825007.0,SNOMED,fungi,,,
Togoviridae,129231002.0,SNOMED,virus,,,
Toxocara Canis,88857009.0,SNOMED,"parasite, helminth",,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",,,
Trichomonas,3764006.0,SNOMED,"parasite, protozoa",,,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",,,
Trichophyton,88578003.0,SNOMED,fungi,,,
Trichosporon Asahii,243475001.0,SNOMED,fungi,,,
Trichuris Trichiura,5378007.0,SNOMED,"parasite, helminth",,,
Trypanosoma,40740003.0,SNOMED,"parasite, protozoa",,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,
Trypanosoma Brucei Rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,
Trypanosoma Cruzi,88274000.0,SNOMED,"parasite, protozoa",,,
Vírus do Nilo Ocidental,57311007.0,SNOMED,virus,,,
Wuchereria Bancrofti,84925004.0,SNOMED,"parasite, helminth",,,
Levedura,62093005.0,SNOMED,fungi,,,
Vírus zika,50471002.0,SNOMED,virus,,,
