Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Chikungunya,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy,preset_User Generated CRF_Encephalitis
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_whopg,radio,¿El niño o joven da su asentimiento?,"1, Sí | 0, No | 2, No competente",,,,,[inclu_consent_who]='2',,Se refiere al consentimiento dado por un menor o un adulto que no puede dar su consentimiento por sí mismo para participar en un estudio. El consentimiento debe ir acompañado del consentimiento de un padre o tutor legal para la participación plena en el estudio.,Seleccione la opción más adecuada que represente si se dio el consentimiento para participar en este estudio.,,,"C5205794, Informed Assent",,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent2des,descriptive,"Uso secundario de los datos recopilados, el participante está de acuerdo con las siguientes declaraciones:",,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secrsch,radio,"Uso futuro de datos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",,,,,[inclu_consent]='1',,Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secprod,radio,"Uso futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales","1, Sí | 0, No",,,,,[inclu_consent]='1',,"Se refiere al consentimiento para el uso secundario futuro de datos seudonimizados para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secgen,radio,"Uso futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",,,,,[inclu_consent]='1',,Se refiere al consentimiento para el uso secundario futuro de datos genéticos seudonimizados en investigaciones aprobadas éticamente.,Esta es una pregunta de consentimiento opcional y no es necesaria para completar el resto del CRF.,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentsecsamp,descriptive,"Uso secundario de las muestras recogidas, el participante está de acuerdo con las siguientes declaraciones:",,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsamprsch,radio,"Uso futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países","1, Sí | 0, No",,,,,[inclu_consent]='1',,"Se refiere al consentimiento para el uso secundario futuro de muestras seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsampprod,radio,"Uso futuro de muestras o materiales seudonimizados o de datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.","1, Sí | 0, No",,,,,[inclu_consent]='1',,"Se refiere al consentimiento para el uso secundario futuro de muestras o materiales seudonimizados o datos derivados de dichas muestras para fabricar pruebas, tratamientos u otros productos, incluidos productos comerciales.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_secsampgen,radio,"Uso futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.","1, Sí | 0, No",,,,,[inclu_consent]='1',,"Se refiere al consentimiento para el uso secundario futuro de muestras genéticas seudonimizadas en investigaciones aprobadas éticamente, incluidas investigaciones en otros países.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consentcont,descriptive,Contacto:,,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,,,
presentación,CRITERIOS DE INCLUSIÓN,inclu_consent_contnstudy,radio,"Ser contactado para participar en futuros trabajos, incluidos estudios de investigación.","1, Sí | 0, No",,,,,[inclu_consent]='1',,"Se refiere al contacto que se utilizará para participar en trabajos futuros, incluida la investigación.",Esta es una pregunta opcional sobre el consentimiento y no es necesaria para completar el resto del CRF.,,,,,,,,,,,,,,,,,,,,
presentación,INICIO Y PRESENTACIÓN,pres_onsetdate,date_dmy,Fecha de aparición del primer síntoma o del síntoma más temprano.,,date_dmy,,today,,,,Se refiere a la fecha de aparición del primer síntoma o del síntoma más temprano que está clínicamente relacionado con el episodio actual de la enfermedad.,"Indique la fecha del primer síntoma que, según su criterio clínico, esté relacionado con este episodio de enfermedad en formato DD/MM/AAAA.",SNOMED,"405795006, Time of symptom onset (observable entity)",,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0
presentación,INICIO Y PRESENTACIÓN,pres_symptpres,radio,¿Presentaba síntomas en la consulta inicial?,"1, Sí | 0, No | 99, Desconocido",,,,,,,Se refiere a si el paciente presentaba síntomas en la consulta inicial.,Indique «Sí» si el paciente presentaba síntomas en la consulta inicial.,,,,,,,,,,,1.0,,1.0,,,,,,,
presentación,INICIO Y PRESENTACIÓN,pres_firstsym,multi_list,Síntomas durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).,,,,,conditions_Symptoms,,,"Se refiere al primer síntoma, o síntomas (si se produjeron varios al mismo tiempo), que usted cree clínicamente que estaban relacionados con este episodio de la enfermedad.",Seleccione todos los síntomas que experimentó el paciente durante las primeras 24 horas de la enfermedad (seleccione todos los que correspondan).,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
presentación,INICIO Y PRESENTACIÓN,pres_consultdate,date_dmy,Fecha de la primera consulta clínica.,,date_dmy,,today,,,,Se refiere a la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad.,Indique la fecha de la primera consulta clínica relacionada con el episodio actual de la enfermedad en formato DD/MM/AAAA.,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,
presentación,INICIO Y PRESENTACIÓN,pres_date,date_dmy,Fecha más reciente de presentación/ingreso en este centro.,,date_dmy,,today,,,,Se refiere a la fecha de hospitalización o ingreso del paciente en su centro por la enfermedad actual.,Introduzca la fecha de hospitalización/ingreso en su centro (en formato DD/MM/AAAA).,SNOMED,"32485007, Hospital admission (procedure)",,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0
presentación,INICIO Y PRESENTACIÓN,pres_adm,radio,Ingresado en el hospital.,"1, Sí | 0, No | 99, Desconocido",,,,,,,Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Indique «Sí» si el paciente fue ingresado en su centro.,SNOMED,"32485007, Presentation to hospital (event)",,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,
presentación,INICIO Y PRESENTACIÓN,pres_adm_reas,radio,Motivo de la hospitalización.,,,,,,[pres_adm] = '1',,Se refiere al motivo (indicación) de la hospitalización.,"Si la respuesta es «Sí», especifique el motivo (indicación) de la hospitalización.",,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,
presentación,INICIO Y PRESENTACIÓN,pres_adm_reasoth,text,Especifique otro motivo,,,,,,[pres_adm_reas]='88',,,,,,,,,,,,1.0,,1.0,,,,,,,,,
presentación,INICIO Y PRESENTACIÓN,pres_adm_time,time,Hora del ingreso hospitalario.,,time,,,,[pres_adm] = '1',,Se refiere al ingreso del paciente en su centro por la enfermedad actual.,Introduzca la hora de ingreso en su centro en formato de 24 horas (00:00 - 24:00 horas).,,,,,,,,1.0,,,,,,,,,,,,
presentación,INICIO Y PRESENTACIÓN,pres_enrolmentdate,date_dmy,Fecha de inscripción/inicio de la recopilación de datos.,,date_dmy,,today,,,,Se refiere a la fecha de inscripción/inicio de la recopilación de datos.,Introduzca la fecha de inscripción del paciente en el estudio en formato día/mes/año (DD/MM/AAAA).,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0
presentación,REINGRESO Y PIN ANTERIOR,readm_prev,radio,¿El paciente fue ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad?,"1, SÍ: ingresado anteriormente en este centro y dado de alta | 2, SÍ: ingresado en otro centro y dado de alta | 3, SÍ: ingresado en otro centro y trasladado a este centro | 0, No | 99, Desconocido",,,,,,,Se refiere a la admisión previa en un centro de salud o al traslado desde otro centro de salud durante el episodio actual de la enfermedad.,Seleccione la opción más adecuada que indique si el paciente ha sido ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad.,,,,,,,,,,,,,,,,,,,,1.0
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_site,text,Nombre del centro de traslado,,,,,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,Se refiere al nombre del centro desde el que se admitió o trasladó previamente al paciente.,Introduzca el nombre del centro desde el que fue ingresado o trasladado el paciente.,,,,,,,,,,,,,,,,,,,,1.0
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_date,date_dmy,Fecha de presentación en el centro anterior,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,Se refiere a la fecha de presentación en el centro en el que se admitió o trasladó previamente al paciente.,Introduzca la fecha de presentación en el centro en el que fue ingresado o trasladado el paciente.,,,,,,,,,,,,,,,,,,,,1.0
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_num,number,Número total de ingresos anteriores por esta infección,,number,1.0,50,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,Se refiere al número de veces (para esta infección) que el paciente ha sido admitido en un centro de salud.,Indique el número de veces (para esta infección) que el paciente ha sido ingresado en un centro sanitario.,,,,,,,,,,,,,,,,,,,,1.0
presentación,REINGRESO Y PIN ANTERIOR,readm_firstadmdate,date_dmy,Fecha de la primera admisión por esta infección,,date_dmy,,today,,[readm_prev] = '1' or [readm_prev]='2' or [readm_prev]='3',,"Se refiere a la fecha de la primera admisión por esta enfermedad. Si el paciente fue «admitido primero en otro centro y luego trasladado a este centro», registre la fecha en que el paciente fue admitido en el otro centro de salud.",Escriba la fecha en formato DD/MM/AAAA.,,,,,,,,,,,,,,,,,,,,1.0
presentación,REINGRESO Y PIN ANTERIOR,readm_difpin,radio,¿Se han recopilado anteriormente los datos del paciente con un número de identificación de participante (PIN) diferente?,"1, Sí | 0, No | 99, Desconocido",,,,,,,Se refiere a la recopilación previa de los datos del paciente con un número de identificación de participante (PIN) diferente.,Indique «Sí» si los datos del paciente se han recopilado anteriormente con un número de identificación de participante (PIN) diferente.,,,,,,,,,,,,,,,,,,,,
presentación,REINGRESO Y PIN ANTERIOR,readm_prevpin,text,Número de identificación de participante anterior (PIN),,,,,,[readm_difpin] = '1',,El número de identificación de participante o PIN es un número único que se utiliza para identificar los datos del paciente (participante).,Escriba el número de identificación de participante (PIN).,,,,,,,,,,,,,,,,,,,,
presentación,REINGRESO Y PIN ANTERIOR,readm_reas,radio,¿El paciente ha sido readmitido con o debido a una infección por el patógeno de interés?,"1, Sí | 0, No | 99, Desconocido",,,,,,,Se refiere a la readmisión del paciente con o debido a una infección por el patógeno de interés.,Indique «Sí» si el paciente está siendo readmitido con o debido a una infección por el patógeno de interés.,,,,,,,,,,,,1.0,,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_birthknow,radio,¿Se conoce la fecha de nacimiento?,"1, Sí | 0, No",,,,,,,Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.,SNOMED,"184099003, Date of birth (observable entity)","C0421451, Patient date of birth",,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_birthdate,date_dmy,Fecha de nacimiento,,date_dmy,,today,,[demog_birthknow]='1',,Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.,SNOMED,"184099003, Date of birth (observable entity)","C0421451, Patient date of birth",1.0,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_age,number,Edad,,number,0.0,150,,[demog_birthknow]='0',,Se refiere a la edad del paciente.,"Para los participantes mayores de dos años, indique la edad en años. Para los niños menores de un año, indique la edad en meses. Para los recién nacidos menores de un mes, indique la edad en días.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_age_units,radio,Unidad de edad,"1, Años | 2, Meses | 3, Días",,,,,[demog_birthknow]='0',,Se refiere a la edad del paciente en el momento de su presentación en el centro de salud.,Seleccione las unidades más adecuadas para la edad.,SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_calcage_days,calc,Edad calculada (días),"if([demog_birthknow]='1',datediff([demog_birthdate],[pres_date],""d""),if([demog_age_units]='1',[demog_ag e]*365,if([demog_age_units]='2',round([demog_age]*365/12,0),if([demog_age_units]='3',[demog_age],''))))",,,,,,,Se refiere a la edad del paciente en días.,"La edad se calcula, si se conoce la fecha de nacimiento, como la diferencia entre la fecha de nacimiento y la fecha más reciente de presentación o ingreso al establecimiento.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_sex,radio,Sexo al nacer,"1, Hombre | 2, Mujer | 99, No especificado/Desconocido | 88, Otro",,,,,,,Se refiere a las características sexuales físicas al nacer.,Seleccione la opción más adecuada que represente las características físicas sexuales al nacer.,SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_sex_oth,text,Especificar otro sexo al nacer,,,,,,[demog_sex]='88',,Se refiere a las características sexuales físicas al nacer.,"Si «Otro», especifique las características físicas sexuales al nacer.",SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_gender,radio,Género,"1, Hombre | 2, Mujer | 3, No binario | 99, Desconocido | 88, Otro",,,,,[demog_calcage_days]>3650,,"Se refiere al sentido interno que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo. ",Seleccione la opción más adecuada que represente la identidad de género del paciente.,SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_gender_oth,text,Especificar otro género,,,,,,[demog_gender]='88',,"Se refiere a la percepción interna que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo.","Si «Otro», especifique la identidad de género del paciente.",SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_country,user_list,País,,,,,demographics_Country,,,Se refiere al país de inscripción.,Indique el país de inscripción.,,,,,,,,,,,,,,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_outcountry,radio,¿El paciente nació fuera del país que presenta el informe?,"1, Sí | 0, No | 99, Desconocido",,,,,,,Se refiere al nacimiento del participante fuera del país que presenta el informe.,Indique si el participante nació fuera del país que presenta el informe.,,,,,,,,,,,,,,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_height,number,Altura (seleccione las unidades),,number,0.0,250,,,,Altura real o estimación más cercana a la altura en el momento de la admisión.,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_height_units,radio,Altura (apartamentos seleccionados),"1 cm | 2, en",units,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_height_cm,number,Altura (cm),,number,0.0,250,,,,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en centímetros. Para los niños menores de 2 años, utilice la longitud del cuerpo (medida en posición supina).","Indique la altura del paciente en centímetros (cm). Para niños menores de 2 años, utilice la longitud.",SNOMED,"1153637007, Body height (observable entity)","C0489786, Height",,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_height_in,number,Altura (pulgadas),,number,0.0,98,,,,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en pulgadas. Para los niños menores de 2 años, utilice la longitud corporal (medida en posición supina).","Indique la altura del paciente en pulgadas (in). Para niños menores de 2 años, utilice la longitud.",,"1153637007, Body height (observable entity)","C0489786, Height",,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_weight,number,Peso (seleccione las unidades),,number,0.0,1763,,,,Peso real o estimación más cercana al peso en el momento del ingreso.,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_weight_units,radio,Peso (unidades seleccionadas),1kg | 2 libras,units,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_weight_kg,number,Peso (kg),,number,0.0,800,,,,"Se refiere al peso de un sujeto, expresado en kilogramos (kg).",Indique el peso del paciente en kilogramos (kg).,SNOMED,"27113001,  Body weight (observable entity)","C0005910, Body Weight",,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,
presentación,DATOS DEMOGRÁFICOS,demog_weight_lb,number,Peso (lb),,number,0.0,1763,,,,"Se refiere al peso de un sujeto, expresado en libras (lb).",Indique el peso del paciente en libras (lb).,,"27113001,  Body weight (observable entity)","C0005910, Body Weight",,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,
presentación,DATOS DEMOGRÁFICOS,demog_race,multi_list,Raza (seleccione todas las que correspondan),,,,,demographics_Race,,,Se refiere a una categoría de origen geográfico ancestral que se asigna a un grupo de población basándose principalmente en características físicas que se consideran distintivas e inherentes.,Seleccione todas las opciones que correspondan.,SNOMED,"103579009, Race (observable entity)","C3853635, Race",,,,,,1.0,,,,,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_healthcare,radio,Trabaja en el sector salud,"1, Sí | 0, No | 99, Desconocido",,,,,[demog_calcage_days]>5840,,Se refiere a un paciente que trabaja en el sector sanitario.,Seleccione la opción más adecuada.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_ptfacing,radio,Tiene contacto directo con pacientes,"1, Sí | 0, No | 99, Desconocido",,,,,[demog_healthcare] = '1',,"Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos de atención al paciente (es decir, funciones que implican la interacción directa con los pacientes). ",Seleccione la opción más adecuada.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_expbiosample,radio,Expuesto a muestras biológicas,"1, Sí | 0, No | 99, Desconocido",,,,,[demog_healthcare] = '1',,"Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos que no están en contacto con pacientes, pero que está expuesto a muestras biológicas (por ejemplo, personal de laboratorio, manipuladores de residuos médicos).",Seleccione la opción más adecuada.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0
presentación,DATOS DEMOGRÁFICOS,demog_riskoccupa,user_list,¿El paciente ejerce alguna de estas profesiones o una profesión relacionada con su infección?,,,,,demographics_Occupation,,,Se refiere a la actividad principal que realiza una persona para ganarse la vida.,Seleccione todas las opciones que correspondan.,,,,,risk_factor_socio,,1.0,,,,,1.0,,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_occupation,radio,Lugar principal de trabajo,"1, Trabajo desde casa o desempleado | 2, Interior: oficina/salud/educación/hostelería/negocios/hogares | 3, Interior: fábrica | 8, Exterior: contacto con animales (veterinario, ganadero, trabajador de matadero) | 4, Al aire libre: agricultura/silvicultura/pesca | 5, Al aire libre: construcción/industria/minería | 6, Fuerzas armadas | 7, Estudiante | 99, Desconocido | 88, Otro",,,,,,,Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual. ,Seleccione la opción más adecuada que represente el lugar principal de trabajo.,,,,,risk_factor_socio,,,1.0,1.0,,,,1.0,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_occupation_oth,text,Especifique otro lugar principal de trabajo,,,,,,[demog_occupation]='88',,Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual.,"Si es «Otro», especifique el lugar principal de trabajo.",,,,,risk_factor_socio,,,1.0,1.0,,,,1.0,,,,,,,
presentación,DATOS DEMOGRÁFICOS,demog_residence,radio,Ciudad de residencia del paciente,"1, Igual que el centro sanitario | 2, Diferente del centro sanitario | 99, Desconocido",,,,,,,Se refiere a la ciudad en la que una persona reside de forma más que temporal o vive de forma permanente.,"Si la ciudad de residencia del paciente es diferente a la ciudad en la que se encuentra este centro sanitario, especifique la región de residencia del paciente a continuación.",SNOMED,"433178008, City of residence (observable entity)","C2316883, City of residence",,risk_factor_socio,,,1.0,,,,,1.0,,,,,,,1.0
