Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline
inclu_consent_secsampgen,apresentação,CRITÉRIOS DE INCLUSÃO,"Uso futuro de amostras genéticas pseudonimizadas em pesquisas aprovadas eticamente, incluindo pesquisas em outros países","1, Sim | 0, Não","Refere-se ao consentimento para uso secundário futuro de amostras genéticas pseudonimizadas em pesquisas aprovadas eticamente, incluindo pesquisas em outros países",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.
inclu_consentcont,apresentação,CRITÉRIOS DE INCLUSÃO,Contato,,,
inclu_consent_contnstudy,apresentação,CRITÉRIOS DE INCLUSÃO,"Ser contatado para participar de trabalhos futuros, incluindo estudos de pesquisa","1, Sim | 0, Não","Refere-se ao contato a ser feito para participar de trabalhos futuros, incluindo estudos de pesquisa",Esta é uma pergunta opcional de consentimento e não é necessária para a conclusão do restante do CRF.
pres_onsetdate,apresentação,INÍCIO E APRESENTAÇÃO,Data de início do primeiro/mais antigo sintoma,,Refere-se à data de início do primeiro/mais antigo sintoma clinicamente relacionado ao episódio atual da doença.,Informe a data do primeiro sintoma que você clinicamente acredita estar relacionado a este episódio da doença no formato DD/MM/AAAA.
pres_symptpres,apresentação,INÍCIO E APRESENTAÇÃO,Sintomático na apresentação inicial?,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao fato de o paciente apresentar sintomas na apresentação inicial.,Indique “Sim” se o paciente apresentava sintomas na consulta inicial.
pres_firstsym,apresentação,INÍCIO E APRESENTAÇÃO,Sintoma(s) durante as primeiras 24 horas da doença (selecione todos os que se aplicam),,"Refere-se ao primeiro sintoma, ou sintomas (se vários ocorreram ao mesmo tempo), que você clinicamente acredita estar relacionado a este episódio da doença.",Selecione todos os sintomas que o paciente apresentou durante as primeiras 24 horas da doença (selecione todos os que se aplicam).
pres_consultdate,apresentação,INÍCIO E APRESENTAÇÃO,Data da primeira consulta clínica,,Refere-se à data da primeira consulta clínica relacionada ao episódio atual da doença.,Forneça a data da primeira consulta clínica relacionada ao episódio atual da doença no formato DD/MM/AAAA.
pres_date,apresentação,INÍCIO E APRESENTAÇÃO,Data da apresentação/admissão mais recente nesta instituição,,Refere-se à data da hospitalização/admissão do paciente em seu local para o tratamento da doença atual.,Insira a data da hospitalização/admissão em seu local (no formato DD/MM/AAAA).
pres_adm,apresentação,INÍCIO E APRESENTAÇÃO,Admitido no hospital,"1, Sim | 0, Não | 99, Desconhecido",Refere-se à admissão do paciente em seu local para o tratamento da doença atual.,Indique “Sim” se o paciente foi admitido em seu local.
pres_adm_reas,apresentação,INÍCIO E APRESENTAÇÃO,Motivo da hospitalização,,Refere-se ao motivo (indicação) da hospitalização.,"Se “Sim”, especifique o motivo (indicação) da hospitalização."
pres_adm_time,apresentação,INÍCIO E APRESENTAÇÃO,Hora da admissão no hospital,,Refere-se à admissão do paciente em sua unidade para a doença atual.,Insira a hora da admissão no seu local no formato de 24 horas (00:00 - 24:00 horas).
pres_enrolmentdate,apresentação,INÍCIO E APRESENTAÇÃO,Data de inscrição/início da coleta de dados,,Refere-se à data de inscrição/início da coleta de dados.,Insira a data de inscrição do paciente no estudo no formato dia/mês/ano (DD/MM/AAAA).
readm_prev,apresentação,READMISSÃO E PIN ANTERIOR,O paciente foi internado anteriormente ou transferido de outra instituição durante este episódio da doença?,"1, SIM - admitido anteriormente nesta instituição e recebeu alta | 2, SIM - admitido em outra instituição e recebeu alta | 3, SIM - admitido em outra instituição e transferido para esta instituição | 0, Não | 99, Desconhecido",Refere-se à admissão anterior em uma unidade de saúde ou transferência de outra unidade de saúde durante o episódio atual da doença.,Selecione a opção mais adequada que representa se o paciente foi admitido anteriormente ou transferido de qualquer outra instituição durante este episódio da doença.
readm_prev_site,apresentação,READMISSÃO E PIN ANTERIOR,Nome da instituição de transferência,,Refere-se ao nome da unidade da qual o paciente foi admitido ou transferido anteriormente.,Insira o nome da instituição da qual o paciente foi admitido ou transferido anteriormente.
readm_prev_date,apresentação,READMISSÃO E PIN ANTERIOR,Data da apresentação na instituição anterior,,Refere-se à data de apresentação na unidade na qual o paciente foi admitido ou transferido anteriormente.,Insira a data de apresentação na instituição na qual o paciente foi admitido ou transferido anteriormente.
readm_prev_num,apresentação,READMISSÃO E PIN ANTERIOR,Número total de internações anteriores para esta infecção,,Refere-se ao número de vezes (para esta infecção) que o paciente foi admitido em uma unidade de saúde.,Indique o número de vezes (para esta infecção) que o paciente foi admitido em uma unidade de saúde.
readm_firstadmdate,apresentação,READMISSÃO E PIN ANTERIOR,Data da admissão mais precoce para esta infecção,,"Refere-se à data da primeira admissão por esta doença. Se o paciente foi primeiro “admitido em outra unidade e depois transferido para esta unidade”, registre a data em que o paciente foi admitido na outra unidade de saúde.",Escreva a data no formato DD/MM/AAAA.
readm_difpin,apresentação,READMISSÃO E PIN ANTERIOR,Os dados do paciente foram coletados anteriormente com um número de identificação de participante (PIN) diferente?,"1, Sim | 0, Não | 99, Desconhecido",Refere-se à coleta anterior dos dados do paciente sob um número de identificação do participante (PIN) diferente.,Indique “Sim” se os dados do paciente foram coletados anteriormente com um número de identificação do participante (PIN) diferente.
readm_prevpin,apresentação,READMISSÃO E PIN ANTERIOR,Número de identificação do participante anterior (PIN),,O número de identificação do participante ou PIN é um número único usado para identificar os dados do paciente (participante).,Escreva o número de identificação do participante (PIN).
readm_reas,apresentação,READMISSÃO E PIN ANTERIOR,O paciente está sendo readmitido com ou devido a infecção pelo patógeno de interesse?,"1, Sim | 0, Não | 99, Desconhecido",Refere-se à readmissão do paciente com ou devido a infecção pelo patógeno de interesse.,Indique “Sim” se o paciente está sendo readmitido com ou devido a infecção pelo patógeno de interesse.
demog_sex,apresentação,DEMOGRAFIA,Sexo ao nascer,"1, Masculino | 2, Feminino | 99, Não especificado/Desconhecido | 88, Outro",Refere-se às características sexuais físicas ao nascimento.,Selecione a opção mais adequada que represente as características físicas sexuais ao nascimento.
demog_sex_oth,apresentação,DEMOGRAFIA,Especifique outro sexo ao nascer,,Refere-se às características sexuais físicas ao nascimento.,"Se “Outro”, especifique as características físicas sexuais ao nascimento."
demog_gender,apresentação,DEMOGRAFIA,Gênero,"1, Homem | 2, Mulher | 3, Não binário | 99, Desconhecido | 88, Outro","Refere-se ao sentimento interno de uma pessoa em relação ao seu gênero, que pode ou não corresponder ao sexo genotípico ou fenotípico do indivíduo. ",Selecione a opção mais adequada que represente a identidade de gênero do paciente.
demog_gender_oth,apresentação,DEMOGRAFIA,Especifique outro gênero,,"Refere-se à percepção interna que uma pessoa tem do seu género, que pode ou não corresponder ao sexo genotípico ou fenotípico do indivíduo.","Se “Outro”, especifique a identidade de gênero do paciente."
demog_birthknow,apresentação,DEMOGRAFIA,A data de nascimento é conhecida?,"1, Sim | 0, Não",Refere-se à data do calendário em que o paciente nasceu.,Registre a data de nascimento dos participantes no formato DD/MM/AAAA.
demog_birthdate,apresentação,DEMOGRAFIA,Data de nascimento,,Refere-se à data do calendário em que o paciente nasceu.,Registre a data de nascimento dos participantes no formato DD/MM/AAAA.
demog_age,apresentação,DEMOGRAFIA,Idade,,Refere-se à idade do paciente.,"Para participantes com mais de dois anos, informe a idade em anos. Para crianças com menos de um ano, informe em meses. Para recém-nascidos com menos de um mês, informe em dias."
demog_age_units,apresentação,DEMOGRAFIA,Unidades de idade,"1, Anos | 2, Meses | 3, Dias",Refere-se à idade do paciente no momento da apresentação na unidade de saúde.,Selecione as unidades mais adequadas para a idade.
demog_country,apresentação,DEMOGRAFIA,País,,Refere-se ao país de inscrição,Indique o país de inscrição
demog_outcountry,apresentação,DEMOGRAFIA,O paciente nasceu fora do país que está relatando?,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao nascimento do participante fora do país de notificação.,Indique se o participante nasceu fora do país de notificação
demog_calcage,apresentação,DEMOGRAFIA,Idade calculada,"datediff([demog_birthdate], [pres_date], “y”)",Refere-se à idade do paciente.,"A idade é calculada, se a data de nascimento for conhecida, como a diferença entre a data de nascimento e a data mais recente de apresentação ou admissão na instituição."
demog_height,apresentação,DEMOGRAFIA,Altura (selecione as unidades),,Altura real ou estimada mais próxima no momento da admissão.,
demog_height_cm,apresentação,DEMOGRAFIA,Altura (cm),,"Refere-se à distância da sola do pé até o topo da cabeça, com o corpo em pé sobre uma superfície plana e totalmente esticado, medida em centímetros. Para crianças menores de 2 anos, use o comprimento do corpo (medido em posição supina).","Indique a altura do paciente em centímetros (cm). Para crianças com menos de 2 anos, use o comprimento."
demog_height_in,apresentação,DEMOGRAFIA,Altura (pol.),,"Refere-se à distância entre a sola do pé e o topo da cabeça, com o corpo em pé sobre uma superfície plana e totalmente esticado, medida em polegadas. Para crianças com menos de 2 anos, utilize o comprimento do corpo (medido em posição supina).","Indique a altura do paciente em polegadas (pol.). Para crianças com menos de 2 anos, use o comprimento."
demog_weight,apresentação,DEMOGRAFIA,Peso (selecione as unidades),,Peso real ou estimado mais próximo do peso no momento da admissão.,
demog_weight_kg,apresentação,DEMOGRAFIA,Peso (kg),,"Refere-se ao peso de um indivíduo, expresso em quilogramas (kg).",Indique o peso do paciente em quilogramas (kg).
demog_weight_lb,apresentação,DEMOGRAFIA,Peso (lb),,"Refere-se ao peso de um indivíduo, expresso em libras (lb).",Indique o peso do paciente em libras (lb).
demog_race,apresentação,DEMOGRAFIA,Raça (selecione todas as opções aplicáveis),,Refere-se a uma categoria de origem ancestral geográfica atribuída a um grupo populacional com base principalmente em características físicas consideradas distintas e inerentes.,Selecione todas as opções aplicáveis.
demog_healthcare,apresentação,DEMOGRAFIA,Empregado como profissional de saúde,"1, Sim | 0, Não | 99, Desconhecido",Refere-se a um paciente que trabalha no setor de saúde.,Selecione a opção mais adequada.
demog_healthcare_ptfacing,apresentação,DEMOGRAFIA,Paciente em situação de,"1, Sim | 0, Não | 99, Desconhecido","Refere-se a um paciente que trabalha no setor de saúde prestando cuidados em ambientes de atendimento ao paciente (ou seja, funções que envolvem interação direta com pacientes). ",Selecione a opção mais adequada.
demog_healthcare_expbiosample,apresentação,DEMOGRAFIA,Exposição a amostras biológicas,"1, Sim | 0, Não | 99, Desconhecido","Refere-se a um paciente que trabalha no setor de saúde prestando cuidados em ambientes que não envolvem contato direto com pacientes, mas que está exposto a amostras biológicas (por exemplo, funcionários de laboratório, manipuladores de resíduos médicos).",Selecione a opção mais adequada.
demog_riskoccupa,apresentação,DEMOGRAFIA,O paciente exerce alguma dessas profissões ou uma profissão relacionada à sua infecção?,,Refere-se à atividade principal que uma pessoa realiza para ganhar a vida.,Selecione todas as opções aplicáveis.
demog_occupation,apresentação,DEMOGRAFIA,Local de trabalho principal,"1, Trabalho em casa ou desempregado | 2, Interior - escritório/saúde/educação/hotelaria/negócios/residências | 3, Interior - fábrica | 8, Exterior - contato com animais (veterinário, criador de animais, trabalhador de matadouro) | 4, Ao ar livre - agricultura/silvicultura/pesca | 5, Ao ar livre - construção/indústria/mineração | 6, Forças Armadas | 7, Estudante | 99, Desconhecido | 88, Outros",Refere-se ao local onde o paciente realiza a maior parte do trabalho relacionado à sua ocupação atual. ,Selecione a opção mais adequada que representa o local principal de ocupação.
demog_occupation_oth,apresentação,DEMOGRAFIA,Especifique outro local de trabalho principal,,Refere-se ao local onde o paciente realiza a maior parte do trabalho relacionado à sua ocupação atual.,"Se “Outro”, especifique o local principal de ocupação."
demog_residence,apresentação,DEMOGRAFIA,Cidade de residência do paciente,"1, O mesmo que o estabelecimento de saúde | 2, Diferente do estabelecimento de saúde | 99, Desconhecido",Refere-se à cidade onde uma pessoa reside mais do que temporariamente ou vive permanentemente.,"Se a cidade de residência do paciente for diferente da cidade em que esta unidade de saúde está localizada, especifique a região de residência do paciente abaixo."
demog_residence_oth,apresentação,DEMOGRAFIA,"Se diferente da unidade de saúde, especifique a região de residência do paciente.",,Refere-se à cidade onde uma pessoa reside mais do que temporariamente ou vive permanentemente.,"Se “Diferente da unidade de saúde”, especifique a região de residência do paciente."
expo14_travel,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,O paciente viajou para fora de sua região de origem nos últimos 14 dias?,"1, Sim | 0, Não | 99, Desconhecido","Refere-se a viagens para outra cidade/município ou região, outra parte do país ou para o exterior, para outro país, nos 14 dias anteriores ao início dos sintomas relacionados à doença atual.","Indique “Sim” se o paciente viajou para outra cidade/município ou região, outra parte do país ou para o exterior para outro país nos 14 dias anteriores ao início dos sintomas relacionados à doença atual."
expo14_travel_loc,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Especifique todas as cidades ou vilas e regiões de viagem,,Refere-se a todas as cidades ou vilas e regiões para as quais o paciente viajou nos 14 dias anteriores ao início dos sintomas relacionados com a doença atual.,"Se o paciente viajou para fora do seu local de residência habitual nos 14 dias anteriores ao início dos sintomas, insira o(s) local(is) visitado(s)."
expo14_yn,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Histórico de contato com caso humano suspeito ou confirmado do mesmo patógeno?,"1, Sim | 0, Não | 99, Desconhecido","Refere-se ao facto de o paciente ter um historial de contacto com qualquer pessoa que apresente sintomas semelhantes ou com um caso confirmado conhecido, ou com material contaminado proveniente de um caso suspeito ou confirmado (por exemplo, fluidos corporais, objetos, roupa de cama, etc.).","Indique “Sim” se o paciente tiver histórico de contato com alguém que apresente sintomas semelhantes ou com caso confirmado conhecido, ou com material contaminado de um caso suspeito ou confirmado (por exemplo, fluidos corporais, objetos, roupa de cama, etc.)."
expo14_typecomm,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contato comunitário,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao modo de exposição a um caso suspeito ou confirmado. O contato comunitário refere-se a um evento de exposição fora do ambiente de saúde.,Indique “Sim” se o paciente tiver sido exposto a um caso humano suspeito ou confirmado.
expo14_typevert,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Transmissão vertical,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao modo de exposição a um caso suspeito ou confirmado. A transmissão vertical refere-se à transmissão de mãe para filho.,Indique “Sim” se o paciente tiver sido exposto a um caso humano suspeito ou confirmado.
expo14_typehcw,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Exposição de profissional de saúde,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao modo de exposição a um caso suspeito ou confirmado. A exposição de profissionais de saúde refere-se a um evento de exposição em um ambiente de saúde.,Indique “Sim” se o paciente foi exposto a um caso humano suspeito ou confirmado.
expo14_typesext,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Transmissão sexual,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao modo de exposição a um caso suspeito ou confirmado. Transmissão sexual refere-se à infecção propagada por contato sexual.,Indique “Sim” se o paciente foi exposto a um caso humano suspeito ou confirmado.
expo14_typefaml,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contatos familiares/domésticos,"1, Sim | 0, Não | 99, Desconhecido","Refere-se ao modo de exposição a um caso suspeito ou confirmado. Contato familiar/doméstico refere-se à transmissão da infecção por indivíduos que compartilham o mesmo local de moradia na maioria dos dias (e, portanto, para os quais o contato próximo contínuo é inevitável).",Indique “Sim” se o paciente foi exposto a um caso humano suspeito ou confirmado.
expo14_typeschool,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Exposição em creches/escolas,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao modo de exposição a um caso suspeito ou confirmado ocorrido em creches ou exposições relacionadas à escola.,Indique “Sim” se o paciente foi exposto a um caso humano suspeito ou confirmado.
expo14_typeoth,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Outro tipo de exposição humana,"1, Sim | 0, Não | 99, Desconhecido",Refere-se a outros modos de exposição a um caso suspeito ou confirmado não especificados acima.,Indique “Sim” se o paciente foi exposto a um caso suspeito ou confirmado em humanos.
expo14_typeoth_spec,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Especifique outro tipo de exposição humana,,Refere-se a outros modos de exposição a um caso suspeito ou confirmado não especificados acima.,"Se “Outro”, especifique o modo de exposição a um caso suspeito ou confirmado."
expo14_date,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Data do contato com caso suspeito ou confirmado,,"Refere-se à data do contato com qualquer pessoa que apresente sintomas semelhantes ou com um caso confirmado conhecido, ou com material contaminado de um caso suspeito ou confirmado (por exemplo, fluidos corporais, objetos, roupa de cama, etc.).",Escreva a data do contato com o caso suspeito ou confirmado em humanos no formato DD/MM/AAAA.
expo14_setting,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contexto do contato,"1, Domicílio | 2, Profissional | 4, Centro de saúde | 99, Desconhecido | 88, Outro",Refere-se ao ambiente em que a pessoa pode ter entrado em contato com um caso suspeito ou confirmado.,Selecione a opção mais adequada que representa a situação de contato com um caso confirmado ou suspeito em humanos.
expo14_setting_oth,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Especifique outro contexto de contato,,Refere-se ao ambiente em que a pessoa pode ter entrado em contato com um caso suspeito ou confirmado.,"Se “Outro”, especifique a situação de contato com um caso confirmado ou suspeito."
expo14_ancon,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,"Qualquer contato com animais, criadouros, carnes ou outros produtos de origem animal nos últimos 14 dias?","1, Sim | 0, Não | 99, Desconhecido","Refere-se ao contato com animais, locais onde vivem animais, carnes ou outros produtos de origem animal ocorrido nos últimos 14 dias.","Indique “Sim” se o paciente teve contato com animais, locais onde vivem animais, carnes ou outros produtos de origem animal nos últimos 14 dias."
expo14_ancon_date,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Data do contato com fonte animal suspeita ou confirmada,,"Refere-se à data do contato com animais, locais onde vivem animais, carnes ou outros produtos de origem animal ocorrido nos últimos 14 dias.","Escreva a data do contato com animais, locais onde vivem animais, carnes ou outros produtos de origem animal nos últimos 14 dias, no formato DD/MM/AAAA."
expo14_ancon_lstock,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contato com gado,"1, Sim | 0, Não | 99, Desconhecido","Refere-se ao contato com aves vivas (por exemplo, galinhas, perus, patos) ocorrido nos últimos 14 dias.",Indique “Sim” se o paciente apresentou isso nos últimos 14 dias.
expo14_ancon_lstock_bird,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,"Contato com aves ou outras aves (por exemplo, galinhas, perus, patos, aves exóticas)","1, Sim | 0, Não | 99, Desconhecido","Refere-se ao contato com aves vivas (por exemplo, galinhas, perus, patos) ocorrido nos últimos 14 dias.",Indique “Sim” se o paciente apresentou isso nos últimos 14 dias.
expo14_ancon_lstock_cow,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contato com vacas leiteiras e/ou equipamentos de ordenha,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao contato com vacas leiteiras e/ou equipamentos de ordenha ocorrido nos últimos 14 dias.,Indique “Sim” se o paciente apresentou isso nos últimos 14 dias.
expo14_ancon_lstock_othercow,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contato com gado que não seja vacas leiteiras,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao contato com gado que não seja vaca leiteira ocorrido nos últimos 14 dias.,Indique “Sim” se o paciente apresentou isso nos últimos 14 dias.
expo14_ancon_lstock_pig,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contato com porcos,"1, Sim | 0, Não | 99, Desconhecido",Refere-se ao contato com suínos ocorrido nos últimos 14 dias.,Indique “Sim” se o paciente apresentou isso nos últimos 14 dias.
expo14_ancon_lstock_cttype,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Especifique o tipo de contato,"1, Caça | 2, Preparação | 3, Manuseio | 4, Consumo (não processado/mal cozido/cru) | 5, Comércio | 6, Fezes ou ninhos de animais | 7, Animal doente ou morto | 99, Desconhecido | 88, Outros","Refere-se ao(s) tipo(s) de contato com animais ocorrido(s) nos últimos 14 dias. A caça inclui encontrar ou matar animais para alimentação ou esporte. A preparação inclui esfolar, limpar ou abater animais para consumo. O manuseio inclui tocar, acariciar ou compartilhar o espaço de convivência com animais. O consumo inclui a ingestão de partes não processadas, mal cozidas ou cruas de animais. O comércio inclui o contato com animais proveniente da venda, compra ou troca de animais. Fezes ou ninhos de animais incluem o contato com fezes, ninhos ou habitações de animais. Animais doentes ou mortos referem-se ao contato com um animal doente ou morto, mas não à participação em cirurgias ou necropsias em animais (pergunta separada).",Selecione todos os tipos de contato com animais que ocorreram nos últimos 14 dias.
expo14_ancon_nhprim,apresentação,HISTÓRICO DE EXPOSIÇÃO NOS ÚLTIMOS 14 DIAS,Contato com primatas não humanos,"1, Sim | 0, Não | 99, Desconhecido","Refere-se ao contato com primatas não humanos (um grupo de mamíferos composto por símios, macacos e prosímios, como lêmures) que ocorreu nos últimos 14 dias.",Indique “Sim” se o paciente apresentou isso nos últimos 14 dias.
