Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline
pres_symptpres,présentation,APPARITION ET PRÉSENTATION,Symptomatique lors de la présentation initiale ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de savoir si le patient présentait des symptômes lors de la consultation initiale. ,Indiquez « Oui » si le patient présentait des symptômes lors de la consultation initiale.
pres_firstsym,présentation,APPARITION ET PRÉSENTATION,Symptôme(s) pendant les premières 24 heures de la maladie (sélectionnez toutes les réponses qui s'appliquent),,"Il s'agit du premier symptôme, ou des premiers symptômes (si plusieurs sont apparus en même temps), que vous estimez cliniquement liés à cet épisode de la maladie.",Sélectionnez tous les symptômes que le patient a présentés au cours des premières 24 heures de la maladie (sélectionnez toutes les réponses qui s'appliquent).
pres_consultdate,présentation,APPARITION ET PRÉSENTATION,Date de la première consultation clinique,,Il s'agit de la date de la première consultation clinique liée à l'épisode actuel de la maladie.,Indiquez la date de la première consultation clinique liée à l'épisode actuel de la maladie au format JJ/MM/AAAA.
pres_date,présentation,APPARITION ET PRÉSENTATION,Date de la dernière consultation/admission dans cet établissement,,Il s'agit de la date d'hospitalisation/d'admission du patient dans votre établissement pour la maladie actuelle.,Indiquez la date d'hospitalisation/d'admission dans votre établissement (au format JJ/MM/AAAA).
pres_adm,présentation,APPARITION ET PRÉSENTATION,Admis à l'hôpital,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de l'admission du patient dans votre établissement pour la maladie actuelle.,Indiquez « Oui » si ce patient a été admis dans votre établissement.
pres_adm_reas,présentation,APPARITION ET PRÉSENTATION,Motif de l'hospitalisation,,Il s'agit de la raison (indication) de l'hospitalisation.,"Si « Oui », précisez la raison (indication) de l'hospitalisation."
pres_adm_time,présentation,APPARITION ET PRÉSENTATION,Heure d'admission à l'hôpital,,Il s'agit de l'admission du patient dans votre établissement pour la maladie actuelle.,Entrez l'heure d'admission dans votre établissement au format 24 heures (00:00 - 24:00 heures).
pres_enrolmentdate,présentation,APPARITION ET PRÉSENTATION,Date d'inscription/début de la collecte des données,,Il s'agit de la date d'inscription/du début de la collecte des données.,Entrez la date d'inscription du patient à l'étude au format jour/mois/année (JJ/MM/AAAA).
readm_prev,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Le patient a-t-il déjà été admis ou transféré d'un autre établissement au cours de cet épisode de maladie ?,"1, OUI - admis précédemment dans cet établissement et sorti | 2, OUI - admis dans un autre établissement et sorti | 3, OUI - admis dans un autre établissement, puis transféré dans cet établissement | 0, Non | 99, Inconnu",Il s'agit de l'admission précédente dans un établissement de santé ou du transfert depuis un autre établissement de santé au cours de l'épisode actuel de la maladie.,Sélectionnez l'option la plus appropriée pour indiquer si le patient a déjà été admis ou transféré depuis un autre établissement au cours de cet épisode de maladie.
readm_prev_site,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Nom de l'établissement de transfert,,Il s'agit du nom de l'établissement dans lequel le patient a été précédemment admis ou transféré.,Indiquez le nom de l'établissement dans lequel le patient a été admis ou transféré précédemment.
readm_prev_date,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Date de présentation à l'établissement précédent,,Il s'agit de la date de présentation à l'établissement dans lequel le patient a été précédemment admis ou transféré.,Indiquez la date de présentation à l'établissement dans lequel le patient a été admis ou transféré précédemment.
readm_prev_num,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Nombre total d'admissions précédentes pour cette infection,,Il s'agit du nombre de fois (pour cette infection) où le patient a été admis dans un établissement de santé.,Indiquez le nombre de fois (pour cette infection) où le patient a été admis dans un établissement de santé.
readm_firstadmdate,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Date de la première admission pour cette infection,,"Il s'agit de la date de la première admission pour cette maladie. Si le patient a d'abord été « admis dans un autre établissement, puis transféré vers cet établissement », enregistrez la date à laquelle le patient a été admis dans l'autre établissement de santé.",Inscrivez la date au format JJ/MM/AAAA.
readm_difpin,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Les données du patient ont-elles déjà été collectées sous un autre numéro d'identification de participant (PIN) ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la collecte antérieure des données du patient sous un autre numéro d'identification du participant (PIN).,Cochez « Oui » si les données du patient ont déjà été collectées sous un autre numéro d'identification du participant (PIN).
readm_prevpin,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Numéro d'identification de participant précédent (PIN),,Le numéro d'identification du participant ou PIN est un numéro unique utilisé pour identifier les données du patient (participant).,Inscrivez le numéro d'identification du participant (PIN).
readm_reas,présentation,RÉADMISSION ET PIN PRÉCÉDENT,Le patient est-il réadmis avec ou en raison d'une infection par l'agent pathogène d'intérêt ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la réadmission du patient avec ou en raison d'une infection par l'agent pathogène d'intérêt.,Cochez « Oui » si le patient est réadmis avec ou en raison d'une infection par l'agent pathogène d'intérêt.
demog_sex,présentation,DONNÉES DÉMOGRAPHIQUES,Sexe à la naissance,"1, Homme | 2, Femme | 99, Non spécifié/Inconnu | 88, Autre",Il s'agit des caractéristiques sexuelles physiques à la naissance.,Sélectionnez l'option la plus appropriée qui correspond aux caractéristiques physiques sexuelles à la naissance.
demog_sex_oth,présentation,DONNÉES DÉMOGRAPHIQUES,Précisez autre sexe à la naissance,,Il s'agit des caractéristiques sexuelles physiques à la naissance.,"Si « Autre », précisez les caractéristiques physiques sexuelles à la naissance."
demog_gender,présentation,DONNÉES DÉMOGRAPHIQUES,Genre,"1, Homme | 2, Femme | 3, Non binaire | 99, Inconnu | 88, Autre","Il s'agit du sentiment interne d'une personne quant à son genre, qui peut correspondre ou non au sexe génotypique ou phénotypique de l'individu. ",Sélectionnez l'option la plus appropriée qui correspond à l'identité de genre du patient.
demog_gender_oth,présentation,DONNÉES DÉMOGRAPHIQUES,Précisez autre genre,,"Il s'agit du sentiment interne d'une personne quant à son genre, qui peut correspondre ou non au sexe génotypique ou phénotypique de l'individu.","Si « Autre », précisez l'identité de genre du patient."
demog_birthknow,présentation,DONNÉES DÉMOGRAPHIQUES,La date de naissance est-elle connue ?,"1, Oui | 0, Non",Il s'agit de la date calendaire à laquelle le patient est né.,Enregistrez la date de naissance du participant au format JJ/MM/AAAA.
demog_birthdate,présentation,DONNÉES DÉMOGRAPHIQUES,Date de naissance,,Il s'agit de la date calendaire à laquelle le patient est né.,Enregistrez la date de naissance du participant au format JJ/MM/AAAA.
demog_calcage,présentation,DONNÉES DÉMOGRAPHIQUES,Âge calculé,"datediff([demog_birthdate], [pres_date], « y »)",Il s'agit de l'âge du patient.,"L'âge est calculé, si la date de naissance est connue, comme la différence entre la date de naissance et la date la plus récente de présentation ou d'admission dans l'établissement."
demog_age,présentation,DONNÉES DÉMOGRAPHIQUES,Âge,,Il s'agit de l'âge du patient.,"Pour les participants âgés de plus de deux ans, veuillez indiquer l'âge en années. Pour les enfants âgés de moins d'un an, veuillez indiquer l'âge en mois. Pour les nouveau-nés âgés de moins d'un mois, veuillez indiquer l'âge en jours."
demog_age_units,présentation,DONNÉES DÉMOGRAPHIQUES,Unités d'âge,"1, Années | 2, Mois | 3, Jours",Il s'agit de l'âge du patient lors de sa présentation à l'établissement de santé.,Sélectionnez les unités les plus appropriées pour l'âge.
demog_country,présentation,DONNÉES DÉMOGRAPHIQUES,Pays,,Il s'agit du pays d'inscription.,Indiquez le pays d'inscription
demog_outcountry,présentation,DONNÉES DÉMOGRAPHIQUES,Le patient est-il né en dehors du pays déclarant ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la naissance du participant en dehors du pays déclarant.,Indiquez si le participant est né en dehors du pays déclarant
demog_height,présentation,DONNÉES DÉMOGRAPHIQUES,Taille (sélectionner les unités),,Taille réelle ou estimation la plus proche au moment de l'admission.,
demog_height_cm,présentation,DONNÉES DÉMOGRAPHIQUES,Taille (cm),,"Il s'agit de la distance entre la plante des pieds et le sommet du crâne, le corps debout sur une surface plane et complètement étendu, mesurée en centimètres. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesurée en position couchée sur le dos).","Indiquez la taille du patient en centimètres (cm). Pour les enfants de moins de 2 ans, veuillez utiliser la longueur."
demog_height_in,présentation,DONNÉES DÉMOGRAPHIQUES,Taille (en pouces),,"Il s'agit de la distance entre la plante des pieds et le sommet du crâne, le corps debout sur une surface plane et complètement étendu, mesurée en pouces. Pour les enfants de moins de 2 ans, veuillez utiliser la longueur du corps (mesurée en position couchée sur le dos).","Indiquez la taille du patient en pouces (in). Pour les enfants de moins de 2 ans, veuillez utiliser la longueur."
demog_weight,présentation,DONNÉES DÉMOGRAPHIQUES,Poids (sélectionner les unités),,Poids réel ou estimation la plus proche du poids au moment de l'admission.,
demog_weight_kg,présentation,DONNÉES DÉMOGRAPHIQUES,Poids (kg),,"Il s'agit du poids d'un sujet, exprimé en kilogrammes (kg).",Indiquez le poids du patient en kilogrammes (kg).
demog_weight_lb,présentation,DONNÉES DÉMOGRAPHIQUES,Poids (lb),,"Il s'agit du poids d'un sujet, exprimé en livres (lb).",Indiquez le poids du patient en livres (lb).
demog_race,présentation,DONNÉES DÉMOGRAPHIQUES,Race (sélectionner toutes les options applicables),,Il s'agit d'une catégorie d'origine géographique ancestrale attribuée à un groupe de population principalement sur la base de caractéristiques physiques considérées comme distinctes et inhérentes.,Sélectionnez toutes les options qui s'appliquent.
demog_healthcare,présentation,DONNÉES DÉMOGRAPHIQUES,Employé dans le secteur de la santé,"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'un patient qui travaille dans le secteur des soins de santé.,Sélectionnez l'option la plus appropriée.
demog_healthcare_ptfacing,présentation,DONNÉES DÉMOGRAPHIQUES,Patient confronté à,"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'un patient qui travaille dans le secteur des soins de santé et qui dispense des soins dans un environnement en contact avec les patients (c'est-à-dire des rôles qui impliquent une interaction directe avec les patients). ,Sélectionnez l'option la plus appropriée.
demog_healthcare_expbiosample,présentation,DONNÉES DÉMOGRAPHIQUES,Exposé à des échantillons biologiques,"1, Oui | 0, Non | 99, Inconnu","Il s'agit d'un patient qui travaille dans le secteur des soins de santé et qui dispense des soins dans des environnements non en contact avec les patients, mais qui est exposé à des échantillons biologiques (par exemple, le personnel de laboratoire, les personnes chargées du traitement des déchets médicaux).",Sélectionnez l'option la plus appropriée.
demog_riskoccupa,présentation,DONNÉES DÉMOGRAPHIQUES,Le patient exerce-t-il l'une de ces professions ou une profession liée à son infection ?,,Il s'agit de l'activité principale qu'une personne exerce pour gagner sa vie.,Sélectionnez toutes les options qui s'appliquent.
demog_occupation,présentation,DONNÉES DÉMOGRAPHIQUES,Lieu principal d'exercice de la profession,"1, Télétravail ou sans emploi | 2, À l'intérieur - bureau/santé/éducation/hôtellerie/commerce/domicile | 3, À l'intérieur - usine | 8, À l'extérieur - contact avec des animaux (vétérinaire, éleveur, abattoir) | 4, À l'extérieur - agriculture/sylviculture/pêche | 5, À l'extérieur - construction/industrie/exploitation minière | 6, Forces armées | 7, Étudiant | 99, Inconnu | 88, Autre",Il s'agit du lieu où le patient effectue la majeure partie du travail lié à sa profession actuelle. ,Sélectionnez l'option la plus appropriée qui correspond au lieu de travail principal.
demog_occupation_oth,présentation,DONNÉES DÉMOGRAPHIQUES,Préciser autre lieu principal d'exercice de la profession,,Il s'agit du lieu où le patient effectue la majeure partie du travail lié à sa profession actuelle.,"Si « Autre », précisez le lieu de travail principal."
demog_residence,présentation,DONNÉES DÉMOGRAPHIQUES,Ville de résidence du patient,"1, Identique à l'établissement de santé | 2, Différent de l'établissement de santé | 99, Inconnu",Il s'agit de la ville où une personne réside de manière plus que temporaire ou permanente.,"Si la ville de résidence du patient est différente de celle où se trouve l'établissement de santé, précisez la région de résidence du patient ci-dessous."
demog_residence_oth,présentation,DONNÉES DÉMOGRAPHIQUES,"Si différente de l'établissement de santé, précisez la région de résidence du patient.",,Il s'agit de la ville où une personne réside de manière plus que temporaire ou permanente.,"Si « Différent de l'établissement de santé », précisez la région de résidence du patient."
expo14_travel,présentation,DONNÉES DÉMOGRAPHIQUES,Le patient a-t-il voyagé en dehors de sa région de résidence au cours des 14 derniers jours ?,"1, Oui | 0, Non | 99, Inconnu","Il s'agit des déplacements vers une autre ville ou région, une autre partie du pays ou à l'étranger dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.","Indiquez « Oui » si le patient s'est rendu dans une autre ville ou région, dans une autre partie du pays ou à l'étranger dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle."
expo14_travel_loc,présentation,DONNÉES DÉMOGRAPHIQUES,Précisez toutes les villes et régions de voyage,,Il s'agit de toutes les villes ou régions où le patient s'est rendu dans les 14 jours précédant l'apparition des symptômes liés à la maladie actuelle.,"Si le patient s'est éloigné de son lieu de résidence habituel dans les 14 jours précédant l'apparition des symptômes, indiquez le ou les lieux visités."
expo14_yn,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Antécédents de contact avec un cas humain suspect ou confirmé du même agent pathogène ?,"1, Oui | 0, Non | 99, Inconnu","Il s'agit des antécédents de contact du patient avec toute personne présentant des symptômes similaires ou un cas confirmé, ou avec du matériel contaminé provenant d'un cas suspect ou confirmé (par exemple, des fluides corporels, des objets, du linge de lit, etc.).","Indiquez « Oui » si le patient a été en contact avec une personne présentant des symptômes similaires ou avec un cas confirmé, ou avec du matériel contaminé provenant d'un cas suspect ou confirmé (par exemple, des liquides biologiques, des objets, du linge de lit, etc.)."
expo14_typecomm,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Contact communautaire,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. Le contact communautaire désigne une exposition en dehors d'un établissement de santé.,Indiquez « Oui » si le patient a été exposé à un cas humain suspect ou confirmé de cette manière.
expo14_typevert,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Transmission verticale,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. La transmission verticale désigne la transmission de la mère à l'enfant.,Indiquez « Oui » si le patient a été exposé à un cas humain suspect ou confirmé de cette manière.
expo14_typehcw,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Exposition d'un professionnel de santé,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. L'exposition des professionnels de santé désigne une exposition dans un établissement de santé.,Indiquez « Oui » si le patient a été exposé de cette manière à un cas humain suspect ou confirmé.
expo14_typesext,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Transmission sexuelle,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. La transmission sexuelle désigne l'infection propagée par contact sexuel.,Indiquez « Oui » si le patient a été exposé de cette manière à un cas humain suspect ou confirmé.
expo14_typefaml,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Contacts familiaux/domestiques,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé. Le contact familial/domestique désigne la transmission de l'infection par des personnes qui partagent le même logement la plupart du temps (et avec lesquelles un contact étroit est donc inévitable).,Indiquez « Oui » si le patient a été exposé de cette manière à un cas humain suspect ou confirmé.
expo14_typeschool,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Exposition dans le cadre de la garde d'enfants/à l'école,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du mode d'exposition à un cas suspect ou confirmé survenant dans des structures d'accueil pour enfants ou dans le cadre scolaire.,Indiquez « Oui » si le patient a été exposé de cette manière à un cas humain suspect ou confirmé.
expo14_typeoth,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Autre type d'exposition humaine,"1, Oui | 0, Non | 99, Inconnu",Il s'agit des autres modes d'exposition à un cas suspect ou confirmé non spécifiés ci-dessus.,Indiquez « Oui » si le patient a été exposé à un cas humain suspect ou confirmé.
expo14_typeoth_spec,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Précisez l'autre type d'exposition humaine,,Il s'agit des autres modes d'exposition à un cas suspect ou confirmé non spécifiés ci-dessus.,"Si « Autre », précisez le mode d'exposition à un cas suspect ou confirmé."
expo14_date,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Date du contact avec un cas suspect ou confirmé,,"Il s'agit de la date du contact avec toute personne présentant des symptômes similaires ou un cas confirmé connu, ou avec du matériel contaminé provenant d'un cas suspect ou confirmé (par exemple, des fluides corporels, des objets, du linge de lit, etc.).",Inscrivez la date du contact avec le cas humain suspect ou confirmé au format JJ/MM/AAAA.
expo14_setting,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Contexte du contact,"1, Ménage | 2, Professionnel | 4, Établissement de santé | 99, Inconnu | 88, Autre",Il s'agit de l'environnement dans lequel la personne a pu entrer en contact avec un cas suspect ou confirmé.,Sélectionnez l'option la plus appropriée qui correspond au contexte du contact avec un cas humain confirmé ou suspect.
expo14_setting_oth,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Précisez l'autre contexte du contact,,Il s'agit de l'environnement dans lequel la personne a pu entrer en contact avec un cas suspect ou confirmé.,"Si « Autre », précisez le contexte du contact avec un cas confirmé ou suspect."
expo14_ancon,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,"Y a-t-il eu un contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours ?","1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des animaux, des élevages, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours.","Indiquez « Oui » si le patient a été en contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours."
expo14_ancon_date,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Date du contact avec une source animale suspecte ou confirmée,,"Il s'agit de la date du contact avec des animaux, des élevages, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours.","Indiquez la date du contact avec des animaux, des refuges pour animaux, de la viande ou d'autres produits d'origine animale au cours des 14 derniers jours, au format JJ/MM/AAAA."
expo14_ancon_lstock,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Contact avec du bétail,"1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des oiseaux vivants (par exemple, poulets, dindes, canards) au cours des 14 derniers jours.",Indiquez « Oui » si le patient a été exposé à ce risque au cours des 14 derniers jours.
expo14_ancon_lstock_bird,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,"Contact avec des volailles ou d'autres oiseaux (par exemple, poulets, dindes, canards, oiseaux exotiques)","1, Oui | 0, Non | 99, Inconnu","Il s'agit du contact avec des oiseaux vivants (par exemple, poulets, dindes, canards) au cours des 14 derniers jours.",Indiquez « Oui » si le patient a été confronté à cette situation au cours des 14 derniers jours.
expo14_ancon_lstock_cow,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Contact avec des vaches laitières et/ou du matériel de traite,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du contact avec des vaches laitières et/ou du matériel de traite au cours des 14 derniers jours.,Indiquez « Oui » si le patient a été confronté à cette situation au cours des 14 derniers jours.
expo14_ancon_lstock_othercow,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Contact avec du bétail autre que des vaches laitières,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du contact avec des bovins autres que des vaches laitières au cours des 14 derniers jours.,Indiquez « Oui » si le patient a été confronté à cette situation au cours des 14 derniers jours.
expo14_ancon_lstock_pig,présentation,EXPOSITION AU COURS DES 14 JOURS PRÉCÉDENTS,Contact avec des porcs,"1, Oui | 0, Non | 99, Inconnu",Il s'agit du contact avec des porcs au cours des 14 derniers jours.,Indiquez « Oui » si le patient a été confronté à cette situation au cours des 14 derniers jours.
