Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline,Completion Guideline2,Language Speaker Reviewed,Clinical Language Speaker Reviewed
presentación,REINGRESO Y PIN ANTERIOR,readm_prev,¿El paciente fue ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad?,"1, SÍ: ingresado anteriormente en este centro y dado de alta | 2, SÍ: ingresado en otro centro y dado de alta | 3, SÍ: ingresado en otro centro y trasladado a este centro | 0, No | 99, Desconocido",Se refiere a la admisión previa en un centro de salud o al traslado desde otro centro de salud durante el episodio actual de la enfermedad.,Seleccione la opción más adecuada que indique si el paciente ha sido ingresado anteriormente o trasladado desde otro centro durante este episodio de la enfermedad.,Select the most appropriate option that represents whether or not the patient admitted previously or transferred from any other facility during this illness episode.,,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_site,Nombre del centro de traslado,,Se refiere al nombre del centro desde el que se admitió o trasladó previamente al paciente.,Introduzca el nombre del centro desde el que fue ingresado o trasladado el paciente.,Enter the name of the facility from which the patient was previously admitted or transferred.,,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_date,Fecha de presentación en el centro anterior,,Se refiere a la fecha de presentación en el centro en el que se admitió o trasladó previamente al paciente.,Introduzca la fecha de presentación en el centro en el que fue ingresado o trasladado el paciente.,Enter the date of presentation to the facility at which the patient was previously admitted or transferred.,,
presentación,REINGRESO Y PIN ANTERIOR,readm_prev_num,Número total de ingresos anteriores por esta infección,,Se refiere al número de veces (para esta infección) que el paciente ha sido admitido en un centro de salud.,Indique el número de veces (para esta infección) que el paciente ha sido ingresado en un centro sanitario.,Indicate the number of times (for this infection) the patient has been admitted to a health facility.,,
presentación,REINGRESO Y PIN ANTERIOR,readm_firstadmdate,Fecha de la primera admisión por esta infección,,"Se refiere a la fecha de la primera admisión por esta enfermedad. Si el paciente fue «admitido primero en otro centro y luego trasladado a este centro», registre la fecha en que el paciente fue admitido en el otro centro de salud.",Escriba la fecha en formato DD/MM/AAAA.,Write the date in DD/MM/YYYY format.,,
presentación,REINGRESO Y PIN ANTERIOR,readm_difpin,¿Se han recopilado anteriormente los datos del paciente con un número de identificación de participante (PIN) diferente?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la recopilación previa de los datos del paciente con un número de identificación de participante (PIN) diferente.,Indique «Sí» si los datos del paciente se han recopilado anteriormente con un número de identificación de participante (PIN) diferente.,Indicate 'Yes' if the patient's data has been previously collected under a different participant identification number (PIN),,
presentación,REINGRESO Y PIN ANTERIOR,readm_prevpin,Número de identificación de participante anterior (PIN),,El número de identificación de participante o PIN es un número único que se utiliza para identificar los datos del paciente (participante).,Escriba el número de identificación de participante (PIN).,Write the Participant Identification Number (PIN).,,
presentación,REINGRESO Y PIN ANTERIOR,readm_reas,¿El paciente ha sido readmitido con o debido a una infección por el patógeno de interés?,"1, Sí | 0, No | 99, Desconocido",Se refiere a la readmisión del paciente con o debido a una infección por el patógeno de interés.,Indique «Sí» si el paciente está siendo readmitido con o debido a una infección por el patógeno de interés.,Indicate 'Yes' if the patient is being re-admitted with or due to infection with pathogen of interest.,,
presentación,DATOS DEMOGRÁFICOS,demog_sex,Sexo al nacer,"1, Hombre | 2, Mujer | 99, No especificado/Desconocido | 88, Otro",Se refiere a las características sexuales físicas al nacer.,Seleccione la opción más adecuada que represente las características físicas sexuales al nacer.,Select the most appropriate option that represents the physical sexual characteristics at birth.,,
presentación,DATOS DEMOGRÁFICOS,demog_sex_oth,Especificar otro sexo al nacer,,Se refiere a las características sexuales físicas al nacer.,"Si «Otro», especifique las características físicas sexuales al nacer.","If 'Other', specify the physical sexual characteristics at birth.",,
presentación,DATOS DEMOGRÁFICOS,demog_gender,Género,"1, Hombre | 2, Mujer | 3, No binario | 99, Desconocido | 88, Otro","Se refiere al sentido interno que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo. ",Seleccione la opción más adecuada que represente la identidad de género del paciente.,Select the most appropriate option that represents the patient's gender identity.,,
presentación,DATOS DEMOGRÁFICOS,demog_gender_oth,Especificar otro género,,"Se refiere a la percepción interna que tiene una persona de su género, que puede corresponder o no al sexo genotípico o fenotípico del individuo.","Si «Otro», especifique la identidad de género del paciente.",If 'Other' specify patient's gender identity.,,
presentación,DATOS DEMOGRÁFICOS,demog_birthknow,¿Se conoce la fecha de nacimiento?,"1, Sí | 0, No",Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.,Record the participants date of birth in DD/MM/YYYY format.,,
presentación,DATOS DEMOGRÁFICOS,demog_birthdate,Fecha de nacimiento,,Se refiere a la fecha del calendario en la que nació el paciente.,Anote la fecha de nacimiento del participante en formato DD/MM/AAAA.,Record the participants date of birth in DD/MM/YYYY format.,,
presentación,DATOS DEMOGRÁFICOS,demog_age,Edad,,Se refiere a la edad del paciente.,"Para los participantes mayores de dos años, indique la edad en años. Para los niños menores de un año, indique la edad en meses. Para los recién nacidos menores de un mes, indique la edad en días.","For participants over the age of two years, please report age in years. For children under the age of one year, please report in months. For neonates below the age of one month, please report in days.",,
presentación,DATOS DEMOGRÁFICOS,demog_age_units,Unidad de edad,"1, Años | 2, Meses | 3, Días",Se refiere a la edad del paciente en el momento de su presentación en el centro de salud.,Seleccione las unidades más adecuadas para la edad.,Select the most appropriate units for age.,,
presentación,DATOS DEMOGRÁFICOS,demog_country,País,,Se refiere al país de inscripción.,Indique el país de inscripción.,Indicate the country of enrolment,,
presentación,DATOS DEMOGRÁFICOS,demog_outcountry,¿El paciente nació fuera del país que presenta el informe?,"1, Sí | 0, No | 99, Desconocido",Se refiere al nacimiento del participante fuera del país que presenta el informe.,Indique si el participante nació fuera del país que presenta el informe.,Indicate whether the particpant was born outside the reporting country,,
presentación,DATOS DEMOGRÁFICOS,demog_height,Altura (seleccione las unidades),,Altura real o estimación más cercana a la altura en el momento de la admisión.,,,,
presentación,DATOS DEMOGRÁFICOS,demog_height_cm,Altura (cm),,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en centímetros. Para los niños menores de 2 años, utilice la longitud del cuerpo (medida en posición supina).","Indique la altura del paciente en centímetros (cm). Para niños menores de 2 años, utilice la longitud.","Indicate the patient's height in centimetres (cm). For children under the age of 2, please use length.",,
presentación,DATOS DEMOGRÁFICOS,demog_height_in,Altura (pulgadas),,"Se refiere a la distancia desde la planta del pie hasta la coronilla con el cuerpo de pie sobre una superficie plana y completamente extendido, medida en pulgadas. Para los niños menores de 2 años, utilice la longitud corporal (medida en posición supina).","Indique la altura del paciente en pulgadas (in). Para niños menores de 2 años, utilice la longitud.","Indicate the patient's height in inches (in). For children under the age of 2, please use length.",,
presentación,DATOS DEMOGRÁFICOS,demog_weight,Peso (seleccione las unidades),,Peso real o estimación más cercana al peso en el momento del ingreso.,,,,
presentación,DATOS DEMOGRÁFICOS,demog_weight_kg,Peso (kg),,"Se refiere al peso de un sujeto, expresado en kilogramos (kg).",Indique el peso del paciente en kilogramos (kg).,Indicate the patient's weight in kilograms (kg).,,
presentación,DATOS DEMOGRÁFICOS,demog_weight_lb,Peso (lb),,"Se refiere al peso de un sujeto, expresado en libras (lb).",Indique el peso del paciente en libras (lb).,Indicate the patient's weight in pounds (lb).,,
presentación,DATOS DEMOGRÁFICOS,demog_race,Raza (seleccione todas las que correspondan),,Se refiere a una categoría de origen geográfico ancestral que se asigna a un grupo de población basándose principalmente en características físicas que se consideran distintivas e inherentes.,Seleccione todas las opciones que correspondan.,Select all that apply.,,
presentación,DATOS DEMOGRÁFICOS,demog_healthcare,Trabaja en el sector salud,"1, Sí | 0, No | 99, Desconocido",Se refiere a un paciente que trabaja en el sector sanitario.,Seleccione la opción más adecuada.,Select the most appropriate option.,,
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_ptfacing,Tiene contacto directo con pacientes,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos de atención al paciente (es decir, funciones que implican la interacción directa con los pacientes). ",Seleccione la opción más adecuada.,Select the most appropriate option.,,
presentación,DATOS DEMOGRÁFICOS,demog_healthcare_expbiosample,Expuesto a muestras biológicas,"1, Sí | 0, No | 99, Desconocido","Se refiere a un paciente que trabaja en el sector sanitario prestando asistencia en entornos que no están en contacto con pacientes, pero que está expuesto a muestras biológicas (por ejemplo, personal de laboratorio, manipuladores de residuos médicos).",Seleccione la opción más adecuada.,Select the most appropriate option.,,
presentación,DATOS DEMOGRÁFICOS,demog_riskoccupa,¿El paciente ejerce alguna de estas profesiones o una profesión relacionada con su infección?,,Se refiere a la actividad principal que realiza una persona para ganarse la vida.,Seleccione todas las opciones que correspondan.,Select all that apply.,,
presentación,DATOS DEMOGRÁFICOS,demog_occupation,Lugar principal de trabajo,"1, Trabajo desde casa o desempleado | 2, Interior: oficina/salud/educación/hostelería/negocios/hogares | 3, Interior: fábrica | 8, Exterior: contacto con animales (veterinario, ganadero, trabajador de matadero) | 4, Al aire libre: agricultura/silvicultura/pesca | 5, Al aire libre: construcción/industria/minería | 6, Fuerzas armadas | 7, Estudiante | 99, Desconocido | 88, Otro",Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual. ,Seleccione la opción más adecuada que represente el lugar principal de trabajo.,Select the most appropriate option that represents the primary location of occupation.,,
presentación,DATOS DEMOGRÁFICOS,demog_occupation_oth,Especifique otro lugar principal de trabajo,,Se refiere al lugar en el que el paciente realiza la mayor parte del trabajo relacionado con su ocupación actual.,"Si es «Otro», especifique el lugar principal de trabajo.","If 'Other', specify the primary location of occupation.",,
presentación,DATOS DEMOGRÁFICOS,demog_residence,Ciudad de residencia del paciente,"1, Igual que el centro sanitario | 2, Diferente del centro sanitario | 99, Desconocido",Se refiere a la ciudad en la que una persona reside de forma más que temporal o vive de forma permanente.,"Si la ciudad de residencia del paciente es diferente a la ciudad en la que se encuentra este centro sanitario, especifique la región de residencia del paciente a continuación.","If the patient's city of residence is different to the city in which this healthcare facility is located, Specify the patient's region of residence below.",,
presentación,DATOS DEMOGRÁFICOS,demog_residence_oth,"Si es diferente del centro sanitario, especifique la región de residencia del paciente.",,Se refiere a la ciudad en la que una persona reside de forma más que temporal o vive de forma permanente.,"Si es «Diferente al centro sanitario», especifique la región de residencia del paciente.","If 'Different from health case facility', specify the patient's region of residence.",,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_travel,¿Ha viajado el paciente fuera de su región de residencia en los últimos 14 días?,"1, Sí | 0, No | 99, Desconocido","Se refiere a los viajes a otra ciudad o región, a otra parte del país o al extranjero, a otro país, en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.","Indique «Sí» si el paciente ha viajado a otra ciudad o región, a otra parte del país o al extranjero a otro país en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.","Indicate 'Yes', if the patient travelled to another city/town or region, another part of the country or abroad to another country within 14 days before symptoms relating to the current illness began.",,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_travel_loc,Especifique todas las ciudades o pueblos y regiones de viaje,,Se refiere a todas las ciudades o pueblos y regiones a los que ha viajado el paciente en los 14 días anteriores al inicio de los síntomas relacionados con la enfermedad actual.,"Si el paciente ha viajado fuera de su lugar de residencia habitual en los 14 días anteriores al inicio de los síntomas, introduzca los lugares que ha visitado.","If the patient has travelled away from their usual place of residence within 14 days of symptom onset, enter the location(s) that were visited.",,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_yn,Contacto con casos sospechosos o confirmados del mismo patógeno,"1, Sí | 0, No | 99, Desconocido","Se refiere a que el paciente tiene antecedentes de contacto con cualquier persona que presente síntomas similares o con un caso confirmado, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).","Indique «Sí» si el paciente tiene antecedentes de contacto con cualquier persona que presente síntomas similares o con un caso confirmado, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).","Indicate 'Yes', if the patient has a history of contact with anyone presenting with similar symptoms or with known confirmed case, or with contaminated material from a suspected or confirmed case (e.g. body fluids, objects, bedding etc.).",,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typecomm,Contacto comunitario,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. El contacto comunitario se refiere a la exposición fuera del ámbito sanitario.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typevert,Transmisión vertical,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La transmisión vertical se refiere a la transmisión de madre a hijo.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typehcw,Exposición de personal sanitario,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La exposición de los trabajadores sanitarios se refiere a la exposición en un entorno sanitario.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typesext,Transmisión sexual,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado. La transmisión sexual se refiere a la infección propagada por contacto sexual.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typefaml,Contactos familiares/domésticos,"1, Sí | 0, No | 99, Desconocido","Se refiere al modo de exposición a un caso sospechoso o confirmado. El contacto familiar/doméstico se refiere a la transmisión de la infección por parte de personas que comparten el mismo lugar de residencia la mayoría de los días (y por lo tanto, con las que es inevitable el contacto cercano continuo).",Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typeschool,Entornos de cuidado infantil/exposición en la escuela,"1, Sí | 0, No | 99, Desconocido",Se refiere al modo de exposición a un caso sospechoso o confirmado que se produce en entornos de cuidado infantil o en exposiciones relacionadas con la escuela.,Indique «Sí» si el paciente ha estado expuesto a un caso humano sospechoso o confirmado.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typeoth,Otro tipo de exposición humana,"1, Sí | 0, No | 99, Desconocido",Se refiere a otros modos de exposición a un caso sospechoso o confirmado no especificados anteriormente.,Indique «Sí» si el paciente ha estado expuesto a un caso sospechoso o confirmado en humanos.,Indicate 'Yes' if the patient experienced this mode of exposure to a suspected or confirmed human case.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_typeoth_spec,Especifique otro tipo de exposición humana,,Se refiere a otros modos de exposición a un caso sospechoso o confirmado no especificados anteriormente.,"Si «Otro», especifique el modo de exposición a un caso sospechoso o confirmado.","If 'Other', specify the mode of exposure to a suspected or confirmed case.",,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_date,Fecha de contacto con un caso sospechoso o confirmado,,"Se refiere a la fecha de contacto con cualquier persona que presente síntomas similares o con un caso confirmado conocido, o con material contaminado de un caso sospechoso o confirmado (por ejemplo, fluidos corporales, objetos, ropa de cama, etc.).",Escriba la fecha de contacto con el caso sospechoso o confirmado en humanos en formato DD/MM/AAAA.,Write the date of contact with suspected or confirmed human case in format DD/MM/YYYY.,,
presentación,HISTORIA DE EXPOSICIÓN EN LOS ÚLTIMOS 14 DÍAS,expo14_setting,Entorno de contacto,"1, Hogar | 2, Laboral | 4, Centro sanitario | 99, Desconocido | 88, Otros",Se refiere al entorno en el que la persona puede haber entrado en contacto con un caso sospechoso o confirmado.,Seleccione la opción más adecuada que represente el contexto del contacto con un caso confirmado o sospechoso en humanos.,Select the most appropriate option that represents the contact setting with a confirmed or suspected human case.,,
