Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Virus MPOX,59774002.0,SNOMED,virus,,
Mucor,49782006.0,SNOMED,fungi,,
Virus des oreillons,50384007.0,SNOMED,virus,,
Necator americanus,43905006.0,SNOMED,"parasite, helminth",,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,
Virus Nipah,115511007.0,SNOMED,virus,,
Norovirus,407359000.0,SNOMED,virus,,
Volvulus onchocerca,52397001.0,SNOMED,"parasite, helminth",,
Orthomyxoviridae (virus de la grippe),55014007.0,SNOMED,virus,,
Papillomavirus,243584004.0,SNOMED,virus,,
Papoviridae,243587006.0,SNOMED,virus,,
Paracoccidioides,112405000.0,SNOMED,fungi,,
Paragonimus Westermani,58412002.0,SNOMED,"parasite, helminth",,
Paramyxoviridae,128354001.0,SNOMED,virus,,
Parvoviridae,243587006.0,SNOMED,virus,,
Pénicillium,42993004.0,SNOMED,fungi,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,
Picornaviridae,407344006.0,SNOMED,virus,,
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,
Pneumocystis,115987006.0,SNOMED,fungi,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,
Maladies prions,20484008.0,SNOMED,Prions,,
Virus de la rage,59881000.0,SNOMED,virus,,
Virus respiratoire syncytial (RSV),6415009.0,SNOMED,virus,,
Rétroviridae,77622001.0,SNOMED,virus,,
Rhabnoviridae,407326003.0,SNOMED,virus,,
Rhizomucor,85711000.0,SNOMED,fungi,,
Rhizopus,17683005.0,SNOMED,fungi,,
Virus de la fièvre de la vallée de Rift,28335002.0,SNOMED,virus,,
Virus de la rivière Ross,32458000.0,SNOMED,virus,,
Rotavirus,417542000.0,SNOMED,virus,,
Virus de la rubéole,5210005.0,SNOMED,virus,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,,
Sapovirus,407362002.0,SNOMED,virus,,
SRAS-CoV-2,840533007.0,SNOMED,virus,,
SARS-COV-2 BETA - B.1.351,,,virus,,
Delta SARS-COV-2 - B.1.617.2,,,virus,,
SARS-COV-2 ETA - B.1.525,,,virus,,
SARS-COV-2 GAMMA - P.1,,,virus,,
SARS-COV-2 IOTA - B.1.526,,,virus,,
SARS-COV-2 KAPPA - B.1.617.1,,,virus,,
SARS-COV-2 OMICRON,,,virus,,
SARS-COV-2 Omicron - B.1.1.529,,,virus,,
SARS-COV-2 Omicron - B.1.1.529.2 BA.2,,,virus,,
SARS-COV-2 Omicron - B.1.1.529.5 BA.5,,,virus,,
SARS-COV-2 THETA-P.3,,,virus,,
SARS-COV-2 ZETA - P.2,,,virus,,
SARS-COV-2 Alpha - B.1.1.7,,,virus,,
Antigène SARS-COV-2,840536004.0,SNOMED,virus (substance),,
Anticorps IgG SARS-COV-2,63000000000000.0,SNOMED,virus (substance),,
Anticorps IgG / IgM SARS-COV-2,840535000.0,SNOMED,virus (substance),,
Anticorps IGM SARS-COV-2,50600000000000.0,SNOMED,virus (substance),,
Scedosporium,31901009.0,SNOMED,fungi,,
Schistosome,53583001.0,SNOMED,"parasite, helminth",,
Schistosoma guineensis,,,"parasite, helminth",,
Schistosoma hématobium,3294004.0,SNOMED,"parasite, helminth",,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,
Schistosoma Mansoni,11168007.0,SNOMED,"parasite, helminth",,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",,
Syndrome respiratoire aigu sévère coronavirus 2,1240000000000000.0,SNOMED,virus,,
Coronavirus lié au syndrome respiratoire aigu,415360003.0,SNOMED,virus,,
Fièvre sévère avec syndrome de thrombocytopaenia (SFTS),722401001.0,SNOMED,virus,,
Simplexvirus (genre),314797000.0,SNOMED,virus,,
Sporothrix Schenckii,32662000.0,SNOMED,fungi,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,
Taenia Solium,17966003.0,SNOMED,"parasite, helminth",,
Talaromyces marneffei,71825007.0,SNOMED,fungi,,
Togoviridae,129231002.0,SNOMED,virus,,
Toxocara Canis,88857009.0,SNOMED,"parasite, helminth",,
Toxoplasme,61949005.0,SNOMED,"parasite, protozoa",,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",,
Trichomonas,3764006.0,SNOMED,"parasite, protozoa",,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",,
Trichophyton,88578003.0,SNOMED,fungi,,
Trichosporon asahii,243475001.0,SNOMED,fungi,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",,
Trypanosome,40740003.0,SNOMED,"parasite, protozoa",,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",,
Virus du nil occidental,57311007.0,SNOMED,virus,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",,
Levure,62093005.0,SNOMED,fungi,,
Virus Zika,50471002.0,SNOMED,virus,,
