Country,Region,Selected
Haití,Américas,
Islas Heard y McDonald,,
Honduras,Américas,
RAE de Hong Kong,Asia,
Hungría,Europa,
Islandia,Europa,
India,Asia,
Indonesia,Asia,
Irán,Asia,
Irak,Asia,
Irlanda,Europa,
Israel,Asia,
Italia,Europa,
Jamaica,Américas,
Japón,Asia,
Jersey,Europa,
Jordán,Asia,
Kazajstán,Asia,
Kenia,África,
Kiribati,Oceanía,
Kosovo,Europa,
Kuwait,Asia,
Kirguistán,Asia,
Laos,Asia,
Letonia,Europa,
Líbano,Asia,
Lesoto,África,
Liberia,África,
Libia,África,
Liechtenstein,Europa,
Lituania,Europa,
Luxemburgo,Europa,
Región Administrativa Especial de Macao,Asia,
Madagascar,África,
Malaui,África,
Malasia,Asia,
Maldivas,Asia,
Malí,África,
Malta,Europa,
Hombre (Isla de),Europa,
Islas Marshall,Oceanía,
Martinica,Américas,
Mauritania,África,
Mauricio,África,
Mayotte,África,
México,Américas,
Micronesia,Oceanía,
Moldavia,Europa,
Mónaco,Europa,
Mongolia,Asia,
Montenegro,Europa,
Montserrat,Américas,
Marruecos,África,
Mozambique,África,
Birmania,Asia,
Namibia,África,
Nauru,Oceanía,
Nepal,Asia,
Países Bajos,Europa,
Nueva Caledonia,Oceanía,
Nueva Zelanda,Oceanía,
Nicaragua,Américas,
Níger,África,
Nigeria,África,
Niue,Oceanía,
Isla Norfolk,Oceanía,
Corea del Norte,Asia,
Macedonia del Norte,Europa,
Islas Marianas del Norte,Oceanía,
Noruega,Europa,
Omán,Asia,
Pakistán,Asia,
Palaos,Oceanía,
Territorio Palestino Ocupado,Asia,
Panamá,Américas,
Papúa Nueva Guinea,Oceanía,
Paraguay,Américas,
Perú,Américas,
Filipinas,Asia,
Isla Pitcairn,Oceanía,
Polonia,Europa,
Portugal,Europa,
Puerto Rico,Américas,
Katar,Asia,
Reunión,África,
Rumania,Europa,
Rusia,Europa,
Ruanda,África,
Santa Elena,África,
San Cristóbal y Nieves,Américas,
Santa Lucía,Américas,
San Pedro y Miquelón,Américas,
San Vicente y las Granadinas,Américas,
San Bartolomé,Américas,
San Martín (parte francesa),Américas,
Samoa,Oceanía,
San Marino,Europa,
Santo Tomé y Príncipe,África,
Arabia Saudita,Asia,
Senegal,África,
Serbia,Europa,
Seychelles,África,
Sierra Leona,África,
Singapur,Asia,
Sint Maarten (parte holandesa),Américas,
Eslovaquia,Europa,
Eslovenia,Europa,
Islas Salomón,Oceanía,
Somalia,África,
Sudáfrica,África,
Georgia del Sur,Américas,
Corea del Sur,Asia,
Sudán del Sur,África,
España,Europa,
Sri Lanka,Asia,
Sudán,África,
Surinam,Américas,
Islas Svalbard y Jan Mayen,Europa,
Suecia,Europa,
Suiza,Europa,
Siria,Asia,
Taiwán,Asia,
Tayikistán,Asia,
Tanzania,África,
Tailandia,Asia,
Las Bahamas,Américas,
Timor Oriental,Asia,
Ir,África,
Tokelau,Oceanía,
Tonga,Oceanía,
Trinidad y Tobago,Américas,
Túnez,África,
Pavo,Asia,
Turkmenistán,Asia,
Islas Turcas y Caicos,Américas,
Tuvalu,Oceanía,
Uganda,África,
Ucrania,Europa,
Emiratos Árabes Unidos,Asia,
Reino Unido,Europa,
Estados Unidos,Américas,
Islas menores alejadas de los Estados Unidos,Américas,
Uruguay,Américas,
Uzbekistán,Asia,
Vanuatu,Oceanía,
Ciudad del Vaticano (Santa Sede),Europa,
Venezuela,Américas,
Vietnam,Asia,
Islas Vírgenes Británicas,Américas,
Islas Vírgenes de los Estados Unidos,Américas,
Islas Wallis y Futuna,Oceanía,
Sahara Occidental,África,
Yemen,Asia,
Zambia,África,
Zimbabue,África,
