Drugs (Generic),Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Cefotaxime (claforan),1,1.0,,,,,,,,J01DD01,ATC,,28,,
Cefotetan (cefotan),2,,,,,,,,,J01DC05,ATC,,29,,
"Céfoxitine (méfoxine, renoxiti)",2,,,,,,,,,J01DC01,ATC,,30,,
CEFPODOXIME Proxetil (Vantin),2,,,,,,,,,J01DD13,ATC,,31,,
"Cefprozil (cefproxil, cefproz, cefzil)",2,,,,,,,,,J01DC10,ATC,,32,,
"Ceftaroline Fosamil (Teflaro, Zinforo)",1,,,,,,,,,J01DI02,ATC,,33,,
"Ceftazidime (Fortaz, Tazicef)",1,1.0,,,,,,,,J01DD02,ATC,,34,,
"Inhibiteur de ceftazidime / bêta-lactamase (ceftazidime / avibactam, avyzaz, zavicefta)",,1.0,,,,,,,,J01DD52,ATC,,35,,
Ceftituten (CEDAX),2,,,,,,,,,J01DD14,ATC,,36,,
Ceftizoxime (cefizox),,,,,,,,,,J01DD07,ATC,,37,,
Ceftobiprole Medocaril (Zeftera),1,,,,,,,,,J01DI01,ATC,,38,,
"Ceftriaxone (Rocephin, Wintriaxone)",1,1.0,1.0,1.0,,1.0,1.0,1.0,,J01DD04,ATC,,39,,
"Céfuroxime (ceftin, zinacef)",1,1.0,,,,,,,,J01DC02,ATC,,40,,
"Cephalexin (Cefalexin, Keflex, Daxbia)",2,,,,,,,,,J01DB01,ATC,,41,,
"Céphalothine (céfalotine,",2,,,,,,,,,J01DB03,ATC,,42,,
"Cephapirin (Cefapirin,",2,,,,,,,,,J01DB08,ATC,,43,,
"Céphradine (Cefradine, Velosef)",2,,,,,,,,,J01DB09,ATC,,44,,
"Chloramphénicol (chloromycétine, viceton)",,1.0,,,,,,,,J01BA01,ATC,,45,,
Cinoxacin (Cinobac),2,,,,,,,,,J01MB06,ATC,,46,,
"Ciprofloxacine (Cetraxal, cipro, ciloxan, proquin)",1,,,,,,,,,J01MA02,ATC,,47,,
"Clarithromycine (biaxine, klacid)",1,1.0,,,,,,,,J01FA09,ATC,,48,,
"Clindamycine (cléocine, dalacine)",1,,,,,,,,,J01FF01,ATC,,49,,
"Cloxacilline (Tegopen, Cloxapen)",,,,,,,,,,J01CF02,ATC,,50,,
"Colistin (colistiméthate, Coly Mycin M, Colobreathe, xylistin)",,,,,,,,,,J01XB01,ATC,,51,,
Cyclosérine (séromycine),2,,,,,,,,,J04AB01,ATC,,52,,
"Daptomycine (dapzura, cubicine)",,,,,,,,,,J01XX09,ATC,,53,,
Démeclocycline (déclomycine),2,,,,,,,,,J01AA01,ATC,,54,,
"Dicloxacilline (diclocil, dycil, dynapen)",2,,,,,,,,,J01CF01,ATC,,55,,
Dirithromycine (Dynabac),2,,,,,,,,,J01FA13,ATC,,56,,
"Doripenem (Doribax, Finibax)",2,,,,,,,,,J01DH04,ATC,,57,,
"Doxycycline (vibramycine, oracea, monodox)",1,1.0,1.0,,1.0,,,,1.0,J01AA02,ATC,,58,,
Énoxacine,2,,,,,,,,,J01MA04,ATC,,59,,
Ertapenem (Invanz),1,,,,,,,,,J01DH03,ATC,,60,,
"Érythromycine (eryc, érythrocine)",1,1.0,,,,,,,,J01FA01,ATC,,61,,
Éthambutol,,,,,,,,,,J04AK02,ATC,,62,,
"Flucloxacilline (Floxapen, Fluclox)",1,,,,,,,,,J01CF05,ATC,,63,,
Fluconazole (diflucan),1,,,,,,,,,J02AC01,ATC,,64,,
Fosfomycine (monurol),1,,,,,,,,,J01XX01,ATC,,65,,
Acide fusidique,,,,,,,,,,J01XC01,ATC,,66,,
Gatifloxacine (tequin),,,,,,,,,,J01MA16,ATC,,67,,
Gemifloxacine (factive),2,,,,,,,,,J01MA15,ATC,,68,,
"Gentamicine (garamycine, gentak, génoptique)",1,,,,,,,,,J01GB03,ATC,,69,,
Grepafloxacine,2,,,,,,,,,J01MA11,ATC,,70,,
Imipenem / cilastatine (primaxin),1,,,,,,,,,J01DH51,ATC,,71,,
"ISoniazide (nydrazid, laniazide)",1,,,,,,,,,J04AC01,ATC,,72,,
Kanamycine (kanttrex),,,,,,,,,,J01GB04,ATC,,73,,
"Levofloxacine (Levaquin, Levxin, Tavanic)",1,1.0,,,,1.0,1.0,,,J01MA12,ATC,,74,,
"Lincomycine (Linobac, Lincomed)",2,,,,,,,,,J01FF02,ATC,,75,,
Linezolid (Zyvox),1,1.0,,,,,,,,J01XX08,ATC,,76,,
Loméfloxacine,2,,,,,,,,,J01MA07,ATC,,77,,
"Meropenem (Merrem, Meronem)",1,1.0,,,,,,,,J01DH02,ATC,,78,,
"Méthénamine Hippurate (Hiprex, Urex)",2,,,,,,,,,J01XX05,ATC,,79,,
"Méthicilline (méticilline, staphcilline)",2,,,,,,,,,J01CF03,ATC,,80,,
"Métronidazole (Flagyl, Likmez)",1,,,,,,,,,J01XD01,ATC,,81,,
"Mezlocillin (Baypen, Mélocin, Bezlin, Optocilline)",2,,,,,,,,,J01CA10,ATC,,82,,
"Minocycline (Minocin, Ximino)",2,,,,,,,,,J01AA08,ATC,,83,,
"Moxifloxacine (velox, vigamox)",1,,,,,,,,,J01MA14,ATC,,84,,
Nafcillin,2,,,,,,,,,J01CF06,ATC,,85,,
"Acide nalidixique (Neggram, wintomylon)",2,,,,,,,,,J01MB02,ATC,,86,,
Néomycine (nevet),2,,,,,,,,,J01GB05,ATC,,87,,
Netilmicine (netromycine),,,,,,,,,,J01GB07,ATC,,89,,
"Nitrofural (aldomycine, furacine, NFZ)",2,,,,,,,,,D08AF01,ATC,,90,,
"Nitrofurantoin (macrobid, macrodantin)",1,,,,,,,,,J01XE01,ATC,,91,,
"Norfloxacine (Trizolin, Noroxin)",2,,,,,,,,,J01MA06,ATC,,92,,
Novobiocine (Albadry),2,,,,,,,,,90220005,SNOMED,,93,,
"Ofloxacine (Floxine, Ocuflox)",2,,,,,,,,,J01MA01,ATC,,94,,
Oxacilline (bactocill),2,,,,,,,,,J01CF04,ATC,,95,,
"Oxytétracycline (agrimycine, noromycine)",2,,,,,,,,,J01AA06,ATC,,96,,
Piperacilline,,,,,,,,,,J01CA12,ATC,,97,,
"Inhibiteur de pipéracilline / bêta-lactamase (piperacilline / tazobactam, pip-taz, tazocel, tazocine, zosyn,",1,1.0,,,,,,,,J01CR05,ATC,,98,,
Pivmecillinam (selexid),1,,,,,,,,,J01CA08,ATC,,100,,
Plazomicine (Zemdri),,,,,,,,,,J01GB14,ATC,,101,,
"Polymyxine B (poly-rx, polysporine)",,,,,,,,,,J01XB02,ATC,,102,,
"Procaïne benzylpénicilline (pénicilline G, bactracilline G, norocilline)",,,,,,,,,,J01CE09,ATC,,103,,
Pyrazinamide,,,,,,,,,,J04AK01,ATC,,104,,
Quinupristin / dalfopristin (synercide),2,,,,,,,,,J01FG02,ATC,,105,,
Retapamuline (Altabax),2,,,,,,,,,D06AX13,ATC,,106,,
"Rifampicine (rifadin, rimactane)",1,,,,,,,,,J04AB02,ATC,,107,,
Rifapentine (Priftin),2,,,,,,,,,J04AB05,ATC,,108,,
Rifaximine (xifaxan),1,,,,,,,,,A07AA11,ATC,,109,,
"Roxithromycine (biaxsig, règle)",,,,,,,,,,J01FA06,ATC,,110,,
Sparfloxacine (spacine),2,,,,,,,,,J01MA09,ATC,,111,,
Spectinomycine (spectogard),2,,,,,,,,,J01XX04,ATC,,112,,
Streptomycine,2,,,,,,,,,J01GA01,ATC,,113,,
Sulfadiazine,2,,,,,,,,,J01EC02,ATC,,114,,
Sulfaméthoxazole (gantanol),1,,,,,,,,,J01EC01,ATC,,115,,
"Sulfaméthoxazole / triméthoprime (bactrim, co-trimoxazole, septra)",1,1.0,,,,,,,,J01EE01,ATC,,116,,
"Sulfisoxazole (sulfafurazole, truxazole)",2,,,,,,,,,J01EB05,ATC,,117,,
Teicoplanine (targocide),,1.0,,,,,,,,J01XA02,ATC,,118,,
"Telavancin (télévisanin, vibativ)",2,,,,,,,,,J01XA03,ATC,,119,,
Télithromycine (lévviax),2,,,,,,,,,J01FA15,ATC,,120,,
"Tétracycline (viabecline, vitastem)",2,,,,,,,,,J01AA07,ATC,,121,,
Ticarcilline,2,,,,,,,,,J01CA13,ATC,,122,,
Inhibiteur de la ticarcilline / bêta-lactamase (ticacilline / clavulanate),2,,,,,,,,,J01CR03,ATC,,123,,
Tigecycline (tygacil),1,,,,,,,,,J01AA12,ATC,,124,,
"Tobramycine (Nebcin, Tobrex, Tobi)",1,,,,,,,,,J01GB01,ATC,,125,,
Triméthoprime (primsol),1,,,,,,,,,J01EA01,ATC,,126,,
Trovafloxacine (Trovan),,,,,,,,,,J01MA13,ATC,,127,,
"Vancomycine (Vanconine, Vanconine HCL, Firvanq)",1,1.0,,,,,1.0,,,J01XA01,ATC,,128,,
Voriconazole (VFend),,,,,,,,,,J02AC03,ATC,,129,,
Xibornol,,,,,,,,,,J01XX02,ATC,,130,,
