Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Virus de l'hépatite B,81665004.0,SNOMED,virus,73,,
Virus de l'hépatite C,62944002.0,SNOMED,virus,74,,
Hépatite D,83617006.0,SNOMED,virus,75,,
Virus de l'hépatite E,78475006.0,SNOMED,virus,76,,
Herpèsviridae,128377001.0,SNOMED,virus,77,,
Histoplasme,81951003.0,SNOMED,fungi,78,,
Histoplasme capsulatum,56596006.0,SNOMED,fungi,79,,
"Herpèsvirus humain 1 (HHV1, Virus d'herpès simplex 1, HSV1)",407451003.0,SNOMED,virus,80,,
"Herpèsvirus humain 2 (HHV2, Virus d'herpès simplex 2, HSV2)",407450002.0,SNOMED,virus,81,,
"Herpèsvirus humain 3 (virus varicelle-zona, VZV)",19551004.0,SNOMED,virus,82,,
"Herpèsvirus humain 4 (virus d'Epstein-Barr, EBV)",40168006.0,SNOMED,virus,83,,
"Herpèsvirus humain (cytomégalovirus humanbeta5, hcmv)",243579005.0,SNOMED,virus,84,,
Herpèsvirus humain 6 (virus Roseola infantum),103528003.0,SNOMED,virus,85,,
Virus de l'immunodéficience humaine (VIH),19030005.0,SNOMED,virus,86,,
Virus d'immunodéficience humaine de type 1 (VIH-1),89293008.0,SNOMED,virus,87,,
Virus d'immunodéficience humaine de type 2 (VIH-2),36115006.0,SNOMED,virus,89,,
Métapneumovirus humain (HMPV),416730002.0,SNOMED,virus,90,,
Virus parainfluenza humain,407498006.0,SNOMED,virus,91,,
Virus humain parainfluenza 1,407489008.0,SNOMED,virus,92,,
Virus humain parainfluenza 2,407491000.0,SNOMED,virus,93,,
Virus humain parainfluenza 3,407493002.0,SNOMED,virus,94,,
Virus humain parainfluenza 4,89117003.0,SNOMED,virus,95,,
Parvovirus humain B19,63603005.0,SNOMED,virus,96,,
Virus syncytial respiratoire humain (RSV),6415009.0,SNOMED,virus,97,,
Bocavirus humain,446373002.0,SNOMED,virus,98,,
Coronavirus humain,84101006.0,SNOMED,virus,100,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",101,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",102,,
Grippe un sous-type H5N8,708527000.0,SNOMED,virus,103,,
Grippe un supeype h7n7,715346008.0,SNOMED,virus,104,,
Virus de la grippe,407479009.0,SNOMED,virus,105,,
Sous-type de virus H1N1,442352004.0,SNOMED,virus,106,,
Sous-type de virus H5N1,772827006.0,SNOMED,virus,107,,
Sous-type de virus H7N9,609444009.0,SNOMED,virus,108,,
Virus de la grippe B,407480007.0,SNOMED,virus,109,,
Virus de la grippe,725894000.0,SNOMED,virus,110,,
Isospora Belli,12633005.0,SNOMED,"parasite, protozoa",111,,
Virus de l'encéphalite japonais (JEV),243603004.0,SNOMED,virus,112,,
Virus Junin,26352009.0,SNOMED,virus,113,,
Virus lassa,85944001.0,SNOMED,virus,114,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",115,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",116,,
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",117,,
Complexe de leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",118,,
Complexe de Leishmania Donovani,79781008.0,SNOMED,"parasite, protozoa",119,,
Lichhiémie,734206002.0,SNOMED,fungi,120,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,121,,
Virus Lujo,450622000.0,SNOMED,virus,122,,
Virus chorioméningite lymphocytaire (LCMV),82518003.0,SNOMED,virus,123,,
Médaillon,697932005.0,SNOMED,virus,124,,
Virus Machupo,71489006.0,SNOMED,virus,125,,
Madvella,23009007.0,SNOMED,fungi,126,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,127,,
Morbillivirus rougeole,52584002.0,SNOMED,virus,128,,
Métapneumovirus,407501006.0,SNOMED,virus,129,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,130,,
Microsporidie,418382009.0,SNOMED,"parasite, protozoa",131,,
Microsporum,11983001.0,SNOMED,fungi,132,,
Syndrome respiratoire du Moyen-Orient,697932005.0,SNOMED,virus,133,,
Virus MPOX,59774002.0,SNOMED,virus,134,,
Mucor,49782006.0,SNOMED,fungi,135,,
Virus des oreillons,50384007.0,SNOMED,virus,136,,
Necator americanus,43905006.0,SNOMED,"parasite, helminth",137,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,138,,
Virus Nipah,115511007.0,SNOMED,virus,139,,
Norovirus,407359000.0,SNOMED,virus,140,,
Volvulus onchocerca,52397001.0,SNOMED,"parasite, helminth",141,,
Orthomyxoviridae (virus de la grippe),55014007.0,SNOMED,virus,142,,
Papillomavirus,243584004.0,SNOMED,virus,143,,
Papoviridae,243587006.0,SNOMED,virus,144,,
Paracoccidioides,112405000.0,SNOMED,fungi,145,,
Paragonimus Westermani,58412002.0,SNOMED,"parasite, helminth",146,,
Paramyxoviridae,128354001.0,SNOMED,virus,147,,
Parvoviridae,243587006.0,SNOMED,virus,148,,
Pénicillium,42993004.0,SNOMED,fungi,149,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,150,,
Picornaviridae,407344006.0,SNOMED,virus,151,,
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",152,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",153,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",154,,
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",155,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",156,,
Pneumocystis,115987006.0,SNOMED,fungi,157,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,158,,
Maladies prions,20484008.0,SNOMED,Prions,159,,
Virus de la rage,59881000.0,SNOMED,virus,160,,
Virus respiratoire syncytial (RSV),6415009.0,SNOMED,virus,161,,
Rétroviridae,77622001.0,SNOMED,virus,162,,
Rhabnoviridae,407326003.0,SNOMED,virus,163,,
Rhizomucor,85711000.0,SNOMED,fungi,164,,
Rhizopus,17683005.0,SNOMED,fungi,165,,
Virus de la fièvre de la vallée de Rift,28335002.0,SNOMED,virus,166,,
Virus de la rivière Ross,32458000.0,SNOMED,virus,167,,
Rotavirus,417542000.0,SNOMED,virus,168,,
Virus de la rubéole,5210005.0,SNOMED,virus,169,,
SRAS-CoV-2,840533007.0,SNOMED,virus,170,,
SARS-COV-2 BETA - B.1.351,,,virus,171,,
Delta SARS-COV-2 - B.1.617.2,,,virus,172,,
SARS-COV-2 ETA - B.1.525,,,virus,173,,
SARS-COV-2 GAMMA - P.1,,,virus,174,,
SARS-COV-2 IOTA - B.1.526,,,virus,175,,
SARS-COV-2 KAPPA - B.1.617.1,,,virus,176,,
SARS-COV-2 OMICRON,,,virus,177,,
SARS-COV-2 Omicron - B.1.1.529,,,virus,178,,
SARS-COV-2 Omicron - B.1.1.529.2 BA.2,,,virus,179,,
SARS-COV-2 Omicron - B.1.1.529.5 BA.5,,,virus,180,,
SARS-COV-2 THETA-P.3,,,virus,181,,
SARS-COV-2 ZETA - P.2,,,virus,182,,
SARS-COV-2 Alpha - B.1.1.7,,,virus,183,,
Antigène SARS-COV-2,840536004.0,SNOMED,virus (substance),184,,
Anticorps IgG SARS-COV-2,63000000000000.0,SNOMED,virus (substance),185,,
Anticorps IgG / IgM SARS-COV-2,840535000.0,SNOMED,virus (substance),186,,
Anticorps IGM SARS-COV-2,50600000000000.0,SNOMED,virus (substance),187,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,188,,
Sapovirus,407362002.0,SNOMED,virus,189,,
Scedosporium,31901009.0,SNOMED,fungi,190,,
Schistosome,53583001.0,SNOMED,"parasite, helminth",191,,
Schistosoma guineensis,,,"parasite, helminth",192,,
Schistosoma hématobium,3294004.0,SNOMED,"parasite, helminth",193,,
Schistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",194,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",195,,
Schistosoma Mansoni,11168007.0,SNOMED,"parasite, helminth",196,,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",197,,
Syndrome respiratoire aigu sévère coronavirus 2,1240000000000000.0,SNOMED,virus,198,,
Coronavirus lié au syndrome respiratoire aigu,415360003.0,SNOMED,virus,199,,
Fièvre sévère avec syndrome de thrombocytopaenia (SFTS),722401001.0,SNOMED,virus,200,,
Simplexvirus (genre),314797000.0,SNOMED,virus,201,,
Sporothrix Schenckii,32662000.0,SNOMED,fungi,202,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",203,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",204,,
Taenia Solium,17966003.0,SNOMED,"parasite, helminth",205,,
Talaromyces marneffei,71825007.0,SNOMED,fungi,206,,
Togoviridae,129231002.0,SNOMED,virus,207,,
Toxocara Canis,88857009.0,SNOMED,"parasite, helminth",208,,
Toxoplasme,61949005.0,SNOMED,"parasite, protozoa",209,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",210,,
Trichinella spiralis,16439004.0,SNOMED,"parasite, helminth",211,,
Trichomonas,3764006.0,SNOMED,"parasite, protozoa",212,,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",213,,
Trichophyton,88578003.0,SNOMED,fungi,214,,
Trichosporon asahii,243475001.0,SNOMED,fungi,215,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",216,,
Trypanosome,40740003.0,SNOMED,"parasite, protozoa",217,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",218,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",219,,
Trypanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",220,,
Virus du nil occidental,57311007.0,SNOMED,virus,221,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",222,,
Levure,62093005.0,SNOMED,fungi,223,,
Virus Zika,50471002.0,SNOMED,virus,224,,
