Drugs (Generic),Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Cefamandole (Mandol),2,,,,,,,,,J01DC03,ATC,,20,,
"Cefazolin (Ancef, Kefzol)",1,,,,,,,,,J01DB04,ATC,,21,,
"Cefdinir (Cefzon, Omnicef)",2,,,,,,,,,J01DD15,ATC,,22,,
Cefditoren (Spectracef),2,,,,,,,,,J01DD16,ATC,,23,,
Cefepime (Maxipime),1,,,,,,,,,J01DE01,ATC,,24,,
Cefixime (suprax),2,,,,,,,,,J01DD08,ATC,,25,,
Cefmetazol (zefazona),2,,,,,,,,,J01DC09,ATC,,26,,
Cefoperazona (Cefobid),,,,,,,,,,J01DD12,ATC,,27,,
Cefotaxime (Claforan),1,1.0,,,,,,,,J01DD01,ATC,,28,,
Cefotetan (cefotan),2,,,,,,,,,J01DC05,ATC,,29,,
"Cefoxitina (mefoxina, renoxitina)",2,,,,,,,,,J01DC01,ATC,,30,,
Cefpodoxime Proxetil (Vantin),2,,,,,,,,,J01DD13,ATC,,31,,
"CEFPROZIL (CEFPROXIL, CEFPROZ, CEFZIL)",2,,,,,,,,,J01DC10,ATC,,32,,
"Ceftaroline Fosamil (Teflaro, Zinforo)",1,,,,,,,,,J01DI02,ATC,,33,,
"Ceftazidime (Fortaz, Tazicef)",1,1.0,,,,,,,,J01DD02,ATC,,34,,
"Inibidor de ceftazidima/beta-lactamase (ceftazidime/avibactama, avycaz, zavicefta)",,1.0,,,,,,,,J01DD52,ATC,,35,,
CEFTIBUTEN (CEDAX),2,,,,,,,,,J01DD14,ATC,,36,,
Ceftizoxime (Cefizox),,,,,,,,,,J01DD07,ATC,,37,,
Ceftobiprole medocaril (zeftera),1,,,,,,,,,J01DI01,ATC,,38,,
"Ceftriaxona (Rocephin, wintriaxona)",1,1.0,1.0,1.0,,1.0,1.0,1.0,,J01DD04,ATC,,39,,
"Cefuroxime (Ceftin, Zinacef)",1,1.0,,,,,,,,J01DC02,ATC,,40,,
"Cefalexina (cefalexina, keflex, daxbia)",2,,,,,,,,,J01DB01,ATC,,41,,
"Cefalotina (cefalotina,",2,,,,,,,,,J01DB03,ATC,,42,,
"Cefapirina (cefapirina,",2,,,,,,,,,J01DB08,ATC,,43,,
"Cefradina (Cefradina, VeLosef)",2,,,,,,,,,J01DB09,ATC,,44,,
"Cloranfenicol (cloromicetina, viceton)",,1.0,,,,,,,,J01BA01,ATC,,45,,
Cinoxacina (Cinobac),2,,,,,,,,,J01MB06,ATC,,46,,
"Ciprofloxacina (Cetraxal, Cipro, Ciloxan, Proquin)",1,,,,,,,,,J01MA02,ATC,,47,,
"Claritromicina (biaxina, klacid)",1,1.0,,,,,,,,J01FA09,ATC,,48,,
"Clindamicina (Cleocin, Dalacina)",1,,,,,,,,,J01FF01,ATC,,49,,
"Cloxacilina (tegopen, cloxapen)",,,,,,,,,,J01CF02,ATC,,50,,
"Colistina (Colistimetato, Coly Mycin M, Colobreathe, Xylistin)",,,,,,,,,,J01XB01,ATC,,51,,
Cicloserina (seromicina),2,,,,,,,,,J04AB01,ATC,,52,,
"Daptomicina (dapzura, cubicina)",,,,,,,,,,J01XX09,ATC,,53,,
Desmeclociclina (Decomicina),2,,,,,,,,,J01AA01,ATC,,54,,
"Dicloxacilina (Diclocil, Dycill, Dynapen)",2,,,,,,,,,J01CF01,ATC,,55,,
Diritromicina (Dynabac),2,,,,,,,,,J01FA13,ATC,,56,,
"Doripenem (Doribax, Finibax)",2,,,,,,,,,J01DH04,ATC,,57,,
"Doxiciclina (vibramicina, oracea, monoodoxa)",1,1.0,1.0,,1.0,,,,1.0,J01AA02,ATC,,58,,
Enoxacina,2,,,,,,,,,J01MA04,ATC,,59,,
Erapenem (Invanz),1,,,,,,,,,J01DH03,ATC,,60,,
"Eritromicina (eryc, eritrocina)",1,1.0,,,,,,,,J01FA01,ATC,,61,,
Ethambutol,,,,,,,,,,J04AK02,ATC,,62,,
"Flucloxacilina (floxapen, fluclox)",1,,,,,,,,,J01CF05,ATC,,63,,
Fluconazol (diflucan),1,,,,,,,,,J02AC01,ATC,,64,,
Fosfomicina (monurol),1,,,,,,,,,J01XX01,ATC,,65,,
Ácido fusídico,,,,,,,,,,J01XC01,ATC,,66,,
Gatifloxacina (tequim),,,,,,,,,,J01MA16,ATC,,67,,
Gemifloxacina (Factiva),2,,,,,,,,,J01MA15,ATC,,68,,
"Gentamicina (Garamicina, Gentak, Genoptic)",1,,,,,,,,,J01GB03,ATC,,69,,
Grepafloxacina,2,,,,,,,,,J01MA11,ATC,,70,,
IMIPENEM/CILASTATINA (Primaxina),1,,,,,,,,,J01DH51,ATC,,71,,
"Isoniazid (Nydrazid, Laniazid)",1,,,,,,,,,J04AC01,ATC,,72,,
Kanamicina (Kantrex),,,,,,,,,,J01GB04,ATC,,73,,
"Levofloxacina (Levaquin, Levxin, Tavanic)",1,1.0,,,,1.0,1.0,,,J01MA12,ATC,,74,,
"Lincomicina (Linobac, Lincomed)",2,,,,,,,,,J01FF02,ATC,,75,,
Linezolid (Zyvox),1,1.0,,,,,,,,J01XX08,ATC,,76,,
Lomefloxacina,2,,,,,,,,,J01MA07,ATC,,77,,
"Meropenem (Merrem, Meronem)",1,1.0,,,,,,,,J01DH02,ATC,,78,,
"Methenamine Hipurur (Hiprex, Urex)",2,,,,,,,,,J01XX05,ATC,,79,,
"Meticilina (meticilina, estafcilina)",2,,,,,,,,,J01CF03,ATC,,80,,
"Metronidazol (flagyl, likmez)",1,,,,,,,,,J01XD01,ATC,,81,,
"Mezlocilina (Baypen, Melocina, Bezlin, Optocilina)",2,,,,,,,,,J01CA10,ATC,,82,,
"Minociclina (Minocina, Ximino)",2,,,,,,,,,J01AA08,ATC,,83,,
"Moxifloxacina (Avelox, Vigamox)",1,,,,,,,,,J01MA14,ATC,,84,,
Nafcilina,2,,,,,,,,,J01CF06,ATC,,85,,
"Ácido nalidíxico (Neggram, Wintomylon)",2,,,,,,,,,J01MB02,ATC,,86,,
Neomicina (neovet),2,,,,,,,,,J01GB05,ATC,,87,,
Netilmicina (Netromicina),,,,,,,,,,J01GB07,ATC,,89,,
"Nitrofural (aldomicina, furacina, NFZ)",2,,,,,,,,,D08AF01,ATC,,90,,
"Nitrofurantoína (macrobid, macrodantina)",1,,,,,,,,,J01XE01,ATC,,91,,
"Norfloxacina (Trizolin, noroxina)",2,,,,,,,,,J01MA06,ATC,,92,,
Novobiocina (Albadry),2,,,,,,,,,90220005,SNOMED,,93,,
"Ofloxacina (Floxin, Ocuflox)",2,,,,,,,,,J01MA01,ATC,,94,,
Oxacilina (Bactocill),2,,,,,,,,,J01CF04,ATC,,95,,
"Oxitetraciclina (Agrimicina, Noromicina)",2,,,,,,,,,J01AA06,ATC,,96,,
Piperacilina,,,,,,,,,,J01CA12,ATC,,97,,
"Inibidor da piperacilina/beta-lactamase (Piperacilina/Tazobactam, Pip-Taz, Tazocel, Tazocina, Zosyn,",1,1.0,,,,,,,,J01CR05,ATC,,98,,
Pivmecilinam (SELEXID),1,,,,,,,,,J01CA08,ATC,,100,,
Plazomicina (Zemdri),,,,,,,,,,J01GB14,ATC,,101,,
"Polimxina B (Poly-RX, Polisporina)",,,,,,,,,,J01XB02,ATC,,102,,
"Procaine Benzilpenicilina (Penicilina G, Bactracilina G, Norocilina)",,,,,,,,,,J01CE09,ATC,,103,,
Pirazinamida,,,,,,,,,,J04AK01,ATC,,104,,
Quinupristin/dalfopristina (sínercida),2,,,,,,,,,J01FG02,ATC,,105,,
Retapamulina (Altabax),2,,,,,,,,,D06AX13,ATC,,106,,
"Rifampicina (rifadina, rimacano)",1,,,,,,,,,J04AB02,ATC,,107,,
Rifapentina (prefrifin),2,,,,,,,,,J04AB05,ATC,,108,,
Rifaximin (Xifaxan),1,,,,,,,,,A07AA11,ATC,,109,,
"Roxithromicina (Biaxsig, RUNIDE)",,,,,,,,,,J01FA06,ATC,,110,,
Sparfloxacina (Spacin),2,,,,,,,,,J01MA09,ATC,,111,,
Espectinomicina (Spectogard),2,,,,,,,,,J01XX04,ATC,,112,,
Estreptomicina,2,,,,,,,,,J01GA01,ATC,,113,,
Sulfadiazina,2,,,,,,,,,J01EC02,ATC,,114,,
Sulfametoxazol (Gantanol),1,,,,,,,,,J01EC01,ATC,,115,,
"Sulfametoxazol/trimetoprim (Bactrim, co-trimoxazol, Septra)",1,1.0,,,,,,,,J01EE01,ATC,,116,,
"Sulfisoxazol (sulfafurazol, troxazol)",2,,,,,,,,,J01EB05,ATC,,117,,
Teicoplanina (Targocid),,1.0,,,,,,,,J01XA02,ATC,,118,,
"Telavancin (televisão, Vibativ)",2,,,,,,,,,J01XA03,ATC,,119,,
Telitromicina (Levviax),2,,,,,,,,,J01FA15,ATC,,120,,
"Tetraciclina (Viabecline, Vetastem)",2,,,,,,,,,J01AA07,ATC,,121,,
Ticarcilina,2,,,,,,,,,J01CA13,ATC,,122,,
Inibidor da ticarcilina/beta-lactamase (ticacilina/clavulanato),2,,,,,,,,,J01CR03,ATC,,123,,
Tigeciclina (Tygacil),1,,,,,,,,,J01AA12,ATC,,124,,
"Tobramicina (Nebcin, Tobrex, Tobi)",1,,,,,,,,,J01GB01,ATC,,125,,
Trimetoprim (primsol),1,,,,,,,,,J01EA01,ATC,,126,,
Trovafloxacina (Trovan),,,,,,,,,,J01MA13,ATC,,127,,
"Vancomicina (Vancocina, Vancocin HCl, Firvanq)",1,1.0,,,,,1.0,,,J01XA01,ATC,,128,,
Voriconazol (vfend),,,,,,,,,,J02AC03,ATC,,129,,
Xibornol,,,,,,,,,,J01XX02,ATC,,130,,
