Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,
Curvularia lunata,33165007.0,SNOMED,fungi,,,
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,
Ciclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,
Citomegalovirus,407444007.0,SNOMED,virus,,,
Deltavirus,83617006.0,SNOMED,virus,,,
Virus del dengue,34348001.0,SNOMED,virus,,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,
Virus del ébola,424206003.0,SNOMED,virus,,,
Equinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,
Enterovirus (Enterovirus de género),243633006.0,SNOMED,virus,,,
Epidermophyton,112403007.0,SNOMED,fungi,,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,
FalciformiSpora senegalensis (anteriormente Leptosfaeria senegalensis),48529007.0,SNOMED,fungi,,,
Filoviridae (familia),407325004.0,SNOMED,virus,,,
Flaviviridae (familia),243602009.0,SNOMED,virus,,,
Hongos,414561005.0,SNOMED,fungi,,,
Fusario,35238009.0,SNOMED,fungi,,,
Género Marburgvirus,424421007.0,SNOMED,virus,,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,
Giardia Lamblia,78181009.0,SNOMED,"parasite, protozoa",,,
Hantavirus,49445003.0,SNOMED,virus,,,
Virus Hendra,115510008.0,SNOMED,virus,,,
Hepadnaviridae,422951006.0,SNOMED,virus,,,
Virus de hepatitis A,32452004.0,SNOMED,virus,,,
virus de la hepatitis B,81665004.0,SNOMED,virus,,,
Virus de la hepatitis C,62944002.0,SNOMED,virus,,,
Hepatitis D,83617006.0,SNOMED,virus,,,
Virus de la hepatitis E,78475006.0,SNOMED,virus,,,
Herpesviridae,128377001.0,SNOMED,virus,,,
Histoplasma,81951003.0,SNOMED,fungi,,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,,,
Bocavirus humano,446373002.0,SNOMED,virus,,,
Coronavirus humano,84101006.0,SNOMED,virus,,,
"Herpesvirus 1 humano (HHV1, Herpes Simplex Virus 1, HSV1)",407451003.0,SNOMED,virus,,,
"Herpesvirus 2 humano (HHV2, Herpes Simplex Virus 2, HSV2)",407450002.0,SNOMED,virus,,,
"Herpesvirus 3 humano (Varicella-Zoster Virus, VZV)",19551004.0,SNOMED,virus,,,
"Herpesvirus 4 humano (Virus Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,,
"Herpesvirus 5 humano (Cytomegalovirus HumanBeta5, HCMV)",243579005.0,SNOMED,virus,,,
Herpesvirus 6 humano (Virus de Roseola Infantum),103528003.0,SNOMED,virus,,,
Virus de inmunodeficiencia humana (VIH),19030005.0,SNOMED,virus,,,
Virus de inmunodeficiencia humana tipo 1 (VIH-1),89293008.0,SNOMED,virus,,,
Virus de inmunodeficiencia humana tipo 2 (VIH-2),36115006.0,SNOMED,virus,,,
Metapneumovirus humano (HMPV),416730002.0,SNOMED,virus,,,
Virus de parainfluenza humano,407498006.0,SNOMED,virus,,,
Virus de parainfluenza 1,407489008.0,SNOMED,virus,,,
Virus de parainfluenza de paraainza humano 2,407491000.0,SNOMED,virus,,,
Virus para parainfluenza 3,407493002.0,SNOMED,virus,,,
Virus de paraainfluenza humano 4,89117003.0,SNOMED,virus,,,
Parvovirus humano B19,63603005.0,SNOMED,virus,,,
Virus sincitial respiratorio humano (RSV),6415009.0,SNOMED,virus,,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,,
Influenza un subtipo H5N8,708527000.0,SNOMED,virus,,,
Influenza un supto h7N7,715346008.0,SNOMED,virus,,,
Virus de influenza,407479009.0,SNOMED,virus,,,
Influenza un subtipo de virus H1N1,442352004.0,SNOMED,virus,,,
Influenza un subtipo de virus H5N1,772827006.0,SNOMED,virus,,,
Influenza un subtipo de virus H7N9,609444009.0,SNOMED,virus,,,
Virus de influenza B,407480007.0,SNOMED,virus,,,
Virus de la influenza,725894000.0,SNOMED,virus,,,
Isospora Belli,12633005.0,SNOMED,"parasite, protozoa",,,
Virus de encefalitis japonesa (JEV),243603004.0,SNOMED,virus,,,
Virus de Junin,26352009.0,SNOMED,virus,,,
Virus de lassa,85944001.0,SNOMED,virus,,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,,
Leishmania brasiliensis,83196002.0,SNOMED,"parasite, protozoa",,,
Leishmania brasiliensis complejo,7400004.0,SNOMED,"parasite, protozoa",,,
Complejo Leishmania Donovani,79781008.0,SNOMED,"parasite, protozoa",,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,,
Lichthiemia,734206002.0,SNOMED,fungi,,,
Lomentospora prolificans (SCEDosporium prlificans),69564000.0,SNOMED,fungi,,,
Virus de Lujo,450622000.0,SNOMED,virus,,,
Virus de coriomeningitis linfocítica (LCMV),82518003.0,SNOMED,virus,,,
Virus machupo,71489006.0,SNOMED,virus,,,
Madurella,23009007.0,SNOMED,fungi,,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,,
Sarampión morbillivirus,52584002.0,SNOMED,virus,,,
Mers-cov,697932005.0,SNOMED,virus,,,
Metapneumovirus,407501006.0,SNOMED,virus,,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,,
Microsporidia,418382009.0,SNOMED,"parasite, protozoa",,,
Microsporum,11983001.0,SNOMED,fungi,,,
Síndrome respiratorio de Medio Oriente Coronavir,697932005.0,SNOMED,virus,,,
Virus MPOX,59774002.0,SNOMED,virus,,,
Mucor,49782006.0,SNOMED,fungi,,,
Virus de las paperas,50384007.0,SNOMED,virus,,,
Necator americanus,43905006.0,SNOMED,"parasite, helminth",,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,,,
Virus Nipah,115511007.0,SNOMED,virus,,,
Norovirus,407359000.0,SNOMED,virus,,,
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",,,
Orthomyxoviridae (virus de la influenza),55014007.0,SNOMED,virus,,,
Papiloma,243584004.0,SNOMED,virus,,,
Papoviridae,243587006.0,SNOMED,virus,,,
Paracoccidioides,112405000.0,SNOMED,fungi,,,
Paragonimus Westermani,58412002.0,SNOMED,"parasite, helminth",,,
Paramyxoviridae,128354001.0,SNOMED,virus,,,
Parvoviridae,243587006.0,SNOMED,virus,,,
Penicillium,42993004.0,SNOMED,fungi,,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,,,
Picornaviridae,407344006.0,SNOMED,virus,,,
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",,,
Plasmodium oval,18508006.0,SNOMED,"parasite, protozoa",,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",,,
Pneumocystis,115987006.0,SNOMED,fungi,,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,,,
Enfermedades de priones,20484008.0,SNOMED,Prions,,,
Virus de la rabia,59881000.0,SNOMED,virus,,,
Virus sincitial respiratorio (RSV),6415009.0,SNOMED,virus,,,
Retroviridae,77622001.0,SNOMED,virus,,,
Rabdoviridae,407326003.0,SNOMED,virus,,,
Rizomucor,85711000.0,SNOMED,fungi,,,
Rizopus,17683005.0,SNOMED,fungi,,,
Virus de la fiebre del valle del rift,28335002.0,SNOMED,virus,,,
Virus del río Ross,32458000.0,SNOMED,virus,,,
Rotavirus,417542000.0,SNOMED,virus,,,
Virus de la rubéola,5210005.0,SNOMED,virus,,,
Saccharomyces cerevisia,765320007.0,SNOMED,fungi,,,
Sapovirus,407362002.0,SNOMED,virus,,,
SARS-CoV-2,840533007.0,SNOMED,virus,,,
Sars-cov-2 beta-b.1.351,,,virus,,,
SARS-CoV-2 Delta-B.1.617.2,,,virus,,,
SARS-CoV-2 ETA-B.1.525,,,virus,,,
SARS-CoV-2 Gamma-p.1,,,virus,,,
SARS-CoV-2 IOTA-B.1.526,,,virus,,,
Sars-Cov-2 Kappa-B.1.617.1,,,virus,,,
Sars-cov-2 omicron,,,virus,,,
SARS-CoV-2 Omicron-B.1.1.529,,,virus,,,
SARS-CoV-2 Omicron-B.1.1.529.2 BA.2,,,virus,,,
SARS-CoV-2 Omicron-B.1.1.529.5 BA.5,,,virus,,,
Sars-cov-2 theta- p.3,,,virus,,,
Sars-cov-2 zeta-p.2,,,virus,,,
SARS-CoV-2 Alpha-B.1.1.7,,,virus,No code to differientiate SARS-CoV-2 Varients. Could use generic SARS-CoV-2 and 'Variant' modifier e.g. 840533007 |Severe acute respiratory syndrome coronavirus 2 (organism)|40885006 |Variant (qualifier value)|,,
Antígeno SARS-Cov-2,840536004.0,SNOMED,virus (substance),,,
Anticuerpo SARS-Cov-2 IgG,63001000000000.0,SNOMED,virus (substance),,,
Anticuerpo SARS-CoV-2 IgG/IgM,840535000.0,SNOMED,virus (substance),,,
Anticuerpo IgM SARS-CoV-2,50581000000000.0,SNOMED,virus (substance),,,
Escrito,31901009.0,SNOMED,fungi,,,
Esquistosoma,53583001.0,SNOMED,"parasite, helminth",,,
Esquistosoma guineensis,,,"parasite, helminth","No Code, new species of schistosoma",,
Esquistosoma hematobio,3294004.0,SNOMED,"parasite, helminth",,,
Esquistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",,,
Esquistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",,,
Schistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",,,
Schistosoma Mekongi,75475007.0,SNOMED,"parasite, helminth",,,
Síndrome respiratorio agudo severo Coronavirus 2,1240580000000000.0,SNOMED,virus,,,
Coronavir relacionado con el síndrome respiratorio agudo,415360003.0,SNOMED,virus,,,
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,,,
Simplexvirus (género),314797000.0,SNOMED,virus,,,
Esporothrix schenckii,32662000.0,SNOMED,fungi,,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",,,
Taenia solio,17966003.0,SNOMED,"parasite, helminth",,,
Talaromyces Marneffei,71825007.0,SNOMED,fungi,,,
Togoviridae,129231002.0,SNOMED,virus,,,
Toxocara canis,88857009.0,SNOMED,"parasite, helminth",,,
Toxoplasma,61949005.0,SNOMED,"parasite, protozoa",,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",,,
Trichinella espiral,16439004.0,SNOMED,"parasite, helminth",,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",,,
Trichomonas vaginal,22417000.0,SNOMED,"parasite, protozoa",,,
Trichophyton,88578003.0,SNOMED,fungi,,,
Trichosporon asahii,243475001.0,SNOMED,fungi,,,
Trichuris Trichiura,5378007.0,SNOMED,"parasite, helminth",,,
Tripanosoma,40740003.0,SNOMED,"parasite, protozoa",,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",,,
Trypanosoma Cruzi,88274000.0,SNOMED,"parasite, protozoa",,,
Virus del Nilo Occidental,57311007.0,SNOMED,virus,,,
Wuchereria Bancrofti,84925004.0,SNOMED,"parasite, helminth",,,
Levadura,62093005.0,SNOMED,fungi,,,
Virus del Zika,50471002.0,SNOMED,virus,,,
