Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Clamidia,16241000,SNOMED,bacteria,,,,,,,,,,,55,,
Chlamydophila pneumoniae,103514009,SNOMED,bacteria,,,,,,,,,,,56,,
Chryseobacterium indologenes,113549008,SNOMED,bacteria,,,,,,,,,,,57,,
citrobacter,75972000,SNOMED,bacteria,,,,,,,,,,,58,,
Citrobacter braakii,114262000,SNOMED,bacteria,,,,,,,,,,,59,,
citrobacter freundii,6265002,SNOMED,bacteria,,,,,,,,,,,60,,
Citrobacter koseri,114264004,SNOMED,bacteria,,,,,,,,,,,61,,
Clavispora lusitaniae,50164000,SNOMED,fungi,,,,,,,,,,,62,,
Clonorchis sinensis,36559008,SNOMED,"parasite, helminth",,,,,,,,,,,63,,
clostridio botulínico,13080008,SNOMED,bacteria,,,,,,,,,,,64,,
Clostridium difficile,5933001,SNOMED,bacteria,,,,,,,,,,,65,,
Clostridium difficile (toxina positiva),736050006,SNOMED,bacteria,,,,,,,,,,,66,,
Clostridium tetani,30917009,SNOMED,bacteria,,,,,,,,,,,67,,
Estafilococos coagulasa negativos,116197008,SNOMED,bacteria,,,,,,,,,,,68,,
Coccidioides,8672004,SNOMED,fungi,,,,,,,,,,,69,,
Coccidioides immitis,23439005,SNOMED,fungi,,,,,,,,,,,70,,
Bacterias coliformes,77309002,SNOMED,bacteria,,,,,,,,,,,71,,
Coronaviridae (Familia),243607003,SNOMED,virus,,,,,,,,,,,72,,
corinebacteria,77086004,SNOMED,bacteria,,,,,,,,,,,73,,
Corynebacterium amycolatum,113611002,SNOMED,bacteria,,,,,,,,,,,74,,
Corynebacterium pseudodiphtheriticum,12050008,SNOMED,bacteria,,,,,,,,,,,75,,
Corynebacterium pseudotuberculosis,55084001,SNOMED,bacteria,,,,,,,,,,,76,,
Corynebacterium estriado,63815007,SNOMED,bacteria,,,,,,,,,,,77,,
corynebacterium ulcerans,103428000,SNOMED,bacteria,,,,,,,,,,,78,,
Corynebacterium xerosis,27101006,SNOMED,bacteria,,,,,,,,,,,79,,
Virus de la fiebre hemorrágica de Crimea-Congo (FECH),79875007,SNOMED,virus,,1,,,,,,,,,80,,
criptococo,17579001,SNOMED,bacteria,,,,,,,,,,,81,,
Criptococo gattii,450862004,SNOMED,fungi,,,,,,,,,,,82,,
Criptococo neoformans,67168003,SNOMED,bacteria,,,,,,,,,,,84,,
criptosporidio,83821001,SNOMED,"parasite, protozoa",,,,,,,,,,,85,,
Criptosporidio hominis,417722006,SNOMED,"parasite, protozoa",,,,,,,,,,,86,,
criptosporidio parvum,51504002,SNOMED,"parasite, protozoa",,,,,,,,,,,87,,
Curvularia lunata,33165007,SNOMED,fungi,,,,,,,,,,,89,,
ciclospora,103560006,SNOMED,"parasite, protozoa",,,,,,,,,,,90,,
Cyclospora cayetanensis,103561005,SNOMED,"parasite, protozoa",,,,,,,,,,,91,,
Citomegalovirus,407444007,SNOMED,virus,,,,,,,,,,,92,,
Delftía,416493002,SNOMED,bacteria,,,,,,,,,,,93,,
Delftia acidovorans,20432002,SNOMED,bacteria,,,,,,,,,,,94,,
deltavirus,83617006,SNOMED,virus,,,,,,,,,,,95,,
virus del dengue,34348001,SNOMED,virus,,,1,,,,,,1,,96,,
Dermabacter,413976002,SNOMED,bacteria,,,,,,,,,,,97,,
difteroide,54642001,SNOMED,bacteria,,,,,,,,,,,98,,
Diphyllobothrium latum,40406002,SNOMED,"parasite, helminth",,,,,,,,,,,100,,
Dracunculus medinensis,3824001,SNOMED,"parasite, helminth",,,,,,,,,,,101,,
virus del ébola,424206003,SNOMED,virus,,1,,,,,,,,,102,,
Echinococcus granulosus,243672005,SNOMED,"parasite, helminth",,,,,,,,,,,103,,
Eggerthella,414075007,SNOMED,bacteria,,,,,,,,,,,104,,
Elizabethkingia,426244005,SNOMED,bacteria,,,,,,,,,,,105,,
entamoeba,38324000,SNOMED,"parasite, protozoa",,,,,,,,,,,106,,
Entamoeba dispar,415987008,SNOMED,"parasite, protozoa",,,,,,,,,,,107,,
Entamoeba histolítica,4716008,SNOMED,"parasite, protozoa",,,,,,,,,,,108,,
bacterias entéricas,106544002,SNOMED,bacteria,,,,,,,,,,,109,,
enterobacteria,58683007,SNOMED,bacteria,,,,,,,,,,,110,,
Enterobacter aerogenes,62592009,SNOMED,bacteria,,,,,,,,,,,111,,
Enterobacter asburiae,33115003,SNOMED,bacteria,,,,,,,,,,,112,,
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,,,,,,,,,,,113,,
Enterobacter cloacae,14385002,SNOMED,bacteria,,,,,,,,,,,114,,
Complejo enterobacter cloacae,414102007,SNOMED,bacteria,,,,,,,,,,,115,,
Enterobacter hormaechei,114454006,SNOMED,bacteria,,,,,,,,,,,116,,
Enterobacter kobei,114456008,SNOMED,bacteria,,,,,,,,,,,117,,
enterobacterias,106544002,SNOMED,bacteria,,,,,,,,,,,118,,
enterobio vermicularis,55008000,SNOMED,"parasite, helminth",,,,,,,,,,,119,,
enterococo,2785000,SNOMED,bacteria,,,,,,,,,,,120,,
enterococo avium,87875008,SNOMED,bacteria,,,,,,,,,,,121,,
enterococo faecalis,78065002,SNOMED,bacteria,,,,,,,,,,,122,,
enterococo faecium,90272000,SNOMED,bacteria,,,,,,,,,,,123,,
Enterococo rafinoso,103437000,SNOMED,bacteria,,,,,,,,,,,124,,
Enterovirus (género Enterovirus),243633006,SNOMED,virus,,,,,,,,,,,125,,
epidermofiton,112403007,SNOMED,fungi,,,,,,,,,,,126,,
escherichia,64735005,SNOMED,bacteria,,,,,,,,,,,127,,
Escherichia coli,112283007,SNOMED,bacteria,,,,,,,,,,,128,,
Exophiala dermatitidis,20586007,SNOMED,fungi,,,,,,,,,,,129,,
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007,SNOMED,fungi,,,,,,,,,,,130,,
Filoviridae (Familia),407325004,SNOMED,virus,,,,,,,,,,,131,,
Flaviviridae (Familia),243602009,SNOMED,virus,,,,,,,,,,,132,,
Francisella tularensis,51526001,SNOMED,bacteria,,,,,,,,,,,133,,
Hongos,414561005,SNOMED,fungi,,,,,,,,,,,134,,
fusarium,35238009,SNOMED,fungi,,,,,,,,,,,135,,
Fusobacterium nucleatum,32763000,SNOMED,bacteria,,,,,,,,,,,136,,
género Marburgvirus,424421007,SNOMED,virus,,1,,,,,,,,,137,,
giardiana,61419001,SNOMED,"parasite, protozoa",,,,,,,,,,,138,,
Giardia intestinalis,78181009,SNOMED,"parasite, protozoa",,,,,,,,,,,139,,
Giardia lamblia,78181009,SNOMED,"parasite, protozoa",,,,,,,,,,,140,,
Bacilo Gram Negativo,87172008,SNOMED,bacteria,,,,,,,,,,,141,,
Bacilo Gram Positivo,83514008,SNOMED,bacteria,,,,,,,,,,,142,,
Cocos Gram positivos,59206002,SNOMED,bacteria,,,,,,,,,,,143,,
Granulicatella adiacens,113713009,SNOMED,bacteria,,,,,,,,,,,144,,
Haemophilus,71268004,SNOMED,bacteria,,,,,,,,,,,145,,
Haemophilus ducreyi,64889004,SNOMED,bacteria,,,,,,,,,,,146,,
Haemophilus influenzae,44470000,SNOMED,bacteria,,,,,,,,,,,147,,
Haemophilus parainfluenzae,51593004,SNOMED,bacteria,,,,,,,,,,,148,,
Hafnia alvei,76694001,SNOMED,bacteria,,,,,,,,,,,149,,
hantavirus,49445003,SNOMED,virus,,1,,,,,,,,,150,,
Helicobacter pylori,80774000,SNOMED,bacteria,,,,,,,,,,,151,,
virus hendra,115510008,SNOMED,virus,,,,,,,,,,,152,,
Hepadnaviridae,422951006,SNOMED,virus,,,,,,,,,,,153,,
virus de la hepatitis A,32452004,SNOMED,virus,,,1,,,,,,,,154,,
virus de la hepatitis B,81665004,SNOMED,virus,,,1,,,,1,,,,155,,
virus de la hepatitis C,62944002,SNOMED,virus,,,1,,,,1,,,,156,,
virus de la hepatitis D,83617006,SNOMED,virus,,,,,,,,,,,157,,
virus de la hepatitis E,78475006,SNOMED,virus,,,,,,,,,,,158,,
Herpesviridae,128377001,SNOMED,virus,,,,,,,,,,,159,,
histoplasma,81951003,SNOMED,fungi,,,,,,,,,,,160,,
Histoplasma capsulatum,56596006,SNOMED,fungi,,,,,,,,,,,161,,
"Herpesvirus humano 1 (HHV1, virus del herpes simple 1, HSV1)",407451003,SNOMED,virus,,,,,,,,,,,162,,
"Herpesvirus humano 2 (HHV2, virus del herpes simple 2, HSV2)",407450002,SNOMED,virus,,,,,,,,,,,163,,
"Herpesvirus humano 3 (virus varicela-zoster, VZV)",19551004,SNOMED,virus,,,,1,,,1,,,,164,,
"Herpesvirus humano 4 (virus de Epstein-Barr, EBV)",40168006,SNOMED,virus,,,,,,,,,,,165,,
"Herpesvirus humano 5 (Citomegalovirus humanobeta5, hCMV)",243579005,SNOMED,virus,,,,,,,,,,,166,,
Herpesvirus humano 6 (virus de la roséola infantil),103528003,SNOMED,virus,,,,,,,,,,,167,,
Virus de la Inmunodeficiencia Humana (VIH),19030005,SNOMED,virus,,,1,,,,1,,,,168,,
Virus de la inmunodeficiencia humana tipo 1 (VIH-1),89293008,SNOMED,virus,,,,,,,,,,,169,,
Virus de la inmunodeficiencia humana tipo 2 (VIH-2),36115006,SNOMED,virus,,,,,,,,,,,170,,
Metaneumovirus humano (hMPV),416730002,SNOMED,virus,,,,,,,,,,,171,,
Virus de la parainfluenza humana,407498006,SNOMED,virus,,,,,,,,,,,172,,
Virus de la parainfluenza humana 1,407489008,SNOMED,virus,,,,,,,,,,,173,,
Virus de la parainfluenza humana 2,407491000,SNOMED,virus,,,,,,,,,,,174,,
Virus de la parainfluenza humana 3,407493002,SNOMED,virus,,,,,,,,,,,175,,
Virus de la parainfluenza humana 4,89117003,SNOMED,virus,,,,,,,,,,,176,,
Parvovirus humano b19,63603005,SNOMED,virus,,,,,,,,,,,177,,
Virus sincitial respiratorio humano (VRS),6415009,SNOMED,virus,,,,,,,,,,,178,,
bocavirus humano,446373002,SNOMED,virus,,,,,,,,,,,179,,
Coronavirus humano,84101006,SNOMED,virus,,,,,,,,,,,180,,
Hymenolepis diminuta,23895005,SNOMED,"parasite, helminth",,,,,,,,,,,181,,
Hymenolepis nana,74311004,SNOMED,"parasite, helminth",,,,,,,,,,,182,,
Gripe A H1N1,442352004,SNOMED,virus,1,,,,1,,,1,,,183,,
Gripe A H5N1,772827006,SNOMED,virus,1,,,,1,,,1,,,184,,
Gripe A H5N8,708527000,SNOMED,virus,1,,,,1,,,1,,,185,,
Gripe A H7N7,715346008,SNOMED,virus,1,,,,1,,,1,,,186,,
Gripe A H7N9,609444009,SNOMED,virus,1,,,,1,,,1,,,187,,
Virus de la gripe A,407479009,SNOMED,virus,1,,,,1,,,1,,,188,,
virus de la influenza B,407480007,SNOMED,virus,1,,,,1,,,1,,,189,,
virus de la influenza,725894000,SNOMED,virus,1,,,,1,,1,1,,,190,,
Isospora belli,12633005,SNOMED,"parasite, protozoa",,,,,,,,,,,191,,
Virus de la encefalitis japonesa (JEV),243603004,SNOMED,virus,,,,,,,,,,,192,,
virus junín,26352009,SNOMED,virus,,,,,,,,,,,193,,
Klebsiella,75032006,SNOMED,bacteria,,,,,,,,,,,194,,
Klebsiella aerogenes,62592009,SNOMED,bacteria,,,,,,,,,,,195,,
Klebsiella oxitoca,40886007,SNOMED,bacteria,,,,,,,,,,,196,,
Klebsiella pneumoniae,56415008,SNOMED,bacteria,,,,,,,,,,,197,,
"Klebsiella pneumoniae, BLEE",409801009,SNOMED,bacteria,,,,,,,,,,,198,,
Klebsiella varicola,431976004,SNOMED,bacteria,,,,,,,,,,,199,,
Lacticaseibacillus rhamnosus,113798001,SNOMED,bacteria,,,,,,,,,,,200,,
virus lassa,85944001,SNOMED,virus,,1,,,,,,,,,201,,
Legionella,7527002,SNOMED,bacteria,,,,,,,,,,,202,,
Legionella pneumophila,80897008,SNOMED,bacteria,,,,,,,,,,,203,,
Leishmania,79357004,SNOMED,"parasite, protozoa",,,,,,,,,,,204,,
Leishmania Viannia,712933004,SNOMED,"parasite, protozoa",,,,,,,,,,,205,,
Leishmania braziliensis,83196002,SNOMED,"parasite, protozoa",,,,,,,,,,,206,,
Complejo Leishmania braziliensis,7400004,SNOMED,"parasite, protozoa",,,,,,,,,,,207,,
complejo de leishmania donovani,79781008,SNOMED,"parasite, protozoa",,,,,,,,,,,208,,
Interrogantes de Leptospira,116401006,SNOMED,bacteria,,,,,,,,,,,209,,
lictiemia,734206002,SNOMED,fungi,,,,,,,,,,,210,,
Listeria monocytogenes,36094007,SNOMED,bacteria,,,,,,,,,,,211,,
Lomentospora prolificans (Scedosporium prlificans),69564000,SNOMED,fungi,,,,,,,,,,,212,,
virus de lujo,450622000,SNOMED,virus,,,,,,,,,,,213,,
Virus de la coriomeningitis linfocítica (LCMV),82518003,SNOMED,virus,,,,,,,,,,,214,,
MERS-CoV,697932005,SNOMED,virus,,,,,,,,1,,,215,,
virus machupo,71489006,SNOMED,virus,,1,,,,,,,,,216,,
madurela,23009007,SNOMED,fungi,,,,,,,,,,,217,,
Malassezia pachydermatis,51257000,SNOMED,fungi,,,,,,,,,,,218,,
Morbilivirus del sarampión,52584002,SNOMED,virus,,,,1,,,,,,,219,,
Metapneumovirus,407501006,SNOMED,virus,,,,,,,,,,,220,,
Staphylococcus aureus resistente a la meticilina (MRSA),115329001,SNOMED,bacteria,,,,,,,,,,,221,,
Staphylococcus aureus sensible a la meticilina (MSSA),417943000,SNOMED,bacteria,,,,,,,,,,,222,,
Meyerozyma guilliermondii,29812000,SNOMED,fungi,,,,,,,,,,,223,,
micrococo,52864008,SNOMED,bacteria,,,,,,,,,,,224,,
micrococo lúteo,48299003,SNOMED,bacteria,,,,,,,,,,,225,,
microsporidios,418382009,SNOMED,"parasite, protozoa",,,,,,,,,,,226,,
microsporo,11983001,SNOMED,fungi,,,,,,,,,,,227,,
Síndrome respiratorio de Oriente Medio Coronavirus,697932005,SNOMED,virus,,,,,,,,,,,228,,
mirabilis,79589007,SNOMED,bacteria,,,,,,,,,,,229,,
moraxella,36361003,SNOMED,bacteria,,,,,,,,,,,230,,
Moraxella catarrhalis,24226003,SNOMED,bacteria,,,,,,,,,,,231,,
Morganela,50713005,SNOMED,bacteria,,,,,,,,,,,232,,
Morganella morganii,243301005,SNOMED,bacteria,,,,,,,,,,,233,,
virus mpox,59774002,SNOMED,virus,1,,,1,,,1,,,,234,,
Mucor,49782006,SNOMED,fungi,,,,,,,,,,,235,,
Virus de las paperas,50384007,SNOMED,virus,,,,,,,,,,,236,,
micobacteria,243368001,SNOMED,bacteria,,,,,,,,,,,237,,
micobacteria lepra,58242002,SNOMED,bacteria,,,,,,,,,,,238,,
micobacteria tuberculosis,113861009,SNOMED,bacteria,,,,,,,,,,,239,,
"Mycobacterium, no tuberculosis",110379001,SNOMED,bacteria,,,,,,,,,,,240,,
Micoplasma agalactiae,16377009,SNOMED,bacteria,,,,,,,,,,,241,,
micoplasma neumonía,58720004,SNOMED,bacteria,,,,,,,,,,,242,,
Necator americano,43905006,SNOMED,"parasite, helminth",,,,,,,,,,,243,,
Neisseria meningitidis,17872004,SNOMED,bacteria,,,,,,,,,,,244,,
Neotestudina rosatii (Zopfia rosatii),47066009,SNOMED,fungi,,,,,,,,,,,245,,
virus nipah,115511007,SNOMED,virus,,,,,,,,,,,246,,
Nocardia asteroides,30092002,SNOMED,bacteria,,,,,,,,,,,247,,
Nocardia brasiliensis,58970008,SNOMED,bacteria,,,,,,,,,,,248,,
Norovirus,407359000,SNOMED,virus,,,,,,,,,,,249,,
Onchocerca vólvulo,52397001,SNOMED,"parasite, helminth",,,,,,,,,,,250,,
Orthomyxoviridae (virus de la influenza),55014007,SNOMED,virus,,,,,,,,,,,251,,
virus del papiloma,243584004,SNOMED,virus,,,,,,,,,,,252,,
Papoviridae,243587006,SNOMED,virus,,,,,,,,,,,253,,
Paracoccidioides,112405000,SNOMED,fungi,,,,,,,,,,,254,,
Paragonimus westermani,58412002,SNOMED,"parasite, helminth",,,,,,,,,,,255,,
Paramixoviridae,128354001,SNOMED,virus,,,,,,,,,,,256,,
Parvoviridae,243587006,SNOMED,virus,,,,,,,,,,,257,,
Penicillium,42993004,SNOMED,fungi,,,,,,,,,,,258,,
Pichia kudriavzeveii,16452009,SNOMED,fungi,,,,,,,,,,,259,,
Picornaviridae,407344006,SNOMED,virus,,,,,,,,,,,260,,
Plasmodio,34706006,SNOMED,"parasite, protozoa",,,,,,,,,,,261,,
Plasmodium falciparum,30020004,SNOMED,"parasite, protozoa",,,,,,,1,,,,262,,
Plasmodium malariae,56395006,SNOMED,"parasite, protozoa",,,,,,,,,,,263,,
Plasmodium oval,18508006,SNOMED,"parasite, protozoa",,,,,,,,,,,264,,
Plasmodium vivax,74746009,SNOMED,"parasite, protozoa",,,,,,,1,,,,265,,
neumocistis,115987006,SNOMED,fungi,,,,,,,,,,,266,,
Pneumocystis jirovecii,79909001,SNOMED,fungi,,,,,,,,,,,267,,
Enfermedades priónicas,20484008,SNOMED,Prions,,,,,,,,,,,268,,
propionibacteria,34844008,SNOMED,bacteria,,,,,,,,,,,269,,
Propionibacterium acnes,39473003,SNOMED,bacteria,,,,,,,,,,,270,,
Proteo,50517009,SNOMED,bacteria,,,,,,,,,,,271,,
proteus mirabilis,73457008,SNOMED,bacteria,,,,,,,,,,,272,,
Proteo vulgar,45834001,SNOMED,bacteria,,,,,,,,,,,273,,
Providencia retgeri,14196002,SNOMED,bacteria,,,,,,,,,,,274,,
Providencia stuartii,1445008,SNOMED,bacteria,,,,,,,,,,,275,,
Pseudomonas,57032008,SNOMED,bacteria,,,,,,,,,,,276,,
Pseudomonas aeruginosa,52499004,SNOMED,bacteria,,,,,,,,,,,277,,
Pseudomonas fluorescens,39289003,SNOMED,bacteria,,,,,,,,,,,278,,
Pseudomonas putida,68608003,SNOMED,bacteria,,,,,,,,,,,279,,
virus de la rabia,59881000,SNOMED,virus,,,,,,,,,,,280,,
Raoultella,417468005,SNOMED,bacteria,,,,,,,,,,,281,,
Raoultella ornithinolytica,416832000,SNOMED,bacteria,,,,,,,,,,,282,,
Raoultella planticola,416264004,SNOMED,bacteria,,,,,,,,,,,283,,
Virus respiratorio sincitial (VSR),6415009,SNOMED,virus,,,,,,,1,1,,,284,,
Retroviridae,77622001,SNOMED,virus,,,,,,,,,,,285,,
rabdoviridae,407326003,SNOMED,virus,,,,,,,,,,,286,,
rizomucor,85711000,SNOMED,fungi,,,,,,,,,,,287,,
Rizopus,17683005,SNOMED,fungi,,,,,,,,,,,288,,
Virus de la fiebre del Valle del Rift,28335002,SNOMED,virus,,1,,,,,,,,,289,,
Virus del río Ross,32458000,SNOMED,virus,,,,,,,,,,,290,,
Rotavirus,417542000,SNOMED,virus,,,,,,,,,,,291,,
virus de la rubéola,5210005,SNOMED,virus,,,,,,,,,,,292,,
SARS-CoV-2,840533007,SNOMED,virus,1,,,,1,,1,1,,,293,,
SARS-CoV-2 Beta-B.1.351,840533008,SNOMED,virus,,,,,,,,,,,294,,
Delta del SARS-CoV-2 - B.1.617.2,840533009,SNOMED,virus,,,,,,,,,,,295,,
SARS-CoV-2 Eta - B.1.525,840533010,SNOMED,virus,,,,,,,,,,,296,,
SARS-CoV-2 Gamma - P.1,840533011,SNOMED,virus,,,,,,,,,,,297,,
SARS-CoV-2 Iota-B.1.526,840533012,SNOMED,virus,,,,,,,,,,,298,,
SARS-CoV-2 Kappa - B.1.617.1,840533013,SNOMED,virus,,,,,,,,,,,299,,
Omicrón SARS-CoV-2,840533014,SNOMED,virus,,,,,,,,,,,300,,
Omicrón SARS-CoV-2 - B.1.1.529,840533015,SNOMED,virus,,,,,,,,,,,301,,
SARS-CoV-2 Omicron - B.1.1.529.2 BA.2,840533016,SNOMED,virus,,,,,,,,,,,302,,
SARS-CoV-2 Omicron - B.1.1.529.5 BA.5,840533017,SNOMED,virus,,,,,,,,,,,303,,
SARS-CoV-2 Theta-P.3,840533018,SNOMED,virus,,,,,,,,,,,304,,
SARS-CoV-2 Zeta - P.2,840533019,SNOMED,virus,,,,,,,,,,,305,,
SARS-CoV-2 Alfa - B.1.1.7,840533020,SNOMED,virus,,,,,,,,,,,306,,
Antígeno SARS-CoV-2,840536004,SNOMED,virus (substance),,,,,,,,,,,307,,
Anticuerpo IgG contra el SARS-CoV-2,6.3E+13,SNOMED,virus (substance),,,,,,,,,,,308,,
Anticuerpo IgG/IgM contra el SARS-CoV-2,840535000,SNOMED,virus (substance),,,,,,,,,,,309,,
Anticuerpo IgM contra el SARS-CoV-2,5.06E+13,SNOMED,virus (substance),,,,,,,,,,,310,,
Saccharomyces cerevisiae,765320007,SNOMED,fungi,,,,,,,,,,,311,,
Salmonela,27268008,SNOMED,bacteria,,,,,,,,,,,312,,
Salmonella hirschfeldii,32488009,SNOMED,bacteria,,,,,,,,,,,313,,
Sapovirus,407362002,SNOMED,virus,,,,,,,,,,,314,,
Scedosporio,31901009,SNOMED,fungi,,,,,,,,,,,315,,
esquistosoma,53583001,SNOMED,"parasite, helminth",,,,,,,,,,,316,,
Schistosoma guineensis,,,"parasite, helminth",,,,,,,,,,,317,,
esquistosoma haematobio,3294004,SNOMED,"parasite, helminth",,,,,,,,,,,318,,
esquistosoma intercalatum,15685002,SNOMED,"parasite, helminth",,,,,,,,,,,319,,
Schistosoma japonicum,5249008,SNOMED,"parasite, helminth",,,,,,,,,,,320,,
esquistosoma mansoni,11168007,SNOMED,"parasite, helminth",,,,,,,,,,,321,,
Schistosoma mekongi,75475007,SNOMED,"parasite, helminth",,,,,,,,,,,322,,
Serratía,42025004,SNOMED,bacteria,,,,,,,,,,,323,,
Serratia liquefaciens,23787004,SNOMED,bacteria,,,,,,,,,,,324,,
Serratia marcescens,33522002,SNOMED,bacteria,,,,,,,,,,,325,,
Serratia ureílica,450416004,SNOMED,bacteria,,,,,,,,,,,326,,
Síndrome Respiratorio Agudo Severo Coronavirus 2,1240000000000000.0,SNOMED,virus,,,,,,,,,,,327,,
Coronavirus relacionado con el síndrome respiratorio agudo severo,415360003,SNOMED,virus,,,,,,,,,,,328,,
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001,SNOMED,virus,,,,,,,,,,,329,,
Shigella,77352002,SNOMED,bacteria,,,,,,,,,,,330,,
Shigella boydii,55462008,SNOMED,bacteria,,,,,,,,,,,331,,
Shigella disenteriae,43612004,SNOMED,bacteria,,,,,,,,,,,332,,
Shigella flexneri,85729005,SNOMED,bacteria,,,,,,,,,,,333,,
Shigella sonnei,4298009,SNOMED,bacteria,,,,,,,,,,,334,,
Simplexvirus (Género),314797000,SNOMED,virus,,,,,,,,,,,335,,
Sphingomonas paucimobilis,243350004,SNOMED,bacteria,,,,,,,,,,,336,,
