Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Serratia marcescens,33522002.0,SNOMED,bacteria,130,,
Serratia ureílica,450416004.0,SNOMED,bacteria,131,,
Shigella,77352002.0,SNOMED,bacteria,132,,
Shigella boydii,55462008.0,SNOMED,bacteria,133,,
Shigella disenteriae,43612004.0,SNOMED,bacteria,134,,
Shigella flexneri,85729005.0,SNOMED,bacteria,135,,
Shigella sonnei,4298009.0,SNOMED,bacteria,136,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,137,,
Estafilococo,65119002.0,SNOMED,bacteria,138,,
Estafilococo aureus,3092008.0,SNOMED,bacteria,139,,
Estafilococo de la cabeza,40347003.0,SNOMED,bacteria,140,,
Staphylococcus caprae,76969000.0,SNOMED,bacteria,141,,
Estafilococo cohnii,66872005.0,SNOMED,bacteria,142,,
Estafilococo epidermidis,60875001.0,SNOMED,bacteria,143,,
Estafilococo haemolítico,83452006.0,SNOMED,bacteria,144,,
Estafilococo hominis,44827007.0,SNOMED,bacteria,145,,
Estafilococo hominis hominis,432505008.0,SNOMED,bacteria,146,,
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,147,,
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,148,,
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,149,,
Estafilococo simulans,52122005.0,SNOMED,bacteria,150,,
estafilococo warneri,63550006.0,SNOMED,bacteria,151,,
estenotrofomonas,115656007.0,SNOMED,bacteria,152,,
Stenotrophomonas maltofilia,113697002.0,SNOMED,bacteria,153,,
Estreptococo,58800005.0,SNOMED,bacteria,154,,
Streptococcus alfa-hemolítico,60631002.0,SNOMED,bacteria,155,,
estreptococo anginosus,44304009.0,SNOMED,bacteria,156,,
Grupo Streptococcus anginosus,415597009.0,SNOMED,bacteria,157,,
Estreptococo beta-hemolítico,53490009.0,SNOMED,bacteria,158,,
Estreptococo constellatus,76199005.0,SNOMED,bacteria,159,,
Streptococcus disgalactiae,40812000.0,SNOMED,bacteria,160,,
Estreptococo gallolítico,113985000.0,SNOMED,bacteria,161,,
Estreptococo intermedio,62170002.0,SNOMED,bacteria,162,,
estreptococo mitis,57997003.0,SNOMED,bacteria,163,,
Estreptococo oral,19870004.0,SNOMED,bacteria,164,,
Streptococcus parasanguinis,113990002.0,SNOMED,bacteria,165,,
Estreptococo neumonía,9861002.0,SNOMED,bacteria,166,,
Estreptococo pyogenes,80166006.0,SNOMED,bacteria,167,,
Estreptococo salivario,39888004.0,SNOMED,bacteria,168,,
Estreptococo sanguinis,113993000.0,SNOMED,bacteria,169,,
Estreptococo viridans,31703004.0,SNOMED,bacteria,170,,
Grupo Streptococcus viridans,31703004.0,SNOMED,bacteria,171,,
Enterococo resistente a la vancomicina (ERV),113727004.0,SNOMED,bacteria,172,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,173,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,174,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,175,,
Yersinia pestis,54365000.0,SNOMED,bacteria,176,,
