Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Corynebacterium striatum,63815007.0,SNOMED,bacteria,41,,
Ulcères de Corynebacterium,103428000.0,SNOMED,bacteria,42,,
Corynebacterium xérose,27101006.0,SNOMED,bacteria,43,,
Cryptocoque,17579001.0,SNOMED,bacteria,44,,
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,45,,
Delftia,416493002.0,SNOMED,bacteria,46,,
Delftia acidovorans,20432002.0,SNOMED,bacteria,47,,
Dermabacter,413976002.0,SNOMED,bacteria,48,,
Diphtéroïde,54642001.0,SNOMED,bacteria,49,,
Eggerhella,414075007.0,SNOMED,bacteria,50,,
Elizabethkingia,426244005.0,SNOMED,bacteria,51,,
Bactéries entériques,106544002.0,SNOMED,bacteria,52,,
Enterobacter,58683007.0,SNOMED,bacteria,53,,
Enterobacter Aerogenes,62592009.0,SNOMED,bacteria,54,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,55,,
Enterobacter Bugandensis,114000000000000.0,SNOMED,bacteria,56,,
Enterobacter Cloacae,14385002.0,SNOMED,bacteria,57,,
Complexe d'enterobacter Cloacae,414102007.0,SNOMED,bacteria,58,,
Enterobacter Hormaechei,114454006.0,SNOMED,bacteria,59,,
Enterobacter Kobei,114456008.0,SNOMED,bacteria,60,,
Enterobactéries,106544002.0,SNOMED,bacteria,61,,
Enterococcus,2785000.0,SNOMED,bacteria,62,,
Enterococcus avium,87875008.0,SNOMED,bacteria,63,,
Enterococcus faecalis,78065002.0,SNOMED,bacteria,64,,
Enterococcus faecium,90272000.0,SNOMED,bacteria,65,,
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,66,,
Escherichia,64735005.0,SNOMED,bacteria,67,,
Escherichia coli,112283007.0,SNOMED,bacteria,68,,
Francisella tularensis,51526001.0,SNOMED,bacteria,69,,
Fusobacterium nuleatum,32763000.0,SNOMED,bacteria,70,,
Bacille à Gram négatif,87172008.0,SNOMED,bacteria,71,,
Bacille à Gram positif,83514008.0,SNOMED,bacteria,72,,
Coccus à Gram positif,59206002.0,SNOMED,bacteria,73,,
Granulicatella adiacènes,113713009.0,SNOMED,bacteria,74,,
Haemophilus,71268004.0,SNOMED,bacteria,75,,
Haemophilus Ducreyi,64889004.0,SNOMED,bacteria,76,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,77,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,78,,
Hafnia alvei,76694001.0,SNOMED,bacteria,79,,
Helicobacter pylori,80774000.0,SNOMED,bacteria,80,,
Klebsiella,75032006.0,SNOMED,bacteria,81,,
Klebsiella Aerogenes,62592009.0,SNOMED,bacteria,82,,
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,83,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,84,,
"Klebsiella pneumoniae, blindage",409801009.0,SNOMED,bacteria,85,,
Klebsiella variicola,431976004.0,SNOMED,bacteria,86,,
Lactisingibacillus rhamnosus,113798001.0,SNOMED,bacteria,87,,
Legionella,7527002.0,SNOMED,bacteria,89,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,90,,
Leptospira interrogans,116401006.0,SNOMED,bacteria,91,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,92,,
Staphylococcus aureus résistant à la méthicilline (SARM),115329001.0,SNOMED,bacteria,93,,
Staphylococcus aureus sensible à la méthicilline (MSSA),417943000.0,SNOMED,bacteria,94,,
Micrococcus,52864008.0,SNOMED,bacteria,95,,
Micrococcus luteus,48299003.0,SNOMED,bacteria,96,,
Mirabilis,79589007.0,SNOMED,bacteria,97,,
Moraxella,36361003.0,SNOMED,bacteria,98,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,100,,
Morganella,50713005.0,SNOMED,bacteria,101,,
Morganella Morganii,243301005.0,SNOMED,bacteria,102,,
Mycobacterium,243368001.0,SNOMED,bacteria,103,,
Mycobacterium leprae,58242002.0,SNOMED,bacteria,104,,
Mycobacterium tuberculosis,113861009.0,SNOMED,bacteria,105,,
"Mycobacterium, non-tuberculose",110379001.0,SNOMED,bacteria,106,,
Mycoplasma agalactiae,16377009.0,SNOMED,bacteria,107,,
Mycoplasma pneumoniae,58720004.0,SNOMED,bacteria,108,,
Neisseria Meningitidis,17872004.0,SNOMED,bacteria,109,,
Nocardia Asteroides,30092002.0,SNOMED,bacteria,110,,
Nocardia Brasiliensis,58970008.0,SNOMED,bacteria,111,,
Propionibacterium,34844008.0,SNOMED,bacteria,112,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,113,,
Protéus,50517009.0,SNOMED,bacteria,114,,
Proteus mirabilis,73457008.0,SNOMED,bacteria,115,,
Proteus vulgaris,45834001.0,SNOMED,bacteria,116,,
Providencia Rettgeri,14196002.0,SNOMED,bacteria,117,,
Providencia Stuartii,1445008.0,SNOMED,bacteria,118,,
Pseudomonas,57032008.0,SNOMED,bacteria,119,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,120,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,121,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,122,,
Raoultella,417468005.0,SNOMED,bacteria,123,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,124,,
Raoultella Plancola,416264004.0,SNOMED,bacteria,125,,
Salmonelle,27268008.0,SNOMED,bacteria,126,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,127,,
Serratia,42025004.0,SNOMED,bacteria,128,,
Serratia liquéfaciens,23787004.0,SNOMED,bacteria,129,,
Serratia marcescens,33522002.0,SNOMED,bacteria,130,,
Serratia ureilytica,450416004.0,SNOMED,bacteria,131,,
Shigella,77352002.0,SNOMED,bacteria,132,,
Shigella Boydii,55462008.0,SNOMED,bacteria,133,,
Shigella dysenteriae,43612004.0,SNOMED,bacteria,134,,
Shigella flexneri,85729005.0,SNOMED,bacteria,135,,
Shigella Sonnei,4298009.0,SNOMED,bacteria,136,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,137,,
Staphylococcus,65119002.0,SNOMED,bacteria,138,,
Staphylococcus aureus,3092008.0,SNOMED,bacteria,139,,
Staphylococcus capitis,40347003.0,SNOMED,bacteria,140,,
Staphylococcus caprae,76969000.0,SNOMED,bacteria,141,,
Staphylococcus cohnii,66872005.0,SNOMED,bacteria,142,,
Staphylococcus epidermidis,60875001.0,SNOMED,bacteria,143,,
Staphylococcus hémolytique,83452006.0,SNOMED,bacteria,144,,
Staphylococcus hominis,44827007.0,SNOMED,bacteria,145,,
Staphylococcus hominis hominis,432505008.0,SNOMED,bacteria,146,,
Staphylococcus lugdunensis,103494005.0,SNOMED,bacteria,147,,
Staphylococcus pettenkoferi,428731005.0,SNOMED,bacteria,148,,
Staphylococcus saprophyticus,19743000.0,SNOMED,bacteria,149,,
Staphylococcus simulans,52122005.0,SNOMED,bacteria,150,,
Staphylococcus warneri,63550006.0,SNOMED,bacteria,151,,
Stenotrophomonas,115656007.0,SNOMED,bacteria,152,,
Sténotrophomonas maltophilie,113697002.0,SNOMED,bacteria,153,,
Streptocoque,58800005.0,SNOMED,bacteria,154,,
Streptococcus alpha-hémolytique,60631002.0,SNOMED,bacteria,155,,
Streptococcus anginosus,44304009.0,SNOMED,bacteria,156,,
Groupe de streptococcus,415597009.0,SNOMED,bacteria,157,,
Streptococcus bêta-hémolytique,53490009.0,SNOMED,bacteria,158,,
Streptococcus constellatus,76199005.0,SNOMED,bacteria,159,,
Streptococcus dysgalactiae,40812000.0,SNOMED,bacteria,160,,
Streptococcus gallolyticus,113985000.0,SNOMED,bacteria,161,,
Streptococcus intermedius,62170002.0,SNOMED,bacteria,162,,
Streptococcus mitis,57997003.0,SNOMED,bacteria,163,,
Streptococcus oralis,19870004.0,SNOMED,bacteria,164,,
Streptococcus parasanguinis,113990002.0,SNOMED,bacteria,165,,
Streptococcus pneumoniae,9861002.0,SNOMED,bacteria,166,,
Streptococcus pyogenes,80166006.0,SNOMED,bacteria,167,,
Streptococcus salivarius,39888004.0,SNOMED,bacteria,168,,
Streptococcus sanguinis,113993000.0,SNOMED,bacteria,169,,
Streptococcus viridans,31703004.0,SNOMED,bacteria,170,,
Groupe Streptococcus viridans,31703004.0,SNOMED,bacteria,171,,
Enterococcus résistant à la vancomycine (VRE),113727004.0,SNOMED,bacteria,172,,
Vibrio cholerae,75953000.0,SNOMED,bacteria,173,,
Vibrio parahaemolyticus,11736008.0,SNOMED,bacteria,174,,
Vibrio vulnificus,55905000.0,SNOMED,bacteria,175,,
Yersinia pestis,54365000.0,SNOMED,bacteria,176,,
